time,open,high,low,close,volume,ticker
2021-01-07,43230,43230,43230,43230,0,IDP
2021-01-08,43230,43230,43230,43230,0,IDP
2021-01-11,43230,43230,43230,43230,0,IDP
2021-01-12,60510,60510,60510,60510,100,IDP
2021-01-13,60510,60510,60510,60510,0,IDP
2021-01-14,60510,60510,60510,60510,0,IDP
2021-01-15,60510,60510,60510,60510,0,IDP
2021-01-18,60510,60510,60510,60510,0,IDP
2021-01-19,60510,60510,60510,60510,0,IDP
2021-01-20,60510,60510,60510,60510,0,IDP
2021-01-21,60510,60510,60510,60510,0,IDP
2021-01-22,60510,60510,60510,60510,0,IDP
2021-01-25,60510,60510,60510,60510,0,IDP
2021-01-26,60510,60510,60510,60510,0,IDP
2021-01-27,60510,60510,60510,60510,0,IDP
2021-01-28,51440,51440,51440,51440,100,IDP
2021-01-29,51440,51440,51440,51440,0,IDP
2021-02-01,43740,43740,43740,43740,100,IDP
2021-02-02,43740,43740,43740,43740,0,IDP
2021-02-03,43740,43740,43740,43740,0,IDP
2021-02-04,43740,43740,43740,43740,0,IDP
2021-02-05,43740,43740,43740,43740,0,IDP
2021-02-08,43740,43740,43740,43740,0,IDP
2021-02-09,43740,43740,43740,43740,0,IDP
2021-02-17,43740,43740,43740,43740,0,IDP
2021-02-18,43740,43740,43740,43740,0,IDP
2021-02-19,43740,43740,43740,43740,0,IDP
2021-02-22,43740,43740,43740,43740,0,IDP
2021-02-23,43740,43740,43740,43740,0,IDP
2021-02-24,43740,43740,43740,43740,0,IDP
2021-02-25,43740,43740,43740,43740,0,IDP
2021-02-26,43740,43740,43740,43740,0,IDP
2021-03-01,43740,43740,43740,43740,0,IDP
2021-03-02,43740,43740,43740,43740,0,IDP
2021-03-03,43740,43740,43740,43740,0,IDP
2021-03-04,43740,43740,43740,43740,0,IDP
2021-03-05,43740,43740,43740,43740,0,IDP
2021-03-08,43740,43740,43740,43740,0,IDP
2021-03-09,43740,43740,43740,43740,0,IDP
2021-03-10,43740,43740,43740,43740,0,IDP
