time,open,high,low,close,volume,ticker
2012-03-20,4340,4340,4340,4340,1510,IFS
2012-03-21,4340,4340,4340,4340,0,IFS
2012-03-22,4180,4180,4180,4180,10,IFS
2012-03-23,4180,4180,4180,4180,1000,IFS
2012-03-26,4010,4010,4010,4010,60,IFS
2012-03-27,4010,4010,4010,4010,0,IFS
2012-03-28,3850,3850,3850,3850,10,IFS
2012-03-29,3850,3850,3850,3850,2200,IFS
2012-03-30,3850,3850,3850,3850,10,IFS
2012-04-03,3850,3850,3850,3850,0,IFS
2012-04-04,3690,3690,3690,3690,10,IFS
2012-04-05,3850,3850,3850,3850,250,IFS
2012-04-06,3850,3850,3850,3850,10000,IFS
2012-04-09,4010,4010,4010,4010,10,IFS
2012-04-10,4180,4180,4180,4180,40,IFS
2012-04-11,4340,4340,4340,4340,1860,IFS
2012-04-12,4500,4500,4500,4500,8280,IFS
2012-04-13,4660,4660,4660,4660,6110,IFS
2012-04-16,4830,4830,4830,4830,10,IFS
2012-04-17,4990,4990,4990,4990,2880,IFS
2012-04-18,5240,5240,5240,5240,100,IFS
2012-04-19,5490,5490,5490,5490,2010,IFS
2012-04-20,5730,5730,5730,5730,500,IFS
2012-04-23,5730,5730,5730,5730,0,IFS
2012-04-24,5980,5980,5980,5980,1000,IFS
2012-04-25,5730,5730,5730,5730,500,IFS
2012-04-26,5490,5490,5490,5490,110,IFS
2012-04-27,5320,5320,5320,5320,410,IFS
2012-05-02,5080,5080,5080,5080,600,IFS
2012-05-03,4830,4830,4830,4830,7060,IFS
2012-05-04,4990,4990,4990,4990,2580,IFS
2012-05-07,5240,5240,5240,5240,120,IFS
2012-05-08,5490,5490,5490,5490,1560,IFS
2012-05-09,5240,5240,5240,5240,3720,IFS
2012-05-10,5240,5240,4990,4990,680,IFS
2012-05-11,4750,4750,4750,4750,60,IFS
2012-05-14,4590,4590,4590,4590,10,IFS
2012-05-15,4420,4420,4420,4420,10,IFS
2012-05-16,4250,4250,4250,4250,10,IFS
2012-05-17,4090,4090,4090,4090,10,IFS
2012-05-18,3930,3930,3930,3930,10,IFS
2012-05-21,3760,3760,3760,3760,10,IFS
2012-05-22,3600,3600,3600,3600,10,IFS
2012-05-23,3430,3430,3430,3430,10,IFS
2012-05-24,3270,3270,3270,3270,10,IFS
2012-05-25,3110,3110,3110,3110,20,IFS
2012-05-28,3110,3110,3110,3110,0,IFS
2012-05-29,3030,3030,3030,3030,50,IFS
2012-05-30,3030,3030,3030,3030,0,IFS
2012-05-31,3030,3030,3030,3030,0,IFS
2012-06-01,3030,3030,3030,3030,0,IFS
2012-06-04,3030,3030,3030,3030,0,IFS
2012-06-05,3030,3030,3030,3030,0,IFS
2012-06-06,3030,3030,3030,3030,10,IFS
2012-06-07,3030,3030,3030,3030,0,IFS
2012-06-08,3030,3030,3030,3030,0,IFS
2012-06-11,3030,3030,3030,3030,2000,IFS
2012-06-12,3030,3030,3030,3030,0,IFS
2012-06-13,3110,3110,3110,3110,10,IFS
2012-06-14,3110,3110,3110,3110,0,IFS
2012-06-15,3190,3190,3190,3190,10,IFS
2012-06-18,3270,3270,3270,3270,10,IFS
2012-06-19,3270,3270,3270,3270,10,IFS
2012-06-20,3270,3270,3270,3270,300,IFS
2012-06-21,3430,3430,3430,3430,30,IFS
2012-06-22,3430,3430,3430,3430,160,IFS
2012-06-25,3430,3430,3430,3430,1500,IFS
2012-06-26,3430,3430,3430,3430,1320,IFS
2012-06-27,3600,3600,3600,3600,150,IFS
2012-06-28,3760,3760,3760,3760,40,IFS
2012-06-29,3930,3930,3930,3930,10,IFS
2012-07-02,4090,4090,4090,4090,60,IFS
2012-07-03,4090,4090,4090,4090,2510,IFS
2012-07-04,4250,4250,4250,4250,10,IFS
2012-07-05,4420,4420,4420,4420,10,IFS
2012-07-06,4590,4590,4590,4590,10,IFS
2012-07-09,4750,4750,4750,4750,10,IFS
2012-07-10,4910,4910,4910,4910,240,IFS
2012-07-11,4910,4910,4910,4910,1020,IFS
2012-07-12,5150,5150,5150,5150,30,IFS
2012-07-13,5390,5390,5390,5390,2300,IFS
2012-07-16,5640,5640,5640,5640,60,IFS
2012-07-17,5890,5890,5890,5890,410,IFS
2012-07-18,6150,6150,6150,6150,2530,IFS
2012-07-19,6390,6390,6390,6390,1200,IFS
2012-07-20,6630,6630,6630,6630,200,IFS
2012-07-23,6630,6950,6950,6950,1500,IFS
2012-07-24,7290,7290,7290,7290,500,IFS
2012-07-25,7290,7290,7290,7290,0,IFS
2012-07-26,7370,7370,7370,7370,500,IFS
2012-07-27,7040,7040,7040,7040,600,IFS
2012-07-30,7040,7040,7040,7040,0,IFS
2012-07-31,6710,6710,6710,6710,10,IFS
2012-08-01,7040,7040,7040,7040,10,IFS
2012-08-02,7370,7370,7370,7370,10,IFS
2012-08-03,7690,7690,7690,7690,610,IFS
2012-08-06,8020,8020,8020,8020,10,IFS
2012-08-07,8350,8350,8350,8350,20,IFS
2012-08-08,8750,8750,8750,8750,7840,IFS
2012-08-09,8750,9170,9170,9170,10690,IFS
2012-08-10,9580,9580,9580,9580,6410,IFS
2012-08-13,9980,9980,9980,9980,100,IFS
2012-08-14,9980,9980,9980,9980,10,IFS
2012-08-15,9980,9980,9980,9980,4000,IFS
2012-08-16,9980,9980,9980,9980,0,IFS
2012-08-17,10470,10470,10470,10470,5900,IFS
2012-08-20,10470,10470,9980,9980,850,IFS
2012-08-21,9500,9500,9500,9500,4000,IFS
2012-08-22,9410,9410,9410,9410,5010,IFS
2012-08-23,9410,9410,9410,9410,10,IFS
2012-08-24,9410,9410,9410,9410,10,IFS
2012-08-27,9410,9410,9410,9410,90,IFS
2012-08-28,9000,9000,9000,9000,10,IFS
2012-08-29,8680,8680,8680,8680,2490,IFS
2012-08-30,8680,8680,8680,8680,0,IFS
2012-08-31,8350,8350,8350,8350,20,IFS
2012-09-04,8350,8350,8350,8350,0,IFS
2012-09-05,8350,8350,8350,8350,0,IFS
2012-09-06,8350,8350,8350,8350,0,IFS
2012-09-07,8350,8350,8350,8350,0,IFS
2012-09-10,8350,8350,8350,8350,1100,IFS
2012-09-11,7940,7940,7940,7940,1050,IFS
2012-09-12,7940,7940,7940,7940,10,IFS
2012-09-13,7940,7940,7940,7940,0,IFS
2012-09-14,7940,7940,7940,7940,10,IFS
2012-09-17,7610,7610,7610,7610,60,IFS
2012-09-18,7290,7290,7290,7290,20,IFS
2012-09-19,7610,7610,7610,7610,10,IFS
2012-09-20,7940,7940,7940,7940,10,IFS
2012-09-21,8270,8270,8270,8270,10,IFS
2012-09-24,8680,8680,8680,8680,10,IFS
2012-09-25,9080,9080,9080,9080,6250,IFS
2012-09-26,9080,9080,9080,9080,1200,IFS
2012-09-27,9500,9500,9500,9500,10,IFS
2012-09-28,9900,9900,9900,9900,5400,IFS
2012-10-01,10400,10400,10400,10400,1010,IFS
2012-10-02,10880,10880,10880,10880,10850,IFS
2012-10-03,11370,11370,11370,11370,1480,IFS
2012-10-04,11370,11370,11370,11370,0,IFS
2012-10-05,11860,11860,11860,11860,1600,IFS
2012-10-08,11860,11860,11860,11860,10,IFS
2012-10-09,12440,12440,12440,12440,10,IFS
2012-10-10,13010,13010,13010,13010,200,IFS
2012-10-11,12440,12440,12440,12440,330,IFS
2012-10-12,11860,11860,11860,11860,2010,IFS
2012-10-15,11300,11300,11300,11300,150,IFS
2012-10-16,10810,10810,10810,10810,1510,IFS
2012-10-17,10310,10310,10310,10310,850,IFS
2012-10-18,9820,9820,9820,9820,10,IFS
2012-10-19,9820,9820,9820,9820,0,IFS
2012-10-22,9820,9820,9820,9820,0,IFS
2012-10-23,10230,10230,10230,10230,1000,IFS
2012-10-24,10230,10230,10230,10230,630,IFS
2012-10-25,10230,10230,10230,10230,0,IFS
2012-10-26,10230,10230,10230,10230,50,IFS
2012-10-29,10230,10230,10230,10230,10,IFS
2012-10-30,10720,10720,10720,10720,20,IFS
2012-10-31,10720,10720,10720,10720,0,IFS
2012-11-01,11210,11210,11210,11210,10,IFS
2012-11-02,11710,11710,11710,11710,5820,IFS
2012-11-05,11710,12270,12270,12270,610,IFS
2012-11-06,12850,12850,12850,12850,520,IFS
2012-11-07,12850,12850,12850,12850,0,IFS
2012-11-08,12850,12850,12850,12850,510,IFS
2012-11-09,12270,12270,12270,12270,500,IFS
2012-11-12,11710,11710,11710,11710,3010,IFS
2012-11-13,11710,11710,11710,11710,0,IFS
2012-11-14,11710,11710,11710,11710,0,IFS
2012-11-15,11710,11710,11710,11710,0,IFS
2012-11-16,11710,11710,11710,11710,0,IFS
2012-11-19,11130,11130,11130,11130,1000,IFS
2012-11-20,10640,10640,10640,10640,300,IFS
2012-11-21,10150,10150,10150,10150,250,IFS
2012-11-22,10150,10150,10150,10150,20,IFS
2012-11-23,10150,10150,10150,10150,0,IFS
2012-11-26,10150,10150,10150,10150,0,IFS
2012-11-27,10150,10150,10150,10150,0,IFS
2012-11-28,10150,10150,10150,10150,0,IFS
2012-11-29,10150,10150,10150,10150,0,IFS
2012-11-30,10150,10150,10150,10150,0,IFS
2012-12-03,10150,10150,10150,10150,0,IFS
2012-12-04,10150,10150,10150,10150,0,IFS
2012-12-05,10150,10150,10150,10150,20,IFS
2012-12-06,10150,10150,10150,10150,0,IFS
2012-12-07,10150,10150,10150,10150,0,IFS
2012-12-10,10150,10150,10150,10150,0,IFS
