time,open,high,low,close,volume,ticker
2017-11-28,11480,11480,11480,11480,40000,ILA
2017-11-29,13150,13150,13150,13150,100,ILA
2017-11-30,15110,15110,11480,11480,49600,ILA
2017-12-01,13080,13080,11550,11550,45300,ILA
2017-12-04,11480,11480,11410,11410,3500,ILA
2017-12-05,11410,11410,11330,11330,2600,ILA
2017-12-06,11330,11330,11190,11260,8100,ILA
2017-12-07,11260,11260,11260,11260,1000,ILA
2017-12-08,11330,11550,11330,11330,107000,ILA
2017-12-11,11410,11550,11330,11410,84900,ILA
2017-12-12,11260,11480,11260,11480,26000,ILA
2017-12-13,11480,12790,11410,11480,74210,ILA
2017-12-14,11410,11410,11330,11410,11800,ILA
2017-12-15,11410,11410,11190,11330,90000,ILA
2017-12-18,11260,11480,11190,11480,133200,ILA
2017-12-19,11330,11550,11260,11410,83700,ILA
2017-12-20,11480,11480,11480,11480,3500,ILA
2017-12-21,11330,11480,11330,11410,52000,ILA
2017-12-22,11480,11480,11480,11480,10400,ILA
2017-12-25,11410,11480,11410,11410,8100,ILA
2017-12-26,11410,11410,11330,11330,19900,ILA
2017-12-27,11410,11550,11260,11550,18300,ILA
2017-12-28,11410,11410,11410,11410,7800,ILA
2017-12-29,11330,11410,11190,11410,11100,ILA
2018-01-02,11330,11330,11190,11260,10600,ILA
2018-01-03,11260,11260,11040,11120,12800,ILA
2018-01-04,11330,11330,10900,11330,20800,ILA
2018-01-05,11040,11040,11040,11040,0,ILA
2018-01-08,11040,11040,11040,11040,0,ILA
2018-01-09,11190,11190,9450,9520,137500,ILA
2018-01-10,9590,9740,9590,9740,14200,ILA
2018-01-11,9660,9660,9660,9660,13500,ILA
2018-01-12,9660,9660,8720,9660,3100,ILA
2018-01-15,9150,9810,9150,9810,4900,ILA
2018-01-16,9660,9660,9660,9660,100,ILA
2018-01-17,8720,10540,8720,10540,3680,ILA
2018-01-18,8860,9080,8860,9080,14500,ILA
2018-01-19,8860,8860,8860,8860,0,ILA
2018-01-22,10170,10170,9230,9230,5200,ILA
2018-01-23,10030,10030,9230,9230,410,ILA
2018-01-24,9810,9810,9810,9810,109,ILA
2018-01-25,9810,9810,9810,9810,0,ILA
2018-01-26,9300,9300,9300,9300,502,ILA
2018-01-29,9300,9810,9300,9810,1710,ILA
2018-01-30,9590,9590,9590,9590,5,ILA
2018-01-31,9810,9810,9810,9810,1100,ILA
2018-02-01,9300,9300,9300,9300,1500,ILA
2018-02-02,9590,9590,9590,9590,110,ILA
2018-02-05,9590,9590,9590,9590,0,ILA
2018-02-06,9590,9590,9590,9590,10,ILA
2018-02-07,9590,9590,9590,9590,41,ILA
2018-02-08,9590,9590,9590,9590,30,ILA
2018-02-09,9590,9590,9590,9590,1500,ILA
2018-02-12,9590,9590,9590,9590,0,ILA
2018-02-13,9740,9810,9740,9740,3030,ILA
2018-02-21,9950,9950,8360,9950,6200,ILA
2018-02-22,9880,9880,8360,8720,18110,ILA
2018-02-23,9810,9810,9740,9740,200,ILA
2018-02-26,9810,9810,9810,9810,0,ILA
2018-02-27,9450,9450,9450,9450,3000,ILA
2018-02-28,9810,9810,9300,9300,7200,ILA
2018-03-01,8720,8720,8280,8360,8200,ILA
2018-03-02,7270,7270,7270,7270,15010,ILA
2018-03-05,7270,7270,6540,6540,12100,ILA
2018-03-06,6540,8360,6540,8360,20400,ILA
2018-03-07,8360,8360,8360,8360,210,ILA
2018-03-08,9450,9450,9450,9450,200,ILA
2018-03-09,8060,8060,8060,8060,200,ILA
2018-03-12,9230,9230,9230,9230,100,ILA
2018-03-13,9230,9230,9230,9230,0,ILA
2018-03-14,9230,9230,9230,9230,0,ILA
2018-03-15,9300,9300,9230,9230,2600,ILA
2018-03-16,9300,9300,9300,9300,0,ILA
2018-03-19,9300,9300,9300,9300,0,ILA
2018-03-20,9300,9300,9300,9300,0,ILA
2018-03-21,7920,7990,7920,7920,4400,ILA
2018-03-22,9010,9010,9010,9010,130,ILA
2018-03-23,9010,9010,9010,9010,0,ILA
2018-03-26,9010,9010,9010,9010,0,ILA
2018-03-27,9010,9010,9010,9010,10,ILA
2018-03-28,8720,9450,8720,9450,200,ILA
2018-03-29,9080,9080,9080,9080,0,ILA
2018-03-30,9080,9080,9080,9080,0,ILA
2018-04-02,7770,9370,7770,9370,10100,ILA
2018-04-03,7770,7770,7770,7770,7000,ILA
2018-04-04,7770,7770,7770,7770,0,ILA
2018-04-05,6830,8940,6760,8940,3500,ILA
2018-04-06,7920,7920,7920,7920,1000,ILA
2018-04-09,7410,8720,7340,8720,600,ILA
2018-04-10,7270,7630,7270,7630,800,ILA
2018-04-11,7410,8500,7410,8500,300,ILA
2018-04-12,7770,7770,7770,7770,0,ILA
2018-04-13,6680,7120,6610,6610,23500,ILA
2018-04-16,7190,7190,7190,7190,500,ILA
2018-04-17,7120,8210,7120,7630,2400,ILA
2018-04-18,7120,8790,7120,8790,700,ILA
2018-04-19,7270,7700,7270,7700,200,ILA
2018-04-20,7480,7480,7480,7480,0,ILA
2018-04-23,6470,6470,6390,6390,4200,ILA
2018-04-24,7120,7270,7120,7270,400,ILA
2018-04-26,7270,7270,7270,7270,0,ILA
2018-04-27,6250,6470,6180,6180,3800,ILA
2018-05-02,5380,7050,5380,6760,56800,ILA
2018-05-03,4800,6030,4720,6030,57900,ILA
2018-05-04,5380,5450,5380,5450,9200,ILA
2018-05-07,6180,6250,5890,6250,13000,ILA
2018-05-08,6970,6970,6390,6390,5000,ILA
2018-05-09,6900,6970,6470,6900,2600,ILA
2018-05-10,6180,6180,6180,6180,2500,ILA
2018-05-11,6180,6180,6100,6100,1300,ILA
2018-05-14,6680,6680,6680,6680,100,ILA
2018-05-15,6900,7270,6830,7050,3000,ILA
2018-05-16,7270,7270,7270,7270,100,ILA
2018-05-17,7630,7630,7630,7630,100,ILA
2018-05-18,7920,7920,7700,7700,400,ILA
2018-05-21,6610,6610,6610,6610,65400,ILA
2018-05-22,6540,6610,6540,6610,1600,ILA
2018-05-23,5810,6540,5670,6540,1500,ILA
2018-05-24,6180,6180,6180,6180,0,ILA
2018-05-25,5300,6470,5300,6470,200,ILA
2018-05-28,5670,5670,5520,5520,2000,ILA
2018-05-29,6390,6390,6390,6390,100,ILA
2018-05-30,7190,7190,7190,7190,100,ILA
2018-05-31,7270,7270,6540,6540,2300,ILA
2018-06-01,6610,6610,6610,6610,0,ILA
2018-06-04,6610,6610,6610,6610,0,ILA
2018-06-05,5810,5810,5670,5670,2100,ILA
2018-06-06,6180,6180,6180,6180,100,ILA
2018-06-07,6970,6970,6970,6970,100,ILA
2018-06-08,7770,7770,7700,7700,200,ILA
2018-06-11,7770,7770,7770,7770,0,ILA
2018-06-12,7770,7770,7770,7770,0,ILA
2018-06-13,6610,6610,6610,6610,100,ILA
2018-06-14,7190,7560,5810,5810,1500,ILA
2018-06-15,6180,6180,6180,6180,0,ILA
2018-06-18,5740,5740,5520,5520,151700,ILA
2018-06-19,6100,6100,6100,6100,100,ILA
2018-06-20,6760,6760,6760,6760,100,ILA
2018-06-21,5810,5810,5810,5810,41200,ILA
2018-06-22,6180,6180,5160,5160,14000,ILA
2018-06-25,5160,6100,4580,5380,62800,ILA
2018-06-26,6180,6180,5090,5090,1900,ILA
2018-06-27,5740,5740,5740,5740,100,ILA
2018-06-28,5090,5090,4940,4940,5500,ILA
2018-06-29,5230,5230,5090,5090,3300,ILA
2018-07-02,4720,4720,4500,4500,11100,ILA
2018-07-03,5010,5090,5010,5090,200,ILA
2018-07-04,4430,5090,4360,4360,14900,ILA
2018-07-05,3850,4800,3850,4800,17500,ILA
2018-07-06,4650,4650,4650,4650,0,ILA
2018-07-09,4940,4940,4000,4000,10900,ILA
2018-07-10,4360,4360,4360,4360,100,ILA
2018-07-11,4360,4650,3710,3710,12000,ILA
2018-07-12,4210,4210,4210,4210,100,ILA
2018-07-13,4210,4210,4210,4210,1400,ILA
2018-07-16,3920,3920,3920,3920,800,ILA
2018-07-17,4070,4140,4070,4140,200,ILA
2018-07-18,4140,4140,3630,3630,9000,ILA
2018-07-19,3630,3630,3630,3630,1200,ILA
2018-07-20,3630,4140,3630,4140,2700,ILA
2018-07-23,4000,4140,3630,4140,46300,ILA
2018-07-24,3780,4360,3630,4360,51300,ILA
2018-07-25,3780,4070,3340,3340,55100,ILA
2018-07-26,3630,4000,3340,3630,57900,ILA
2018-07-27,3780,4000,3630,3850,18400,ILA
2018-07-30,3710,3850,3710,3710,31600,ILA
2018-07-31,3710,3710,3630,3630,14500,ILA
2018-08-01,3630,3630,3630,3630,4500,ILA
2018-08-02,3560,3630,3490,3490,15600,ILA
2018-08-03,3340,3710,3270,3710,12400,ILA
2018-08-06,3410,3710,3410,3710,13300,ILA
2018-08-07,3780,3850,3780,3850,2700,ILA
2018-08-08,3630,3850,3560,3850,14100,ILA
2018-08-09,3630,4000,3630,3920,2220,ILA
2018-08-10,4000,4000,3850,4000,4500,ILA
2018-08-13,3630,3920,3560,3920,1400,ILA
2018-08-14,3850,3920,3560,3920,8800,ILA
2018-08-15,3780,3850,3710,3850,11300,ILA
2018-08-16,4070,4070,3630,3630,2000,ILA
2018-08-17,3850,3920,3850,3920,2240,ILA
2018-08-20,3630,3630,3560,3560,4700,ILA
2018-08-21,3630,3630,3560,3630,900,ILA
2018-08-22,3630,3630,3630,3630,23800,ILA
2018-08-23,3630,3630,3410,3410,16300,ILA
2018-08-24,3630,3630,3560,3560,10000,ILA
2018-08-27,3560,3630,3490,3630,4000,ILA
2018-08-28,3710,3710,3710,3710,200,ILA
2018-08-29,3630,3710,3630,3710,6900,ILA
2018-08-30,3710,3710,3710,3710,100,ILA
2018-08-31,3710,3710,3710,3710,100,ILA
2018-09-04,3490,3490,3490,3490,15000,ILA
2018-09-05,3630,3630,3490,3490,13700,ILA
2018-09-06,3270,3490,2980,3490,8000,ILA
2018-09-07,3490,3560,3340,3560,27400,ILA
2018-09-10,4000,4000,4000,4000,4000,ILA
2018-09-11,4580,4580,4580,4580,8800,ILA
2018-09-12,5230,5230,5230,5230,700,ILA
2018-09-13,5960,5960,5960,5960,110210,ILA
2018-09-14,6470,6470,5230,5740,33720,ILA
2018-09-17,5590,5590,4940,4940,13500,ILA
2018-09-18,5450,5590,4800,5520,33206,ILA
2018-09-19,4800,5450,4800,4940,22200,ILA
2018-09-20,5090,5090,4720,5090,2500,ILA
2018-09-21,5010,5010,4360,4430,17200,ILA
2018-09-24,4580,5090,4580,5090,24100,ILA
2018-09-25,5230,5450,5230,5450,4000,ILA
2018-09-26,5520,5520,5300,5300,37500,ILA
2018-09-27,5300,5380,5010,5010,25500,ILA
2018-09-28,5010,5380,5010,5380,33604,ILA
2018-10-01,5160,5520,5160,5160,6502,ILA
2018-10-02,5380,5520,5090,5090,15900,ILA
2018-10-03,5090,5300,5090,5230,25520,ILA
2018-10-04,5230,5380,4800,4800,77909,ILA
2018-10-05,5230,5230,5230,5230,3000,ILA
2018-10-08,5090,5160,5090,5090,9400,ILA
2018-10-09,5230,5230,4800,5090,59800,ILA
2018-10-10,5090,5090,5010,5010,4300,ILA
2018-10-11,5010,5010,4580,5010,73720,ILA
2018-10-12,5610,5610,4750,5090,8000,ILA
2018-10-15,5010,5610,5010,5610,3300,ILA
2018-10-16,5350,5350,5350,5350,208,ILA
2018-10-17,5610,5610,5260,5260,300,ILA
2018-10-18,4830,4830,4750,4750,3500,ILA
2018-10-19,5180,5180,4230,5180,3500,ILA
2018-10-22,4570,4570,4570,4570,300,ILA
2018-10-23,4570,4570,4490,4570,2100,ILA
2018-10-24,4570,4570,4570,4570,510,ILA
2018-10-25,4059,4059,3970,3970,6000,ILA
2018-10-26,3970,4490,3880,3880,7000,ILA
2018-10-29,4059,4059,4059,4059,500,ILA
2018-10-30,3620,4400,3620,4400,13400,ILA
