time,open,high,low,close,volume,ticker
2012-03-20,10290,10310,10230,10290,90410,KDC
2012-03-21,10460,10460,10130,10310,264590,KDC
2012-03-22,10080,10370,10080,10310,93570,KDC
2012-03-23,10340,10340,10150,10290,188960,KDC
2012-03-26,10110,10290,10110,10290,171610,KDC
2012-03-27,10110,10290,10110,10230,68930,KDC
2012-03-28,10230,10230,10060,10230,72450,KDC
2012-03-29,10230,10230,9770,9770,91370,KDC
2012-03-30,10150,10150,9820,10130,94820,KDC
2012-04-03,10000,10230,10000,10230,84570,KDC
2012-04-04,10290,10290,10150,10230,91560,KDC
2012-04-05,10230,10370,10110,10370,102030,KDC
2012-04-06,10730,10730,10370,10490,90990,KDC
2012-04-09,10490,10610,10380,10610,90630,KDC
2012-04-10,10440,10640,10440,10640,112050,KDC
2012-04-11,11100,11100,10610,10690,155250,KDC
2012-04-12,10690,10730,10660,10730,218090,KDC
2012-04-13,10950,10950,10640,10730,132830,KDC
2012-04-16,10730,10760,10610,10760,116170,KDC
2012-04-17,10760,11260,10690,11260,477560,KDC
2012-04-18,11260,11320,10970,11100,130180,KDC
2012-04-19,10840,11000,10730,10870,161700,KDC
2012-04-20,10970,10970,10370,10730,127980,KDC
2012-04-23,10870,10870,10610,10730,121160,KDC
2012-04-24,10730,10840,10290,10840,181870,KDC
2012-04-25,11000,11100,10870,11000,66620,KDC
2012-04-26,10730,11000,10730,10970,71240,KDC
2012-04-27,11000,11390,10760,11390,115150,KDC
2012-05-02,11470,11500,11390,11500,79940,KDC
2012-05-03,11500,12070,11260,12020,113340,KDC
2012-05-04,11920,12280,11920,12150,102500,KDC
2012-05-07,12560,12560,12150,12250,111500,KDC
2012-05-08,12020,12020,11900,11990,112910,KDC
2012-05-09,11990,12020,11460,11990,169530,KDC
2012-05-10,11740,11950,11740,11950,72910,KDC
2012-05-11,11970,11970,11760,11950,77590,KDC
2012-05-14,11950,11950,11530,11760,57650,KDC
2012-05-15,11210,11260,11180,11180,40060,KDC
2012-05-16,11180,11180,10640,11160,284830,KDC
2012-05-17,11160,11160,10610,11130,124920,KDC
2012-05-18,10580,10890,10580,10580,66390,KDC
2012-05-21,10110,10340,10080,10080,329060,KDC
2012-05-22,10080,10110,9920,10110,87160,KDC
2012-05-23,9710,10230,9710,10030,34450,KDC
2012-05-24,9980,10030,9710,10000,55590,KDC
2012-05-25,9710,10110,9710,10110,85240,KDC
2012-05-28,10230,10230,9980,10060,64290,KDC
2012-05-29,9840,10060,9840,10060,68120,KDC
2012-05-30,10150,10150,9980,10110,76800,KDC
2012-05-31,9920,10080,9900,9980,58290,KDC
2012-06-01,9980,9980,9490,9490,110660,KDC
2012-06-04,9030,9770,9030,9470,81270,KDC
2012-06-05,9470,9700,9110,9470,93450,KDC
2012-06-06,9470,9620,9240,9620,109820,KDC
2012-06-07,10060,10060,9670,9980,88110,KDC
2012-06-08,9980,10110,9840,10060,56620,KDC
2012-06-11,10060,10230,9980,10210,68460,KDC
2012-06-12,9980,10150,9840,10080,60000,KDC
2012-06-13,10110,10110,9870,10060,79410,KDC
2012-06-14,10060,10060,9870,10060,61750,KDC
2012-06-15,10110,10490,10000,10490,377560,KDC
2012-06-18,10380,10690,10380,10460,85630,KDC
2012-06-19,10460,10460,9950,10440,141390,KDC
2012-06-20,10440,10440,10110,10410,61020,KDC
2012-06-21,9980,10370,9980,10340,110580,KDC
2012-06-22,10340,10370,9920,10260,64790,KDC
2012-06-25,9980,10210,9980,10110,87980,KDC
2012-06-26,10110,10150,10110,10150,72000,KDC
2012-06-27,10180,10180,10130,10180,125610,KDC
2012-06-28,10030,10290,10030,10290,192890,KDC
2012-06-29,10720,10720,10290,10490,151650,KDC
2012-07-02,10690,10690,10490,10660,52850,KDC
2012-07-03,10660,10660,10490,10580,63100,KDC
2012-07-04,10580,10720,10230,10580,65990,KDC
2012-07-05,10580,10580,10260,10490,59220,KDC
2012-07-06,10610,10610,10370,10610,68000,KDC
2012-07-09,10370,10460,10110,10230,96070,KDC
2012-07-10,9920,10230,9920,10230,86550,KDC
2012-07-11,9980,10610,9980,10290,45670,KDC
2012-07-12,10290,10290,10060,10290,62650,KDC
2012-07-13,10290,10290,10180,10260,61060,KDC
2012-07-16,10260,10260,10180,10230,65340,KDC
2012-07-17,10030,10230,10030,10230,88070,KDC
2012-07-18,10230,10230,10130,10210,81440,KDC
2012-07-19,10210,10210,10110,10210,125610,KDC
2012-07-20,10490,10660,10230,10230,124120,KDC
2012-07-23,10230,10230,9980,10230,57320,KDC
2012-07-24,10110,10210,9950,10210,68560,KDC
2012-07-25,10290,10500,10020,10150,63990,KDC
2012-07-26,10260,10260,9890,10150,54830,KDC
2012-07-27,10180,10210,10050,10210,36350,KDC
2012-07-30,9700,10120,9700,10110,112180,KDC
2012-07-31,9940,10150,9940,10150,55120,KDC
2012-08-01,10150,10150,10000,10050,41550,KDC
2012-08-02,10120,10120,10020,10110,46440,KDC
2012-08-03,10110,10150,10020,10150,56700,KDC
2012-08-06,10150,10230,10020,10180,70660,KDC
2012-08-07,10230,10230,10150,10210,102400,KDC
2012-08-08,10210,10230,10150,10230,57870,KDC
2012-08-09,10230,10230,10180,10210,81090,KDC
2012-08-10,10210,10210,10000,10000,78020,KDC
2012-08-13,10000,10020,9970,10020,62140,KDC
2012-08-14,10020,10020,9940,10020,95980,KDC
2012-08-15,10020,10020,9940,10000,57140,KDC
2012-08-16,10000,10080,9920,10000,66930,KDC
2012-08-17,9890,10080,9890,10080,83400,KDC
2012-08-20,10150,10340,10080,10320,129800,KDC
2012-08-21,10150,10230,9810,9860,173150,KDC
2012-08-22,9890,10150,9890,10110,101930,KDC
2012-08-23,10180,10180,9600,10020,80970,KDC
2012-08-24,9650,10110,9600,10020,84530,KDC
2012-08-27,10020,10020,9620,9750,92560,KDC
2012-08-28,9970,10000,9750,10000,103410,KDC
2012-08-29,9610,10280,9610,10220,56020,KDC
2012-08-30,10400,10440,10180,10400,239260,KDC
2012-08-31,10380,10380,10120,10120,63090,KDC
2012-09-04,10120,10120,9930,9930,97920,KDC
2012-09-05,9930,9930,9610,9650,72280,KDC
2012-09-06,9520,9520,9170,9270,116270,KDC
2012-09-07,9330,9330,8830,8830,116000,KDC
2012-09-10,8470,8570,8410,8540,246260,KDC
2012-09-11,8540,8600,8280,8540,161130,KDC
2012-09-12,8540,8860,8310,8860,60720,KDC
2012-09-13,8700,9010,8670,8860,114650,KDC
2012-09-14,9010,9010,8800,8860,126510,KDC
2012-09-17,8860,8860,8540,8540,73800,KDC
2012-09-18,8370,8510,8280,8440,69570,KDC
2012-09-19,8220,8370,8029,8029,151260,KDC
2012-09-20,7680,8410,7660,8410,494790,KDC
2012-09-21,8770,8830,8010,8010,1010080,KDC
2012-09-24,8340,8370,8310,8370,538980,KDC
2012-09-25,8800,8800,8770,8800,581190,KDC
2012-09-26,8700,8940,8670,8800,224890,KDC
2012-09-27,9170,9170,8830,9010,421940,KDC
2012-09-28,8980,9010,8800,8860,396870,KDC
2012-10-01,8860,8860,8600,8700,241650,KDC
2012-10-02,8700,8770,8640,8670,95010,KDC
2012-10-03,8700,8800,8670,8700,103490,KDC
2012-10-04,8700,8740,8540,8670,99930,KDC
2012-10-05,8860,9080,8740,9080,162400,KDC
2012-10-08,9300,9520,9300,9520,200510,KDC
2012-10-09,9930,10000,9930,10000,223740,KDC
2012-10-10,10120,10320,10000,10220,195690,KDC
2012-10-11,10220,10250,10100,10100,283460,KDC
2012-10-12,10100,10180,10100,10150,116650,KDC
2012-10-15,10150,10180,10120,10150,98480,KDC
2012-10-16,10180,10440,10150,10440,129260,KDC
2012-10-17,10380,10440,10280,10380,510170,KDC
2012-10-18,10380,10540,10380,10500,105520,KDC
2012-10-19,10940,10970,10500,10740,259690,KDC
2012-10-22,10590,10590,10280,10350,423360,KDC
2012-10-23,10740,10740,10000,10440,85780,KDC
2012-10-24,10440,10440,10220,10320,110060,KDC
2012-10-25,10120,10320,10120,10280,276970,KDC
2012-10-26,10000,10280,10000,10280,255040,KDC
2012-10-29,10120,10400,10120,10280,200650,KDC
2012-10-30,10440,10440,10250,10250,73750,KDC
2012-10-31,10120,10180,9870,10100,98980,KDC
2012-11-01,10440,10440,10000,10120,70930,KDC
2012-11-02,9800,10220,9680,10180,114090,KDC
2012-11-05,10180,10220,10120,10220,159720,KDC
2012-11-06,10120,10220,10100,10100,120160,KDC
2012-11-07,10060,10220,10060,10150,77870,KDC
2012-11-08,10280,10660,10280,10660,245690,KDC
2012-11-09,11140,11170,11110,11170,390400,KDC
2012-11-12,10940,11630,10940,11070,279490,KDC
2012-11-13,10910,11200,10910,11200,75940,KDC
2012-11-14,11070,11470,11070,11240,99520,KDC
2012-11-15,11470,11470,11270,11410,121710,KDC
2012-11-16,11410,11800,11390,11800,101900,KDC
2012-11-19,11700,12270,11670,12210,363920,KDC
2012-11-20,12300,12810,12210,12810,400670,KDC
2012-11-21,12970,13440,12180,12940,668970,KDC
2012-11-22,12640,12810,12300,12810,169840,KDC
2012-11-23,12610,12680,12210,12610,209450,KDC
2012-11-26,12740,12740,12210,12640,117550,KDC
2012-11-27,12340,12580,12340,12340,59630,KDC
2012-11-28,12500,12840,12340,12640,92260,KDC
2012-11-29,12370,12710,12340,12640,57940,KDC
2012-11-30,12640,12640,12300,12500,52140,KDC
2012-12-03,12580,12580,12400,12400,59930,KDC
2012-12-04,12560,12580,12340,12400,40910,KDC
2012-12-05,12640,12640,12400,12530,53520,KDC
2012-12-06,12580,12580,12340,12530,46950,KDC
2012-12-07,12530,12530,12340,12430,55720,KDC
2012-12-10,12340,12470,12270,12430,40240,KDC
2012-12-11,12180,12430,12180,12180,45760,KDC
2012-12-12,12340,12500,12180,12340,23000,KDC
2012-12-13,12340,12430,12120,12430,35290,KDC
2012-12-14,12470,12470,12210,12430,321310,KDC
2012-12-17,12270,12470,12270,12430,13630,KDC
2012-12-18,12240,12430,12180,12400,10290,KDC
2012-12-19,12020,12400,12020,12400,24130,KDC
2012-12-20,12400,12400,12050,12340,44500,KDC
2012-12-21,12080,12340,11760,12340,97250,KDC
2012-12-24,12020,12340,11980,12300,15850,KDC
2012-12-25,12300,12340,12050,12270,23000,KDC
2012-12-26,12270,12270,12080,12270,35940,KDC
2012-12-27,12240,12580,12020,12580,72330,KDC
2012-12-28,12530,12640,12180,12640,107500,KDC
2013-01-02,12270,12970,12270,12970,38380,KDC
2013-01-03,12640,12740,12500,12740,28040,KDC
2013-01-04,12740,12810,12500,12810,31860,KDC
2013-01-07,12810,12940,12640,12940,54830,KDC
2013-01-08,12810,12940,12640,12940,52880,KDC
2013-01-09,12940,13570,12810,13350,164260,KDC
2013-01-10,13350,13380,12970,13380,57890,KDC
2013-01-11,13790,13790,13280,13440,58490,KDC
2013-01-14,13540,14100,13280,14100,138230,KDC
2013-01-15,15010,15010,14230,14720,88890,KDC
2013-01-16,15010,15150,14750,15150,77310,KDC
2013-01-17,15150,15180,14580,14960,120370,KDC
2013-01-18,14760,14930,14750,14750,76280,KDC
2013-01-21,14860,14860,13920,13920,53900,KDC
2013-01-22,13440,14230,13440,13970,30660,KDC
2013-01-23,13700,14230,13700,14000,23610,KDC
2013-01-24,14200,14200,13920,14170,24230,KDC
2013-01-25,13940,14550,13940,14490,35950,KDC
2013-01-28,14860,14860,14620,14650,25670,KDC
2013-01-29,14680,14680,14330,14550,43110,KDC
2013-01-30,14490,14490,14100,14400,62250,KDC
2013-01-31,14400,14420,13970,14420,55590,KDC
2013-02-01,14420,14420,13940,14400,28050,KDC
2013-02-04,14230,14400,14170,14370,27440,KDC
2013-02-05,14100,14400,14100,14300,19630,KDC
2013-02-06,14200,14420,14200,14400,36340,KDC
2013-02-07,14200,14270,14200,14270,14690,KDC
2013-02-08,14400,14550,14300,14550,19180,KDC
2013-02-18,14860,15540,14620,14720,36240,KDC
2013-02-19,14790,14790,14550,14720,23420,KDC
2013-02-20,14200,14720,14200,14620,54510,KDC
2013-02-21,14400,14550,14230,14550,64780,KDC
2013-02-22,14720,14760,13880,14720,111170,KDC
2013-02-25,14860,15680,14860,15680,97120,KDC
2013-02-26,15810,16129,15510,15540,217010,KDC
2013-02-27,15910,15910,15440,15850,66600,KDC
2013-02-28,15850,15880,15620,15750,50360,KDC
2013-03-01,15750,15820,15720,15750,118480,KDC
2013-03-04,15750,15750,15370,15600,63090,KDC
2013-03-05,15600,15600,15270,15400,56050,KDC
2013-03-06,15400,15570,15400,15570,9580,KDC
2013-03-07,15300,15540,15240,15240,77290,KDC
2013-03-08,15540,15570,15540,15540,14070,KDC
2013-03-11,15470,15910,15400,15570,23180,KDC
2013-03-12,15570,15650,15300,15570,7170,KDC
2013-03-13,15980,15980,15540,15720,16720,KDC
2013-03-14,15400,15720,15400,15690,30880,KDC
2013-03-15,15720,15720,15570,15650,29950,KDC
2013-03-18,15510,15880,15440,15470,37100,KDC
2013-03-19,15540,15540,15240,15400,23260,KDC
2013-03-20,15240,15400,15240,15370,90970,KDC
2013-03-21,15570,15570,15140,15510,13490,KDC
2013-03-22,15270,15540,14940,15240,102720,KDC
2013-03-25,15010,15300,15010,15300,8100,KDC
2013-03-26,15400,15570,15100,15300,10900,KDC
2013-03-27,15240,15300,15070,15300,75270,KDC
2013-03-28,15300,15300,14980,15270,68680,KDC
2013-03-29,15370,15370,15100,15300,79700,KDC
2013-04-01,15400,15400,15270,15400,28670,KDC
2013-04-02,15400,16050,15340,16010,187360,KDC
2013-04-03,15750,16050,15570,16050,127150,KDC
2013-04-04,16010,16050,15750,16050,69160,KDC
2013-04-05,16050,16149,15570,15570,72140,KDC
2013-04-08,15650,15690,15270,15690,54950,KDC
2013-04-09,15570,15880,15470,15720,34870,KDC
2013-04-10,15570,15820,15570,15720,39280,KDC
2013-04-11,15720,15820,15690,15820,126540,KDC
2013-04-12,15820,15880,15720,15820,19410,KDC
2013-04-15,15820,15820,15650,15750,26200,KDC
2013-04-16,15570,15720,15400,15720,18000,KDC
2013-04-17,15720,15820,15650,15820,32800,KDC
2013-04-18,15820,15820,15470,15720,19200,KDC
2013-04-22,15340,15570,15340,15340,49470,KDC
2013-04-23,15240,15400,15240,15400,79280,KDC
2013-04-24,15300,15400,15270,15300,93990,KDC
2013-04-25,15300,15400,15240,15340,85410,KDC
2013-04-26,15240,15340,15240,15300,91200,KDC
2013-05-02,15300,15300,15240,15300,57880,KDC
2013-05-03,15240,15340,15240,15340,108560,KDC
2013-05-06,15140,16370,15140,16219,164260,KDC
2013-05-07,16219,16530,16050,16219,259640,KDC
2013-05-08,16370,17020,16219,16860,221190,KDC
2013-05-09,16860,17180,16370,16530,103620,KDC
2013-05-10,16219,16370,15880,16219,113740,KDC
2013-05-13,15880,16370,15880,16219,118940,KDC
2013-05-14,16219,16219,15910,16050,82870,KDC
2013-05-15,15910,16010,15750,16010,44960,KDC
2013-05-16,15980,16010,15880,16010,44830,KDC
2013-05-17,16010,16050,15880,16050,39850,KDC
2013-05-20,16050,16079,15880,16050,47930,KDC
2013-05-21,15950,16110,15880,16110,123170,KDC
2013-05-22,16110,16149,15910,15910,52060,KDC
2013-05-23,15880,15910,15650,15880,71050,KDC
2013-05-24,15880,15880,15690,15850,33110,KDC
2013-05-27,15820,15880,15750,15880,63410,KDC
2013-05-28,15880,15880,15690,15750,40810,KDC
2013-05-29,16050,16050,15650,15750,48330,KDC
2013-05-30,15820,15820,15620,15650,29720,KDC
2013-05-31,15650,15720,15570,15570,49220,KDC
2013-06-03,15570,15650,15510,15620,25070,KDC
2013-06-04,15620,15620,15540,15600,25060,KDC
2013-06-05,15600,15600,15440,15540,14590,KDC
2013-06-06,15470,15570,15400,15570,23830,KDC
2013-06-07,15570,15570,15440,15570,27360,KDC
2013-06-10,15720,15720,15300,15300,26050,KDC
2013-06-11,15270,15470,15240,15470,24170,KDC
2013-06-12,15240,15370,15240,15340,29460,KDC
2013-06-13,15240,15270,14760,15270,17950,KDC
2013-06-14,15370,15370,15170,15240,17800,KDC
2013-06-17,15270,15270,14910,15200,34800,KDC
2013-06-18,14910,15140,14910,15010,27630,KDC
2013-06-19,15070,15070,14910,15070,7930,KDC
2013-06-20,15140,15140,14910,15010,11900,KDC
2013-06-21,15570,15570,15010,15240,56450,KDC
2013-06-24,15070,15240,15070,15240,6300,KDC
2013-06-25,14980,15170,14590,15170,14060,KDC
2013-06-26,14630,15100,14630,15070,9980,KDC
2013-06-27,14780,15240,14780,15240,5210,KDC
2013-06-28,15240,15240,14910,15200,9200,KDC
2013-07-01,15030,15200,15010,15200,5480,KDC
2013-07-02,14780,15200,14780,14980,18880,KDC
