time,open,high,low,close,volume,ticker
2021-07-19,14030,14030,11510,14030,3840600,KHG
2021-07-20,14390,15400,14030,15400,885600,KHG
2021-07-21,16550,16910,15830,16910,828200,KHG
2021-07-22,17050,17050,15250,15250,1051200,KHG
2021-07-26,12370,12370,12370,12370,83400,KHG
2021-07-27,11150,12370,11150,11730,2090800,KHG
2021-07-28,12590,12590,11510,11800,652900,KHG
2021-07-29,12880,12880,11510,11580,904400,KHG
2021-07-30,11870,11870,11150,11440,1187200,KHG
2021-08-02,11580,11870,11370,11800,827300,KHG
2021-08-03,11870,11870,11220,11510,1031800,KHG
2021-08-04,11580,11580,11150,11440,933600,KHG
2021-08-05,11220,11510,11150,11440,680800,KHG
2021-08-06,11580,11580,11150,11220,1107100,KHG
2021-08-09,11440,11440,10940,11290,913200,KHG
2021-08-10,11510,11510,10940,11150,789200,KHG
2021-08-11,11370,11370,10860,11080,783800,KHG
2021-08-12,11220,11220,10720,10790,924200,KHG
2021-08-13,11010,11010,10650,10940,826500,KHG
2021-08-16,11080,11080,10720,10940,800500,KHG
2021-08-17,10940,10940,10580,10720,861100,KHG
2021-08-18,11080,11080,10580,10790,634600,KHG
2021-08-19,10940,10940,10360,10580,835700,KHG
2021-08-20,10650,10650,9570,9780,1627500,KHG
2021-08-23,10000,10290,9570,10140,820900,KHG
2021-08-24,10290,10360,9860,10070,649100,KHG
2021-08-25,10220,10220,9710,10070,529600,KHG
2021-08-26,10070,10220,9930,10000,812600,KHG
2021-09-06,10430,10500,10000,10290,1337700,KHG
2021-09-07,10290,10400,10000,10110,1184800,KHG
2021-09-08,10110,10140,9890,10000,1026600,KHG
2021-09-09,9930,10180,9710,9780,1150700,KHG
2021-09-10,9750,9780,9460,9570,1095100,KHG
2021-09-13,9570,10220,9390,10220,1290500,KHG
2021-09-14,10860,10900,10790,10900,1342000,KHG
2021-09-15,11080,11150,10430,10580,1346100,KHG
2021-09-16,10500,10790,10250,10610,1060100,KHG
2021-09-17,10610,11290,10430,10860,1195900,KHG
2021-09-20,10860,11290,10650,10940,1124600,KHG
2021-09-21,10580,11010,10400,10790,1081100,KHG
2021-09-22,11080,11150,10500,10860,1065400,KHG
2021-09-23,10940,11010,10540,10680,1250400,KHG
2021-09-24,10610,10830,10220,10430,1016000,KHG
2021-09-27,10400,10430,9820,9860,1194500,KHG
2021-09-28,9780,10000,9710,9890,1013200,KHG
2021-09-29,9890,9930,9640,9860,999400,KHG
2021-09-30,9890,10500,9780,10140,1013400,KHG
2021-10-01,10290,10360,9860,10000,856000,KHG
2021-10-04,10000,10070,9640,9930,1011600,KHG
2021-10-05,9930,10140,9780,10040,1139400,KHG
2021-10-06,10070,10290,9960,10110,1072500,KHG
2021-10-07,10180,10220,9930,10070,1059800,KHG
2021-10-08,10110,10110,9890,10000,1157200,KHG
