time,open,high,low,close,volume,ticker
2017-12-26,7910,8150,6950,7340,184000,KHS
2017-12-27,7620,8050,7620,8050,124410,KHS
2017-12-28,8290,8820,8290,8620,121051,KHS
2017-12-29,8720,9100,8050,9100,138843,KHS
2018-01-02,8960,8960,8330,8440,22637,KHS
2018-01-03,7910,8240,7910,7960,34040,KHS
2018-01-04,7910,8000,7380,8000,34347,KHS
2018-01-05,7810,7810,7760,7810,13443,KHS
2018-01-08,7810,7860,7710,7810,48100,KHS
2018-01-09,7710,7860,7670,7810,29442,KHS
2018-01-10,7810,7810,7710,7710,13000,KHS
2018-01-11,7670,7760,7520,7670,7510,KHS
2018-01-12,7620,7620,7380,7570,31000,KHS
2018-01-15,7570,7570,7380,7430,4070,KHS
2018-01-16,7430,7430,7280,7430,34100,KHS
2018-01-17,7430,7430,7380,7430,9601,KHS
2018-01-18,7230,7280,7230,7280,500,KHS
2018-01-19,7280,7430,7280,7340,14000,KHS
2018-01-22,7380,7430,7380,7430,10000,KHS
2018-01-23,8150,8150,7910,7910,200,KHS
2018-01-24,7910,7910,7910,7910,0,KHS
2018-01-25,7670,7670,7280,7280,18119,KHS
2018-01-26,7340,7380,7280,7340,5400,KHS
2018-01-29,7340,7340,7190,7190,1500,KHS
2018-01-30,7190,7190,6750,6750,4250,KHS
2018-01-31,6750,6850,6750,6750,24100,KHS
2018-02-01,6710,6710,6510,6510,9200,KHS
2018-02-02,6510,6610,6470,6610,17300,KHS
2018-02-05,7140,7190,7140,7190,3150,KHS
2018-02-06,7190,7190,7190,7190,0,KHS
2018-02-07,6570,6990,6470,6990,10813,KHS
2018-02-08,6510,6810,6470,6810,5200,KHS
2018-02-09,6510,6750,6420,6750,3100,KHS
2018-02-12,6750,6750,6750,6750,0,KHS
2018-02-13,6610,6610,6610,6610,200,KHS
2018-02-21,7040,7040,7040,7040,100,KHS
2018-02-22,7040,7040,7040,7040,0,KHS
2018-02-23,6750,6750,6710,6710,11700,KHS
2018-02-26,6710,6710,6660,6660,1500,KHS
2018-02-27,6660,6660,6660,6660,0,KHS
2018-02-28,6420,6610,6330,6610,4600,KHS
2018-03-01,7040,7040,6470,6510,5700,KHS
2018-03-02,6230,6510,6230,6510,5500,KHS
2018-03-05,6370,6470,6370,6470,4400,KHS
2018-03-06,6510,6510,6510,6510,2000,KHS
2018-03-07,6510,6510,6510,6510,100,KHS
2018-03-08,6420,6420,6280,6280,25000,KHS
2018-03-09,6330,6330,6230,6230,5200,KHS
2018-03-12,6230,6850,6230,6850,1500,KHS
2018-03-13,6850,6850,6510,6510,1900,KHS
2018-03-14,6510,6660,6510,6660,200,KHS
2018-03-15,6510,6510,6470,6470,5800,KHS
2018-03-16,6420,6470,6370,6470,2600,KHS
2018-03-19,6510,6510,6420,6510,7600,KHS
2018-03-20,6510,6510,6470,6470,2700,KHS
2018-03-21,6470,6470,6420,6420,2600,KHS
2018-03-22,6420,6420,6420,6420,0,KHS
2018-03-23,6470,6470,6470,6470,1000,KHS
2018-03-26,6330,6370,6280,6370,5500,KHS
2018-03-27,6900,6900,6810,6810,2100,KHS
2018-03-28,6570,6610,6420,6610,3200,KHS
2018-03-29,7210,7210,6720,7040,7100,KHS
2018-03-30,6990,6990,6940,6990,2600,KHS
2018-04-02,6990,6990,6940,6990,25100,KHS
2018-04-03,6990,6990,6990,6990,0,KHS
2018-04-04,6990,6990,6670,6770,5700,KHS
2018-04-05,6770,6770,6770,6770,0,KHS
2018-04-06,6770,6830,6770,6830,15400,KHS
2018-04-09,6830,6830,6770,6770,2700,KHS
2018-04-10,6770,6770,6770,6770,0,KHS
2018-04-11,6770,6880,6770,6880,5200,KHS
2018-04-12,6770,6770,6770,6770,2300,KHS
2018-04-13,6770,6940,6770,6770,5900,KHS
2018-04-16,6830,6830,6830,6830,1000,KHS
2018-04-17,6880,6880,6830,6830,2300,KHS
2018-04-18,6940,6940,6830,6830,24200,KHS
2018-04-19,6830,6830,6830,6830,100,KHS
2018-04-20,6610,6610,6610,6610,200,KHS
2018-04-23,6610,6610,6610,6610,0,KHS
2018-04-24,6720,6720,6610,6610,4200,KHS
2018-04-26,6610,6610,6610,6610,100,KHS
2018-04-27,6830,6830,6500,6830,600,KHS
2018-05-02,6830,6830,6830,6830,0,KHS
2018-05-03,6670,6990,6450,6990,2900,KHS
2018-05-04,6990,6990,6990,6990,0,KHS
2018-05-07,6720,6990,6670,6990,2100,KHS
2018-05-08,6720,6940,6400,6940,10200,KHS
2018-05-09,6940,6940,6940,6940,0,KHS
2018-05-10,6940,6940,6940,6940,3000,KHS
2018-05-11,6500,6500,6500,6500,400,KHS
2018-05-14,6720,6720,6670,6670,4700,KHS
2018-05-15,6670,6670,6670,6670,651,KHS
2018-05-16,6670,6770,6670,6670,91400,KHS
2018-05-17,6610,6720,6610,6720,9100,KHS
2018-05-18,6880,6880,6880,6880,100,KHS
2018-05-21,6560,6770,6560,6770,600,KHS
2018-05-22,6500,6720,6500,6720,3600,KHS
2018-05-23,6500,6720,6500,6720,1100,KHS
2018-05-24,6720,6720,6720,6720,0,KHS
