time,open,high,low,close,volume,ticker
2012-03-20,13630,14030,13590,14030,2500,KTS
2012-03-21,14470,14470,14470,14470,1200,KTS
2012-03-22,14470,14470,14470,14470,200,KTS
2012-03-23,15300,15300,15300,15300,100,KTS
2012-03-26,16180,16180,15340,15910,500,KTS
2012-03-27,16050,16050,14820,14820,200,KTS
2012-03-28,14820,14820,14820,14820,0,KTS
2012-03-29,14070,15210,14070,15210,1000,KTS
2012-03-30,14200,14200,14200,14200,200,KTS
2012-04-03,14250,14250,14250,14250,700,KTS
2012-04-04,14470,14470,14470,14470,400,KTS
2012-04-05,14470,14470,14470,14470,0,KTS
2012-04-06,14470,14470,14470,14470,0,KTS
2012-04-09,15080,15080,15080,15080,100,KTS
2012-04-10,15120,15120,15120,15120,500,KTS
2012-04-11,15120,15120,15120,15120,100,KTS
2012-04-12,15120,15120,15120,15120,0,KTS
2012-04-13,15780,15780,14160,15690,1900,KTS
2012-04-16,15740,15740,15740,15740,100,KTS
2012-04-17,15740,15740,15740,15740,0,KTS
2012-04-18,15340,15560,14950,14950,3900,KTS
2012-04-19,15340,15520,14910,15520,500,KTS
2012-04-20,14910,14910,14910,14910,1600,KTS
2012-04-23,14910,14910,14910,14910,0,KTS
2012-04-24,15300,15340,15300,15340,300,KTS
2012-04-25,15740,16000,15740,16000,800,KTS
2012-04-26,16219,16219,16219,16219,100,KTS
2012-04-27,16219,16219,16219,16219,200,KTS
2012-05-02,15780,15780,15780,15780,100,KTS
2012-05-03,15780,15780,15780,15780,200,KTS
2012-05-04,16219,16260,16219,16260,700,KTS
2012-05-07,17050,17360,17050,17360,2100,KTS
2012-05-08,17540,17750,17540,17670,1400,KTS
2012-05-09,17540,17970,17540,17970,1900,KTS
2012-05-10,17970,19070,17970,18630,8500,KTS
2012-05-11,18630,18850,18630,18850,2700,KTS
2012-05-14,18410,18410,17970,18410,3000,KTS
2012-05-15,18410,18410,18410,18410,1400,KTS
2012-05-16,18410,18410,18410,18410,0,KTS
2012-05-17,18190,18190,18150,18150,800,KTS
2012-05-18,18150,18150,18150,18150,500,KTS
2012-05-21,18190,19380,18190,19380,14300,KTS
2012-05-22,19380,19380,19380,19380,0,KTS
2012-05-23,18850,18850,18850,18850,200,KTS
2012-05-24,18020,18020,17970,17970,300,KTS
2012-05-25,18630,18630,18630,18630,800,KTS
2012-05-28,18850,18850,18850,18850,1100,KTS
2012-05-29,18850,18850,18850,18850,100,KTS
2012-05-30,18850,18850,18850,18850,0,KTS
2012-05-31,18140,18140,18140,18140,3200,KTS
2012-06-01,17670,18140,17670,17720,1200,KTS
2012-06-04,16540,17200,16540,17200,2200,KTS
2012-06-05,17200,17200,17200,17200,0,KTS
2012-06-06,17770,17910,17770,17910,500,KTS
2012-06-07,17910,17910,17910,17910,500,KTS
2012-06-08,18380,18380,18380,18380,2100,KTS
2012-06-11,17670,17670,17440,17440,600,KTS
2012-06-12,17440,17440,17200,17200,2000,KTS
2012-06-13,17200,17200,17200,17200,0,KTS
2012-06-14,17670,17670,17200,17200,2300,KTS
2012-06-15,17200,17200,17200,17200,0,KTS
2012-06-18,17480,17480,17480,17480,500,KTS
2012-06-19,17480,18330,16350,18330,700,KTS
