time,open,high,low,close,volume,ticker
2012-03-20,13040,13040,12710,12790,23660,LAF
2012-03-21,12790,13290,12790,13290,33060,LAF
2012-03-22,12870,13040,12710,13040,32300,LAF
2012-03-23,13040,13210,13040,13130,18780,LAF
2012-03-26,12790,13130,12790,13130,33430,LAF
2012-03-27,13210,13290,12960,13040,56030,LAF
2012-03-28,12790,13290,12710,13210,55460,LAF
2012-03-29,12960,13210,12870,13130,19000,LAF
2012-03-30,13130,13130,12620,12620,19870,LAF
2012-04-03,12620,12960,12540,12540,17540,LAF
2012-04-04,12540,12540,12380,12380,14800,LAF
2012-04-05,11880,12300,11790,12300,17380,LAF
2012-04-06,12460,12790,12380,12790,36610,LAF
2012-04-09,12460,12710,12380,12380,8840,LAF
2012-04-10,12040,12790,12040,12540,20050,LAF
2012-04-11,12540,12790,12540,12790,12390,LAF
2012-04-12,12790,13370,12790,12960,53600,LAF
2012-04-13,12960,12960,12620,12620,23380,LAF
2012-04-16,12620,12620,12460,12620,44070,LAF
2012-04-17,12460,12870,12300,12790,97710,LAF
2012-04-18,12790,12790,12380,12380,51970,LAF
2012-04-19,12380,12460,12300,12380,21230,LAF
2012-04-20,12380,12460,12300,12380,5830,LAF
2012-04-23,12380,12710,12380,12380,38810,LAF
2012-04-24,12300,12380,12300,12380,16950,LAF
2012-04-25,12380,12540,12380,12540,40700,LAF
2012-04-26,12210,12460,12120,12120,67410,LAF
2012-04-27,11880,12620,11880,12380,66530,LAF
2012-05-02,12040,12380,12040,12300,37210,LAF
2012-05-03,12120,12120,11790,12040,8900,LAF
2012-05-04,11880,12120,11880,12120,123340,LAF
2012-05-07,12460,12460,12040,12380,70170,LAF
2012-05-08,12210,12540,12120,12460,82670,LAF
2012-05-09,12460,12460,12120,12460,34510,LAF
2012-05-10,12210,12380,11880,12210,96510,LAF
2012-05-11,12120,12210,11630,11630,112310,LAF
2012-05-14,12040,12040,11130,11130,40940,LAF
2012-05-15,10800,11130,10630,10630,119120,LAF
2012-05-16,10800,10800,10380,10460,38250,LAF
2012-05-17,10380,10720,10380,10380,10800,LAF
2012-05-18,10380,10550,9880,10380,22180,LAF
2012-05-21,10460,10880,10460,10880,26940,LAF
2012-05-22,11210,11210,10630,10630,8900,LAF
2012-05-23,11130,11130,10880,11130,58260,LAF
2012-05-24,11630,11630,11380,11630,141930,LAF
2012-05-25,11960,11960,11630,11710,22870,LAF
2012-05-28,12210,12210,11210,11210,6900,LAF
2012-05-29,10970,11130,10880,10880,10060,LAF
2012-05-30,10630,10800,10380,10630,66320,LAF
2012-05-31,10460,10800,10460,10800,10660,LAF
2012-06-01,10300,10800,10300,10630,14720,LAF
2012-06-04,10220,10550,10140,10380,23190,LAF
2012-06-05,9960,10380,9880,9880,70470,LAF
2012-06-06,9630,9960,9470,9470,89810,LAF
2012-06-07,9800,9800,9470,9550,113620,LAF
2012-06-08,9960,9960,9550,9800,132020,LAF
2012-06-11,9880,9960,9630,9880,30090,LAF
2012-06-12,9720,9960,9550,9550,29430,LAF
2012-06-13,9550,9800,9470,9800,12380,LAF
2012-06-14,9550,9800,9550,9630,48730,LAF
2012-06-15,9720,9800,9630,9630,43050,LAF
2012-06-18,9800,9880,9720,9800,28140,LAF
2012-06-19,9550,9630,9470,9470,14930,LAF
2012-06-20,9390,9630,9390,9550,14580,LAF
2012-06-21,9720,9720,9470,9470,12840,LAF
2012-06-22,9630,9630,9220,9220,24590,LAF
2012-06-25,9050,9630,9050,9630,62270,LAF
2012-06-26,9390,9550,9220,9310,59890,LAF
2012-06-27,9470,9470,9130,9310,4370,LAF
2012-06-28,9470,9470,9050,9310,4310,LAF
2012-06-29,9310,9390,9130,9310,5400,LAF
2012-07-02,9310,9470,8890,8890,7130,LAF
2012-07-03,8720,8720,8470,8470,19200,LAF
2012-07-04,8470,8470,8140,8300,6150,LAF
2012-07-05,8390,8470,8300,8300,2070,LAF
2012-07-06,8560,8640,8470,8640,3220,LAF
2012-07-09,8220,8300,8220,8220,12130,LAF
2012-07-10,7890,8140,7890,8140,34200,LAF
2012-07-11,7890,8140,7810,8140,4610,LAF
2012-07-12,8140,8140,7810,7810,23310,LAF
2012-07-13,7980,8140,7720,8140,19830,LAF
2012-07-16,8140,8140,7810,7980,6380,LAF
2012-07-17,7980,8140,7640,8140,1110,LAF
2012-07-18,8300,8300,7810,7810,15250,LAF
2012-07-19,7810,8060,7810,8060,12590,LAF
2012-07-20,8220,8300,7980,7980,42650,LAF
2012-07-23,7980,8060,7810,7810,12270,LAF
2012-07-24,7470,7470,7470,7470,17070,LAF
2012-07-25,7150,7150,7150,7150,2130,LAF
2012-07-26,6810,6890,6810,6810,31100,LAF
2012-07-27,6480,6560,6480,6480,44260,LAF
2012-07-30,6230,6230,6230,6230,39960,LAF
2012-07-31,5980,6320,5980,6060,4010,LAF
2012-08-01,6230,6320,6060,6320,17110,LAF
2012-08-02,6320,6560,6320,6560,3110,LAF
2012-08-03,6810,6810,6810,6810,7060,LAF
2012-08-06,6810,6810,6560,6560,14360,LAF
2012-08-07,6560,6640,6320,6480,19740,LAF
2012-08-08,6560,6640,6560,6640,4240,LAF
2012-08-09,6560,6890,6400,6640,16860,LAF
2012-08-10,6560,6890,6560,6730,1400,LAF
2012-08-13,6400,6560,6400,6400,5060,LAF
2012-08-14,6640,6640,6400,6400,13300,LAF
2012-08-15,6480,6640,6480,6480,13480,LAF
2012-08-16,6640,6640,6400,6400,3950,LAF
2012-08-17,6480,6640,6480,6640,27260,LAF
2012-08-20,6810,6890,6810,6810,5480,LAF
2012-08-21,6810,6810,6480,6480,5840,LAF
2012-08-22,6480,6480,6230,6230,6860,LAF
2012-08-23,6140,6140,5980,5980,4440,LAF
2012-08-24,5820,6230,5820,6140,24160,LAF
2012-08-27,6060,6140,5900,5900,5040,LAF
2012-08-28,5730,6060,5730,5900,20570,LAF
2012-08-29,5900,6140,5900,6140,4820,LAF
2012-08-30,6140,6140,6140,6140,17500,LAF
2012-08-31,6140,6320,6140,6140,18990,LAF
2012-09-04,6320,6320,6140,6140,26230,LAF
2012-09-05,6140,6320,6140,6140,13030,LAF
2012-09-06,6230,6230,5980,5980,2830,LAF
2012-09-07,6230,6230,5980,5980,3210,LAF
2012-09-10,5980,5980,5820,5820,690,LAF
2012-09-11,5570,5820,5570,5570,23120,LAF
2012-09-12,5820,5820,5820,5820,60,LAF
2012-09-13,5820,5820,5820,5820,2180,LAF
2012-09-14,5820,6060,5820,6060,11530,LAF
2012-09-17,5820,6140,5820,6140,2400,LAF
2012-09-18,6140,6140,5900,5900,2410,LAF
2012-09-19,5730,6060,5650,6060,6050,LAF
2012-09-20,5820,5820,5820,5820,5670,LAF
2012-09-21,5820,5980,5650,5900,2350,LAF
2012-09-24,5650,5650,5650,5650,9710,LAF
2012-09-25,5650,5650,5480,5650,680,LAF
2012-09-26,5570,5730,5570,5730,7070,LAF
2012-09-27,5730,5730,5480,5730,2470,LAF
2012-09-28,5730,5820,5730,5730,740,LAF
2012-10-01,5730,5730,5570,5650,1700,LAF
2012-10-02,5650,5650,5400,5400,5090,LAF
2012-10-03,5570,5570,5310,5480,3770,LAF
2012-10-04,5570,5570,5230,5230,3700,LAF
2012-10-05,5400,5480,5400,5480,170,LAF
2012-10-08,5400,5570,5400,5570,190,LAF
2012-10-09,5400,5730,5400,5570,360,LAF
2012-10-10,5400,5570,5400,5480,9210,LAF
2012-10-11,5310,5480,5230,5480,6080,LAF
2012-10-12,5480,5570,5400,5570,1450,LAF
2012-10-15,5570,5570,5310,5480,720,LAF
2012-10-16,5480,5480,5230,5310,13290,LAF
2012-10-17,5400,5400,5310,5310,21840,LAF
2012-10-18,5070,5310,5070,5310,6800,LAF
2012-10-19,5230,5230,5070,5070,13040,LAF
2012-10-22,5070,5070,4820,4900,6070,LAF
2012-10-23,4730,4820,4730,4730,23750,LAF
2012-10-24,4570,4570,4570,4570,15200,LAF
2012-10-25,4400,4400,4400,4400,12060,LAF
