time,open,high,low,close,volume,ticker
2012-03-20,15250,16010,15250,15950,212260,LSS
2012-03-21,16329,16720,16230,16720,447330,LSS
2012-03-22,16880,17420,16720,16720,228350,LSS
2012-03-23,16329,16390,15900,15900,296390,LSS
2012-03-26,15570,16329,15360,15850,60500,LSS
2012-03-27,15470,15630,15090,15090,133850,LSS
2012-03-28,14600,15250,14600,15190,127030,LSS
2012-03-29,15190,15470,14810,14810,110300,LSS
2012-03-30,14480,15030,14430,14430,113000,LSS
2012-04-03,14600,15130,14330,15130,148810,LSS
2012-04-04,15250,15250,14750,14750,49010,LSS
2012-04-05,15190,15250,14710,14980,67210,LSS
2012-04-06,15190,15470,14980,15130,26240,LSS
2012-04-09,15250,15250,14920,15030,39360,LSS
2012-04-10,15250,15250,14750,14750,80900,LSS
2012-04-11,15190,15250,14920,15190,183990,LSS
2012-04-12,15360,15800,15190,15190,134950,LSS
2012-04-13,15410,15410,14980,15030,93860,LSS
2012-04-16,15410,15740,15190,15740,134310,LSS
2012-04-17,16230,16230,15740,16010,211220,LSS
2012-04-18,16070,16070,15250,15250,305780,LSS
2012-04-19,15190,15190,14480,14480,245000,LSS
2012-04-20,14710,14920,14210,14710,109600,LSS
2012-04-23,14810,15130,14750,14810,84360,LSS
2012-04-24,14810,15250,14710,14980,75420,LSS
2012-04-25,15190,15520,14980,15410,95350,LSS
2012-04-26,15250,15250,14810,14870,143650,LSS
2012-04-27,15090,15250,14810,15190,100420,LSS
2012-05-02,15300,15300,14750,14750,99030,LSS
2012-05-03,14750,15250,14750,15190,133570,LSS
2012-05-04,15130,15900,15130,15900,547780,LSS
2012-05-07,16329,16660,16280,16660,458200,LSS
2012-05-08,17210,17420,16450,16770,357110,LSS
2012-05-09,16450,17150,16390,16450,206830,LSS
2012-05-10,16450,16610,15630,16390,231550,LSS
2012-05-11,15850,16560,15850,16280,183470,LSS
2012-05-14,16230,16230,15630,15630,177370,LSS
2012-05-15,14980,15900,14870,14870,211490,LSS
2012-05-16,14710,14870,14160,14870,357750,LSS
2012-05-17,14920,14920,14600,14650,117530,LSS
2012-05-18,14920,14920,14210,14480,32300,LSS
2012-05-21,14480,15190,14480,15190,64100,LSS
2012-05-22,15410,15410,14600,14600,25340,LSS
2012-05-23,14710,14710,14270,14270,48460,LSS
2012-05-24,14650,14650,13560,13560,189890,LSS
2012-05-25,14160,14210,14050,14210,51640,LSS
2012-05-28,14920,14920,14330,14430,73490,LSS
2012-05-29,14330,14710,14330,14650,11180,LSS
2012-05-30,14650,14920,14650,14710,48910,LSS
2012-05-31,14710,14710,14000,14370,199660,LSS
2012-06-01,14370,14650,14160,14210,67410,LSS
2012-06-04,14160,14210,13670,14050,66490,LSS
2012-06-05,14210,14370,13720,14270,93070,LSS
2012-06-06,14330,14430,14270,14430,29990,LSS
2012-06-07,14710,14980,14330,14810,16650,LSS
2012-06-08,14980,15190,14430,14650,6030,LSS
2012-06-11,14710,14710,14430,14650,4620,LSS
2012-06-12,14650,14650,14430,14430,43690,LSS
2012-06-13,14430,14430,14160,14430,36360,LSS
2012-06-14,14430,14540,14370,14480,23200,LSS
2012-06-15,14540,14600,14430,14600,35490,LSS
2012-06-18,14600,14920,14540,14540,45060,LSS
2012-06-19,14710,14710,14160,14210,64660,LSS
2012-06-20,14270,14600,14160,14600,36140,LSS
2012-06-21,14600,14600,14270,14430,81390,LSS
2012-06-22,14210,14480,14210,14480,115470,LSS
2012-06-25,14650,14650,14160,14370,25770,LSS
2012-06-26,14540,14540,14000,14160,103410,LSS
2012-06-27,14430,14430,14000,14050,28690,LSS
2012-06-28,14100,14270,13890,14160,30030,LSS
2012-06-29,14270,14270,13670,14100,43370,LSS
2012-07-02,14050,14160,14000,14050,15700,LSS
2012-07-03,13620,13890,13620,13720,19280,LSS
2012-07-04,13830,13940,13620,13620,5540,LSS
2012-07-05,13340,13720,13340,13720,10570,LSS
2012-07-06,14050,14050,13620,14000,100,LSS
2012-07-09,14100,14100,13620,13620,570,LSS
2012-07-10,13620,13620,13070,13070,6390,LSS
2012-07-11,12860,13510,12580,12580,3210,LSS
2012-07-12,13070,13070,12630,12740,12140,LSS
2012-07-13,13240,13340,13070,13240,15520,LSS
2012-07-16,13240,13510,13240,13240,8690,LSS
2012-07-17,13560,13560,13240,13510,8710,LSS
2012-07-18,13720,13720,13340,13510,2630,LSS
2012-07-19,13450,13620,13450,13510,19190,LSS
2012-07-20,13780,13780,13180,13180,38270,LSS
2012-07-23,13780,13780,13070,13180,4390,LSS
2012-07-24,13240,13240,12520,12520,86920,LSS
2012-07-25,11930,11930,11930,11930,341810,LSS
2012-07-26,11930,12090,11760,11810,45420,LSS
2012-07-27,12310,12310,11660,11660,8540,LSS
2012-07-30,11160,11660,11110,11160,114020,LSS
2012-07-31,11430,11490,11220,11270,6900,LSS
2012-08-01,11390,11390,11220,11390,9350,LSS
2012-08-02,11160,11660,11160,11330,7020,LSS
2012-08-03,11490,11490,11160,11160,22990,LSS
2012-08-06,11490,11710,11490,11710,24330,LSS
2012-08-07,11930,11980,11710,11810,11230,LSS
2012-08-08,11930,12040,11810,11810,34400,LSS
2012-08-09,11980,11980,11760,11810,35250,LSS
2012-08-10,11980,11980,11430,11710,31180,LSS
2012-08-13,11710,11710,11270,11710,11360,LSS
2012-08-14,11760,11760,11490,11710,25950,LSS
2012-08-15,11660,11710,11430,11600,19520,LSS
2012-08-16,11540,12140,11540,11710,44630,LSS
2012-08-17,11710,11930,11660,11710,45690,LSS
2012-08-20,11710,11810,11660,11810,14070,LSS
2012-08-21,11810,11810,11270,11270,71750,LSS
2012-08-22,10950,11270,10730,10780,68470,LSS
2012-08-23,10340,10400,10290,10290,27770,LSS
2012-08-24,9800,10780,9800,10780,33740,LSS
2012-08-27,10780,10780,10290,10290,12830,LSS
2012-08-28,10460,10460,9800,10290,23200,LSS
2012-08-29,10510,10620,10290,10400,30010,LSS
2012-08-30,10730,10730,10400,10400,15360,LSS
2012-08-31,10570,10570,9960,9960,10920,LSS
2012-09-04,10340,10340,10130,10130,24320,LSS
2012-09-05,10400,10400,9910,10130,17510,LSS
2012-09-06,10290,10290,10020,10070,14700,LSS
2012-09-07,10070,10340,10070,10340,15640,LSS
2012-09-10,10240,10240,9860,9860,39340,LSS
2012-09-11,9530,10340,9530,9800,7950,LSS
2012-09-12,10070,10070,9750,9910,27250,LSS
2012-09-13,9910,10130,9910,9910,1570,LSS
2012-09-14,9910,10340,9910,10240,19730,LSS
2012-09-17,10290,10620,10240,10240,24090,LSS
2012-09-18,10460,10570,9800,10240,30030,LSS
2012-09-19,9800,10400,9800,10240,10650,LSS
2012-09-20,10240,10340,9800,9860,15810,LSS
2012-09-21,9640,10240,9640,10070,3800,LSS
2012-09-24,10240,10240,9960,9960,10940,LSS
2012-09-25,10130,10130,9750,9800,48320,LSS
2012-09-26,9690,10190,9370,9580,39840,LSS
2012-09-27,9750,9750,9580,9640,8850,LSS
2012-09-28,9800,9800,9200,9580,76140,LSS
2012-10-01,9530,9640,9310,9310,4420,LSS
2012-10-02,9530,9530,9140,9140,5430,LSS
2012-10-03,9140,9310,9040,9040,6130,LSS
2012-10-04,8870,8990,8870,8870,45100,LSS
2012-10-05,8770,9100,8770,8990,20880,LSS
2012-10-08,8990,9200,8870,8870,75440,LSS
2012-10-09,8870,8870,8820,8870,68970,LSS
2012-10-10,8930,9310,8770,9310,139680,LSS
2012-10-11,9530,9750,9530,9530,86550,LSS
2012-10-12,9480,9480,9100,9100,74170,LSS
2012-10-15,8990,9040,8660,8660,141730,LSS
2012-10-16,8490,9040,8490,9040,60410,LSS
2012-10-17,9100,9100,8720,8770,96200,LSS
2012-10-18,8720,8870,8720,8720,125440,LSS
2012-10-19,8720,8770,8600,8720,84590,LSS
2012-10-22,8660,8770,8490,8490,31400,LSS
2012-10-23,8660,8660,8330,8390,78040,LSS
2012-10-24,8390,8490,8330,8440,28250,LSS
2012-10-25,8490,8490,8330,8330,24380,LSS
2012-10-26,8220,8490,8220,8280,19760,LSS
2012-10-29,8170,8280,8109,8220,10830,LSS
2012-10-30,8280,8280,8170,8170,9070,LSS
2012-10-31,8170,8170,8010,8109,5880,LSS
2012-11-01,7950,8109,7900,8010,58720,LSS
2012-11-02,7840,7840,7630,7630,73500,LSS
