time,open,high,low,close,volume,ticker
2012-03-20,2850,2850,2850,2850,0,MCF
2012-03-21,2850,2850,2830,2830,2000,MCF
2012-03-22,2830,2830,2830,2830,900,MCF
2012-03-23,2960,2960,2960,2960,100,MCF
2012-03-26,2960,2960,2960,2960,0,MCF
2012-03-27,2960,2960,2960,2960,0,MCF
2012-03-28,2960,2960,2960,2960,0,MCF
2012-03-29,2800,2800,2750,2750,1300,MCF
2012-03-30,2750,2750,2750,2750,0,MCF
2012-04-03,2750,2750,2750,2750,0,MCF
2012-04-04,2750,2750,2750,2750,0,MCF
2012-04-05,2750,2750,2750,2750,0,MCF
2012-04-06,2570,2570,2570,2570,100,MCF
2012-04-09,2570,2570,2390,2390,600,MCF
2012-04-10,2540,2540,2230,2230,1400,MCF
2012-04-11,2290,2290,2290,2290,0,MCF
2012-04-12,2290,2290,2290,2290,0,MCF
2012-04-13,2450,2450,2450,2450,100,MCF
2012-04-16,2570,2570,2570,2570,100,MCF
2012-04-17,2570,2570,2570,2570,0,MCF
2012-04-18,2570,2570,2570,2570,0,MCF
2012-04-19,2470,2750,2470,2750,5100,MCF
2012-04-20,2750,2750,2750,2750,0,MCF
2012-04-23,2750,2750,2750,2750,100,MCF
2012-04-24,2750,2750,2750,2750,0,MCF
2012-04-25,2750,2750,2750,2750,0,MCF
2012-04-26,2850,2870,2830,2830,9000,MCF
2012-04-27,2930,2930,2930,2930,100,MCF
2012-05-02,2870,2870,2830,2870,3800,MCF
2012-05-03,2960,2960,2960,2960,200,MCF
2012-05-04,2980,2980,2980,2980,100,MCF
2012-05-07,2800,3130,2800,2910,300,MCF
2012-05-08,3130,3160,2980,2980,1600,MCF
2012-05-09,3110,3190,3110,3190,2000,MCF
2012-05-10,3190,3290,3110,3290,14900,MCF
2012-05-11,3110,3210,3090,3210,5300,MCF
2012-05-14,3160,3160,3160,3160,1400,MCF
2012-05-15,3240,3370,3240,3340,17200,MCF
2012-05-16,3340,3340,3340,3340,500,MCF
2012-05-17,3390,3390,3390,3390,100,MCF
2012-05-18,3390,3390,3390,3390,0,MCF
2012-05-21,3390,3390,3390,3390,500,MCF
2012-05-22,3210,3240,3210,3240,1900,MCF
2012-05-23,3030,3190,3030,3190,1600,MCF
2012-05-24,3190,3190,3190,3190,0,MCF
2012-05-25,3340,3340,3340,3340,100,MCF
2012-05-28,3340,3340,3340,3340,0,MCF
2012-05-29,3340,3340,3340,3340,0,MCF
2012-05-30,3340,3340,3340,3340,0,MCF
2012-05-31,3340,3340,3340,3340,0,MCF
2012-06-01,3340,3340,3340,3340,0,MCF
2012-06-04,3340,3340,3340,3340,0,MCF
2012-06-05,3340,3340,3340,3340,0,MCF
2012-06-06,3340,3340,3340,3340,0,MCF
2012-06-07,3190,3190,3110,3110,3700,MCF
2012-06-08,3060,3060,3060,3060,100,MCF
2012-06-11,2850,3240,2850,3240,200,MCF
2012-06-12,3240,3240,3240,3240,0,MCF
2012-06-13,3240,3240,3240,3240,0,MCF
2012-06-14,3090,3130,3060,3090,6100,MCF
2012-06-15,3090,3090,3090,3090,0,MCF
2012-06-18,3290,3290,3290,3290,100,MCF
2012-06-19,3290,3290,3290,3290,0,MCF
2012-06-20,3290,3290,3290,3290,0,MCF
2012-06-21,3290,3290,3290,3290,0,MCF
2012-06-22,3290,3290,3290,3290,0,MCF
2012-06-25,3290,3290,3290,3290,0,MCF
2012-06-26,3290,3290,3290,3290,0,MCF
2012-06-27,3290,3290,3290,3290,0,MCF
2012-06-28,3290,3290,3290,3290,0,MCF
2012-06-29,3090,3090,3090,3090,100,MCF
2012-07-02,3190,3190,3090,3090,2700,MCF
2012-07-03,3090,3090,3090,3090,0,MCF
2012-07-04,3090,3090,3090,3090,2000,MCF
2012-07-05,2930,2930,2870,2930,6500,MCF
2012-07-06,2870,2870,2870,2870,0,MCF
2012-07-09,2870,2870,2870,2870,2000,MCF
2012-07-10,2850,2850,2780,2780,3200,MCF
2012-07-11,2780,2780,2780,2780,600,MCF
2012-07-12,2780,2780,2780,2780,0,MCF
2012-07-13,2910,2910,2910,2910,100,MCF
2012-07-16,3030,3030,3030,3030,100,MCF
2012-07-17,3090,3190,3090,3090,5000,MCF
2012-07-18,3090,3090,3090,3090,500,MCF
2012-07-19,3090,3090,3090,3090,700,MCF
2012-07-20,3090,3110,3090,3110,2000,MCF
2012-07-23,3110,3130,3110,3130,1000,MCF
2012-07-24,3130,3130,3130,3130,0,MCF
2012-07-25,2930,2930,2930,2930,200,MCF
2012-07-26,3090,3090,3090,3090,100,MCF
2012-07-27,3090,3090,3090,3090,0,MCF
2012-07-30,3090,3090,3090,3090,0,MCF
2012-07-31,3090,3090,3090,3090,0,MCF
2012-08-01,3090,3090,3090,3090,0,MCF
2012-08-02,3090,3090,3090,3090,0,MCF
2012-08-03,3090,3090,3090,3090,0,MCF
2012-08-06,3090,3090,3090,3090,0,MCF
2012-08-07,3090,3090,3090,3090,0,MCF
2012-08-08,3090,3090,3090,3090,0,MCF
2012-08-09,3270,3270,3270,3270,100,MCF
2012-08-10,3270,3270,3270,3270,0,MCF
2012-08-13,3090,3090,3090,3090,1000,MCF
2012-08-14,3090,3090,3090,3090,0,MCF
2012-08-15,3090,3090,3090,3090,0,MCF
2012-08-16,3110,3110,3110,3110,2000,MCF
2012-08-17,3110,3110,3110,3110,0,MCF
2012-08-20,3110,3110,3110,3110,0,MCF
2012-08-21,3290,3290,2930,2930,1600,MCF
2012-08-22,2930,2930,2930,2930,100,MCF
2012-08-23,2750,2750,2750,2750,3300,MCF
2012-08-24,2930,2930,2930,2930,100,MCF
2012-08-27,2750,2750,2750,2750,2000,MCF
2012-08-28,2700,2700,2620,2670,2100,MCF
2012-08-29,2670,2850,2670,2850,2100,MCF
2012-08-30,2700,2700,2670,2670,6000,MCF
2012-08-31,2700,2700,2670,2670,7100,MCF
2012-09-04,2570,2830,2570,2830,2100,MCF
2012-09-05,2830,2830,2830,2830,0,MCF
2012-09-06,2650,2650,2650,2650,3500,MCF
2012-09-07,2650,2650,2650,2650,0,MCF
2012-09-10,2620,2620,2620,2620,9600,MCF
2012-09-11,2650,2650,2620,2620,10200,MCF
2012-09-12,2650,2650,2650,2650,300,MCF
2012-09-13,2650,2650,2650,2650,100,MCF
2012-09-14,2650,2650,2650,2650,0,MCF
2012-09-17,2700,2800,2700,2800,1100,MCF
2012-09-18,2830,2830,2830,2830,1000,MCF
2012-09-19,2830,2830,2830,2830,1100,MCF
2012-09-20,2870,2870,2870,2870,100,MCF
2012-09-21,2870,2870,2870,2870,200,MCF
2012-09-24,2960,2960,2960,2960,2600,MCF
