time,open,high,low,close,volume,ticker
2017-01-05,62290,62290,43990,44490,163300,MCH
2017-01-06,44740,44740,41970,44490,53837,MCH
2017-01-09,42020,42760,41530,42510,22410,MCH
2017-01-10,41770,41770,39050,40240,56670,MCH
2017-01-11,39540,40040,37570,39540,49520,MCH
2017-01-12,39540,41530,39540,41470,15987,MCH
2017-01-13,40830,41970,40140,40140,12333,MCH
2017-01-16,39540,39990,38070,39540,5400,MCH
2017-01-17,39050,39540,38310,39110,15250,MCH
2017-01-18,39450,39450,38810,39300,11137,MCH
2017-01-19,39050,39500,38070,39500,26545,MCH
2017-01-20,39300,39540,38550,39540,11300,MCH
2017-01-23,38610,39540,38260,39540,39100,MCH
2017-01-24,38550,39300,38550,39300,4000,MCH
2017-01-25,39050,39540,38550,39540,9700,MCH
2017-02-02,39800,41130,39800,40540,5208,MCH
2017-02-03,40290,40390,39150,39500,12617,MCH
2017-02-06,38810,39540,38550,38710,3010,MCH
2017-02-07,39540,39540,37470,39150,68435,MCH
2017-02-08,38310,38550,38310,38550,400,MCH
2017-02-09,38070,39300,38070,38260,13900,MCH
2017-02-10,38070,38310,37570,37570,13920,MCH
2017-02-13,37120,37320,36820,36820,25000,MCH
2017-02-14,36330,37070,36330,37070,18191,MCH
2017-02-15,36820,36820,35590,36820,34609,MCH
2017-02-16,35590,36580,35590,36530,4830,MCH
2017-02-17,36190,36530,35640,35640,6958,MCH
2017-02-20,35590,35590,32130,34600,14495,MCH
2017-02-21,35550,35550,34400,34460,7960,MCH
2017-02-22,34600,35050,34360,35000,22730,MCH
2017-02-23,34950,36190,34600,36090,19200,MCH
2017-02-24,35980,35980,34950,35850,6900,MCH
2017-02-27,34850,35890,34850,35590,10346,MCH
2017-02-28,35850,36030,34550,34600,8627,MCH
2017-03-01,35590,35850,34400,35150,8740,MCH
2017-03-02,35290,35450,34500,34500,20921,MCH
2017-03-03,34600,34600,34360,34360,14742,MCH
2017-03-06,35050,35050,33620,33620,10240,MCH
2017-03-07,34460,34550,34460,34550,11100,MCH
2017-03-08,34550,34700,34110,34700,24130,MCH
2017-03-09,34700,34850,34150,34150,2158,MCH
2017-03-10,34460,34460,34460,34460,106,MCH
2017-03-13,34600,34600,33370,33370,13540,MCH
2017-03-14,34460,35100,33720,33720,12000,MCH
2017-03-15,33860,34500,33220,34500,15658,MCH
2017-03-16,34500,34500,33070,33800,23500,MCH
2017-03-17,33860,34110,33620,33620,5618,MCH
2017-03-20,34360,34360,33370,33370,30600,MCH
2017-03-21,33960,34890,33320,33370,44150,MCH
2017-03-22,34300,34300,33370,33370,25300,MCH
2017-03-23,34110,34150,33120,33170,6720,MCH
2017-03-24,33120,33860,32930,33370,13975,MCH
2017-03-27,33320,33320,31630,31630,34718,MCH
2017-03-28,31630,32580,30650,30650,60170,MCH
2017-03-29,31140,31140,30410,30410,14100,MCH
2017-03-30,31390,32130,31140,32130,82700,MCH
2017-03-31,31630,32930,31630,32930,25360,MCH
2017-04-03,33370,33620,33120,33620,47740,MCH
2017-04-04,33620,33620,33370,33420,20344,MCH
2017-04-05,33370,33620,32130,32130,11300,MCH
2017-04-07,32870,32870,31780,31780,608,MCH
2017-04-10,31290,32080,31290,31290,7444,MCH
2017-04-11,32130,32130,31630,32130,54854,MCH
2017-04-12,32580,32630,31630,32130,41900,MCH
2017-04-13,32130,32130,31940,32030,10200,MCH
2017-04-14,31680,32580,31630,32580,17000,MCH
2017-04-17,32130,32130,31740,31880,6000,MCH
2017-04-18,31840,32080,31140,31880,9620,MCH
2017-04-19,31240,31880,31140,31140,14420,MCH
2017-04-20,31390,31390,31140,31140,5420,MCH
