time,open,high,low,close,volume,ticker
2020-12-18,32820,32820,32820,32820,100,MCM
2020-12-21,37740,37740,37740,37740,108,MCM
2020-12-22,43370,43370,43370,43370,100,MCM
2020-12-23,49860,49860,49860,49860,900,MCM
2020-12-24,57300,57300,57300,57300,204593,MCM
2020-12-25,65810,65810,57830,62540,730732,MCM
2020-12-28,64940,64940,61600,63250,99383,MCM
2020-12-29,63070,63800,61280,61600,150154,MCM
2020-12-30,59180,60800,58530,59030,222102,MCM
2020-12-31,59030,59030,57730,58530,254954,MCM
2021-01-04,58530,60960,58530,60480,160423,MCM
2021-01-05,59830,60400,59500,59910,92603,MCM
2021-01-06,60000,60000,59430,59500,105405,MCM
2021-01-07,59750,59830,58780,59180,114900,MCM
2021-01-08,59030,59110,58610,58780,97620,MCM
2021-01-11,58380,58780,57970,58060,88450,MCM
2021-01-12,58060,60000,58060,59180,126950,MCM
2021-01-13,60000,62430,59590,61370,394260,MCM
2021-01-14,61460,62840,60400,62430,214730,MCM
2021-01-15,62330,62920,62110,62840,251852,MCM
2021-01-18,63250,63250,61220,62840,178150,MCM
2021-01-19,61600,62600,59180,61220,209297,MCM
2021-01-20,61220,61940,59590,60800,170110,MCM
2021-01-21,61460,62840,60400,62520,220006,MCM
2021-01-22,62430,62840,62010,62430,148829,MCM
2021-01-25,62660,62660,60000,60890,133600,MCM
2021-01-26,61140,61140,59590,60000,182110,MCM
2021-01-27,59260,59590,57160,59180,128700,MCM
2021-01-28,58380,58780,50750,52710,370075,MCM
2021-01-29,50990,57970,50670,56750,70800,MCM
2021-02-01,58380,58380,55130,55940,48861,MCM
2021-02-02,55790,56750,55790,56750,105900,MCM
2021-02-03,57970,57970,56750,57240,22700,MCM
2021-02-04,57560,57730,55790,56340,67200,MCM
2021-02-05,56200,56750,55940,56750,35500,MCM
2021-02-08,56750,56750,55620,55940,46090,MCM
2021-02-09,56340,56340,54810,55940,73200,MCM
2021-02-17,55940,56750,55940,56750,28700,MCM
2021-02-18,56750,56750,56200,56430,34806,MCM
2021-02-19,56750,56750,55620,55940,45800,MCM
2021-02-22,55940,56340,55280,56010,49630,MCM
2021-02-23,56010,56600,55280,56600,43106,MCM
2021-02-24,55940,56110,55550,55620,34400,MCM
2021-02-25,55280,55870,55210,55790,10800,MCM
2021-02-26,55460,55940,55460,55460,41600,MCM
2021-03-01,55870,56340,55620,56010,56340,MCM
2021-03-02,56520,57480,56520,57480,84257,MCM
2021-03-03,57480,57560,56750,57240,17600,MCM
2021-03-04,56750,57160,55940,56260,39100,MCM
2021-03-05,55870,56260,55280,55870,31300,MCM
2021-03-08,55940,57390,55790,57160,77500,MCM
2021-03-09,56600,57160,55940,56600,60400,MCM
2021-03-10,56520,57070,55940,56010,46500,MCM
2021-03-11,56600,56600,55940,56260,78400,MCM
2021-03-12,56340,56340,55940,56340,56316,MCM
2021-03-15,56110,56110,55550,55870,67300,MCM
2021-03-16,55870,55940,55550,55940,45900,MCM
2021-03-17,56670,56670,55690,55690,12900,MCM
2021-03-18,55870,56340,55690,55790,11205,MCM
2021-03-19,55620,55940,55370,55790,38700,MCM
2021-03-22,55940,55940,54960,55130,230881,MCM
2021-03-23,55550,55550,55130,55370,50600,MCM
2021-03-24,55280,55280,55050,55210,51783,MCM
2021-03-25,55130,55130,53910,54080,70800,MCM
2021-03-26,54230,54230,53520,53910,20590,MCM
2021-03-29,54320,55550,53520,53760,51200,MCM
2021-03-30,53760,53910,52290,52710,37600,MCM
2021-03-31,53030,53030,51480,51560,59011,MCM
2021-04-01,52710,53520,51730,52710,40932,MCM
2021-04-02,52460,52710,52060,52710,30460,MCM
2021-04-05,52710,52710,52460,52710,8530,MCM
2021-04-06,52520,52520,51880,52060,19500,MCM
2021-04-07,52710,52710,51880,51880,32330,MCM
2021-04-08,51880,51880,51730,51800,56500,MCM
2021-04-09,51480,51480,50270,50750,52014,MCM
2021-04-12,50840,50840,49690,49690,53663,MCM
2021-04-13,49690,50270,49540,49860,26570,MCM
2021-04-14,50020,50020,48640,49450,32260,MCM
2021-04-15,49450,49450,48570,48810,42212,MCM
2021-04-16,48570,48570,47580,47670,72736,MCM
2021-04-19,47670,47670,43780,45240,128205,MCM
2021-04-20,45410,45410,44110,44680,118899,MCM
2021-04-22,44590,44590,42800,42800,108663,MCM
2021-04-23,42800,42900,40530,41510,273463,MCM
2021-04-26,41590,45410,41590,43360,145010,MCM
2021-04-27,43460,45970,43460,45810,156670,MCM
2021-04-28,45810,45810,45320,45740,76689,MCM
2021-04-29,45740,45810,44180,45810,79634,MCM
2021-05-04,43780,44430,42980,43780,33900,MCM
2021-05-05,45000,45240,44180,45150,51779,MCM
2021-05-06,45410,45410,44180,44500,38105,MCM
2021-05-07,43780,43780,43540,43780,39665,MCM
2021-05-10,43300,43360,42580,43040,60690,MCM
2021-05-11,43040,43360,42800,43220,22972,MCM
2021-05-12,44030,44030,43040,43040,12174,MCM
2021-05-13,43130,43360,42580,42980,44229,MCM
2021-05-14,42980,43130,42160,42640,45850,MCM
2021-05-17,42720,43300,42720,42980,63850,MCM
2021-05-18,42980,42980,42640,42800,75700,MCM
2021-05-19,42800,42800,42160,42720,28830,MCM
2021-05-20,43390,43810,43240,43810,63025,MCM
2021-05-21,43570,43570,42820,42980,24237,MCM
2021-05-24,42980,42980,41900,42300,75750,MCM
2021-05-25,42580,42580,41970,42070,36729,MCM
2021-05-26,42150,42150,41310,41410,60230,MCM
2021-05-27,41230,41230,40220,40320,55135,MCM
2021-05-28,40480,44140,40480,40890,50440,MCM
2021-05-31,40820,40890,40650,40890,51605,MCM
2021-06-01,40890,43330,40890,41310,12550,MCM
2021-06-02,41310,41740,40480,41480,51225,MCM
2021-06-03,41740,42580,41640,41740,49086,MCM
2021-06-04,42150,42580,41310,42400,74115,MCM
2021-06-07,42070,42300,41410,41970,104700,MCM
2021-06-08,41410,41970,41310,41410,46500,MCM
2021-06-09,41310,42400,41310,42150,71705,MCM
2021-06-10,41970,43390,41740,43390,101617,MCM
2021-06-11,43390,43390,42730,42820,52760,MCM
2021-06-14,43240,44240,43240,43570,35631,MCM
2021-06-15,43660,44140,42980,43060,45900,MCM
2021-06-16,43330,43330,42230,42230,52355,MCM
2021-06-17,42150,42910,42150,42910,12340,MCM
2021-06-18,43150,43150,42480,42820,29813,MCM
2021-06-21,42300,43240,42300,42910,41554,MCM
2021-06-22,42820,42980,42580,42820,27800,MCM
2021-06-23,42820,43390,42480,42640,21640,MCM
2021-06-24,42580,42580,41740,41820,52135,MCM
2021-06-25,41970,42150,41740,41740,24655,MCM
2021-06-28,41740,41900,41740,41740,29400,MCM
2021-06-29,41740,42150,41740,41820,25486,MCM
2021-06-30,41820,41900,41570,41820,33647,MCM
2021-07-01,41820,42150,41740,42070,31102,MCM
2021-07-02,42070,42230,41900,41900,18002,MCM
2021-07-05,41970,41970,41070,41070,51400,MCM
2021-07-06,41310,41480,40480,40480,39800,MCM
2021-07-07,40480,40480,39410,39640,63110,MCM
2021-07-08,40550,40550,39640,39810,12840,MCM
2021-07-09,39410,39480,38460,38800,40992,MCM
2021-07-12,38400,38400,35050,36720,77347,MCM
2021-07-13,37140,39080,37140,37470,16300,MCM
2021-07-14,37050,37230,37050,37140,14700,MCM
2021-07-15,37790,38400,37560,38400,12500,MCM
2021-07-16,37890,40730,37890,39480,10600,MCM
2021-07-19,38880,38880,35970,38060,21800,MCM
2021-07-20,37660,38220,37380,38220,34400,MCM
2021-07-21,38400,40890,38400,39810,81200,MCM
2021-07-22,40070,40550,39650,40150,51300,MCM
2021-07-23,39650,40220,39210,39210,16000,MCM
2021-07-26,38800,39730,38400,38980,47000,MCM
2021-07-27,38880,44230,38880,39650,10400,MCM
2021-07-28,40980,40980,39310,39650,33100,MCM
2021-07-29,40400,40400,39410,39730,11000,MCM
2021-07-30,40400,40400,38980,39560,12200,MCM
2021-08-02,40400,40400,39210,39560,30100,MCM
2021-08-03,39890,39890,39410,39650,7500,MCM
2021-08-04,39480,39480,39140,39310,20500,MCM
2021-08-05,39410,39980,39140,39310,27200,MCM
2021-08-06,39410,40480,39410,40070,62400,MCM
2021-08-09,40070,40890,40070,40810,47700,MCM
2021-08-10,41730,41730,40070,41480,79100,MCM
2021-08-11,41480,42910,40890,42730,156500,MCM
2021-08-12,42160,43150,42160,42980,116200,MCM
2021-08-13,42910,43240,42300,43240,90400,MCM
2021-08-16,42730,45320,42730,45230,143300,MCM
2021-08-17,45900,46990,45810,46750,128100,MCM
2021-08-18,46320,46750,44400,45570,76100,MCM
2021-08-19,45900,45900,44990,45470,44000,MCM
2021-08-20,45080,45740,42910,42980,149800,MCM
2021-08-23,42580,43390,42580,42980,57000,MCM
2021-08-24,43390,43390,42810,43320,22400,MCM
2021-08-25,43320,44900,43150,44660,47700,MCM
2021-08-26,44660,44990,43810,44140,19500,MCM
2021-08-27,44230,45470,43990,45470,98500,MCM
2021-08-30,45740,45740,45080,45470,37000,MCM
2021-08-31,45230,45900,44990,45740,63800,MCM
2021-09-01,45570,45570,45080,45320,25000,MCM
2021-09-06,45320,45320,44660,44900,33600,MCM
2021-09-07,44480,44810,43660,44140,43600,MCM
2021-09-08,45810,45810,44230,44810,34600,MCM
2021-09-09,44900,44990,44230,44660,38300,MCM
2021-09-10,45320,45320,44480,44660,14900,MCM
2021-09-13,44660,47150,44570,46490,112000,MCM
2021-09-14,46820,48990,46750,48650,170300,MCM
2021-09-15,48830,51330,48830,50500,215400,MCM
2021-09-16,51330,51330,49660,50080,201800,MCM
2021-09-17,50080,50080,48510,49910,138200,MCM
2021-09-20,50080,50080,48830,49070,86600,MCM
2021-09-21,48830,48830,47660,48410,78000,MCM
2021-09-22,48410,50670,48410,50080,264700,MCM
2021-09-23,50500,50500,49590,49590,126600,MCM
