time,open,high,low,close,volume,ticker
2019-12-09,75315,75315,65430,65807,63600,MML
2019-12-10,64959,64959,58275,61288,158368,MML
2019-12-11,61099,63077,59876,61664,64940,MML
2019-12-12,62041,63077,61194,62323,20740,MML
2019-12-13,62418,62512,61853,61947,65735,MML
2019-12-16,62041,62418,61194,62041,37776,MML
2019-12-17,61194,62135,61194,62041,75555,MML
2019-12-18,62606,63547,61947,62135,32499,MML
2019-12-19,62135,71550,61947,62135,14311,MML
2019-12-20,62135,63077,61005,61758,36291,MML
2019-12-23,62135,62135,61005,61194,57620,MML
2019-12-24,61853,62135,61288,61758,51730,MML
2019-12-25,62135,62418,61288,62041,45585,MML
2019-12-26,62041,70608,61947,62135,22640,MML
2019-12-27,62135,62512,62041,62041,51760,MML
2019-12-30,62135,62418,61947,62135,41765,MML
2019-12-31,62135,62135,62041,62135,15051,MML
2020-01-02,62135,62135,61947,62135,30336,MML
2020-01-03,62135,70608,61194,62135,30330,MML
2020-01-06,62135,62135,61476,62135,6965,MML
2020-01-07,62135,62135,59311,62135,34804,MML
2020-01-08,62041,62135,61664,62041,12790,MML
2020-01-09,62041,62135,61194,62041,32659,MML
2020-01-10,61664,62135,61382,62041,8789,MML
2020-01-13,61947,62041,61288,62041,17710,MML
2020-01-14,61947,62041,61288,62041,14393,MML
2020-01-15,62135,62135,61288,62135,25361,MML
2020-01-16,62135,62135,62041,62135,11283,MML
2020-01-17,62041,62135,52815,62135,8151,MML
2020-01-20,62135,62135,62135,62135,2274,MML
2020-01-21,62135,62135,61947,62041,10769,MML
2020-01-22,61947,62135,61382,61382,2013,MML
2020-01-30,61194,62135,61099,61194,22051,MML
2020-01-31,62135,62135,54603,61947,14057,MML
2020-02-03,59311,59311,56486,56486,6593,MML
2020-02-04,56486,56486,54133,54133,3764,MML
2020-02-05,51779,54603,47072,54603,55543,MML
2020-02-06,54133,56298,54133,54603,12911,MML
2020-02-07,54509,54603,54415,54415,7010,MML
2020-02-10,51779,55545,51779,55545,24200,MML
2020-02-11,55545,56298,55545,55733,3469,MML
2020-02-12,52909,56204,52909,56110,11200,MML
2020-02-13,56204,56204,53662,55545,8620,MML
2020-02-14,54980,55545,54980,55262,10000,MML
2020-02-17,54698,55545,54698,55545,6800,MML
2020-02-18,55168,55168,55168,55168,0,MML
2020-02-19,54133,55168,53662,55168,5079,MML
2020-02-20,55545,55545,53756,53756,5400,MML
2020-02-21,54603,54698,53756,54509,4273,MML
2020-02-24,52815,53662,52626,52626,1603,MML
2020-02-25,52721,54509,51873,51967,5715,MML
2020-02-26,52721,52721,52721,52721,409,MML
2020-02-27,54509,54509,52062,52062,2300,MML
2020-02-28,51779,51779,51779,51779,801,MML
2020-03-02,49049,49896,48955,49237,3400,MML
2020-03-03,49426,49614,48955,49143,5028,MML
2020-03-04,51779,51779,48955,48955,6412,MML
2020-03-05,48955,49708,48955,49049,2825,MML
2020-03-06,49614,49614,48955,49614,3950,MML
2020-03-09,49143,51497,42271,47825,3400,MML
2020-03-10,47354,47919,40576,47919,6135,MML
2020-03-11,44436,44624,44059,44248,8800,MML
2020-03-12,41612,41612,37752,38881,8715,MML
2020-03-13,34833,38599,34833,35398,2407,MML
2020-03-16,36716,38599,31538,36716,5230,MML
2020-03-17,33892,42930,33892,38316,2810,MML
2020-03-18,40388,43024,39540,40388,18903,MML
2020-03-19,38599,40482,38599,40388,2983,MML
2020-03-20,42365,42365,39540,40482,2936,MML
2020-03-23,39070,39540,38505,38599,9436,MML
2020-03-24,37657,37657,36716,36716,2500,MML
2020-03-25,37187,37187,36245,36245,8300,MML
2020-03-26,36622,36622,35775,35775,5616,MML
2020-03-27,34927,36528,34927,35304,16800,MML
2020-03-30,35304,35304,33044,33515,15447,MML
2020-03-31,33044,33421,32950,33421,4900,MML
2020-04-01,34739,34739,33421,33703,4800,MML
2020-04-03,35304,38693,34833,37563,19995,MML
2020-04-06,37657,40388,30785,37657,35710,MML
2020-04-07,39540,42365,38599,39540,7040,MML
2020-04-08,40011,40011,37657,39540,13805,MML
2020-04-09,39917,39917,38599,39258,32300,MML
2020-04-10,40952,40952,38599,39164,16864,MML
2020-04-13,39540,39540,38222,38411,8110,MML
2020-04-14,39070,39540,38505,39540,15251,MML
2020-04-15,39540,44907,33233,44907,87961,MML
2020-04-16,48955,48955,48955,48955,24855,MML
2020-04-17,56110,56298,52721,56298,129385,MML
2020-04-20,56298,56392,51308,51779,72301,MML
2020-04-21,51779,52721,45377,49896,53003,MML
2020-04-22,46884,49426,45189,47825,34356,MML
2020-04-23,47637,50838,47260,49614,11538,MML
2020-04-24,49708,50367,48955,50367,10700,MML
2020-04-27,49426,49426,47543,48296,22484,MML
2020-04-28,48013,51308,46789,51308,74650,MML
2020-04-29,51591,51591,49426,49614,20323,MML
2020-05-04,49708,49708,46225,46978,25040,MML
2020-05-05,47072,47072,45660,46036,45620,MML
2020-05-06,45660,47072,45660,47072,16479,MML
2020-05-07,46789,48013,46319,47072,19852,MML
2020-05-08,48013,48955,47354,47731,31985,MML
2020-05-11,49426,49708,47543,48484,22762,MML
2020-05-12,48578,49426,41047,48107,25820,MML
2020-05-13,48484,48672,47072,47731,24453,MML
2020-05-14,47919,51779,47260,49896,72106,MML
2020-05-15,51685,51685,48955,48955,36265,MML
2020-05-18,49426,49896,48013,48861,24650,MML
2020-05-19,48861,49802,48390,48672,37661,MML
2020-05-20,48202,48767,47919,48767,30002,MML
2020-05-21,48861,48955,48013,48296,28322,MML
2020-05-22,48484,48484,47354,47637,20550,MML
2020-05-25,47731,47919,46789,47637,20985,MML
2020-05-26,47166,48484,47072,48013,17580,MML
2020-05-27,48013,48013,47448,47448,14505,MML
2020-05-28,47825,48013,47166,47260,43015,MML
2020-05-29,47260,47543,47166,47166,17156,MML
2020-06-01,47448,51497,47448,50838,197913,MML
2020-06-02,50744,52250,50461,50461,118613,MML
2020-06-03,50838,51591,50367,50838,11654,MML
2020-06-04,50838,50838,48484,48955,77949,MML
2020-06-05,48202,48955,48013,48767,23774,MML
2020-06-08,48861,50838,48672,49331,66710,MML
2020-06-09,48955,49426,48578,48955,38392,MML
2020-06-10,48955,49896,48013,48672,19404,MML
2020-06-11,48955,49614,44248,45189,69135,MML
2020-06-12,45189,46130,40576,45471,57580,MML
2020-06-15,45471,46130,44248,44248,24120,MML
2020-06-16,44907,47448,44907,45754,9320,MML
2020-06-17,47072,47072,44812,45660,2150,MML
2020-06-18,44248,45754,44248,45660,27400,MML
2020-06-19,46601,47072,45566,45660,37305,MML
2020-06-22,45754,46601,45754,46130,10151,MML
2020-06-23,46036,49426,45942,47825,52508,MML
2020-06-24,47072,48767,46884,46978,18260,MML
2020-06-25,45660,47825,45660,46601,7450,MML
2020-06-26,47072,47543,46130,46130,20170,MML
2020-06-29,44342,46130,44059,44718,25802,MML
2020-06-30,44342,45660,43777,43871,9500,MML
2020-07-01,44248,45377,37846,45377,4355,MML
2020-07-02,45566,45660,44812,45189,28140,MML
2020-07-03,45189,45566,38411,45189,4636,MML
2020-07-06,45660,46507,45566,45754,21730,MML
2020-07-07,46225,46601,45754,45754,5749,MML
2020-07-08,45942,45942,45471,45754,9900,MML
2020-07-09,45377,46036,45377,46036,13825,MML
2020-07-10,46225,46225,45471,45471,1230,MML
2020-07-13,46130,46130,44907,45566,11370,MML
2020-07-14,45189,45189,44812,45189,15105,MML
2020-07-15,45001,45001,44718,44718,10130,MML
2020-07-16,45001,45001,44248,45001,13940,MML
2020-07-17,44530,45189,44530,45001,16310,MML
2020-07-20,42835,45660,42835,44530,6840,MML
2020-07-21,44530,45095,44248,45095,10328,MML
2020-07-22,44248,44342,44248,44342,12405,MML
2020-07-23,43777,43777,43306,43306,3000,MML
2020-07-24,43400,43400,40482,40482,26900,MML
2020-07-27,40482,40482,36716,37657,19810,MML
2020-07-28,38787,41235,38787,40858,12310,MML
2020-07-29,40011,46130,38599,38599,13800,MML
2020-07-30,39540,40952,39540,40388,16460,MML
2020-07-31,39634,40482,39070,39540,12700,MML
2020-08-03,44248,45189,39634,40576,10530,MML
2020-08-04,40952,41047,40764,41047,16778,MML
2020-08-05,41047,41047,36716,40952,14650,MML
2020-08-06,41423,41423,40482,40764,10610,MML
2020-08-07,40670,40858,40482,40670,9010,MML
2020-08-10,40482,40952,40482,40952,5655,MML
2020-08-11,40952,40952,40670,40858,19310,MML
2020-08-12,41423,41423,40576,40670,8018,MML
2020-08-13,40858,40952,40576,40952,7126,MML
2020-08-14,40576,40858,40388,40670,3902,MML
2020-08-17,40670,40670,40011,40011,9680,MML
2020-08-18,39917,39917,39634,39917,7605,MML
2020-08-19,39823,40388,39823,40388,1010,MML
2020-08-20,40482,40482,39729,40388,4000,MML
2020-08-21,39823,39917,39540,39917,3065,MML
2020-08-24,40482,40952,40482,40764,4018,MML
2020-08-25,40764,40764,40576,40670,7355,MML
2020-08-26,40670,40670,40199,40293,7000,MML
2020-08-27,40199,40482,37657,40388,27263,MML
2020-08-28,40105,40482,40105,40199,12930,MML
2020-08-31,40199,40199,40011,40199,6600,MML
2020-09-01,40011,40482,39258,40199,11205,MML
2020-09-03,39823,40011,39540,39634,21300,MML
2020-09-04,39729,39729,39540,39729,7100,MML
2020-09-07,39729,39917,39540,39917,6285,MML
2020-09-08,40482,40482,39540,39540,1500,MML
2020-09-09,39634,39729,39540,39540,7000,MML
2020-09-10,39634,40011,38599,38599,18400,MML
2020-09-11,39070,39540,38599,39540,7911,MML
2020-09-14,39070,40011,39070,39164,5778,MML
2020-09-15,39164,39258,39070,39070,6730,MML
2020-09-16,39164,39164,38881,38975,5300,MML
2020-09-17,38881,38881,38599,38881,7200,MML
2020-09-18,38787,39070,38599,38881,14169,MML
2020-09-21,38787,39070,38128,38975,39781,MML
2020-09-22,38599,39070,38222,38881,10609,MML
2020-09-23,38599,38881,38599,38599,5925,MML
2020-09-24,38599,39070,38599,38693,38247,MML
2020-09-25,38599,38975,38599,38599,32980,MML
2020-09-28,38787,39070,38599,38693,45513,MML
2020-09-29,38599,39352,38599,38599,53050,MML
2020-09-30,38693,38693,38599,38599,3100,MML
2020-10-01,38693,40482,38693,40105,24040,MML
2020-10-02,40293,40293,38881,39917,27568,MML
2020-10-05,39540,40293,38599,39823,36205,MML
2020-10-06,40293,42271,40199,42082,48777,MML
2020-10-07,41423,44718,41423,44059,76015,MML
2020-10-08,44059,44059,42365,42741,27380,MML
2020-10-09,42082,43118,41423,41988,28526,MML
2020-10-12,42176,42176,40482,41517,42030,MML
2020-10-13,41423,41423,40482,40482,33090,MML
2020-10-14,40293,41047,40293,41047,20387,MML
2020-10-15,41141,45095,41141,43777,159763,MML
2020-10-16,43683,44248,41423,42365,68160,MML
2020-10-19,43683,43683,41988,42647,6950,MML
2020-10-20,42741,42741,41423,42082,47315,MML
2020-10-21,42176,42553,41988,41988,48635,MML
2020-10-22,41988,42741,41988,42553,60550,MML
2020-10-23,42365,42365,42176,42176,18647,MML
2020-10-26,42271,42365,41894,41894,10875,MML
2020-10-27,41894,41894,41141,41423,22450,MML
2020-10-28,41423,41423,39540,39729,22042,MML
2020-10-29,40388,40388,40011,40011,8250,MML
2020-10-30,40011,40576,39540,40105,12533,MML
2020-11-02,40482,41423,40482,40858,13050,MML
2020-11-03,41706,41706,40858,40858,2200,MML
2020-11-04,40952,41235,40952,40952,3610,MML
2020-11-05,40952,41329,40858,40952,14321,MML
2020-11-06,40858,41141,40858,41141,4320,MML
2020-11-09,41047,41047,40670,40952,12500,MML
2020-11-10,40952,41423,40764,41329,10560,MML
2020-11-11,41047,43306,41047,42835,76305,MML
2020-11-12,42553,44718,42459,43494,54082,MML
2020-11-13,43494,43494,42741,42930,19181,MML
2020-11-16,42930,43024,42176,42271,43660,MML
2020-11-17,42365,43306,42365,42741,35150,MML
2020-11-18,42647,42647,42176,42176,51185,MML
2020-11-19,42365,43118,42365,42835,48710,MML
2020-11-20,42835,42835,42365,42647,24640,MML
2020-11-23,42459,42741,42271,42647,22537,MML
2020-11-24,42459,42741,42365,42741,29728,MML
2020-11-25,42459,43212,42459,42835,13950,MML
2020-11-26,42835,42835,42459,42835,11640,MML
2020-11-27,43212,44153,42835,43871,35622,MML
2020-11-30,44153,46789,44153,45189,98216,MML
2020-12-01,45283,45566,44153,45377,75505,MML
2020-12-02,45189,46319,44812,45660,33030,MML
2020-12-03,46036,46130,44624,45189,30232,MML
2020-12-04,45377,45471,44530,45001,26930,MML
2020-12-07,44907,45189,44436,44907,36690,MML
2020-12-08,44718,45095,44624,44812,19769,MML
2020-12-09,44718,45189,44436,44530,31728,MML
2020-12-10,44248,45095,44248,44436,20808,MML
2020-12-11,44342,44812,44153,44624,40340,MML
2020-12-14,44812,44812,44436,44530,41110,MML
2020-12-15,44624,45471,44530,45095,36584,MML
2020-12-16,45189,45848,45189,45754,52423,MML
2020-12-17,45848,45848,44624,45095,42307,MML
2020-12-18,45095,45095,44718,44907,18025,MML
2020-12-21,45189,45189,44718,45095,38636,MML
2020-12-22,44907,45942,44907,45848,63761,MML
2020-12-23,46036,48861,45754,46695,96242,MML
2020-12-24,47354,47543,45377,46319,54028,MML
2020-12-25,46130,48013,45283,48013,31166,MML
