time,open,high,low,close,volume,ticker
2012-03-20,3370,3530,3340,3530,120320,MPC
2012-03-21,3610,3690,3610,3680,87480,MPC
2012-03-22,3830,3860,3710,3860,92270,MPC
2012-03-23,3780,4040,3780,4040,77240,MPC
2012-03-26,4210,4240,4040,4210,61100,MPC
2012-03-27,4050,4360,4050,4280,72160,MPC
2012-03-28,4280,4280,4059,4059,64010,MPC
2012-03-29,4000,4180,4000,4140,41150,MPC
2012-03-30,3940,4140,3940,4140,53110,MPC
2012-04-03,3940,4140,3940,4120,9040,MPC
2012-04-04,4140,4280,3940,4000,18030,MPC
2012-04-05,3800,4000,3800,4000,4540,MPC
2012-04-06,3990,3990,3960,3960,1510,MPC
2012-04-09,3860,3870,3860,3860,1870,MPC
2012-04-10,3860,3880,3860,3860,11890,MPC
2012-04-11,3770,3960,3770,3880,2190,MPC
2012-04-12,3870,4059,3870,4059,11960,MPC
2012-04-13,4059,4059,4059,4059,1000,MPC
2012-04-16,4000,4059,4000,4059,4140,MPC
2012-04-17,4019,4270,4019,4270,19670,MPC
2012-04-18,4240,4280,4140,4280,12060,MPC
2012-04-19,4059,4280,4059,4280,8620,MPC
2012-04-20,4080,4080,4080,4080,100,MPC
2012-04-23,3930,3930,3930,3930,3000,MPC
2012-04-24,3930,3930,3930,3930,12960,MPC
2012-04-25,3960,3970,3960,3970,5730,MPC
2012-04-26,4059,4059,3930,3930,20,MPC
2012-04-27,3930,4110,3930,4110,15180,MPC
2012-05-02,4310,4310,4140,4140,5560,MPC
2012-05-03,4019,4200,4019,4200,7730,MPC
2012-05-04,4200,4360,4140,4280,46610,MPC
2012-05-07,4420,4490,4360,4420,13230,MPC
2012-05-08,4620,4620,4430,4430,27670,MPC
2012-05-09,4450,4640,4450,4640,28630,MPC
2012-05-10,4640,4650,4570,4640,16650,MPC
2012-05-11,4640,4650,4490,4640,36920,MPC
2012-05-14,4570,4570,4430,4430,56390,MPC
2012-05-15,4400,4430,4400,4430,13650,MPC
2012-05-16,4430,4430,4400,4430,8280,MPC
2012-05-17,4430,4510,4430,4430,4500,MPC
2012-05-18,4240,4430,4210,4430,15250,MPC
2012-05-21,4240,4540,4240,4520,14570,MPC
2012-05-22,4310,4490,4310,4430,9080,MPC
2012-05-23,4280,4280,4210,4280,720,MPC
2012-05-24,4140,4360,4140,4360,12320,MPC
2012-05-25,4360,4360,4360,4360,2100,MPC
2012-05-28,4430,4430,4430,4430,780,MPC
2012-05-29,4210,4280,4210,4280,8270,MPC
2012-05-30,4280,4280,4280,4280,4680,MPC
2012-05-31,4210,4210,4210,4210,5010,MPC
2012-06-01,4280,4280,4230,4230,6580,MPC
2012-06-04,4059,4059,4059,4059,3220,MPC
2012-06-05,4059,4059,4059,4059,5550,MPC
2012-06-06,4059,4210,4059,4210,2260,MPC
2012-06-07,4210,4360,4120,4360,3000,MPC
2012-06-08,4280,4360,4280,4360,690,MPC
2012-06-11,4360,4360,4360,4360,0,MPC
2012-06-12,4140,4540,4140,4540,3800,MPC
2012-06-13,4360,4400,4330,4330,5820,MPC
2012-06-14,4140,4330,4140,4330,2080,MPC
2012-06-15,4170,4330,4170,4230,3050,MPC
2012-06-18,4059,4430,4059,4430,7280,MPC
2012-06-19,4330,4330,4330,4330,500,MPC
2012-06-20,4420,4420,4420,4420,110,MPC
2012-06-21,4420,4420,4300,4300,6070,MPC
2012-06-22,4090,4280,4090,4230,950,MPC
2012-06-25,4210,4210,4210,4210,1590,MPC
2012-06-26,4210,4210,4210,4210,70,MPC
2012-06-27,4180,4180,4180,4180,1500,MPC
2012-06-28,4180,4180,4180,4180,0,MPC
2012-06-29,4059,4059,4059,4059,500,MPC
2012-07-02,4270,4270,4270,4270,3640,MPC
2012-07-03,4140,4140,4080,4080,520,MPC
2012-07-04,4080,4080,3940,3940,4850,MPC
2012-07-05,4000,4000,4000,4000,1000,MPC
2012-07-06,4000,4059,4000,4059,310,MPC
2012-07-09,4059,4059,4000,4059,2750,MPC
2012-07-10,4059,4059,4000,4059,23350,MPC
