time,open,high,low,close,volume,ticker
2015-10-07,18210,18620,18210,18620,205340,NAF
2015-10-08,18890,19360,18820,19090,181610,NAF
2015-10-09,19160,19290,18890,18890,186950,NAF
2015-10-12,18550,18680,18410,18550,133750,NAF
2015-10-13,18410,18550,18350,18480,162920,NAF
2015-10-14,18480,18820,18480,18480,169100,NAF
2015-10-15,18480,18620,18350,18410,149200,NAF
2015-10-16,18410,18550,18410,18410,174900,NAF
2015-10-19,18410,18550,18350,18350,233650,NAF
2015-10-20,18280,18480,18280,18280,187110,NAF
2015-10-21,18280,18350,18210,18280,173790,NAF
2015-10-22,18280,18410,18210,18280,200300,NAF
2015-10-23,18350,18480,18350,18410,204390,NAF
2015-10-26,18350,18480,18280,18410,236250,NAF
2015-10-27,18350,18350,18140,18210,168800,NAF
2015-10-28,18210,18350,18140,18140,166420,NAF
2015-10-29,18140,18750,18140,18750,221300,NAF
2015-10-30,18620,20030,18410,20030,292180,NAF
2015-11-02,20300,21380,20300,21380,211810,NAF
2015-11-03,21380,21920,20030,21580,212490,NAF
2015-11-04,20570,21580,20570,21380,232220,NAF
2015-11-05,20440,21580,20440,21450,225280,NAF
2015-11-06,20980,21450,20980,21110,223140,NAF
2015-11-09,20910,21250,20910,21110,209930,NAF
2015-11-10,21040,21520,21040,21380,266990,NAF
2015-11-11,21380,21520,21250,21380,220380,NAF
2015-11-12,21110,21380,20910,21310,222860,NAF
2015-11-13,21180,21720,20910,21580,336740,NAF
2015-11-16,21920,22930,21920,22530,367630,NAF
2015-11-17,22530,22530,21920,22060,270870,NAF
2015-11-18,22060,22060,21520,21920,219660,NAF
2015-11-19,20570,22060,20570,21720,222160,NAF
2015-11-20,21720,21790,21520,21520,242410,NAF
2015-11-23,21520,21580,21180,21180,155040,NAF
2015-11-24,20910,21250,20910,20980,160510,NAF
2015-11-25,21040,21520,20770,21250,238810,NAF
2015-11-26,21110,21310,20980,20980,206450,NAF
2015-11-27,20840,21040,20300,20300,189900,NAF
2015-11-30,20770,20770,20100,20230,217650,NAF
2015-12-01,20300,20500,20100,20100,175350,NAF
2015-12-02,20300,21250,20170,20500,276250,NAF
2015-12-03,20500,20710,20440,20500,143400,NAF
2015-12-04,20370,20500,20300,20370,124070,NAF
2015-12-07,20230,20370,20030,20100,145290,NAF
2015-12-08,19760,20230,19630,20230,168410,NAF
2015-12-09,20370,20370,20030,20100,166840,NAF
2015-12-10,20230,20230,19900,19960,158770,NAF
2015-12-11,20030,20230,19900,20030,141240,NAF
2015-12-14,20100,20100,19960,20030,143280,NAF
2015-12-15,20100,20170,20030,20100,145280,NAF
2015-12-16,20170,20170,20030,20100,161100,NAF
2015-12-17,20030,20230,20030,20170,123100,NAF
2015-12-18,20100,20370,20030,20230,236600,NAF
2015-12-21,20300,20370,20230,20300,274000,NAF
2015-12-22,20300,20710,20300,20500,319650,NAF
2015-12-23,20370,20500,20300,20370,177230,NAF
2015-12-24,20440,20500,20370,20440,170200,NAF
2015-12-25,20440,20500,20370,20440,120360,NAF
2015-12-28,20440,20500,20300,20300,170660,NAF
2015-12-29,20230,20440,20170,20370,160850,NAF
2015-12-30,20300,20500,20300,20370,162800,NAF
2015-12-31,20230,20370,20230,20230,150020,NAF
2016-01-04,20230,20300,19960,19960,163100,NAF
2016-01-05,19960,19960,19560,19560,190040,NAF
2016-01-06,19560,19900,19560,19690,167000,NAF
2016-01-07,19630,19690,19420,19560,134010,NAF
2016-01-08,19560,19560,19360,19360,189330,NAF
2016-01-11,19290,19420,19290,19360,151060,NAF
2016-01-12,19360,19560,19290,19420,151640,NAF
2016-01-13,19560,19560,19290,19360,171800,NAF
2016-01-14,19290,19290,19090,19220,158000,NAF
2016-01-15,19360,19360,18950,18950,153390,NAF
2016-01-18,18750,18750,18280,18410,187710,NAF
2016-01-19,18280,18820,18280,18750,172360,NAF
2016-01-20,18620,18750,18480,18550,146450,NAF
