time,open,high,low,close,volume,ticker
2015-12-02,6410,6410,6410,6410,100,NCS
2015-12-03,6410,6410,6410,6410,0,NCS
2015-12-04,6410,6410,6410,6410,0,NCS
2015-12-07,6410,6410,6410,6410,1,NCS
2015-12-08,7360,7360,7360,7360,100,NCS
2015-12-09,8450,8450,8450,8450,100,NCS
2015-12-10,9720,9720,9720,9720,100,NCS
2015-12-11,11160,11160,11160,11160,100,NCS
2015-12-14,12820,12820,12820,12820,100,NCS
2015-12-15,12820,12820,12820,12820,0,NCS
2015-12-16,14720,14720,14720,14720,100,NCS
2015-12-17,16900,16900,16900,16900,100,NCS
2015-12-18,19440,19440,19440,19440,2100,NCS
2015-12-21,22320,22320,22320,22320,2000,NCS
2015-12-22,25670,25670,25670,25670,1100,NCS
2015-12-23,29510,29510,27820,27820,18150,NCS
2015-12-24,28870,28870,25350,25700,5620,NCS
2015-12-25,24650,26230,23590,26230,12600,NCS
2015-12-28,24930,28200,24930,28200,200,NCS
2015-12-29,28170,28170,28170,28170,300,NCS
2015-12-30,29580,29580,28550,28870,1250,NCS
2015-12-31,28940,28940,28940,28940,0,NCS
2016-01-04,26050,26050,26050,26050,1000,NCS
2016-01-05,26050,26050,26050,26050,0,NCS
2016-01-06,26410,26410,26410,26410,2400,NCS
2016-01-07,26410,26410,26410,26410,200,NCS
2016-01-08,25000,26760,25000,26760,2500,NCS
2016-01-11,26410,26410,26050,26410,2130,NCS
2016-01-12,26580,27110,26340,27110,6500,NCS
2016-01-13,26410,26410,26130,26270,1000,NCS
2016-01-14,26050,26440,26050,26410,4000,NCS
2016-01-15,26760,26760,26760,26760,100,NCS
2016-01-18,26760,26760,26760,26760,0,NCS
2016-01-19,25000,26410,24650,25350,6400,NCS
2016-01-20,25000,25350,25000,25350,7000,NCS
2016-01-21,24650,25350,24650,25000,4910,NCS
2016-01-22,25000,25000,24290,24290,5300,NCS
2016-01-25,25000,25000,24470,24650,1200,NCS
2016-01-26,24470,24470,24470,24470,300,NCS
2016-01-27,24290,24290,24290,24290,1100,NCS
2016-01-28,23980,23980,23980,23980,500,NCS
2016-01-29,23940,23940,23590,23590,1030,NCS
2016-02-01,23630,23630,23630,23630,20,NCS
2016-02-02,23630,23630,23630,23630,0,NCS
2016-02-03,23590,23590,23590,23590,4700,NCS
2016-02-04,23590,23590,23590,23590,1400,NCS
2016-02-05,23590,23590,23590,23590,900,NCS
2016-02-15,23590,23590,23590,23590,0,NCS
2016-02-16,23740,23740,23740,23740,500,NCS
2016-02-17,23740,23740,23370,23370,800,NCS
2016-02-18,23740,24100,23740,23740,400,NCS
2016-02-19,23920,23920,23920,23920,0,NCS
2016-02-22,23740,23740,23370,23370,700,NCS
2016-02-23,23410,23410,23410,23410,0,NCS
2016-02-24,23410,23410,23410,23410,0,NCS
2016-02-25,23370,23370,23370,23370,1000,NCS
2016-02-26,23410,23410,23010,23010,700,NCS
2016-02-29,23080,23080,23080,23080,0,NCS
2016-03-01,23080,23080,23080,23080,0,NCS
2016-03-02,23010,23010,23010,23010,500,NCS
2016-03-03,23010,23010,23010,23010,0,NCS
2016-03-04,23010,23010,23010,23010,0,NCS
2016-03-07,21910,21910,21910,21910,600,NCS
2016-03-08,21910,22640,21910,22640,1400,NCS
2016-03-09,22640,23740,22640,23010,1200,NCS
2016-03-10,23150,23150,23150,23150,0,NCS
2016-03-11,23010,23010,22640,22640,1700,NCS
2016-03-14,23370,23370,23370,23370,300,NCS
2016-03-15,23740,25560,23740,25560,2800,NCS
2016-03-16,24830,24830,24830,24830,1600,NCS
2016-03-17,24830,24830,24830,24830,100,NCS
2016-03-18,23190,23190,23190,23190,900,NCS
2016-03-21,23190,23190,23190,23190,0,NCS
2016-03-22,25380,25560,25380,25380,2100,NCS
2016-03-23,25890,25930,25560,25740,10300,NCS
2016-03-24,26290,26290,25930,25930,11200,NCS
2016-03-25,25960,26290,25930,25960,4700,NCS
2016-03-28,25930,26290,25930,25930,2000,NCS
2016-03-29,25560,26840,25560,26290,5100,NCS
2016-03-30,26290,27020,26290,27020,6600,NCS
2016-03-31,27210,27390,27210,27280,4200,NCS
2016-04-01,27020,27020,27020,27020,100,NCS
2016-04-04,26840,26840,26290,26660,700,NCS
2016-04-05,26660,26950,26660,26840,2200,NCS
2016-04-06,26660,26660,26660,26660,10300,NCS
2016-04-07,26290,26290,26290,26290,300,NCS
2016-04-08,26290,27020,26290,26990,7240,NCS
2016-04-11,27390,27940,27020,27570,15700,NCS
2016-04-12,27750,27750,27060,27390,5700,NCS
2016-04-13,27390,27390,27020,27020,4828,NCS
2016-04-14,27020,27020,27020,27020,600,NCS
2016-04-15,27020,27020,27020,27020,0,NCS
2016-04-19,27020,27020,27020,27020,0,NCS
2016-04-20,26290,26660,26290,26660,5700,NCS
2016-04-21,27390,28480,27390,27750,27516,NCS
2016-04-22,27940,27940,26660,26840,9900,NCS
2016-04-25,26290,27390,26290,27100,5000,NCS
2016-04-26,27390,27390,27210,27210,4000,NCS
2016-04-27,27680,27680,27020,27390,3200,NCS
2016-04-28,27390,27390,27350,27350,1000,NCS
2016-04-29,27390,27390,27210,27390,1900,NCS
2016-05-04,27390,27750,27210,27350,9400,NCS
2016-05-05,27720,27720,27390,27390,2900,NCS
2016-05-06,27390,27390,27390,27390,2600,NCS
2016-05-09,27390,27570,27390,27390,3300,NCS
2016-05-10,27460,27460,27280,27390,7300,NCS
2016-05-11,27390,27390,27210,27210,1900,NCS
2016-05-12,27390,27390,27240,27390,8350,NCS
2016-05-13,27390,27570,27390,27390,6300,NCS
2016-05-16,27390,27420,27390,27420,3300,NCS
2016-05-17,27390,27750,27390,27750,1400,NCS
2016-05-18,27800,27840,27090,27430,5700,NCS
2016-05-19,27800,28930,27800,28180,4100,NCS
2016-05-20,27430,28550,27430,28330,2300,NCS
2016-05-23,28480,28480,28360,28360,2200,NCS
2016-05-24,28180,28210,27990,27990,2500,NCS
2016-05-25,28180,28180,28180,28180,800,NCS
2016-05-26,28180,28360,28140,28330,6400,NCS
2016-05-27,27800,27990,27760,27990,600,NCS
2016-05-30,27800,27800,27610,27610,1200,NCS
2016-05-31,27800,28180,27690,27690,6596,NCS
2016-06-01,27760,27760,27730,27730,1000,NCS
2016-06-02,27800,27800,27500,27760,1300,NCS
2016-06-03,27610,28290,27430,28290,900,NCS
2016-06-06,27800,28100,27650,28100,810,NCS
2016-06-07,27880,28180,27880,28180,4300,NCS
2016-06-08,28180,28180,28180,28180,4700,NCS
2016-06-09,28180,28180,27990,27990,3100,NCS
2016-06-10,28180,28180,28180,28180,836,NCS
2016-06-13,28180,28180,27800,27840,2400,NCS
2016-06-14,27990,27990,27730,27800,4800,NCS
2016-06-15,27990,27990,27800,27800,4600,NCS
2016-06-16,28100,28180,28100,28180,6000,NCS
2016-06-17,28210,28210,27800,27800,3500,NCS
2016-06-20,28180,28180,27800,27800,7914,NCS
2016-06-21,27880,28480,27880,28480,14000,NCS
2016-06-22,28550,31560,28480,31520,20000,NCS
2016-06-23,33620,33620,31930,32689,32190,NCS
2016-06-24,33060,33060,31180,32870,11900,NCS
2016-06-27,31820,31820,29680,30690,20000,NCS
2016-06-28,31180,31930,31180,31480,3900,NCS
2016-06-29,32689,32689,31560,31710,5410,NCS
2016-06-30,31930,31930,31560,31750,6510,NCS
2016-07-01,31560,31750,31560,31750,6200,NCS
2016-07-04,31930,32080,31560,32080,9300,NCS
2016-07-05,32310,32500,32310,32500,6900,NCS
2016-07-06,32159,32500,32119,32310,1700,NCS
2016-07-07,32310,32540,32310,32310,1600,NCS
2016-07-08,32689,32990,32650,32870,19300,NCS
2016-07-11,33060,33250,32870,33250,8600,NCS
