time,open,high,low,close,volume,ticker
2012-03-20,2834,2917,2834,2917,500,NGC
2012-03-21,2750,2834,2750,2750,1400,NGC
2012-03-22,2917,2917,2625,2625,1500,NGC
2012-03-23,2709,2709,2709,2709,0,NGC
2012-03-26,2583,2583,2583,2583,100,NGC
2012-03-27,2583,2750,2500,2750,2200,NGC
2012-03-28,2875,2917,2875,2917,1900,NGC
2012-03-29,2917,3000,2875,2917,4300,NGC
2012-03-30,2875,2959,2875,2959,1300,NGC
2012-04-03,2917,2917,2917,2917,2900,NGC
2012-04-04,2792,3042,2792,2792,1400,NGC
2012-04-05,2917,3000,2834,2917,3000,NGC
2012-04-06,3042,3042,3042,3042,200,NGC
2012-04-09,3125,3125,3125,3125,300,NGC
2012-04-10,3209,3209,3209,3209,100,NGC
2012-04-11,3250,3250,3250,3250,100,NGC
2012-04-12,3292,3292,3292,3292,1000,NGC
2012-04-13,3292,3292,3292,3292,0,NGC
2012-04-16,3459,3459,3459,3459,100,NGC
2012-04-17,3250,3250,3250,3250,2100,NGC
2012-04-18,3167,3417,3167,3375,3500,NGC
2012-04-19,3334,3334,3334,3334,800,NGC
2012-04-20,3334,3334,3334,3334,1000,NGC
2012-04-23,3542,3542,3542,3542,200,NGC
2012-04-24,3542,3542,3542,3542,0,NGC
2012-04-25,3709,3709,3709,3709,100,NGC
2012-04-26,3750,3750,3750,3750,2000,NGC
2012-04-27,3750,3917,3750,3834,1200,NGC
2012-05-02,3875,4084,3875,4084,400,NGC
2012-05-03,4334,4334,4334,4334,100,NGC
2012-05-04,4584,4584,4584,4584,200,NGC
2012-05-07,4876,4876,4876,4876,200,NGC
2012-05-08,5209,5209,5209,5209,100,NGC
2012-05-09,5418,5418,5418,5418,3000,NGC
2012-05-10,5418,5418,5418,5418,0,NGC
2012-05-11,5084,5084,5084,5084,600,NGC
2012-05-14,5209,5209,5001,5001,700,NGC
2012-05-15,4792,4792,4667,4667,200,NGC
2012-05-16,4376,4376,4376,4376,100,NGC
2012-05-17,4084,4084,4084,4084,500,NGC
2012-05-18,3834,3834,3834,3834,600,NGC
2012-05-21,3584,3584,3584,3584,2900,NGC
2012-05-22,3334,3834,3334,3834,900,NGC
2012-05-23,3625,3625,3584,3584,3500,NGC
2012-05-24,3500,3500,3334,3334,10400,NGC
2012-05-25,3334,3542,3334,3542,700,NGC
2012-05-28,3542,3542,3334,3334,2700,NGC
2012-05-29,3250,3250,3209,3209,5300,NGC
2012-05-30,3417,3417,3417,3417,200,NGC
2012-05-31,3625,3625,3625,3625,100,NGC
2012-06-01,3625,3625,3625,3625,0,NGC
2012-06-04,3417,3417,3375,3375,600,NGC
2012-06-05,3375,3375,3375,3375,0,NGC
2012-06-06,3417,3584,3417,3584,600,NGC
2012-06-07,3667,3667,3667,3667,800,NGC
2012-06-08,3667,3875,3542,3875,1000,NGC
2012-06-11,3667,3667,3667,3667,200,NGC
2012-06-12,3875,3875,3875,3875,1000,NGC
2012-06-13,4042,4084,4042,4084,1100,NGC
2012-06-14,4084,4084,4084,4084,0,NGC
2012-06-15,4251,4251,4251,4251,100,NGC
2012-06-18,4084,4209,4084,4209,400,NGC
2012-06-19,4209,4209,4209,4209,0,NGC
2012-06-20,3917,3917,3917,3917,100,NGC
2012-06-21,3667,4084,3667,4084,900,NGC
2012-06-22,3875,3875,3834,3834,600,NGC
2012-06-25,4084,4084,3584,3584,1400,NGC
2012-06-26,3834,3834,3334,3334,1100,NGC
2012-06-27,3542,3542,3542,3542,800,NGC
2012-06-28,3750,3750,3750,3750,1600,NGC
2012-06-29,4001,4001,3959,4001,7700,NGC
2012-07-02,4251,4251,4251,4251,600,NGC
2012-07-03,3959,3959,3959,3959,100,NGC
2012-07-04,3959,3750,3750,3750,100,NGC
2012-07-05,3959,3959,3959,3959,100,NGC
2012-07-06,3959,4209,3792,4209,5800,NGC
2012-07-09,4334,4334,3959,4334,4400,NGC
2012-07-10,4126,4542,4042,4501,10800,NGC
2012-07-11,4584,4584,4209,4542,800,NGC
2012-07-12,4292,4584,4251,4584,2500,NGC
2012-07-13,4209,4584,4209,4501,3100,NGC
2012-07-16,4209,4209,4209,4209,100,NGC
2012-07-17,4376,4376,3917,3917,400,NGC
2012-07-18,4167,4167,4167,4167,1300,NGC
2012-07-19,4417,4417,4417,4417,200,NGC
2012-07-20,4251,4501,4251,4501,2300,NGC
2012-07-23,4209,4751,4209,4751,700,NGC
2012-07-24,4459,4459,4459,4459,100,NGC
2012-07-25,4167,4751,4167,4751,2500,NGC
2012-07-26,4334,4334,4334,4334,1000,NGC
2012-07-27,4167,4334,4167,4334,1000,NGC
2012-07-30,4334,4334,4334,4334,1000,NGC
2012-07-31,4209,4376,4209,4376,1100,NGC
2012-08-01,4376,4376,4376,4376,0,NGC
2012-08-02,4376,4376,4376,4376,0,NGC
2012-08-03,4376,4376,4376,4376,0,NGC
2012-08-06,4542,4542,4542,4542,100,NGC
2012-08-07,4542,4542,4542,4542,0,NGC
2012-08-08,4542,4542,4542,4542,0,NGC
2012-08-09,4251,4251,4251,4251,1000,NGC
2012-08-10,4251,4251,4251,4251,0,NGC
2012-08-13,4251,4251,4251,4251,0,NGC
2012-08-14,4251,4251,4251,4251,0,NGC
2012-08-15,4251,4251,4251,4251,0,NGC
2012-08-16,4251,4251,4251,4251,0,NGC
2012-08-17,4459,4459,4459,4459,200,NGC
2012-08-20,4542,4542,4542,4542,100,NGC
2012-08-21,4542,4542,4542,4542,0,NGC
2012-08-22,4834,4834,4834,4834,100,NGC
2012-08-23,4834,4834,4834,4834,0,NGC
2012-08-24,4834,4834,4834,4834,0,NGC
2012-08-27,4501,5126,4501,5126,500,NGC
2012-08-28,5126,5126,5126,5126,0,NGC
2012-08-29,5126,5126,5126,5126,0,NGC
2012-08-30,5126,5126,5126,5126,0,NGC
2012-08-31,5126,5126,5126,5126,0,NGC
2012-09-04,5126,5126,5126,5126,0,NGC
