time,open,high,low,close,volume,ticker
2012-03-20,17890,17890,16740,16740,3470,NSC
2012-03-21,16740,16940,16740,16740,1150,NSC
2012-03-22,16329,16490,15910,16490,740,NSC
2012-03-23,16140,17130,16140,17130,4750,NSC
2012-03-26,17130,17970,17130,17970,11500,NSC
2012-03-27,17090,17090,17090,17090,1180,NSC
2012-03-28,16370,17570,16370,17570,1310,NSC
2012-03-29,17570,17570,17570,17570,20,NSC
2012-03-30,17570,17570,17570,17570,10,NSC
2012-04-03,17130,17130,16850,16850,370,NSC
2012-04-04,16770,16770,16740,16740,300,NSC
2012-04-05,16740,16740,16740,16740,10,NSC
2012-04-06,16580,16580,16580,16580,10,NSC
2012-04-09,16580,17320,16580,17320,2190,NSC
2012-04-10,16810,16810,16810,16810,10,NSC
2012-04-11,16810,16810,16810,16810,0,NSC
2012-04-12,16850,16850,16850,16850,700,NSC
2012-04-13,16850,16850,16329,16329,100,NSC
2012-04-16,16329,16329,16329,16329,40,NSC
2012-04-17,16329,16329,16329,16329,300,NSC
2012-04-18,16940,16940,16740,16740,240,NSC
2012-04-19,16850,17130,16770,17130,930,NSC
2012-04-20,17130,17130,16940,17130,1900,NSC
2012-04-23,17130,17930,17130,17930,520,NSC
2012-04-24,18710,18760,17930,18710,2310,NSC
2012-04-25,19530,19530,17930,18710,1140,NSC
2012-04-26,18710,18710,18710,18710,20,NSC
2012-04-27,18710,19530,17810,19080,1370,NSC
2012-05-02,19530,19530,18170,19530,1460,NSC
2012-05-03,19940,19940,19650,19650,80,NSC
2012-05-04,18680,18720,18680,18680,3640,NSC
2012-05-07,17780,18680,17780,18310,1420,NSC
2012-05-08,17680,19240,17680,19240,1210,NSC
2012-05-09,18290,19320,18290,19320,230,NSC
2012-05-10,19320,19530,18350,18400,1020,NSC
2012-05-11,19060,19110,18490,19110,4450,NSC
2012-05-14,19940,19940,19940,19940,10,NSC
2012-05-15,18950,18950,18950,18950,2000,NSC
2012-05-16,18950,18950,18490,18490,4700,NSC
2012-05-17,18290,18290,18290,18290,200,NSC
2012-05-18,18290,19110,17410,19110,530,NSC
2012-05-21,18150,19730,18150,19730,50,NSC
2012-05-22,19940,19940,18770,18770,280,NSC
2012-05-23,18070,19610,17870,19530,6780,NSC
2012-05-24,19940,19940,19530,19940,400,NSC
2012-05-25,18980,19820,18950,18950,1170,NSC
2012-05-28,18290,19850,18020,18290,3830,NSC
2012-05-29,19110,19110,17360,18680,33340,NSC
2012-05-30,18070,18660,17780,17780,2110,NSC
2012-05-31,16960,17780,16910,17730,7660,NSC
2012-06-01,17450,17450,16860,16860,470,NSC
2012-06-04,16070,17650,16020,17020,6790,NSC
2012-06-05,17780,17780,17020,17450,2250,NSC
2012-06-06,17450,17830,16580,17450,2270,NSC
2012-06-07,16580,17650,16580,16580,2310,NSC
2012-06-08,15780,16620,15780,15780,6840,NSC
2012-06-11,15780,16580,15780,16200,5430,NSC
2012-06-12,16910,16960,16820,16860,690,NSC
2012-06-13,16020,17200,16020,16020,3480,NSC
2012-06-14,16620,16620,16620,16620,400,NSC
2012-06-15,15780,17360,15780,16740,5200,NSC
2012-06-18,15920,15970,15920,15920,520,NSC
2012-06-19,15360,16490,15360,16490,510,NSC
2012-06-20,15700,15780,15700,15700,1120,NSC
2012-06-21,15700,15700,15620,15620,460,NSC
2012-06-22,15620,15620,15580,15620,550,NSC
2012-06-25,15780,15780,15620,15620,450,NSC
2012-06-26,14960,14960,14960,14960,200,NSC
2012-06-27,14960,15030,14960,15030,160,NSC
2012-06-28,14370,15780,14330,15780,3600,NSC
2012-06-29,16200,16200,16120,16200,1320,NSC
2012-07-02,15780,15780,15780,15780,10,NSC
2012-07-03,15580,15580,15580,15580,1890,NSC
2012-07-04,15580,15580,15580,15580,1300,NSC
2012-07-05,15580,15580,15580,15580,0,NSC
2012-07-06,16250,16320,16200,16320,2760,NSC
2012-07-09,16860,17120,16620,17120,2800,NSC
2012-07-10,17120,17120,17120,17120,0,NSC
2012-07-11,16320,16320,16320,16320,320,NSC
2012-07-12,15780,16200,15780,16200,17100,NSC
2012-07-13,15580,16200,15580,16200,300,NSC
2012-07-16,15620,15620,15620,15620,10,NSC
2012-07-17,15780,15780,15780,15780,2880,NSC
2012-07-18,16580,16580,15410,16490,2870,NSC
2012-07-19,16440,16440,15830,15830,40,NSC
2012-07-20,16200,16290,16200,16290,1250,NSC
2012-07-23,16980,17020,16250,17020,6300,NSC
2012-07-24,17410,17410,16400,16400,220,NSC
2012-07-25,17200,17200,16980,17020,220,NSC
2012-07-26,17570,17570,16980,16980,450,NSC
2012-07-27,17020,17020,16400,16400,1220,NSC
2012-07-30,16620,16620,15620,16580,580,NSC
2012-07-31,16620,16620,16620,16620,2240,NSC
2012-08-01,16620,16620,16490,16620,1350,NSC
2012-08-02,16700,16700,16620,16620,150,NSC
2012-08-03,16540,16620,16540,16620,1930,NSC
2012-08-06,16620,17020,16620,17020,3350,NSC
2012-08-07,16620,16620,16400,16400,2400,NSC
2012-08-08,16620,17020,16620,17020,1080,NSC
2012-08-09,17020,17020,17020,17020,21010,NSC
2012-08-10,17020,17020,16980,17020,265300,NSC
2012-08-13,17150,17150,16820,17020,82200,NSC
2012-08-14,17120,17120,17020,17120,2700,NSC
2012-08-15,16700,17120,16700,17120,170,NSC
2012-08-16,17070,17070,16860,16860,1280,NSC
2012-08-17,16860,17020,16860,17020,1200,NSC
2012-08-20,16860,16910,16860,16860,500,NSC
2012-08-21,16860,16860,16070,16620,1050,NSC
2012-08-22,16020,16020,16020,16020,120,NSC
2012-08-23,15780,15980,15780,15980,650,NSC
2012-08-24,16780,16780,16070,16070,210,NSC
2012-08-27,16070,16200,16070,16200,1000,NSC
2012-08-28,16740,16740,16740,16740,2500,NSC
2012-08-29,17020,17450,16980,17450,15610,NSC
2012-08-30,17650,17650,17240,17240,5020,NSC
2012-08-31,17450,17450,17450,17450,1510,NSC
2012-09-04,17650,17650,17650,17650,6860,NSC
2012-09-05,17650,17650,17020,17020,1910,NSC
2012-09-06,17240,17240,17020,17240,1500,NSC
2012-09-07,17450,17450,17240,17240,80140,NSC
2012-09-10,17450,17450,17240,17240,10010,NSC
2012-09-11,17240,17650,17240,17650,20870,NSC
2012-09-12,17450,17870,17450,17870,4540,NSC
2012-09-13,17650,17650,17650,17650,10,NSC
2012-09-14,17680,17680,17680,17680,5050,NSC
2012-09-17,17680,17730,17680,17730,1420,NSC
2012-09-18,17680,17680,17680,17680,1100,NSC
2012-09-19,17680,17680,17450,17450,4090,NSC
2012-09-20,17490,17650,17490,17490,10320,NSC
2012-09-21,17490,17490,17490,17490,100,NSC
2012-09-24,17490,17490,17490,17490,0,NSC
2012-09-25,17490,17490,17490,17490,500,NSC
2012-09-26,17490,17730,17490,17730,600,NSC
2012-09-27,17490,17730,17490,17730,600,NSC
2012-09-28,17490,17490,17490,17490,3200,NSC
2012-10-01,17490,17490,17490,17490,0,NSC
2012-10-02,17530,17530,17530,17530,570,NSC
2012-10-03,17530,17530,17530,17530,500,NSC
2012-10-04,17530,17650,17530,17650,180,NSC
2012-10-05,17650,17650,17650,17650,190,NSC
2012-10-08,17650,17650,17650,17650,0,NSC
2012-10-09,17530,17530,17530,17530,390,NSC
2012-10-10,17650,17650,17650,17650,1000,NSC
2012-10-11,17650,17650,17450,17650,1920,NSC
2012-10-12,17450,17870,17450,17870,90,NSC
2012-10-15,17950,17950,17950,17950,1000,NSC
2012-10-16,17450,17450,17450,17450,3020,NSC
2012-10-17,17450,17950,17150,17950,15100,NSC
2012-10-18,17450,17450,17450,17450,1200,NSC
2012-10-19,17450,17450,17450,17450,760,NSC
2012-10-22,17240,17240,17020,17020,2040,NSC
2012-10-23,17240,17240,17240,17240,5670,NSC
2012-10-24,17240,18070,17240,18070,4210,NSC
2012-10-25,18070,18070,18070,18070,0,NSC
2012-10-26,17240,18490,17240,18290,6120,NSC
2012-10-29,18290,18290,18290,18290,40,NSC
2012-10-30,18290,18290,18290,18290,0,NSC
2012-10-31,18290,18290,18290,18290,0,NSC
2012-11-01,18680,18680,18680,18680,100,NSC
2012-11-02,18680,18680,17870,17870,1550,NSC
2012-11-05,17870,18490,17870,18490,160,NSC
2012-11-06,18490,18490,18070,18070,1500,NSC
2012-11-07,18070,18490,18070,18490,580,NSC
2012-11-08,18490,18490,18070,18070,990,NSC
2012-11-09,18710,18710,17900,18510,2210,NSC
2012-11-12,18510,18510,18510,18510,70,NSC
2012-11-13,18510,18510,18510,18510,1000,NSC
2012-11-14,18070,18110,18070,18070,510,NSC
2012-11-15,18070,18070,18070,18070,0,NSC
2012-11-16,18070,18070,18070,18070,0,NSC
2012-11-19,18510,18510,18510,18510,5090,NSC
2012-11-20,18510,18510,18510,18510,1220,NSC
2012-11-21,18710,18940,18710,18940,2640,NSC
2012-11-22,18940,18940,18940,18940,0,NSC
2012-11-23,18940,18940,18710,18710,700,NSC
2012-11-26,18970,18970,18970,18970,3360,NSC
2012-11-27,18970,18970,18970,18970,10,NSC
2012-11-28,19540,19580,19400,19400,3500,NSC
2012-11-29,19400,20140,19400,20140,2450,NSC
2012-11-30,20270,21120,20220,21120,5000,NSC
2012-12-03,20640,20640,20640,20640,540,NSC
2012-12-04,19790,21070,19790,20640,1110,NSC
2012-12-05,20640,21680,20640,21680,4230,NSC
2012-12-06,21680,21680,21680,21680,150,NSC
2012-12-07,22710,22710,22710,22710,10,NSC
2012-12-10,21680,21680,21590,21590,240,NSC
2012-12-11,21590,21590,21590,21590,0,NSC
2012-12-12,21590,21590,21590,21590,780,NSC
2012-12-13,21420,21590,21420,21590,7750,NSC
2012-12-14,21590,21590,21590,21590,0,NSC
2012-12-17,21590,21590,21590,21590,0,NSC
2012-12-18,21590,21590,21590,21590,0,NSC
2012-12-19,21590,21590,21590,21590,0,NSC
2012-12-20,21680,21940,21680,21940,19720,NSC
2012-12-21,21940,21940,21940,21940,0,NSC
2012-12-24,22460,22460,22460,22460,10,NSC
2012-12-25,21470,22710,21470,22710,20,NSC
2012-12-26,23490,23490,23490,23490,800,NSC
2012-12-27,23490,23490,22460,22460,4050,NSC
2012-12-28,23490,23490,23490,23490,600,NSC
2013-01-02,22970,24460,22970,24460,310,NSC
