time,open,high,low,close,volume,ticker
2012-03-20,8478,8541,8414,8414,44200,OCH
2012-03-21,8541,8733,8414,8414,122200,OCH
2012-03-22,8669,8733,8669,8733,26000,OCH
2012-03-23,8733,8796,8733,8733,19300,OCH
2012-03-26,8733,8924,8605,8924,177800,OCH
2012-03-27,8860,8924,8733,8924,190800,OCH
2012-03-28,8860,9242,8733,9242,356300,OCH
2012-03-29,9179,9242,8541,9179,93800,OCH
2012-03-30,9179,9561,9179,9370,94700,OCH
2012-04-03,9434,10007,9434,10007,149100,OCH
2012-04-04,9880,10199,9816,10135,126500,OCH
2012-04-05,10135,10836,10135,10836,169400,OCH
2012-04-06,10900,11410,10836,11346,128700,OCH
2012-04-09,11410,12111,11410,12111,147400,OCH
2012-04-10,12238,12557,12047,12557,109100,OCH
2012-04-11,12557,12812,12493,12621,106200,OCH
2012-04-12,12621,12748,12493,12685,65500,OCH
2012-04-13,12687,13086,12687,13020,27900,OCH
2012-04-16,13086,13152,12555,13152,56500,OCH
2012-04-17,12953,13219,12887,13086,77500,OCH
2012-04-18,13086,13219,13086,13219,73900,OCH
2012-04-19,13152,13152,13020,13086,59700,OCH
2012-04-20,13152,13219,13020,13020,85200,OCH
2012-04-23,13086,13086,12887,12887,33600,OCH
2012-04-24,13020,13020,12754,12953,109200,OCH
2012-04-25,13020,13086,12953,13020,69000,OCH
2012-04-26,13086,13152,12820,12887,75000,OCH
2012-04-27,12887,13086,12887,12953,56300,OCH
2012-05-02,12953,13086,12820,12820,66400,OCH
2012-05-03,12887,13617,12820,13020,27300,OCH
2012-05-04,13086,13152,12953,13086,82000,OCH
2012-05-07,13219,13219,13020,13086,51900,OCH
2012-05-08,13152,13152,12953,12953,70600,OCH
2012-05-09,12953,13219,12887,12887,95100,OCH
2012-05-10,12953,13020,12820,12820,31000,OCH
2012-05-11,12953,13020,12687,12754,57500,OCH
2012-05-14,12754,12887,12555,12555,51400,OCH
2012-05-15,12422,12555,12355,12488,50400,OCH
2012-05-16,12555,12687,12555,12555,39600,OCH
2012-05-17,12621,12820,12621,12621,44600,OCH
2012-05-18,12621,12687,12488,12555,31000,OCH
2012-05-21,12555,12820,12555,12687,65000,OCH
2012-05-22,12687,12754,12555,12555,33600,OCH
2012-05-23,12555,12687,12488,12555,51000,OCH
2012-05-24,12488,12555,12355,12422,45700,OCH
2012-05-25,12488,12754,12488,12621,53200,OCH
2012-05-28,12687,12820,12621,12621,41600,OCH
2012-05-29,12621,12621,12488,12555,48100,OCH
2012-05-30,12555,12754,12555,12621,42000,OCH
2012-05-31,12621,12621,12488,12555,44000,OCH
2012-06-01,12621,12820,12555,12621,59200,OCH
2012-06-04,13352,13352,13285,13285,7800,OCH
2012-06-05,12887,12887,12687,12754,40000,OCH
2012-06-06,12754,12887,12621,12754,37100,OCH
2012-06-07,12754,12820,12687,12754,11200,OCH
2012-06-08,12754,12754,12621,12621,30400,OCH
2012-06-11,12621,12687,12555,12687,35100,OCH
2012-06-12,12621,12687,12555,12621,28300,OCH
2012-06-13,12687,12687,12555,12621,28500,OCH
2012-06-14,12687,12687,12488,12555,26300,OCH
2012-06-15,12621,12621,12355,12422,38000,OCH
2012-06-18,12488,12488,11957,11957,48500,OCH
2012-06-19,12023,12090,11890,11957,96300,OCH
2012-06-20,12023,12222,11957,12090,102000,OCH
2012-06-21,12090,12222,12023,12222,94100,OCH
2012-06-22,12222,12222,12090,12156,103500,OCH
2012-06-25,12156,12289,12090,12156,94700,OCH
2012-06-26,12222,12222,12090,12090,91600,OCH
2012-06-27,12156,12289,12156,12222,87700,OCH
2012-06-28,12222,12289,12156,12222,106100,OCH
2012-06-29,12289,12355,12222,12289,97500,OCH
2012-07-02,12289,12422,12289,12355,103000,OCH
2012-07-03,12355,12422,12222,12289,101500,OCH
2012-07-04,12355,12488,12289,12289,106800,OCH
2012-07-05,11890,12422,11890,12289,93700,OCH
2012-07-06,12289,12422,12222,12355,83500,OCH
2012-07-09,12289,12355,12222,12222,127900,OCH
2012-07-10,12156,12289,12090,12222,115500,OCH
2012-07-11,12289,12355,12222,12289,109500,OCH
2012-07-12,12289,12355,12090,12289,107000,OCH
2012-07-13,12289,12422,12289,12355,78900,OCH
2012-07-16,12355,12422,12156,12289,124500,OCH
2012-07-17,12289,12355,12289,12355,74900,OCH
2012-07-18,12355,12422,12222,12289,118500,OCH
2012-07-19,12289,12422,12222,12422,106900,OCH
2012-07-20,12355,12422,12222,12222,89700,OCH
2012-07-23,12222,12289,12156,12289,11300,OCH
2012-07-24,12222,12355,12222,12289,13100,OCH
2012-07-25,12222,12289,12156,12222,74500,OCH
2012-07-26,12289,12289,12222,12289,44800,OCH
2012-07-27,12289,12355,12156,12222,55500,OCH
2012-07-30,12222,12222,12156,12156,61000,OCH
2012-07-31,12222,12222,12090,12156,101000,OCH
2012-08-01,12156,12156,12090,12156,86000,OCH
2012-08-02,12222,12222,12090,12156,78000,OCH
2012-08-03,12156,12222,12090,12222,53500,OCH
2012-08-06,12222,12289,12156,12289,50500,OCH
2012-08-07,12289,12289,12156,12222,78300,OCH
2012-08-08,12289,12289,12222,12222,48300,OCH
2012-08-09,12222,12289,12156,12222,71700,OCH
2012-08-10,12156,12222,12090,12156,63000,OCH
2012-08-13,12090,12156,12023,12156,103500,OCH
2012-08-14,12156,12222,12156,12156,54500,OCH
2012-08-15,12156,12222,12023,12156,99800,OCH
2012-08-16,12222,12222,12023,12156,79300,OCH
2012-08-17,11957,12156,11957,12156,21600,OCH
2012-08-20,12156,12156,12090,12156,45000,OCH
2012-08-21,12090,12090,11691,11757,52700,OCH
2012-08-22,11625,11691,11492,11691,46500,OCH
2012-08-23,11625,11625,11093,11492,56500,OCH
2012-08-24,11292,11625,11093,11625,39500,OCH
2012-08-27,11625,11625,11492,11492,21500,OCH
2012-08-28,11292,11492,11292,11492,35000,OCH
2012-08-29,11492,11691,11492,11691,29500,OCH
2012-08-30,11691,11757,11691,11757,25700,OCH
2012-08-31,11757,11757,11625,11625,52000,OCH
2012-09-04,11757,11890,11757,11890,25800,OCH
2012-09-05,11957,11957,11757,11824,36000,OCH
2012-09-06,11824,11824,11691,11757,17500,OCH
2012-09-07,11757,11824,11757,11824,17500,OCH
2012-09-10,11824,11824,11625,11757,30500,OCH
2012-09-11,11691,11691,11625,11691,21500,OCH
2012-09-12,11691,11824,11691,11757,20500,OCH
2012-09-13,11757,11890,11757,11890,22000,OCH
2012-09-14,11957,12023,11957,12023,27500,OCH
2012-09-17,12023,12090,11957,12023,26000,OCH
2012-09-18,12023,12090,11890,11890,25500,OCH
2012-09-19,11824,11890,11757,11824,20500,OCH
2012-09-20,11890,12023,11691,11691,21000,OCH
2012-09-21,11691,11824,11625,11824,30500,OCH
2012-09-24,11890,11957,11757,11757,24500,OCH
2012-09-25,11691,11824,11691,11757,24500,OCH
2012-09-26,11691,11757,11691,11757,17600,OCH
2012-09-27,11757,11824,11691,11757,16500,OCH
2012-09-28,11625,11691,11558,11625,15500,OCH
2012-10-01,11558,11558,11492,11558,14300,OCH
2012-10-02,11558,11625,11425,11558,19500,OCH
2012-10-03,11558,11625,11558,11625,16000,OCH
2012-10-04,11625,11691,11625,11625,11500,OCH
2012-10-05,11625,11691,11625,11691,11500,OCH
2012-10-08,11691,11824,11691,11824,11500,OCH
2012-10-09,11824,11890,11824,11890,14500,OCH
2012-10-10,11890,11957,11824,11890,15500,OCH
2012-10-11,11890,11957,11890,11890,13500,OCH
2012-10-12,11890,11890,11824,11890,10500,OCH
2012-10-15,11957,12023,11890,11890,12500,OCH
2012-10-16,11890,11957,11890,11957,8200,OCH
2012-10-17,11957,11957,11890,11890,11500,OCH
2012-10-18,11890,11957,11890,11890,12000,OCH
2012-10-19,11890,11957,11824,11824,13500,OCH
2012-10-22,11757,11757,11691,11691,11500,OCH
2012-10-23,11691,11757,11691,11691,9500,OCH
2012-10-24,11691,11757,11691,11757,12500,OCH
2012-10-25,11757,11757,11691,11691,7500,OCH
2012-10-26,11691,11757,11625,11757,12000,OCH
2012-10-29,11757,11757,11691,11757,8000,OCH
2012-10-30,11757,11824,11691,11757,12500,OCH
2012-10-31,11757,11757,11691,11757,11500,OCH
2012-11-01,11757,11824,11757,11824,16000,OCH
2012-11-02,11757,11757,11691,11691,12500,OCH
2012-11-05,11691,11691,11625,11691,8500,OCH
2012-11-06,11691,11691,11625,11691,11500,OCH
2012-11-07,11625,11757,11625,11757,8500,OCH
2012-11-08,11757,11824,11691,11824,8500,OCH
2012-11-09,11824,11890,11824,11890,11500,OCH
2012-11-12,11890,11957,11890,11957,5500,OCH
2012-11-13,11957,11957,11890,11890,7500,OCH
2012-11-14,11890,11957,11890,11890,6000,OCH
2012-11-15,11890,11890,11757,11757,11000,OCH
2012-11-16,11691,11824,11691,11757,11500,OCH
2012-11-19,11757,11757,11691,11691,7000,OCH
2012-11-20,11691,11691,11625,11691,5500,OCH
2012-11-21,11691,11757,11691,11691,7000,OCH
