time,open,high,low,close,volume,ticker
2012-03-20,4350,4380,4330,4380,11890,PAN
2012-03-21,4380,4490,4380,4490,2960,PAN
2012-03-22,4270,4460,4270,4460,14800,PAN
2012-03-23,4300,4300,4300,4300,7300,PAN
2012-03-26,4300,4380,4160,4380,25760,PAN
2012-03-27,4190,4380,4190,4380,12290,PAN
2012-03-28,4190,4350,4190,4210,4640,PAN
2012-03-29,4160,4160,4160,4160,700,PAN
2012-03-30,4160,4300,4100,4300,1310,PAN
2012-04-03,4380,4380,4380,4380,10,PAN
2012-04-04,4410,4410,4210,4380,740,PAN
2012-04-05,4210,4440,4210,4210,30120,PAN
2012-04-06,4380,4410,4270,4410,8130,PAN
2012-04-09,4490,4490,4440,4490,22780,PAN
2012-04-10,4440,4570,4440,4570,7890,PAN
2012-04-11,4570,4600,4440,4600,8030,PAN
2012-04-12,4660,4820,4660,4820,136400,PAN
2012-04-13,4740,4800,4710,4710,18000,PAN
2012-04-16,4820,4820,4710,4710,1490,PAN
2012-04-17,4820,4850,4600,4850,10170,PAN
2012-04-18,5020,5020,4850,4960,2590,PAN
2012-04-19,4940,4940,4740,4880,2750,PAN
2012-04-20,4880,4880,4880,4880,0,PAN
2012-04-23,4710,4740,4710,4710,11980,PAN
2012-04-24,4550,4820,4550,4820,3330,PAN
2012-04-25,4850,4850,4850,4850,70,PAN
2012-04-26,4660,4820,4660,4820,1010,PAN
2012-04-27,4850,4850,4850,4850,30,PAN
2012-05-02,4850,4880,4690,4690,1230,PAN
2012-05-03,4660,4850,4660,4710,6530,PAN
2012-05-04,4710,4740,4710,4740,4340,PAN
2012-05-07,4820,4910,4740,4910,96540,PAN
2012-05-08,4940,4940,4850,4940,73440,PAN
2012-05-09,4850,4990,4850,4990,39330,PAN
2012-05-10,4990,5130,4990,5020,63460,PAN
2012-05-11,4990,4990,4850,4960,58830,PAN
2012-05-14,4940,4940,4800,4800,91400,PAN
2012-05-15,4800,4960,4800,4800,31340,PAN
2012-05-16,4850,4910,4800,4910,5610,PAN
2012-05-17,4800,4880,4800,4850,8010,PAN
2012-05-18,4820,4850,4770,4850,10080,PAN
2012-05-21,4850,4850,4820,4850,8990,PAN
2012-05-22,4800,4800,4800,4800,18200,PAN
2012-05-23,4740,4740,4710,4710,30200,PAN
2012-05-24,4690,4710,4520,4520,31520,PAN
2012-05-25,4740,4740,4740,4740,11000,PAN
2012-05-28,4740,4740,4740,4740,1800,PAN
2012-05-29,4800,4850,4740,4850,13000,PAN
2012-05-30,4770,4960,4770,4960,210,PAN
2012-05-31,4740,4740,4740,4740,540,PAN
2012-06-01,4740,4800,4740,4800,5970,PAN
2012-06-04,4690,4690,4690,4690,5000,PAN
2012-06-05,4690,4710,4690,4710,1100,PAN
2012-06-06,4820,4820,4690,4740,58750,PAN
2012-06-07,4740,4740,4740,4740,200,PAN
2012-06-08,4740,4740,4740,4740,5000,PAN
2012-06-11,4740,4850,4740,4740,66760,PAN
2012-06-12,4710,4740,4710,4740,28500,PAN
2012-06-13,4740,4820,4740,4820,10270,PAN
2012-06-14,4710,4740,4690,4740,34400,PAN
2012-06-15,4710,4800,4710,4770,31680,PAN
2012-06-18,4690,4800,4690,4800,2200,PAN
2012-06-19,4710,4710,4660,4710,36740,PAN
2012-06-20,4710,4710,4710,4710,51300,PAN
2012-06-21,4710,4710,4710,4710,48000,PAN
2012-06-22,4660,4710,4660,4710,3040,PAN
2012-06-25,4710,4710,4710,4710,59410,PAN
2012-06-26,4710,4710,4710,4710,23000,PAN
2012-06-27,4710,4710,4710,4710,63180,PAN
2012-06-28,4710,4710,4710,4710,68950,PAN
2012-06-29,4690,4710,4690,4710,69380,PAN
2012-07-02,4710,4710,4710,4710,58770,PAN
2012-07-03,4710,4710,4710,4710,62340,PAN
2012-07-04,4710,4710,4710,4710,37010,PAN
2012-07-05,4660,4710,4660,4710,2600,PAN
2012-07-06,4850,4850,4710,4710,1500,PAN
2012-07-09,4710,4710,4710,4710,4900,PAN
2012-07-10,4710,4710,4490,4710,510,PAN
2012-07-11,4710,4710,4710,4710,0,PAN
2012-07-12,4710,4710,4710,4710,0,PAN
2012-07-13,4710,4710,4710,4710,20,PAN
2012-07-16,4710,4710,4710,4710,600,PAN
2012-07-17,4710,4710,4660,4710,4510,PAN
2012-07-18,4770,4770,4740,4740,15690,PAN
2012-07-19,4740,4740,4710,4740,67930,PAN
2012-07-20,4740,4960,4740,4910,55140,PAN
2012-07-23,4910,4940,4710,4770,67950,PAN
2012-07-24,4770,4770,4770,4770,1510,PAN
2012-07-25,4770,4770,4770,4770,1000,PAN
2012-07-26,4770,4770,4770,4770,2500,PAN
2012-07-27,4690,4820,4690,4820,810,PAN
2012-07-30,4820,4820,4820,4820,0,PAN
2012-07-31,4820,4820,4820,4820,0,PAN
2012-08-01,4690,4690,4690,4690,90,PAN
2012-08-02,4710,4800,4710,4770,5320,PAN
2012-08-03,4710,4800,4710,4740,5030,PAN
2012-08-06,4740,4940,4740,4800,42000,PAN
2012-08-07,4800,4910,4770,4910,6620,PAN
2012-08-08,4740,4740,4740,4740,1200,PAN
2012-08-09,4940,4940,4850,4880,39270,PAN
2012-08-10,4910,4910,4770,4880,5020,PAN
2012-08-13,4770,4770,4770,4770,5500,PAN
2012-08-14,4800,4910,4800,4820,15910,PAN
2012-08-15,4910,4940,4850,4850,20170,PAN
2012-08-16,4850,4850,4800,4800,7500,PAN
2012-08-17,4910,4910,4910,4910,30,PAN
2012-08-20,4710,4800,4710,4740,3470,PAN
2012-08-21,4740,4740,4660,4660,21220,PAN
2012-08-22,4660,4710,4660,4710,10360,PAN
2012-08-23,4710,4710,4660,4710,71360,PAN
2012-08-24,4710,4710,4660,4710,50710,PAN
2012-08-27,4690,4710,4630,4710,25210,PAN
2012-08-28,4710,4740,4710,4740,16790,PAN
2012-08-29,4570,4910,4570,4770,65290,PAN
2012-08-30,4850,4850,4770,4800,10460,PAN
2012-08-31,4800,4800,4770,4800,19310,PAN
2012-09-04,4800,4880,4800,4800,17010,PAN
2012-09-05,4800,4800,4800,4800,11000,PAN
2012-09-06,4770,4800,4770,4800,18000,PAN
2012-09-07,4800,4800,4800,4800,10000,PAN
2012-09-10,4710,4770,4710,4740,8510,PAN
2012-09-11,4570,4880,4570,4850,26350,PAN
2012-09-12,4800,4910,4800,4820,35540,PAN
2012-09-13,4800,4850,4800,4850,13700,PAN
2012-09-14,4800,4960,4800,4880,33250,PAN
2012-09-17,4880,4910,4880,4880,10010,PAN
2012-09-18,4880,4880,4820,4880,13000,PAN
2012-09-19,4880,4880,4880,4880,10000,PAN
2012-09-20,4880,4880,4880,4880,15000,PAN
2012-09-21,4800,4990,4800,4990,7930,PAN
2012-09-24,4740,4740,4740,4740,100,PAN
2012-09-25,4630,4740,4600,4740,155250,PAN
2012-09-26,4740,4740,4740,4740,0,PAN
2012-09-27,4550,4960,4550,4960,172400,PAN
2012-09-28,4740,4740,4740,4740,2000,PAN
2012-10-01,4740,4740,4740,4740,0,PAN
2012-10-02,4710,4940,4710,4910,2120,PAN
2012-10-03,4910,4910,4910,4910,4000,PAN
2012-10-04,4710,4960,4710,4850,122420,PAN
2012-10-05,4850,4850,4850,4850,7000,PAN
2012-10-08,4910,5070,4910,4910,48850,PAN
2012-10-09,4940,5070,4940,5020,31670,PAN
2012-10-10,5070,5070,4990,5070,35640,PAN
2012-10-11,5130,5300,5130,5160,66960,PAN
2012-10-12,5160,5350,5160,5270,23500,PAN
2012-10-15,5350,5350,5100,5300,4640,PAN
