time,open,high,low,close,volume,ticker
2016-11-16,11050,11050,10620,11000,862130,PC1
2016-11-17,11260,11770,11210,11770,873160,PC1
2016-11-18,12590,12590,12510,12550,1068000,PC1
2016-11-21,12540,12540,11680,11680,607680,PC1
2016-11-22,11260,11800,11030,11130,465470,PC1
2016-11-23,11000,11130,10360,10360,2309890,PC1
2016-11-24,9770,9980,9650,9650,913610,PC1
2016-11-25,9160,9470,8980,9470,1011670,PC1
2016-11-28,9420,9720,8850,9210,238470,PC1
2016-11-29,9210,9520,9210,9240,179150,PC1
2016-11-30,9210,9370,9210,9340,325960,PC1
2016-12-01,9320,9670,9320,9520,255910,PC1
2016-12-02,9520,9620,9440,9470,279530,PC1
2016-12-05,9470,9490,9310,9370,386860,PC1
2016-12-06,9310,9420,9240,9420,275940,PC1
2016-12-07,9260,9520,9260,9470,204120,PC1
2016-12-08,9490,9580,9370,9370,83490,PC1
2016-12-09,9370,9470,9310,9370,149510,PC1
2016-12-12,9290,9340,9260,9290,328030,PC1
2016-12-13,9260,9370,9260,9300,227040,PC1
2016-12-14,9310,9770,9300,9630,289320,PC1
2016-12-15,9700,9700,9470,9590,121460,PC1
2016-12-16,9590,9590,9420,9470,273060,PC1
2016-12-19,9560,9560,9410,9480,366210,PC1
2016-12-20,9580,9580,9450,9470,178430,PC1
2016-12-21,9470,9520,9440,9450,127890,PC1
2016-12-22,9440,9480,9430,9450,214740,PC1
2016-12-23,9430,9470,9340,9450,185720,PC1
2016-12-26,9450,9450,9360,9440,166100,PC1
2016-12-27,9370,9440,9370,9440,132930,PC1
2016-12-28,9440,9440,9310,9430,280890,PC1
2016-12-29,9340,9420,9260,9310,117820,PC1
2016-12-30,9340,9390,9210,9210,92090,PC1
2017-01-03,9290,9290,8960,9210,136180,PC1
2017-01-04,9210,9420,9080,9390,98230,PC1
2017-01-05,9290,9390,9240,9340,24630,PC1
2017-01-06,9240,9340,9210,9310,44520,PC1
2017-01-09,9310,9310,9190,9190,49080,PC1
2017-01-10,9160,9260,9080,9160,150940,PC1
2017-01-11,9160,9310,9160,9240,274730,PC1
2017-01-12,9240,9300,9210,9300,111900,PC1
2017-01-13,9210,9300,9190,9260,160790,PC1
2017-01-16,9260,9260,8960,8960,91380,PC1
2017-01-17,8980,9130,8960,9080,59720,PC1
2017-01-18,9210,9210,8960,8980,62300,PC1
2017-01-19,9110,9130,8950,9110,130150,PC1
2017-01-20,9080,9210,9010,9210,160040,PC1
2017-01-23,9160,9240,9080,9210,60460,PC1
2017-01-24,9080,9210,9010,9010,23470,PC1
2017-01-25,9010,9160,8980,9130,10780,PC1
2017-02-02,9110,9240,9110,9210,59260,PC1
2017-02-03,9210,9260,9190,9260,136920,PC1
2017-02-06,9260,9260,9130,9210,43430,PC1
2017-02-07,9210,9210,9160,9210,107220,PC1
2017-02-08,9210,9210,9080,9190,74850,PC1
