time,open,high,low,close,volume,ticker
2017-04-21,37670,37670,33450,35560,4820970,PLX
2017-04-24,35560,35990,34900,35200,1757390,PLX
2017-04-25,34980,35200,32759,32840,2533550,PLX
2017-04-26,31340,32360,31340,32070,1743790,PLX
2017-04-27,32070,33370,32070,33370,825430,PLX
2017-04-28,33530,34170,33530,33920,781910,PLX
2017-05-03,33920,34040,33450,34000,521490,PLX
2017-05-04,34000,34540,33960,34540,2947740,PLX
2017-05-05,34250,34540,34170,34250,1274310,PLX
2017-05-08,34170,34540,33880,34540,1414880,PLX
2017-05-09,34540,34540,34110,34110,864620,PLX
2017-05-10,34110,34470,34110,34250,2706150,PLX
2017-05-11,34250,36150,34250,35340,3351200,PLX
2017-05-12,35340,35560,35200,35340,1272460,PLX
2017-05-15,35090,35770,34900,35410,2429190,PLX
2017-05-16,35700,37810,35410,37160,3627190,PLX
2017-05-17,37090,37810,36720,37090,1642560,PLX
2017-05-18,36940,38530,36940,38530,3077950,PLX
2017-05-19,39120,41230,38750,41230,4369030,PLX
2017-05-22,43480,44070,42900,44070,3062670,PLX
2017-05-23,44360,46910,44070,44070,2839240,PLX
2017-05-24,44070,44130,41800,42900,1789900,PLX
2017-05-25,42900,43700,42610,42900,684100,PLX
2017-05-26,42310,42830,41880,42250,1237030,PLX
2017-05-29,42180,43990,42180,43700,967250,PLX
2017-05-30,43700,45150,43700,44360,1067000,PLX
2017-05-31,44720,44870,43920,44500,714650,PLX
2017-06-01,44500,44940,44500,44500,522880,PLX
2017-06-02,44130,44500,43410,43410,1244790,PLX
2017-06-05,43410,44940,43050,44430,665100,PLX
2017-06-06,44430,44720,44210,44720,554760,PLX
2017-06-07,44640,44940,44360,44430,626820,PLX
2017-06-08,44430,44580,44210,44430,325680,PLX
2017-06-09,44360,46110,44360,45530,1104760,PLX
2017-06-12,45530,46910,45300,45810,830860,PLX
2017-06-13,45960,46320,45590,45810,422580,PLX
2017-06-14,45660,45810,45020,45810,848170,PLX
2017-06-15,45450,46030,45150,45660,546160,PLX
2017-06-16,45380,45810,45300,45380,369590,PLX
2017-06-19,45300,46400,45300,46400,797760,PLX
2017-06-20,46540,47560,46460,47560,1506260,PLX
2017-06-21,47640,48720,46830,48650,980190,PLX
2017-06-22,49160,50750,49080,50530,1121960,PLX
2017-06-23,50680,52350,50610,51920,1825360,PLX
2017-06-26,52350,53300,51770,52210,1137940,PLX
2017-06-27,51840,52070,50020,50020,1547410,PLX
2017-06-28,49730,50680,48940,49890,1212630,PLX
2017-06-29,50020,51040,49380,50530,980940,PLX
2017-06-30,50830,50980,50180,50180,846590,PLX
2017-07-03,50400,50610,49810,50100,1235890,PLX
2017-07-04,49730,49890,48860,49230,983220,PLX
2017-07-05,49160,50470,48940,50020,493040,PLX
2017-07-06,50020,51770,49450,51620,1697930,PLX
2017-07-07,51410,51620,50470,50530,1345800,PLX
2017-07-10,49810,50470,49590,50020,1149130,PLX
2017-07-11,50020,50020,49450,50020,669300,PLX
2017-07-12,50680,50750,50020,50020,905250,PLX
2017-07-13,50180,51040,50180,51040,1069020,PLX
2017-07-14,51490,51620,50910,50910,766980,PLX
2017-07-17,50910,51190,49890,49960,613290,PLX
2017-07-18,49670,50320,49590,50100,796070,PLX
2017-07-19,50020,50830,50020,50400,998340,PLX
2017-07-20,50540,50700,49480,49640,583230,PLX
2017-07-21,49640,50010,49480,49640,615940,PLX
2017-07-24,48870,49640,47740,47740,1064220,PLX
2017-07-25,46980,49260,46220,49180,1548220,PLX
2017-07-26,49410,49410,48720,48950,328670,PLX
2017-07-27,48570,48570,47590,47590,883020,PLX
2017-07-28,47510,48650,47060,48650,505210,PLX
2017-07-31,48490,48490,47590,47590,291180,PLX
2017-08-01,47140,48270,47140,47740,420960,PLX
2017-08-02,47590,48120,47060,47890,347480,PLX
2017-08-03,47740,47890,47510,47740,331860,PLX
2017-08-04,47590,48420,47510,48190,515090,PLX
2017-08-07,48190,50620,48120,50620,1648590,PLX
2017-08-08,50620,52280,50620,51150,1347990,PLX
2017-08-09,51150,51530,49640,49870,699190,PLX
2017-08-10,49260,50010,49100,49410,283290,PLX
2017-08-11,49260,49940,48650,48870,186140,PLX
2017-08-14,48870,50170,48650,50010,264910,PLX
2017-08-15,50240,50240,49640,50240,269720,PLX
2017-08-16,50240,50540,49640,50090,578890,PLX
2017-08-17,50090,50240,49870,49870,202030,PLX
2017-08-18,49870,50320,49790,50090,287630,PLX
2017-08-21,50770,51460,50620,51010,1445250,PLX
2017-08-22,51300,51380,50240,50540,211800,PLX
2017-08-23,50240,50620,50170,50540,103940,PLX
2017-08-24,50480,51380,50320,51230,865230,PLX
2017-08-25,51230,51830,51010,51150,501000,PLX
2017-08-28,51150,51910,51010,51760,939860,PLX
2017-08-29,51600,52060,51380,51530,544800,PLX
2017-08-30,51300,51530,50770,50770,357560,PLX
2017-08-31,50770,51300,50480,50620,403980,PLX
