time,open,high,low,close,volume,ticker
2018-05-07,17460,17920,16079,17920,31200,PRT
2018-05-08,19200,19200,17460,17460,4800,PRT
2018-05-09,18740,18740,16530,16530,23300,PRT
2018-05-10,16530,16530,16170,16170,22000,PRT
2018-05-11,16820,16820,16079,16530,10200,PRT
2018-05-14,16079,16079,15990,15990,33000,PRT
2018-05-15,16079,16530,16079,16530,4800,PRT
2018-05-16,16530,16530,16530,16530,5700,PRT
2018-05-17,16079,16079,15990,16079,34500,PRT
2018-05-18,16079,16079,16079,16079,0,PRT
2018-05-21,15890,15990,15620,15620,55600,PRT
2018-05-22,15620,15890,15620,15890,1500,PRT
2018-05-23,16079,16079,16079,16079,300,PRT
2018-05-24,16079,16079,16079,16079,0,PRT
2018-05-25,16079,16079,16079,16079,0,PRT
2018-05-28,15620,15890,15160,15890,7200,PRT
2018-05-29,15440,15440,15440,15440,800,PRT
2018-05-30,15800,15800,15800,15800,20000,PRT
2018-05-31,16079,16079,16079,16079,2000,PRT
2018-06-01,16079,16079,16079,16079,0,PRT
2018-06-04,15800,15800,15800,15800,3800,PRT
2018-06-05,15800,15800,15800,15800,0,PRT
2018-06-06,15250,15800,15250,15800,200,PRT
2018-06-07,16079,16079,16079,16079,900,PRT
2018-06-08,16079,16079,16079,16079,0,PRT
2018-06-11,16079,16079,16079,16079,0,PRT
2018-06-12,15070,15070,15070,15070,400,PRT
2018-06-13,15070,15070,15070,15070,0,PRT
2018-06-14,15800,15800,15800,15800,100,PRT
2018-06-15,15710,15710,15620,15620,4300,PRT
2018-06-18,15520,15620,14790,15620,14400,PRT
2018-06-19,14980,15520,14700,14700,23660,PRT
2018-06-20,14880,14880,14610,14610,15310,PRT
2018-06-21,14700,14880,14240,14610,15300,PRT
2018-06-22,14790,14790,14240,14520,28300,PRT
2018-06-25,14340,14340,14340,14340,200,PRT
2018-06-26,14340,14340,14240,14240,7000,PRT
2018-06-27,14700,14700,14520,14520,2000,PRT
2018-06-28,14610,14610,14610,14610,0,PRT
2018-06-29,13880,14150,13780,13880,17400,PRT
2018-07-02,14700,15160,13780,14240,15210,PRT
2018-07-03,14420,14420,14240,14240,11500,PRT
2018-07-04,15620,15620,14700,14700,50100,PRT
2018-07-05,14700,15350,14700,15350,2000,PRT
2018-07-06,15160,15520,14700,15520,54100,PRT
2018-07-09,15160,15160,14880,14980,45000,PRT
2018-07-10,15620,15620,15620,15620,5000,PRT
2018-07-11,14700,14700,14700,14700,1000,PRT
2018-07-12,15160,15160,15160,15160,16000,PRT
2018-07-13,15160,15160,15160,15160,0,PRT
2018-07-16,15160,15160,15160,15160,0,PRT
2018-07-17,15160,15160,15160,15160,0,PRT
2018-07-18,15160,15160,15160,15160,400,PRT
2018-07-19,15160,15160,15160,15160,0,PRT
2018-07-20,15160,15160,15160,15160,20700,PRT
2018-07-23,15160,15160,15160,15160,0,PRT
2018-07-24,15160,15160,15160,15160,1000,PRT
2018-07-25,15620,15620,15620,15620,1000,PRT
2018-07-26,15160,15160,15160,15160,1000,PRT
2018-07-27,15620,15710,15620,15710,3006,PRT
2018-07-30,15710,15710,15710,15710,0,PRT
2018-07-31,15710,15710,15710,15710,0,PRT
2018-08-01,15710,15710,15710,15710,0,PRT
2018-08-02,14700,14700,14700,14700,1000,PRT
2018-08-03,15710,15710,15710,15710,100,PRT
2018-08-06,14700,14700,14700,14700,2200,PRT
2018-08-07,14700,14700,14700,14700,2000,PRT
2018-08-08,14700,14700,14700,14700,1800,PRT
2018-08-09,14700,14700,14700,14700,0,PRT
2018-08-10,14700,14700,14700,14700,1000,PRT
2018-08-13,14700,14700,14700,14700,0,PRT
2018-08-14,14700,14700,14700,14700,4,PRT
2018-08-15,14700,14700,14700,14700,0,PRT
2018-08-16,15160,15160,15160,15160,300,PRT
2018-08-17,15710,15710,15710,15710,3600,PRT
2018-08-20,15710,15710,15710,15710,0,PRT
2018-08-21,15710,15710,15710,15710,0,PRT
2018-08-22,15710,15710,15710,15710,0,PRT
2018-08-23,15710,15710,15710,15710,0,PRT
2018-08-24,15710,15710,15710,15710,0,PRT
2018-08-27,15620,15620,15620,15620,20000,PRT
2018-08-28,15620,15620,15620,15620,0,PRT
2018-08-29,15620,15620,15620,15620,4000,PRT
2018-08-30,14700,15620,14700,15620,1100,PRT
2018-08-31,14790,14790,14790,14790,0,PRT
2018-09-04,15620,15620,15620,15620,110,PRT
2018-09-05,15620,15620,15620,15620,13000,PRT
2018-09-06,15620,15620,15620,15620,0,PRT
2018-09-07,15160,15160,15160,15160,10050,PRT
2018-09-10,15160,15160,15160,15160,0,PRT
2018-09-11,15160,15160,15160,15160,0,PRT
2018-09-12,15620,15620,14700,15620,24650,PRT
2018-09-13,15620,15620,15620,15620,168,PRT
2018-09-14,14790,14790,14700,14700,11900,PRT
