time,open,high,low,close,volume,ticker
2016-12-20,37290,37290,37290,37290,174000,QNS
2016-12-21,42900,42900,32630,33980,358284,QNS
2016-12-22,33980,33980,30780,30860,511765,QNS
2016-12-23,28670,33980,28670,32040,200197,QNS
2016-12-26,32930,32930,31830,32060,65420,QNS
2016-12-27,31980,32060,31900,32009,106647,QNS
2016-12-28,32009,32040,31640,31740,79476,QNS
2016-12-29,31470,31800,31290,31670,78400,QNS
2016-12-30,31640,31800,31290,31640,96960,QNS
2017-01-03,31800,31980,31710,31900,55344,QNS
2017-01-04,31980,32460,31870,32299,77150,QNS
2017-01-05,32530,33150,32299,32970,127379,QNS
2017-01-06,32900,33570,32900,33510,139310,QNS
2017-01-09,33440,35320,33440,35320,123351,QNS
2017-01-10,34810,36490,34810,36080,221390,QNS
2017-01-11,35470,36810,35140,36590,159433,QNS
2017-01-12,36650,37500,36490,37110,229238,QNS
2017-01-13,37500,37500,35470,36230,110598,QNS
2017-01-16,36460,36460,34490,34610,69045,QNS
2017-01-17,34170,35140,33150,34340,134672,QNS
2017-01-18,34150,35650,34150,35140,62197,QNS
2017-01-19,35790,35790,34980,35140,45974,QNS
2017-01-20,34980,35320,34930,35110,76399,QNS
2017-01-23,35140,35320,34490,35240,62000,QNS
2017-01-24,35140,35470,35140,35400,23723,QNS
2017-01-25,35360,36460,35360,35870,33930,QNS
2017-02-02,35950,36810,35950,36650,59391,QNS
2017-02-03,36590,37470,36590,37070,149507,QNS
2017-02-06,37150,37790,36530,36710,91966,QNS
2017-02-07,36710,37070,36380,36420,68222,QNS
2017-02-08,36810,36810,36590,36650,42074,QNS
2017-02-09,36490,37110,36490,36990,164362,QNS
2017-02-10,36850,37110,36780,36810,60500,QNS
2017-02-13,36810,36990,36530,36780,41493,QNS
2017-02-14,36560,36990,36560,36630,80849,QNS
2017-02-15,36810,36810,36560,36670,15910,QNS
2017-02-16,36810,36810,36490,36490,87256,QNS
2017-02-17,36490,36590,36420,36490,60830,QNS
2017-02-20,36670,36710,36320,36490,99858,QNS
2017-02-21,36490,36990,36490,36810,96494,QNS
2017-02-22,36740,37070,36740,36960,133807,QNS
2017-02-23,37070,37440,37070,37320,117653,QNS
2017-02-24,37440,40000,37280,38870,308714,QNS
2017-02-27,39160,39840,38710,39840,125834,QNS
2017-02-28,39670,41150,39670,40570,133763,QNS
2017-03-01,40840,41190,39580,40170,99920,QNS
2017-03-02,40670,40670,39810,39840,60621,QNS
2017-03-03,39840,40170,39670,39970,86180,QNS
2017-03-06,39770,40500,39770,40370,109760,QNS
2017-03-07,40310,40670,40210,40570,99309,QNS
2017-03-08,40430,40960,40340,40930,75111,QNS
2017-03-09,41150,41370,41070,41220,80215,QNS
2017-03-10,41300,41500,41240,41470,119764,QNS
2017-03-13,41500,41650,40960,41110,95060,QNS
2017-03-14,41370,41370,40860,41260,121050,QNS
2017-03-15,41330,41650,41330,41530,83658,QNS
2017-03-16,41530,41610,41470,41610,62160,QNS
2017-03-17,41570,42150,41570,42110,116626,QNS
2017-03-20,42180,43110,42180,43110,61310,QNS
2017-03-21,42970,43110,42180,42180,64739,QNS
2017-03-22,42180,42180,41800,42090,98400,QNS
2017-03-23,42180,42180,42050,42110,25000,QNS
2017-03-24,42180,42340,42150,42340,36410,QNS
2017-03-27,42450,42450,41830,41830,46417,QNS
2017-03-28,42050,42180,41770,42150,42550,QNS
2017-03-29,41830,41830,41500,41830,45100,QNS
2017-03-30,41830,42050,41680,41830,15948,QNS
2017-03-31,41730,41730,41110,41190,54832,QNS
2017-04-03,41500,41500,41260,41300,53510,QNS
2017-04-04,41330,41330,40810,40840,43305,QNS
2017-04-05,40900,40900,38830,40020,143511,QNS
2017-04-07,40410,40860,40410,40670,40860,QNS
2017-04-10,40860,41000,40840,40960,23666,QNS
2017-04-11,41190,42150,41190,41530,133229,QNS
2017-04-12,41680,41940,41470,41500,46100,QNS
2017-04-13,41070,41470,40930,41260,23901,QNS
2017-04-14,41190,41330,40900,41030,13870,QNS
2017-04-17,41110,41190,41000,41030,21570,QNS
2017-04-18,41070,41190,40840,40930,60428,QNS
2017-04-19,40930,41110,40930,41110,24800,QNS
2017-04-20,41000,41030,41000,41030,11300,QNS
2017-04-21,40960,41030,40930,41030,25418,QNS
2017-04-24,41030,41870,41030,41870,56533,QNS
2017-04-25,41830,42010,41650,41800,20900,QNS
2017-04-26,42110,42110,41260,41330,16430,QNS
2017-04-27,41500,41500,41260,41470,14000,QNS
2017-04-28,41650,41680,41330,41330,30010,QNS
2017-05-03,42620,42660,41530,41570,29110,QNS
2017-05-04,41830,42880,41830,42490,84343,QNS
2017-05-05,42620,42790,42570,42570,53616,QNS
2017-05-08,42750,42790,41790,42220,27952,QNS
2017-05-09,42100,42100,41830,41830,48893,QNS
2017-05-10,41570,41570,41350,41350,51281,QNS
2017-05-11,41400,41460,41350,41350,32317,QNS
2017-05-12,41350,41350,39800,40360,68072,QNS
2017-05-15,40040,40440,39170,40400,34128,QNS
2017-05-16,39610,40040,39170,39920,27610,QNS
2017-05-17,39840,42220,39840,40130,16000,QNS
2017-05-18,40040,40440,40000,40080,38900,QNS
2017-05-19,40040,40360,40040,40280,39670,QNS
2017-05-22,40040,40280,39920,39920,28200,QNS
2017-05-23,40040,40040,39210,39400,41700,QNS
2017-05-24,39530,39580,39140,39170,49408,QNS
2017-05-25,39360,39400,38750,39170,28830,QNS
2017-05-26,39170,39310,38960,39170,119684,QNS
2017-05-29,39170,39740,39060,39400,131209,QNS
2017-05-30,39400,40000,39170,39700,110900,QNS
2017-05-31,39610,39970,39440,39880,67000,QNS
2017-06-01,39610,39610,39360,39400,18900,QNS
2017-06-02,39400,39400,39170,39260,33040,QNS
2017-06-05,39170,39310,39090,39210,138600,QNS
2017-06-06,39610,39610,39090,39310,56780,QNS
2017-06-07,38880,39210,38750,38830,16400,QNS
2017-06-08,38880,39260,38710,39010,55826,QNS
2017-06-09,39060,39060,38920,38920,11720,QNS
2017-06-12,38570,38620,37310,37650,58300,QNS
2017-06-13,37460,37460,36570,36730,122341,QNS
2017-06-14,36000,36130,33960,35470,130408,QNS
2017-06-15,35120,37790,34830,36690,70039,QNS
2017-06-16,36570,37080,36540,36780,50631,QNS
2017-06-19,36570,37220,36570,36650,53720,QNS
2017-06-20,36650,37010,36570,36730,26200,QNS
2017-06-21,36650,36650,36130,36260,26884,QNS
2017-06-22,36260,36390,35260,36310,84710,QNS
2017-06-23,35910,36820,35610,36230,46300,QNS
2017-06-26,35910,36540,35710,36540,63769,QNS
2017-06-27,35960,36540,35960,36310,51120,QNS
2017-06-28,36130,36390,36130,36390,23033,QNS
2017-06-29,36130,36620,36130,36620,60320,QNS
2017-06-30,36650,37010,36650,36970,88542,QNS
2017-07-03,37010,37010,36490,36570,39093,QNS
2017-07-04,36570,36690,36390,36620,38665,QNS
2017-07-05,36570,36570,36230,36390,58100,QNS
2017-07-06,36340,36570,36130,36570,73623,QNS
2017-07-07,36340,36780,36230,36340,52300,QNS
2017-07-10,36130,36260,35960,36090,78264,QNS
2017-07-11,36130,36130,35960,36000,31460,QNS
2017-07-12,36050,36090,35740,35960,102632,QNS
2017-07-13,35910,36050,35910,35960,21879,QNS
2017-07-14,35960,36050,35710,35870,24873,QNS
2017-07-17,36000,36000,35260,35260,40001,QNS
2017-07-18,35260,35960,34490,35870,95188,QNS
2017-07-19,35090,35820,34990,35220,81500,QNS
2017-07-20,35040,35360,34970,35310,48995,QNS
2017-07-21,35470,36310,35470,35740,76680,QNS
2017-07-24,35310,35710,35310,35470,28374,QNS
2017-07-25,35470,35910,35040,35090,40922,QNS
2017-07-26,34970,35040,34880,34970,36700,QNS
2017-07-27,34970,35220,34830,35160,86157,QNS
2017-07-28,35040,35260,35040,35120,46390,QNS
2017-07-31,34970,35040,34830,34830,46942,QNS
2017-08-01,34930,34930,34240,34240,59210,QNS
2017-08-02,34340,34340,33040,33130,126810,QNS
2017-08-03,33340,33960,33130,33730,42863,QNS
2017-08-04,33730,33870,33130,33290,119424,QNS
2017-08-07,33290,33290,32610,32610,137598,QNS
2017-08-08,32780,32780,30480,31860,305305,QNS
2017-08-09,31620,31770,31340,31620,85480,QNS
