time,open,high,low,close,volume,ticker
2016-12-06,54510,54510,54510,54510,3010,SAB
2016-12-07,58310,58310,58310,58310,30,SAB
2016-12-08,62360,62360,62360,62360,1000,SAB
2016-12-09,62360,66690,62360,66690,3010,SAB
2016-12-12,71360,71360,71360,71360,35690,SAB
2016-12-13,76310,76310,76310,76310,96830,SAB
2016-12-14,81640,81640,81640,81640,154380,SAB
2016-12-15,87340,87340,86720,87340,380050,SAB
2016-12-16,93450,93450,82590,92920,387520,SAB
2016-12-19,87540,92920,87540,87540,168190,SAB
2016-12-20,87140,87340,81430,81430,399710,SAB
2016-12-21,81430,84030,76400,82930,241750,SAB
2016-12-22,86670,86670,83830,83830,52460,SAB
2016-12-23,83830,83830,81390,82590,54810,SAB
2016-12-26,83010,83010,79660,82590,169870,SAB
2016-12-27,82590,83760,80960,83010,69880,SAB
2016-12-28,83760,83760,82630,83380,28530,SAB
2016-12-29,83010,83010,80920,82590,98560,SAB
2016-12-30,83010,83010,81960,82890,96740,SAB
2017-01-03,82890,82890,82140,82590,63170,SAB
2017-01-04,82590,83270,81760,82590,87490,SAB
2017-01-05,82590,83010,82160,82630,27170,SAB
2017-01-06,82970,88000,82680,86370,212390,SAB
2017-01-09,86370,87200,85950,85950,31390,SAB
2017-01-10,86740,86740,84480,85740,44540,SAB
2017-01-11,85520,88050,84680,88050,228480,SAB
2017-01-12,89300,89300,88050,88290,55290,SAB
2017-01-13,88340,88950,88290,88800,37670,SAB
2017-01-16,88460,88460,87200,87620,33890,SAB
2017-01-17,87410,91140,87250,90770,113760,SAB
2017-01-18,90260,94330,90260,93820,103480,SAB
2017-01-19,94330,94330,92230,93820,40040,SAB
2017-01-20,93490,94380,93490,93820,77940,SAB
2017-01-23,93820,93820,92450,93070,44360,SAB
2017-01-24,92230,93910,92230,93070,137100,SAB
2017-01-25,93070,93820,92230,93820,18800,SAB
2017-02-02,93870,93870,91820,91820,18560,SAB
2017-02-03,91140,93440,90720,90970,51700,SAB
2017-02-06,92020,92020,88660,90140,50070,SAB
2017-02-07,90140,92230,89300,90550,76580,SAB
2017-02-08,90550,90970,90140,90260,36350,SAB
2017-02-09,90260,90260,87200,88460,150070,SAB
2017-02-10,88460,89720,88460,89380,35880,SAB
2017-02-13,89380,90020,88050,89460,25240,SAB
2017-02-14,89460,90940,89340,90550,72220,SAB
2017-02-15,90550,90550,89220,89680,84300,SAB
2017-02-16,89720,90550,89720,90310,44230,SAB
2017-02-17,90140,90140,89720,90020,34430,SAB
2017-02-20,89420,91390,89380,91390,103930,SAB
2017-02-21,91230,92230,91230,92070,34930,SAB
2017-02-22,92020,94120,92020,94030,100360,SAB
2017-02-23,94280,95170,93910,95170,130020,SAB
2017-02-24,95590,96430,94750,95170,107840,SAB
2017-02-27,94120,95540,93910,94380,61270,SAB
2017-02-28,94550,94840,94380,94380,50720,SAB
2017-03-01,94380,94750,94330,94710,69440,SAB
2017-03-02,95170,95170,91890,94280,30250,SAB
2017-03-03,93490,94510,92650,94510,20670,SAB
2017-03-06,94330,94550,93070,94120,32990,SAB
2017-03-07,94280,94330,93330,93330,35720,SAB
2017-03-08,93330,93330,91570,91770,14120,SAB
2017-03-09,90600,92650,88890,90550,56450,SAB
2017-03-10,90550,90550,88460,88460,17550,SAB
2017-03-13,88460,88460,86540,86790,30560,SAB
2017-03-14,86790,90970,85190,89720,54260,SAB
2017-03-15,89720,90140,88460,88710,13250,SAB
2017-03-16,88710,89720,86150,89250,7450,SAB
2017-03-17,89250,89250,87200,87200,14250,SAB
2017-03-20,87200,88000,87200,87620,7670,SAB
2017-03-21,87620,87620,85860,86030,61100,SAB
2017-03-22,86030,86320,84060,85110,42630,SAB
2017-03-23,84810,85860,84060,84680,20840,SAB
2017-03-24,84680,84730,83470,83850,101770,SAB
2017-03-27,83850,84060,83430,83850,25830,SAB
2017-03-28,84260,84680,83430,83430,55080,SAB
2017-03-29,83040,85950,83010,83850,35850,SAB
2017-03-30,83850,84680,83850,84680,11700,SAB
