time,open,high,low,close,volume,ticker
2016-12-26,13800,13800,13800,13800,100,SB1
2016-12-27,15840,15840,15840,15840,100,SB1
2016-12-28,18210,18210,18210,18210,200,SB1
2016-12-29,20900,20900,19520,19520,19800,SB1
2016-12-30,18400,19980,18400,18660,2600,SB1
2017-01-03,19710,19710,19710,19710,100,SB1
2017-01-04,17090,18400,16760,18400,4600,SB1
2017-01-05,14790,15380,14790,15310,2700,SB1
2017-01-06,15440,15440,15120,15440,6700,SB1
2017-01-09,13800,14390,13070,13070,5800,SB1
2017-01-10,13670,13670,12420,13150,6200,SB1
2017-01-11,11040,14650,11040,14650,4500,SB1
2017-01-12,15380,15380,13540,14390,1300,SB1
2017-01-13,16040,16040,12490,13470,9400,SB1
2017-01-16,13150,13210,13150,13150,8300,SB1
2017-01-17,13800,14070,13800,14070,600,SB1
2017-01-18,15120,15120,15120,15120,100,SB1
2017-01-19,13210,13800,13210,13470,4300,SB1
2017-01-20,15310,15310,15310,15310,100,SB1
2017-01-23,17020,17020,17020,17020,200,SB1
2017-01-24,14520,14520,14520,14520,500,SB1
2017-01-25,14460,14720,14460,14720,200,SB1
2017-02-02,15120,15120,15120,15120,100,SB1
2017-02-03,13800,13800,13800,13800,5500,SB1
2017-02-06,14720,15120,14720,15120,400,SB1
2017-02-07,14460,14460,14460,14460,300,SB1
2017-02-08,14460,14460,14460,14460,4000,SB1
2017-02-09,15260,15260,15260,15260,100,SB1
2017-02-10,15260,15260,15260,15260,0,SB1
2017-02-13,13590,13730,13400,13730,5300,SB1
2017-02-14,12600,13270,12600,13060,3300,SB1
2017-02-15,14990,14990,13270,13270,300,SB1
2017-02-16,13860,13860,13860,13860,0,SB1
2017-02-17,13270,13270,12930,13270,1100,SB1
2017-02-20,13060,13060,13060,13060,0,SB1
2017-02-21,13270,13270,13270,13270,400,SB1
2017-02-22,14590,14590,13400,13400,2800,SB1
2017-02-23,14260,14260,14260,14260,0,SB1
2017-02-24,13270,13270,12600,13190,6600,SB1
2017-02-27,13270,13270,12600,13270,3100,SB1
2017-02-28,12930,12930,12930,12930,0,SB1
2017-03-01,12930,12930,12930,12930,0,SB1
2017-03-02,12930,12930,12930,12930,0,SB1
2017-03-03,12670,12870,12600,12870,600,SB1
2017-03-06,12670,12670,12670,12670,600,SB1
2017-03-07,12670,12670,12670,12670,0,SB1
2017-03-08,11940,12600,11940,12600,2800,SB1
2017-03-09,12270,12540,11610,11610,6400,SB1
2017-03-10,11880,11880,11880,11880,0,SB1
2017-03-13,11610,11940,11270,11940,3200,SB1
2017-03-14,10950,11270,10950,11270,3200,SB1
2017-03-15,11270,11270,10950,10950,7100,SB1
2017-03-16,10610,11210,10610,11010,5200,SB1
2017-03-17,10870,10870,10870,10870,0,SB1
2017-03-20,12340,12340,11270,11940,1800,SB1
2017-03-21,13730,13730,13660,13660,600,SB1
2017-03-22,11670,11670,11670,11670,1000,SB1
2017-03-23,11670,11670,11670,11670,0,SB1
2017-03-24,13270,13400,11270,11940,2600,SB1
2017-03-27,11880,11940,11610,11880,10100,SB1
2017-03-28,11270,11270,11270,11270,3300,SB1
2017-03-29,11270,11270,11270,11270,0,SB1
2017-03-30,11270,11270,11270,11270,3500,SB1
2017-03-31,11940,11940,11270,11270,2200,SB1
2017-04-03,12600,12600,11270,11940,1200,SB1
2017-04-04,11480,11480,11480,11480,0,SB1
2017-04-05,11480,11480,11480,11480,0,SB1
2017-04-07,11480,11480,11480,11480,0,SB1
2017-04-10,11480,11480,11480,11480,0,SB1
2017-04-11,11610,11940,10950,10950,3400,SB1
2017-04-12,11610,11610,11610,11610,0,SB1
2017-04-13,11610,11610,11610,11610,0,SB1
2017-04-14,11610,11610,11610,11610,0,SB1
2017-04-17,9940,9940,9880,9880,30000,SB1
2017-04-18,9880,9880,9880,9880,1400,SB1
2017-04-19,11340,11340,11340,11340,100,SB1
2017-04-20,10680,10680,10610,10610,1300,SB1
2017-04-21,10610,10610,10610,10610,0,SB1
2017-04-24,10610,10610,10610,10610,0,SB1
2017-04-25,11340,11340,11340,11340,100,SB1
2017-04-26,11340,11340,11340,11340,0,SB1
2017-04-27,10610,10610,9940,9940,1500,SB1
2017-04-28,9940,9940,9940,9940,700,SB1
2017-05-03,10950,10950,10950,10950,700,SB1
2017-05-04,9620,9620,9620,9620,200,SB1
2017-05-05,9620,9620,9620,9620,0,SB1
2017-05-08,10740,10740,10740,10740,3000,SB1
2017-05-09,10150,10150,10150,10150,3100,SB1
2017-05-10,9750,9940,9750,9940,6200,SB1
2017-05-11,9810,9810,9810,9810,0,SB1
2017-05-12,9020,9290,9020,9290,2400,SB1
2017-05-15,10340,10340,9940,10340,7300,SB1
2017-05-16,8950,8950,8950,8950,200,SB1
2017-05-17,8950,8950,8950,8950,0,SB1
2017-05-18,8950,8950,8950,8950,0,SB1
2017-05-19,9290,9290,9290,9290,200,SB1
2017-05-22,9290,9290,9290,9290,400,SB1
2017-05-23,9290,9290,9290,9290,0,SB1
2017-05-24,9350,9350,9350,9350,200,SB1
2017-05-25,8020,9620,8020,9620,3500,SB1
2017-05-26,10210,10210,10210,10210,100,SB1
2017-05-29,9090,10550,9090,10550,500,SB1
2017-05-30,9940,9940,9940,9940,0,SB1
2017-05-31,9880,9880,9880,9880,200,SB1
2017-06-01,9880,9880,9880,9880,0,SB1
2017-06-02,9940,9940,9160,9160,200,SB1
2017-06-05,9290,9290,9290,9290,100,SB1
2017-06-06,9290,9290,9290,9290,0,SB1
2017-06-07,9290,9290,9290,9290,0,SB1
2017-06-08,9290,9620,9290,9620,400,SB1
2017-06-09,9940,9940,9940,9940,100,SB1
2017-06-12,9940,9940,9940,9940,0,SB1
2017-06-13,9940,9940,9940,9940,0,SB1
2017-06-14,9940,9940,9940,9940,1100,SB1
2017-06-15,9940,9940,9940,9940,0,SB1
2017-06-16,9940,9940,9940,9940,2600,SB1
2017-06-19,9940,9940,9940,9940,0,SB1
2017-06-20,8490,8550,8490,8490,8000,SB1
2017-06-21,9750,9750,9750,9750,100,SB1
2017-06-22,9750,9810,9750,9810,1400,SB1
2017-06-23,10640,10640,10130,10280,400,SB1
2017-06-26,10280,10280,10200,10200,400,SB1
2017-06-27,10200,10200,10200,10200,0,SB1
2017-06-28,9770,9770,9770,9770,100,SB1
2017-06-29,9770,10130,9770,10130,1400,SB1
2017-06-30,10130,10130,10130,10130,1000,SB1
2017-07-03,10130,10130,10130,10130,0,SB1
2017-07-04,10130,10130,10130,10130,0,SB1
2017-07-05,10130,10130,10130,10130,0,SB1
2017-07-06,9980,9980,9980,9980,200,SB1
2017-07-07,9980,9980,9980,9980,0,SB1
2017-07-10,9920,9980,9920,9920,1000,SB1
2017-07-11,9920,9920,9920,9920,0,SB1
2017-07-12,9920,9920,9920,9920,0,SB1
2017-07-13,9920,9920,9920,9920,0,SB1
2017-07-14,9920,9920,9920,9920,0,SB1
2017-07-17,10130,10130,10130,10130,1700,SB1
2017-07-18,10130,10130,10130,10130,100,SB1
2017-07-19,9980,9980,9980,9980,1200,SB1
2017-07-20,9980,9980,9980,9980,0,SB1
2017-07-21,10130,10130,10130,10130,500,SB1
2017-07-24,10130,10130,10130,10130,0,SB1
2017-07-25,10130,10130,10130,10130,0,SB1
2017-07-26,9980,9980,9980,9980,100,SB1
2017-07-27,10850,10850,10850,10850,100,SB1
