time,open,high,low,close,volume,ticker
2017-01-23,11170,11170,11170,11170,100,SBL
2017-01-24,12810,12810,12810,12810,100,SBL
2017-01-25,14690,14690,14690,14690,1100,SBL
2017-02-02,16420,16420,16420,16420,2100,SBL
2017-02-03,16420,17360,16420,17360,7400,SBL
2017-02-06,16460,16460,16420,16420,3300,SBL
2017-02-07,16420,16420,16420,16420,0,SBL
2017-02-08,14070,15480,14070,15480,700,SBL
2017-02-09,15950,15950,12900,15250,900,SBL
2017-02-10,15480,15480,12810,12810,700,SBL
2017-02-13,14780,15250,14780,15250,2500,SBL
2017-02-14,14550,14550,13420,13420,200,SBL
2017-02-15,12430,14440,12430,14440,200,SBL
2017-02-16,13650,13650,13650,13650,5000,SBL
2017-02-17,13650,13650,13650,13650,1600,SBL
2017-02-20,13650,13650,13650,13650,0,SBL
2017-02-21,13370,13370,13370,13370,4000,SBL
2017-02-22,13370,13370,13370,13370,0,SBL
2017-02-23,13370,13370,13370,13370,0,SBL
2017-02-24,13370,13370,13370,13370,0,SBL
2017-02-27,13370,13370,13370,13370,0,SBL
2017-02-28,13370,13370,13370,13370,0,SBL
2017-03-01,14580,14580,14580,14580,2000,SBL
2017-03-02,16040,16040,16040,16040,500,SBL
2017-03-03,13850,16040,13850,16040,2200,SBL
2017-03-06,15800,15800,15800,15800,200,SBL
2017-03-07,15800,15800,15800,15800,200,SBL
2017-03-08,15800,15800,15800,15800,100,SBL
2017-03-09,15800,15800,15800,15800,0,SBL
2017-03-10,15800,15800,15800,15800,0,SBL
2017-03-13,15800,15800,15800,15800,0,SBL
2017-03-14,15800,15800,15800,15800,0,SBL
2017-03-15,15800,15800,15800,15800,0,SBL
2017-03-16,16239,16239,13660,13660,1300,SBL
2017-03-17,14240,14240,14240,14240,0,SBL
2017-03-20,14240,14240,13520,13520,8400,SBL
2017-03-21,13610,13610,13610,13610,0,SBL
2017-03-22,13170,13170,13170,13170,1000,SBL
2017-03-23,13170,13170,13170,13170,0,SBL
2017-03-24,13170,13170,13170,13170,0,SBL
2017-03-27,13170,13170,13170,13170,400,SBL
2017-03-28,13170,13170,13170,13170,0,SBL
