time,open,high,low,close,volume,ticker
2012-03-20,5950,6150,5860,6150,110790,SBT
2012-03-21,6300,6340,6150,6260,238950,SBT
2012-03-22,6220,6380,6180,6300,137880,SBT
2012-03-23,6300,6340,6220,6260,193000,SBT
2012-03-26,6340,6340,6150,6260,87410,SBT
2012-03-27,6260,6260,5980,6100,151730,SBT
2012-03-28,6100,6150,6030,6150,131620,SBT
2012-03-29,6060,6180,5980,6030,51170,SBT
2012-03-30,6030,6030,5750,5860,128810,SBT
2012-04-03,5830,6030,5830,5980,85970,SBT
2012-04-04,6030,6030,5830,5910,42000,SBT
2012-04-05,5950,5950,5750,5950,46960,SBT
2012-04-06,5950,6030,5950,6030,70010,SBT
2012-04-09,6260,6300,6260,6300,378860,SBT
2012-04-10,6500,6620,6380,6620,305420,SBT
2012-04-11,6930,6930,6690,6770,185020,SBT
2012-04-12,6890,6890,6690,6770,183720,SBT
2012-04-13,7050,7090,6890,7090,590840,SBT
2012-04-16,7450,7450,7210,7450,198610,SBT
2012-04-17,7790,7790,7790,7790,95920,SBT
2012-04-18,8150,8150,7870,8150,260580,SBT
2012-04-19,8550,8550,7750,7750,1105800,SBT
2012-04-20,7750,7870,7480,7550,336760,SBT
2012-04-23,7550,7910,7550,7910,485850,SBT
2012-04-24,7910,8310,7750,8310,326940,SBT
2012-04-25,8580,8700,8310,8460,353100,SBT
2012-04-26,8500,8500,8070,8070,691570,SBT
2012-04-27,8260,8260,7990,8189,339020,SBT
2012-05-02,8460,8460,7790,8150,662400,SBT
2012-05-03,8260,8550,8150,8550,622020,SBT
2012-05-04,8940,8940,8940,8940,668680,SBT
2012-05-07,9370,9370,9250,9370,422260,SBT
2012-05-08,9730,9730,8940,8940,1050060,SBT
2012-05-09,9060,9060,8510,8510,2322270,SBT
2012-05-10,8510,8680,8119,8119,1628210,SBT
2012-05-11,8119,8510,7850,8290,951140,SBT
2012-05-14,8290,8420,7900,7900,354960,SBT
2012-05-15,7680,8070,7550,7550,646550,SBT
2012-05-16,7550,7900,7340,7770,731480,SBT
2012-05-17,7770,8029,7550,7550,343460,SBT
2012-05-18,7470,7510,7210,7300,735050,SBT
2012-05-21,7340,7650,7340,7650,352100,SBT
2012-05-22,7770,7990,7600,7770,586060,SBT
2012-05-23,7680,7820,7380,7380,455720,SBT
2012-05-24,7380,7550,7130,7250,434220,SBT
2012-05-25,7510,7600,7510,7600,438740,SBT
2012-05-28,7950,7950,7510,7850,637380,SBT
2012-05-29,7850,8250,7650,8250,1408010,SBT
2012-05-30,8420,8640,8420,8510,1455840,SBT
2012-05-31,8510,8510,8250,8250,601730,SBT
2012-06-01,8250,8340,8119,8119,341180,SBT
2012-06-04,7770,7820,7730,7730,866220,SBT
2012-06-05,7600,7770,7430,7770,411990,SBT
2012-06-06,7600,7950,7600,7900,182190,SBT
2012-06-07,7990,8250,7900,8119,528290,SBT
2012-06-08,8160,8200,7820,7900,600920,SBT
2012-06-11,7900,8200,7850,8029,617250,SBT
2012-06-12,7950,8070,7900,7900,270230,SBT
2012-06-13,7990,8029,7850,7850,220640,SBT
2012-06-14,7900,8250,7900,7990,635930,SBT
2012-06-15,8119,8160,7950,8029,381430,SBT
2012-06-18,8070,8160,7990,8029,434130,SBT
2012-06-19,8029,8029,7820,7850,611180,SBT
2012-06-20,7900,7950,7820,7850,193810,SBT
2012-06-21,7850,7900,7650,7650,357920,SBT
2012-06-22,7650,7680,7470,7470,397860,SBT
2012-06-25,7430,7550,7160,7160,462770,SBT
2012-06-26,7160,7160,6910,6950,523220,SBT
2012-06-27,6990,7080,6910,6950,346780,SBT
2012-06-28,6950,7080,6820,7080,347420,SBT
2012-06-29,6990,7250,6950,7130,184720,SBT
2012-07-02,7210,7210,6990,6990,196610,SBT
2012-07-03,6950,6950,6780,6910,429520,SBT
2012-07-04,6820,7040,6780,6860,146580,SBT
2012-07-05,6780,6990,6780,6950,148120,SBT
2012-07-06,6950,7130,6910,6990,177760,SBT
2012-07-09,6950,7040,6740,6910,199040,SBT
2012-07-10,6740,6910,6740,6860,123190,SBT
