time,open,high,low,close,volume,ticker
2016-12-23,12980,12980,12980,12980,164300,SEA
2016-12-26,14860,14860,14610,14860,74100,SEA
2016-12-27,17050,17050,17050,17050,62200,SEA
2016-12-28,19180,19430,14530,14530,148920,SEA
2016-12-29,13880,13880,13470,13470,42560,SEA
2016-12-30,11510,13060,11510,12000,59516,SEA
2017-01-03,10610,12400,10450,11020,36004,SEA
2017-01-04,11590,11750,9960,10450,66500,SEA
2017-01-05,10450,12000,10210,10210,197100,SEA
2017-01-06,11020,11840,10280,10940,76800,SEA
2017-01-09,10530,11420,10450,10780,51200,SEA
2017-01-10,10530,10940,10450,10780,94500,SEA
2017-01-11,10610,10780,10360,10690,44720,SEA
2017-01-12,10690,10860,10450,10450,75700,SEA
2017-01-13,10610,10610,9960,10210,143100,SEA
2017-01-16,10130,10360,9800,9800,69000,SEA
2017-01-17,9960,10280,9630,10040,79300,SEA
2017-01-18,9960,10040,9630,9880,57100,SEA
2017-01-19,9710,10280,9630,10210,36600,SEA
2017-01-20,10210,10610,9710,10610,83500,SEA
2017-01-23,10130,10450,9960,10040,32300,SEA
2017-01-24,9880,11020,9800,10610,81500,SEA
2017-01-25,10210,11020,10130,10860,63200,SEA
2017-02-02,10940,11590,10450,10450,57610,SEA
2017-02-03,10450,10530,10280,10530,91200,SEA
2017-02-06,11190,11190,10360,10860,61500,SEA
2017-02-07,10940,11020,10690,10940,37100,SEA
2017-02-08,11020,11020,10690,10860,25400,SEA
2017-02-09,11190,11840,10860,11840,62000,SEA
2017-02-10,11260,11340,10610,11340,126000,SEA
2017-02-13,10940,11260,10780,11190,68900,SEA
2017-02-14,10860,11260,10860,11020,68600,SEA
2017-02-15,11100,11340,11100,11190,68600,SEA
2017-02-16,11020,11100,11020,11100,41500,SEA
2017-02-17,11020,11020,10860,10860,65300,SEA
2017-02-20,11020,11190,10610,11190,42110,SEA
2017-02-21,10860,11190,10860,11100,36000,SEA
2017-02-22,11190,11340,11020,11190,22100,SEA
2017-02-23,10860,11190,9630,10860,95700,SEA
2017-02-24,10860,11340,10780,11260,137500,SEA
2017-02-27,11100,11260,10860,10940,202334,SEA
2017-02-28,10940,11340,10940,11020,39400,SEA
2017-03-01,10940,11020,10860,10940,117200,SEA
2017-03-02,10940,11020,10940,11020,66600,SEA
2017-03-03,10940,10940,9630,10780,93402,SEA
2017-03-06,10860,10860,10210,10860,94706,SEA
2017-03-07,11020,11100,10860,11100,62700,SEA
2017-03-08,10280,11420,10280,11340,80500,SEA
2017-03-09,10610,11260,10360,11260,52400,SEA
2017-03-10,10690,12650,10690,12650,254041,SEA
2017-03-13,13550,13550,13550,13550,36700,SEA
2017-03-14,15510,15510,11670,15510,257400,SEA
2017-03-15,17220,17220,13300,17220,325821,SEA
2017-03-16,17960,18610,17220,18610,99020,SEA
2017-03-17,18860,20970,18780,20970,125610,SEA
2017-03-20,21220,23910,21220,23910,155000,SEA
2017-03-21,24490,27180,23670,26850,318220,SEA
2017-03-22,22860,23510,22690,22690,388694,SEA
2017-03-23,19590,20410,19340,19340,383175,SEA
2017-03-24,17220,20240,16570,16650,474891,SEA
2017-03-27,18690,19260,14780,17960,211120,SEA
2017-03-28,16820,17960,14530,17140,292101,SEA
2017-03-29,15260,15760,13300,14860,322000,SEA
2017-03-30,14860,16490,13880,16490,144520,SEA
2017-03-31,17550,17710,17550,17710,18950,SEA
2017-04-03,19180,20240,17630,20240,350221,SEA
2017-04-04,21140,21880,18450,19180,129160,SEA
2017-04-05,18780,19590,17220,17300,312626,SEA
2017-04-07,17960,17960,16490,16650,224230,SEA
2017-04-10,16980,17880,15920,16650,132200,SEA
2017-04-11,16410,17960,16079,17140,88300,SEA
2017-04-12,16980,16980,15590,15840,178300,SEA
2017-04-13,15760,16320,15590,15920,68710,SEA
2017-04-14,15840,15920,14940,15670,165500,SEA
2017-04-17,15920,15920,15100,15180,32302,SEA
2017-04-18,15180,15590,14280,15430,63410,SEA
2017-04-19,14940,17140,14450,17140,225000,SEA
2017-04-20,16320,18360,15510,16570,141050,SEA
2017-04-21,16820,16820,15590,15840,70700,SEA
2017-04-24,15760,16000,15510,15840,26300,SEA
2017-04-25,15590,15760,15430,15510,70400,SEA
2017-04-26,15510,16980,15340,16730,91000,SEA
2017-04-27,15670,16650,13630,15430,133200,SEA
2017-04-28,14860,15840,14780,15510,29900,SEA
2017-05-03,15180,15510,14530,15180,76100,SEA
2017-05-04,15100,15430,14780,15180,50300,SEA
2017-05-05,15180,15260,14690,15100,54600,SEA
2017-05-08,15100,15180,14530,14940,68300,SEA
2017-05-09,14690,14940,14280,14690,75100,SEA
2017-05-10,14530,14610,14120,14360,49006,SEA
2017-05-11,14280,14450,14040,14040,29300,SEA
2017-05-12,14120,14780,13880,14120,93600,SEA
2017-05-15,13880,14120,13470,13800,65000,SEA
2017-05-16,13630,13800,13300,13380,88300,SEA
2017-05-17,13550,15180,13140,14530,141600,SEA
2017-05-18,14530,14530,13880,14040,30806,SEA
2017-05-19,14120,14120,13800,13800,33300,SEA
2017-05-22,13880,13960,13550,13630,80200,SEA
2017-05-23,13630,13880,13550,13630,44585,SEA
2017-05-24,13630,14040,13630,14040,38700,SEA
2017-05-25,13800,13880,13710,13710,19400,SEA
2017-05-26,13800,13960,13470,13960,45700,SEA
2017-05-29,13800,13880,13470,13550,39500,SEA
2017-05-30,13800,13880,13630,13630,45000,SEA
2017-05-31,13800,13800,13470,13550,50705,SEA
2017-06-01,13630,13630,13550,13550,26100,SEA
2017-06-02,13630,13800,13550,13800,14200,SEA
2017-06-05,13710,13880,13630,13880,14100,SEA
2017-06-06,13710,13710,13630,13710,9900,SEA
2017-06-07,13710,13710,13470,13550,29900,SEA
2017-06-08,13630,13630,13470,13550,17000,SEA
2017-06-09,13550,14610,13470,13550,39500,SEA
2017-06-12,13800,13880,13710,13880,22600,SEA
2017-06-13,13880,14040,13710,13800,20500,SEA
2017-06-14,13880,13880,13630,13710,29100,SEA
2017-06-15,13710,13960,13630,13960,43400,SEA
2017-06-16,13800,13880,13710,13710,37200,SEA
2017-06-19,13800,14040,13710,13880,26000,SEA
2017-06-20,13800,13880,13800,13880,18400,SEA
2017-06-21,13800,13880,13630,13710,38100,SEA
2017-06-22,13710,13800,13630,13630,23200,SEA
2017-06-23,13630,13710,13630,13710,16600,SEA
2017-06-26,15760,15760,14280,15760,128800,SEA
2017-06-27,15840,17050,15340,15430,82012,SEA
2017-06-28,15920,15920,14780,15100,23200,SEA
2017-06-29,14780,14780,13880,14200,23500,SEA
2017-06-30,13880,14280,13800,14280,39910,SEA
2017-07-03,13880,13960,13710,13960,22902,SEA
2017-07-04,13800,14280,13800,14040,10400,SEA
2017-07-05,13960,15510,13960,15100,49500,SEA
2017-07-06,14860,15510,14690,15340,25700,SEA
2017-07-07,14780,14860,14690,14860,22602,SEA
2017-07-10,14690,14690,13880,14040,41700,SEA
2017-07-11,14040,14120,13960,14040,27950,SEA
2017-07-12,14040,14280,13960,14280,3100,SEA
2017-07-13,14120,14610,14120,14610,11500,SEA
2017-07-14,14690,14690,14690,14690,100,SEA
2017-07-17,14280,14280,13880,13880,6200,SEA
2017-07-18,13960,13960,13880,13960,18900,SEA
2017-07-19,14280,14610,13880,14610,6500,SEA
2017-07-20,13960,13960,13880,13880,10500,SEA
2017-07-21,13880,14120,13880,13880,5400,SEA
2017-07-24,14530,14530,13800,13880,10100,SEA
2017-07-25,13960,13960,13710,13710,11200,SEA
2017-07-26,13960,13960,13710,13710,8400,SEA
2017-07-27,13880,13960,13800,13880,15100,SEA
2017-07-28,13880,13880,13880,13880,8100,SEA
2017-07-31,13880,13880,13630,13800,4500,SEA
2017-08-01,13800,14280,13800,13800,26400,SEA
