time,open,high,low,close,volume,ticker
2012-03-20,8490,9650,8490,9650,9300,SGC
2012-03-21,10160,10160,10160,10160,6100,SGC
2012-03-22,10870,10870,10350,10870,19100,SGC
2012-03-23,11450,11550,11450,11550,5500,SGC
2012-03-26,12180,12320,12180,12320,6000,SGC
2012-03-27,12670,12670,12670,12670,200,SGC
2012-03-28,13540,13540,13390,13540,14900,SGC
2012-03-29,13890,14470,13890,14470,36700,SGC
2012-03-30,13490,13490,13490,13490,2000,SGC
2012-04-03,12670,12670,12620,12620,32500,SGC
2012-04-04,11790,11940,11790,11940,900,SGC
2012-04-05,11200,11200,11200,11200,1000,SGC
2012-04-06,10720,11450,10720,11450,2000,SGC
2012-04-09,10670,10670,10670,10670,200,SGC
2012-04-10,10480,11400,10480,11400,700,SGC
2012-04-11,12180,12180,12180,12180,100,SGC
2012-04-12,11690,13010,11690,13010,2200,SGC
2012-04-13,11740,11740,11740,11740,100,SGC
2012-04-16,11990,12520,11990,12520,200,SGC
2012-04-17,13110,13110,13110,13110,100,SGC
2012-04-18,12520,13980,12520,13980,6000,SGC
2012-04-19,13980,13980,13980,13980,100,SGC
2012-04-20,13160,13160,13160,13160,8000,SGC
2012-04-23,12670,12670,12670,12670,100,SGC
2012-04-24,12670,12670,12670,12670,0,SGC
2012-04-25,12670,12670,12670,12670,0,SGC
2012-04-26,12670,12670,12670,12670,0,SGC
2012-04-27,12670,12670,12670,12670,0,SGC
2012-05-02,12670,12670,12670,12670,2200,SGC
2012-05-03,12570,12670,12570,12670,2000,SGC
2012-05-04,12180,12180,12180,12180,2000,SGC
2012-05-07,12180,12180,12180,12180,100,SGC
2012-05-08,12180,12180,12180,12180,0,SGC
2012-05-09,12180,12180,12180,12180,0,SGC
2012-05-10,12180,12180,12180,12180,0,SGC
2012-05-11,11940,11940,11940,11940,1500,SGC
2012-05-14,12770,12770,12770,12770,100,SGC
2012-05-15,12670,12670,12670,12670,100,SGC
2012-05-16,12670,12670,12670,12670,0,SGC
2012-05-17,11810,11810,11810,11810,100,SGC
2012-05-18,10990,10990,10990,10990,100,SGC
2012-05-21,10990,10990,10990,10990,0,SGC
2012-05-22,10990,10990,10990,10990,0,SGC
2012-05-23,10230,10230,10230,10230,100,SGC
2012-05-24,9680,9680,9680,9680,100,SGC
2012-05-25,9680,9680,9680,9680,100,SGC
2012-05-28,9680,9680,9680,9680,0,SGC
2012-05-29,9680,9680,9680,9680,0,SGC
2012-05-30,9020,9020,9020,9020,8800,SGC
2012-05-31,9120,9120,9120,9120,100,SGC
2012-06-01,9720,9720,9720,9720,1100,SGC
2012-06-04,9720,9720,9720,9720,0,SGC
2012-06-05,10130,10130,10130,10130,2500,SGC
2012-06-06,9630,10130,9630,9630,1200,SGC
2012-06-07,9630,9630,8970,8970,700,SGC
2012-06-08,9430,9430,9430,9430,100,SGC
2012-06-11,9120,9120,9120,9120,100,SGC
2012-06-12,9120,9120,9120,9120,0,SGC
2012-06-13,8520,8520,8520,8520,100,SGC
2012-06-14,8520,8520,8520,8520,0,SGC
2012-06-15,8520,8520,8520,8520,0,SGC
2012-06-18,8520,8520,8520,8520,0,SGC
2012-06-19,8520,8520,8520,8520,0,SGC
2012-06-20,8160,8160,8160,8160,100,SGC
2012-06-21,8160,8160,8160,8160,0,SGC
2012-06-22,8160,8160,8160,8160,0,SGC
2012-06-25,8160,8160,8160,8160,0,SGC
2012-06-26,7800,7800,7800,7800,100,SGC
2012-06-27,7800,7800,7800,7800,0,SGC
2012-06-28,7800,7800,7800,7800,0,SGC
2012-06-29,8310,8310,8310,8310,100,SGC
2012-07-02,8860,8860,8860,8860,1100,SGC
2012-07-03,8860,8860,8860,8860,0,SGC
2012-07-04,8860,8860,8860,8860,0,SGC
2012-07-05,8860,8860,8860,8860,0,SGC
2012-07-06,9270,9480,9270,9480,200,SGC
2012-07-09,10130,10130,10130,10130,900,SGC
2012-07-10,10640,10640,10640,10640,1000,SGC
2012-07-11,10640,10640,10640,10640,1000,SGC
2012-07-12,11140,11140,11140,11140,400,SGC
2012-07-13,10640,10640,10640,10640,300,SGC
2012-07-16,10640,10640,10640,10640,0,SGC
2012-07-17,11140,11140,11140,11140,400,SGC
2012-07-18,11140,11140,11140,11140,0,SGC
2012-07-19,11140,11140,11140,11140,0,SGC
2012-07-20,10390,10390,10390,10390,100,SGC
2012-07-23,10390,10390,10390,10390,0,SGC
2012-07-24,10890,10890,10890,10890,500,SGC
