time,open,high,low,close,volume,ticker
2012-03-20,4380,4380,4019,4019,1000,SJ1
2012-03-21,4130,4380,4100,4380,1700,SJ1
2012-03-22,4170,4170,4170,4170,0,SJ1
2012-03-23,4420,4420,4150,4200,2100,SJ1
2012-03-26,4180,4240,4170,4240,5700,SJ1
2012-03-27,4220,4220,4220,4220,0,SJ1
2012-03-28,4220,4220,4220,4220,0,SJ1
2012-03-29,4220,4220,4220,4220,0,SJ1
2012-03-30,4500,4500,4220,4220,700,SJ1
2012-04-03,4240,4240,4240,4240,400,SJ1
2012-04-04,4240,4240,4240,4240,0,SJ1
2012-04-05,4240,4240,4240,4240,0,SJ1
2012-04-06,4240,4240,4240,4240,0,SJ1
2012-04-09,4240,4240,4240,4240,0,SJ1
2012-04-10,4130,4240,4130,4240,1500,SJ1
2012-04-11,4200,4200,4200,4200,200,SJ1
2012-04-12,4200,4200,4200,4200,0,SJ1
2012-04-13,3910,3910,3910,3910,100,SJ1
2012-04-16,4019,4170,3910,4170,1500,SJ1
2012-04-17,4200,4380,4200,4380,400,SJ1
2012-04-18,4380,4480,4380,4480,1300,SJ1
2012-04-19,4480,4480,4480,4480,0,SJ1
2012-04-20,4480,4480,4480,4480,0,SJ1
2012-04-23,4480,4480,4480,4480,700,SJ1
2012-04-24,4480,4480,4480,4480,0,SJ1
2012-04-25,4770,4770,4460,4460,600,SJ1
2012-04-26,4460,4460,4460,4460,0,SJ1
2012-04-27,4770,4770,4640,4640,700,SJ1
2012-05-02,4640,4640,4640,4640,0,SJ1
2012-05-03,4950,4950,4640,4640,600,SJ1
2012-05-04,4920,4920,4920,4920,400,SJ1
2012-05-07,4590,4590,4590,4590,100,SJ1
2012-05-08,4900,4900,4900,4900,300,SJ1
2012-05-09,5190,5190,4570,4570,400,SJ1
2012-05-10,4570,4570,4570,4570,0,SJ1
2012-05-11,4570,4570,4570,4570,0,SJ1
2012-05-14,4570,4570,4570,4570,0,SJ1
2012-05-15,4570,4570,4570,4570,0,SJ1
2012-05-16,4570,4570,4570,4570,0,SJ1
2012-05-17,4260,4260,4260,4260,100,SJ1
2012-05-18,4560,4560,3970,4560,300,SJ1
2012-05-21,4560,4560,4560,4560,0,SJ1
2012-05-22,4560,4560,4560,4560,0,SJ1
2012-05-23,4560,4560,4560,4560,0,SJ1
2012-05-24,4560,4560,4560,4560,0,SJ1
2012-05-25,4560,4560,4560,4560,0,SJ1
2012-05-28,4560,4560,4560,4560,0,SJ1
2012-05-29,4850,4850,4850,4850,300,SJ1
2012-05-30,5150,5150,5150,5150,200,SJ1
2012-05-31,5150,5150,5150,5150,0,SJ1
2012-06-01,5150,5150,5150,5150,0,SJ1
2012-06-04,5150,5150,5150,5150,0,SJ1
2012-06-05,5150,5150,5150,5150,0,SJ1
2012-06-06,5150,5150,5150,5150,0,SJ1
2012-06-07,5150,5150,5150,5150,0,SJ1
2012-06-08,5150,5150,5150,5150,0,SJ1
2012-06-11,5150,5150,5150,5150,0,SJ1
2012-06-12,5150,5150,5150,5150,0,SJ1
2012-06-13,5150,5150,5150,5150,0,SJ1
2012-06-14,5150,5150,5150,5150,0,SJ1
2012-06-15,5150,5150,5150,5150,0,SJ1
