time,open,high,low,close,volume,ticker
2017-10-25,21250,22400,18830,20040,858200,SKH
2017-10-26,20590,20640,19430,19430,113900,SKH
2017-10-27,19730,20100,19130,19430,150000,SKH
2017-10-30,19130,19600,17920,17920,192400,SKH
2017-10-31,18210,18210,17600,17600,106600,SKH
2017-11-01,17600,17600,16930,17000,169300,SKH
2017-11-02,16930,18830,16700,17800,234400,SKH
2017-11-03,17970,18040,17000,17120,110300,SKH
2017-11-06,17310,18330,17000,18270,135900,SKH
2017-11-07,18400,18460,17720,18210,82100,SKH
2017-11-08,18400,18400,17670,18210,81300,SKH
2017-11-09,17850,18090,17800,17920,38600,SKH
2017-11-10,17800,17850,17550,17600,56600,SKH
2017-11-13,17720,17720,17310,17310,38400,SKH
2017-11-14,17250,17250,17000,17120,66800,SKH
2017-11-16,17000,17000,16820,16930,26900,SKH
2017-11-17,16880,17060,16700,16760,57300,SKH
2017-11-20,16820,16880,16580,16820,21400,SKH
2017-11-21,16760,16760,16580,16700,29100,SKH
2017-11-22,16700,17430,16700,17000,63400,SKH
2017-11-23,17000,17370,17000,17190,23500,SKH
2017-11-24,17190,18830,17120,18160,149700,SKH
2017-11-27,18210,18210,17670,17670,18100,SKH
2017-11-28,17370,17720,17250,17430,35400,SKH
2017-11-29,17190,17970,17000,17000,56900,SKH
2017-11-30,17120,17310,17000,17120,56300,SKH
2017-12-01,17060,17250,17000,17120,56800,SKH
2017-12-04,17060,17250,17000,17060,111500,SKH
2017-12-05,17250,17250,16760,16820,50500,SKH
2017-12-06,16760,16930,16760,16930,34300,SKH
2017-12-07,16820,16880,16820,16880,51100,SKH
2017-12-08,17190,17490,16880,17250,98600,SKH
2017-12-11,17250,17250,16880,16880,19300,SKH
2017-12-12,17000,17250,16880,17120,60700,SKH
2017-12-13,17000,17370,17000,17060,26000,SKH
2017-12-14,17120,17120,17000,17060,64800,SKH
2017-12-15,17190,17190,17000,17000,16800,SKH
2017-12-18,17490,17490,17000,17000,30200,SKH
2017-12-19,17120,17120,16820,17000,115200,SKH
2017-12-20,16930,17190,16930,17190,35600,SKH
2017-12-21,17120,17250,17000,17000,29500,SKH
2017-12-22,17000,17060,16880,16930,28300,SKH
2017-12-25,16930,16930,16700,16930,46400,SKH
2017-12-26,17000,17000,16450,16760,99400,SKH
2017-12-27,16880,16930,16390,16700,47600,SKH
2017-12-28,16520,16640,16390,16390,61300,SKH
2017-12-29,16520,16520,16160,16390,54900,SKH
2018-01-02,16329,16390,16160,16210,63200,SKH
