time,open,high,low,close,volume,ticker
2018-10-10,11840,11840,11840,11840,16100,SKN
2018-10-11,13590,13590,13590,13590,6438,SKN
2018-10-12,15580,15580,15580,15580,6039,SKN
2018-10-15,17870,17870,15580,15580,6200,SKN
2018-10-16,14660,14660,14660,14660,500,SKN
2018-10-17,12530,12530,12530,12530,600,SKN
2018-10-18,10690,10690,10690,10690,1100,SKN
2018-10-19,9090,10690,9090,10690,43060,SKN
2018-10-22,10690,11000,10690,11000,9700,SKN
2018-10-23,11460,12220,11070,11760,7000,SKN
2018-10-24,11460,11460,10010,10010,1980,SKN
2018-10-25,10690,10920,9860,9860,2119,SKN
2018-10-26,10690,11070,9920,10920,3000,SKN
2018-10-29,9390,10920,9320,10620,6600,SKN
2018-10-30,10690,10690,9700,10620,2700,SKN
2018-10-31,10690,10690,8550,8550,18940,SKN
2018-11-01,8710,8940,7400,7400,31160,SKN
2018-11-02,7630,8090,7630,8090,300,SKN
2018-11-05,8400,8400,7800,7800,521,SKN
2018-11-06,8330,8330,6800,6800,20019,SKN
2018-11-07,7570,7570,7330,7400,500,SKN
2018-11-08,6950,7260,6880,7260,2310,SKN
2018-11-09,6340,6800,6340,6340,900,SKN
2018-11-12,6880,6880,6880,6880,200,SKN
2018-11-13,6560,6800,6560,6800,407,SKN
2018-11-14,7030,7030,6720,6720,930,SKN
2018-11-15,6950,6950,6950,6950,300,SKN
2018-11-16,6950,7260,6950,6950,2800,SKN
2018-11-19,7260,7260,7100,7260,2650,SKN
2018-11-20,7570,7570,7570,7570,139,SKN
2018-11-21,7570,7570,7570,7570,0,SKN
2018-11-22,7570,7570,7570,7570,0,SKN
2018-11-23,7570,7570,7570,7570,0,SKN
2018-11-26,7180,7260,6490,6490,4516,SKN
2018-11-27,7180,7180,7180,7180,100,SKN
2018-11-28,7180,7180,7180,7180,0,SKN
2018-11-29,6950,6950,6110,6190,1760,SKN
2018-11-30,6260,6260,6260,6260,0,SKN
2018-12-03,6650,6650,6650,6650,449,SKN
2018-12-04,6110,6110,5650,5650,2400,SKN
2018-12-05,6260,6260,6260,6260,100,SKN
2018-12-06,6800,6800,6800,6800,127,SKN
2018-12-07,6800,6800,6800,6800,0,SKN
2018-12-10,6800,6800,6800,6800,0,SKN
2018-12-11,7260,7260,7260,7260,100,SKN
2018-12-12,6190,6190,6190,6190,110,SKN
2018-12-13,6880,6880,6880,6880,100,SKN
2018-12-14,5880,5960,5880,5880,2170,SKN
2018-12-17,5880,5880,5880,5880,0,SKN
2018-12-18,5880,5880,5880,5880,0,SKN
2018-12-19,5880,5880,5880,5880,0,SKN
2018-12-20,5270,5270,5270,5270,100,SKN
2018-12-21,5730,5730,5730,5730,1700,SKN
2018-12-24,5730,5730,5730,5730,10,SKN
2018-12-25,6420,6420,6420,6420,100,SKN
2018-12-26,6340,6340,6260,6260,300,SKN
2018-12-27,6260,7180,6260,7180,1300,SKN
2018-12-28,6950,6950,6950,6950,100,SKN
2019-01-02,7400,7400,7400,7400,100,SKN
2019-01-03,7400,7400,7400,7400,0,SKN
2019-01-04,7400,7400,7400,7400,0,SKN
2019-01-07,7400,7400,7400,7400,0,SKN
2019-01-08,7400,7400,7400,7400,0,SKN
2019-01-09,7400,7400,7400,7400,0,SKN
2019-01-10,7400,7400,7400,7400,0,SKN
2019-01-11,7400,7400,7400,7400,0,SKN
2019-01-14,7400,7400,7400,7400,200,SKN
2019-01-15,7400,7400,7400,7400,0,SKN
2019-01-16,6880,6880,6880,6880,100,SKN
2019-01-17,6880,6880,6880,6880,0,SKN
2019-01-18,6880,6880,6880,6880,0,SKN
2019-01-21,6880,6880,6880,6880,0,SKN
2019-01-22,6880,6880,6880,6880,0,SKN
2019-01-23,6880,6880,6880,6880,0,SKN
2019-01-24,6880,6880,6880,6880,0,SKN
2019-01-25,5880,5880,5880,5880,500,SKN
2019-01-28,6650,6650,6650,6650,100,SKN
2019-01-29,7570,7570,7570,7570,100,SKN
2019-01-30,7570,7570,7570,7570,0,SKN
2019-01-31,7570,7570,7570,7570,0,SKN
2019-02-01,7570,7570,7570,7570,0,SKN
2019-02-11,7570,7570,7570,7570,0,SKN
2019-02-12,7570,7570,7570,7570,10,SKN
2019-02-13,7570,7570,7570,7570,0,SKN
2019-02-14,6490,6490,6490,6490,100,SKN
2019-02-15,5880,5880,5570,5570,600,SKN
2019-02-18,6490,6490,6490,6490,100,SKN
2019-02-19,6800,6800,6490,6490,500,SKN
2019-02-20,6720,6720,6720,6720,0,SKN
2019-02-21,6720,6720,6720,6720,0,SKN
2019-02-22,5730,5730,5730,5730,100,SKN
2019-02-25,5730,6340,5340,6340,3100,SKN
2019-02-26,5570,5570,5570,5570,1000,SKN
2019-02-27,6190,6190,6190,6190,100,SKN
2019-02-28,6190,6190,6190,6190,0,SKN
2019-03-01,6190,6190,6190,6190,0,SKN
2019-03-04,6190,6190,6190,6190,0,SKN
2019-03-05,6190,6190,6190,6190,0,SKN
2019-03-06,6190,6190,6190,6190,0,SKN
2019-03-07,6190,6190,6190,6190,0,SKN
2019-03-08,6190,6190,6190,6190,0,SKN
2019-03-11,6190,6190,6190,6190,0,SKN
2019-03-12,6190,6190,6190,6190,0,SKN
2019-03-13,5730,5730,5510,5510,1030,SKN
2019-03-14,5880,5880,5880,5880,109,SKN
2019-03-15,5880,5880,5880,5880,0,SKN
2019-03-18,6420,6420,6420,6420,100,SKN
2019-03-19,6490,6650,6490,6650,1000,SKN
2019-03-20,5800,5800,5800,5800,400,SKN
2019-03-21,5800,5800,5800,5800,0,SKN
2019-03-22,6110,6490,6110,6420,1200,SKN
2019-03-25,6190,6190,6190,6190,0,SKN
2019-03-26,5650,6490,5510,6030,3610,SKN
2019-03-27,6720,6720,6110,6110,1200,SKN
2019-03-28,7100,7100,7100,7100,100,SKN
2019-03-29,6110,6110,6110,6110,500,SKN
2019-04-01,5880,5880,5730,5730,2300,SKN
2019-04-02,5800,5800,5800,5800,0,SKN
2019-04-03,5800,5800,5800,5800,0,SKN
2019-04-04,5800,5800,5800,5800,0,SKN
2019-04-05,5800,5800,5800,5800,0,SKN
2019-04-08,6560,6560,6560,6560,100,SKN
2019-04-09,6560,6560,6560,6560,0,SKN
2019-04-10,6560,6560,6560,6560,300,SKN
2019-04-11,6650,6650,6650,6650,1300,SKN
2019-04-12,6650,6650,6650,6650,0,SKN
2019-04-16,6650,6650,6650,6650,70,SKN
2019-04-17,6650,6650,6650,6650,0,SKN
2019-04-18,6650,6650,6650,6650,100,SKN
2019-04-19,6110,6110,6110,6110,100,SKN
2019-04-22,6720,6720,6720,6720,400,SKN
2019-04-23,6190,6190,5880,5880,700,SKN
2019-04-24,5960,5960,5960,5960,0,SKN
2019-04-25,5960,5960,5960,5960,0,SKN
2019-04-26,5960,5960,5960,5960,0,SKN
2019-05-02,5960,5960,5960,5960,0,SKN
2019-05-03,5960,5960,5960,5960,0,SKN
2019-05-06,5960,5960,5960,5960,0,SKN
2019-05-07,5960,5960,5960,5960,0,SKN
2019-05-08,6030,6030,6030,6030,400,SKN
2019-05-09,6030,6030,6030,6030,0,SKN
2019-05-10,6110,6110,6110,6110,200,SKN
2019-05-13,6030,6030,6030,6030,100,SKN
2019-05-14,6030,6030,6030,6030,0,SKN
2019-05-15,6030,6030,6030,6030,100,SKN
2019-05-16,5510,5510,5510,5510,300,SKN
2019-05-17,5650,5650,5650,5650,600,SKN
2019-05-20,5730,5880,5730,5880,1100,SKN
2019-05-21,5800,5800,5800,5800,0,SKN
2019-05-22,5800,5800,5800,5800,0,SKN
2019-05-23,5800,5800,5800,5800,0,SKN
2019-05-24,5800,5800,5800,5800,0,SKN
2019-05-27,5800,5800,5800,5800,0,SKN
2019-05-28,5800,5800,5800,5800,0,SKN
2019-05-29,5800,5800,5800,5800,0,SKN
2019-05-30,5560,5560,5390,5390,1000,SKN
2019-05-31,5390,5560,5390,5480,4900,SKN
2019-06-03,5640,5640,5640,5640,1000,SKN
2019-06-04,5730,6470,5730,6470,1100,SKN
2019-06-05,6380,6470,6380,6470,300,SKN
2019-06-06,6470,6470,6470,6470,0,SKN
2019-06-07,6540,6540,6540,6540,100,SKN
2019-06-10,6540,6540,6540,6540,200,SKN
2019-06-11,6540,6540,6540,6540,0,SKN
2019-06-12,6540,6540,6540,6540,0,SKN
2019-06-13,6540,6540,6540,6540,0,SKN
2019-06-14,6540,6540,6540,6540,0,SKN
2019-06-17,6540,6540,6540,6540,0,SKN
2019-06-18,6540,6540,6540,6540,0,SKN
2019-06-19,6540,6540,6540,6540,0,SKN
2019-06-20,6540,6540,6540,6540,0,SKN
2019-06-21,6540,6540,6540,6540,0,SKN
2019-06-24,6540,6540,6540,6540,0,SKN
2019-06-25,6380,6380,6380,6380,519,SKN
2019-06-26,6870,6870,6870,6870,500,SKN
2019-06-27,6870,6870,6870,6870,0,SKN
2019-06-28,6540,6870,6540,6870,1100,SKN
2019-07-01,6700,6700,6700,6700,0,SKN
2019-07-02,6700,6700,6700,6700,0,SKN
2019-07-03,6620,6620,6620,6620,300,SKN
2019-07-04,6620,6620,6620,6620,0,SKN
2019-07-05,6620,6620,6620,6620,0,SKN
2019-07-08,5800,5800,5800,5800,2000,SKN
2019-07-09,5800,5800,5800,5800,0,SKN
2019-07-10,5800,5800,5800,5800,0,SKN
2019-07-11,6540,6540,6540,6540,800,SKN
2019-07-12,6540,6540,6540,6540,0,SKN
2019-07-15,6130,6130,5800,5800,200,SKN
2019-07-16,6470,6470,6470,6470,1300,SKN
2019-07-17,6470,6470,6470,6470,0,SKN
2019-07-18,6470,6470,6470,6470,0,SKN
2019-07-19,6040,6040,6040,6040,6300,SKN
2019-07-22,6040,6040,6040,6040,0,SKN
2019-07-23,6040,6040,6040,6040,0,SKN
2019-07-24,6040,6040,6040,6040,0,SKN
2019-07-25,6040,6040,6040,6040,0,SKN
2019-07-26,6040,6040,6040,6040,0,SKN
2019-07-29,6040,6040,6040,6040,0,SKN
2019-07-30,6040,6040,6040,6040,0,SKN
2019-07-31,6040,6040,6040,6040,0,SKN
2019-08-01,6040,6040,6040,6040,0,SKN
2019-08-02,5800,5800,5730,5730,400,SKN
2019-08-05,5800,5800,5800,5800,400,SKN
2019-08-06,5800,5800,5800,5800,300,SKN
2019-08-07,5800,5800,5800,5800,0,SKN
2019-08-08,5800,5800,5800,5800,300,SKN
2019-08-09,5890,5890,5890,5890,1900,SKN
2019-08-12,5890,5890,5890,5890,0,SKN
2019-08-13,5890,5890,5800,5890,700,SKN
2019-08-14,5890,5890,5890,5890,0,SKN
2019-08-15,5890,5890,5890,5890,0,SKN
2019-08-16,5890,5890,5890,5890,0,SKN
2019-08-19,5800,5800,5800,5800,700,SKN
2019-08-20,5800,5800,5800,5800,0,SKN
2019-08-21,5800,5800,5800,5800,0,SKN
2019-08-22,5800,5800,5800,5800,0,SKN
2019-08-23,5800,5890,5730,5890,8000,SKN
2019-08-26,5800,5800,5800,5800,0,SKN
2019-08-27,5800,5800,5800,5800,100,SKN
2019-08-28,5800,5800,5800,5800,0,SKN
2019-08-29,5800,5800,5800,5800,100,SKN
2019-08-30,5800,5800,5800,5800,1237,SKN
2019-09-03,5800,5800,5800,5800,0,SKN
2019-09-04,5800,5800,5800,5800,0,SKN
2019-09-05,5800,5800,5800,5800,0,SKN
2019-09-06,5240,5730,4990,5730,1500,SKN
2019-09-09,5480,5480,5480,5480,0,SKN
2019-09-10,5480,5480,5480,5480,0,SKN
2019-09-11,5560,5560,5560,5560,100,SKN
2019-09-12,5560,5560,5560,5560,337,SKN
2019-09-13,5560,5560,5560,5560,0,SKN
2019-09-16,5560,5560,5560,5560,0,SKN
2019-09-17,5560,5560,5560,5560,0,SKN
2019-09-18,5560,5560,5560,5560,0,SKN
2019-09-19,5560,5560,5560,5560,0,SKN
2019-09-20,5560,5560,5560,5560,0,SKN
2019-09-23,5560,5560,5560,5560,0,SKN
2019-09-24,5560,5560,5560,5560,0,SKN
2019-09-25,6290,6380,6290,6380,200,SKN
2019-09-26,6380,6380,6380,6380,0,SKN
2019-09-27,6380,6380,6380,6380,0,SKN
2019-09-30,6380,6380,6380,6380,0,SKN
2019-10-01,6380,6380,6380,6380,0,SKN
2019-10-02,6380,6380,6380,6380,0,SKN
2019-10-03,6380,6380,6380,6380,0,SKN
2019-10-04,6380,6380,6380,6380,0,SKN
2019-10-07,6380,6380,6380,6380,0,SKN
2019-10-08,6380,6380,6380,6380,0,SKN
2019-10-09,6380,6380,6380,6380,0,SKN
2019-10-10,6380,6380,6380,6380,0,SKN
2019-10-11,6380,6380,6380,6380,0,SKN
2019-10-14,6380,6380,6380,6380,0,SKN
2019-10-15,6380,6380,6380,6380,0,SKN
2019-10-16,6380,6380,6380,6380,0,SKN
2019-10-17,6380,6380,6380,6380,0,SKN
2019-10-18,6380,6380,6380,6380,0,SKN
2019-10-21,5970,5970,5970,5970,100,SKN
2019-10-22,5320,5320,5320,5320,120,SKN
2019-10-23,5320,5320,5320,5320,0,SKN
2019-10-24,5320,5320,5320,5320,0,SKN
2019-10-25,5320,5320,5320,5320,0,SKN
2019-10-28,5070,5390,5070,5390,500,SKN
2019-10-29,5390,5390,5390,5390,100,SKN
2019-10-30,5390,5390,5390,5390,0,SKN
2019-10-31,5390,5390,5390,5390,0,SKN
2019-11-01,5730,5730,5320,5320,1600,SKN
