time,open,high,low,close,volume,ticker
2017-11-03,14920,17250,14870,14870,26400,SKV
2017-11-06,13800,14600,13800,13910,20190,SKV
2017-11-07,14340,14600,14340,14600,4200,SKV
2017-11-08,14230,14540,14230,14540,4000,SKV
2017-11-09,14540,14600,13800,14600,22770,SKV
2017-11-10,14340,14340,14120,14120,7720,SKV
2017-11-13,14120,14120,13800,13800,74000,SKV
2017-11-14,13800,13800,13750,13800,26500,SKV
2017-11-15,13700,13800,13700,13800,31500,SKV
2017-11-16,13800,14340,13800,14340,3000,SKV
2017-11-17,13800,13800,13700,13800,25000,SKV
2017-11-20,13800,13800,13750,13750,9500,SKV
2017-11-21,13800,13800,13700,13800,15100,SKV
2017-11-22,13640,14070,13640,13910,4200,SKV
2017-11-23,13800,13800,13640,13800,16220,SKV
2017-11-24,13700,14810,13700,14340,68270,SKV
2017-11-27,14340,14710,14070,14070,71310,SKV
2017-11-28,14280,15390,14280,14340,7660,SKV
2017-11-29,14340,14340,14170,14170,24000,SKV
2017-11-30,14230,14340,13910,14280,18000,SKV
2017-12-01,14120,14760,14120,14760,47510,SKV
2017-12-04,14600,14600,14600,14600,110,SKV
2017-12-05,14970,14970,14120,14120,5420,SKV
2017-12-06,13860,13860,13860,13860,200,SKV
2017-12-07,14340,14340,14340,14340,410,SKV
2017-12-08,14340,14340,14340,14340,10000,SKV
2017-12-11,14600,14600,13640,13800,1500,SKV
2017-12-12,13700,13970,13700,13970,5500,SKV
2017-12-13,12370,14010,12310,13280,68700,SKV
2017-12-14,13800,14390,13800,13800,14400,SKV
2017-12-15,12530,14340,12530,14010,221400,SKV
2017-12-18,14010,14070,14010,14010,45900,SKV
2017-12-19,14010,14010,14010,14010,0,SKV
2017-12-20,13540,13540,13540,13540,1000,SKV
2017-12-21,13540,13800,13280,13280,8200,SKV
2017-12-22,13540,13800,13490,13800,1100,SKV
2017-12-25,13380,13380,13280,13280,3400,SKV
2017-12-26,13330,13490,13060,13060,6600,SKV
2017-12-27,13220,13220,13220,13220,1700,SKV
2017-12-28,13220,13220,13220,13220,1000,SKV
2017-12-29,13000,14070,13000,14070,26300,SKV
2018-01-02,13000,13000,11680,11780,71790,SKV
2018-01-03,11730,12480,11470,12050,36000,SKV
2018-01-04,11730,12480,11730,12110,32300,SKV
2018-01-05,12210,12740,11890,11890,61300,SKV
2018-01-08,11850,12000,10350,12000,53900,SKV
2018-01-09,11730,12310,11730,12310,5170,SKV
2018-01-10,11850,12580,11850,12310,14640,SKV
2018-01-11,12740,12740,12580,12740,8220,SKV
2018-01-12,12210,12210,12210,12210,210,SKV
2018-01-15,12210,12480,12110,12150,11900,SKV
2018-01-16,12270,12270,12270,12270,10020,SKV
2018-01-17,12210,12210,12110,12210,5100,SKV
2018-01-18,12210,12210,12210,12210,6980,SKV
2018-01-19,12210,12210,12210,12210,100,SKV
2018-01-22,12210,12210,12210,12210,0,SKV
2018-01-23,12310,12310,12310,12310,100,SKV
2018-01-24,12210,12210,12210,12210,100,SKV
2018-01-25,12110,12110,11950,11950,1000,SKV
2018-01-26,11850,12150,11850,11950,11700,SKV
2018-01-29,11890,11890,11890,11890,340,SKV
2018-01-30,11890,11890,10510,11410,400,SKV
2018-01-31,11410,11410,11410,11410,10,SKV
2018-02-01,11410,11410,10620,10620,3100,SKV
2018-02-02,10930,10930,10350,10930,5710,SKV
2018-02-05,10350,10350,10350,10350,1200,SKV
2018-02-06,10090,10840,10090,10090,2670,SKV
2018-02-07,10250,10250,10250,10250,200,SKV
2018-02-08,10250,10350,10190,10350,3500,SKV
2018-02-09,10190,10190,10090,10190,14310,SKV
2018-02-12,11360,11630,11360,11630,4900,SKV
2018-02-13,12150,12210,12150,12210,1000,SKV
2018-02-21,13000,13000,13000,13000,1200,SKV
2018-02-22,11360,12150,11260,11950,18000,SKV
2018-02-23,12150,12150,12150,12150,200,SKV
2018-02-26,12270,12270,11780,11780,7590,SKV
2018-02-27,12150,12210,12150,12210,1600,SKV
2018-02-28,12150,12150,12150,12150,29100,SKV
2018-03-01,11950,11950,11950,11950,2400,SKV
2018-03-02,11950,11950,11950,11950,0,SKV
2018-03-05,12480,12640,12480,12640,17500,SKV
2018-03-06,12480,12480,12210,12210,6060,SKV
2018-03-07,12420,12420,12210,12210,4000,SKV
2018-03-08,12370,12370,12370,12370,0,SKV
2018-03-09,12210,12310,12210,12210,13250,SKV
2018-03-12,12270,12270,12270,12270,0,SKV
2018-03-13,12270,12270,12270,12270,0,SKV
2018-03-14,11680,11730,11680,11680,6000,SKV
2018-03-15,11680,11680,11680,11680,0,SKV
2018-03-16,12270,12270,12270,12270,1040,SKV
2018-03-19,12210,12210,12210,12210,200,SKV
2018-03-20,12420,12420,12420,12420,500,SKV
2018-03-21,11680,12210,11680,11680,1700,SKV
2018-03-22,11150,11950,11150,11950,700,SKV
2018-03-23,12210,12270,11680,12270,30400,SKV
2018-03-26,13800,13800,13800,13800,3500,SKV
2018-03-27,13280,13280,13220,13220,700,SKV
2018-03-28,12210,12210,12210,12210,6000,SKV
2018-03-29,12440,12440,12440,12440,100,SKV
2018-03-30,12440,12730,12440,12730,5300,SKV
2018-04-02,14350,14350,13310,13310,4600,SKV
2018-04-03,13020,13020,12730,12730,1200,SKV
2018-04-04,12440,12440,12440,12440,100,SKV
2018-04-05,12730,12730,12730,12730,500,SKV
2018-04-06,12730,13840,12150,13840,5200,SKV
2018-04-09,12270,12270,12210,12210,5000,SKV
2018-04-10,12210,12210,12210,12210,0,SKV
2018-04-11,12210,12210,12210,12210,1500,SKV
2018-04-12,12440,12440,11340,11340,1600,SKV
2018-04-13,11580,11580,11580,11580,100,SKV
