time,open,high,low,close,volume,ticker
2012-03-20,90,90,90,90,600,SMB
2012-03-21,90,90,90,90,0,SMB
2012-03-22,90,90,90,90,200,SMB
2012-03-23,90,90,90,90,3000,SMB
2012-03-26,90,90,90,90,300,SMB
2012-03-27,90,90,90,90,0,SMB
2012-03-28,90,90,90,90,1000,SMB
2012-03-29,90,90,90,90,300,SMB
2012-03-30,90,90,90,90,0,SMB
2012-04-03,90,90,90,90,300,SMB
2012-04-04,90,90,90,90,500,SMB
2012-04-05,90,90,90,90,0,SMB
2012-04-06,90,90,90,90,4800,SMB
2012-04-09,90,90,90,90,0,SMB
2012-04-10,90,90,90,90,3000,SMB
2012-04-11,90,90,90,90,3600,SMB
2012-04-12,90,90,90,90,1600,SMB
2012-04-13,90,90,90,90,3900,SMB
2012-04-16,90,90,90,90,3500,SMB
2012-04-17,90,90,90,90,1200,SMB
2012-04-18,90,90,90,90,1100,SMB
2012-04-19,90,90,90,90,600,SMB
2012-04-20,90,90,90,90,600,SMB
2012-04-23,90,90,90,90,100,SMB
2012-04-24,90,100,90,90,600,SMB
2012-04-25,100,100,100,100,0,SMB
2012-04-26,100,100,100,100,200,SMB
2012-04-27,90,100,90,100,600,SMB
2012-05-02,90,110,90,100,7500,SMB
2012-05-03,110,110,100,100,500,SMB
2012-05-04,110,110,100,110,7300,SMB
2012-05-07,100,110,100,110,4200,SMB
2012-05-08,110,110,110,110,1000,SMB
2012-05-09,110,110,110,110,500,SMB
2012-05-10,110,110,110,110,15000,SMB
2012-05-11,110,110,110,110,3000,SMB
2012-05-14,110,110,110,110,9900,SMB
2012-05-15,110,110,110,110,1000,SMB
2012-05-16,120,120,120,110,200,SMB
2012-05-17,120,120,120,120,0,SMB
2012-05-18,130,130,130,120,9600,SMB
2012-05-21,120,120,120,120,2400,SMB
2012-05-22,120,120,120,120,238,SMB
2012-05-23,120,120,120,120,200,SMB
2012-05-24,120,120,120,120,0,SMB
2012-05-25,110,130,110,120,600,SMB
2012-05-28,130,130,130,120,100,SMB
2012-05-29,130,130,130,130,0,SMB
2012-05-30,120,120,110,130,13100,SMB
2012-05-31,120,130,120,130,2500,SMB
2012-06-01,130,130,130,130,1400,SMB
2012-06-04,130,130,130,130,0,SMB
2012-06-05,130,140,130,130,2700,SMB
2012-06-06,130,130,130,130,0,SMB
2012-06-07,150,150,150,130,200,SMB
2012-06-08,150,150,150,150,0,SMB
2012-06-11,150,150,150,150,0,SMB
2012-06-12,140,140,140,150,1700,SMB
2012-06-13,150,150,150,150,0,SMB
2012-06-14,140,150,140,150,2100,SMB
2012-06-15,150,150,150,150,0,SMB
2012-06-18,150,150,150,150,0,SMB
2012-06-19,140,150,140,150,8500,SMB
2012-06-20,150,150,150,150,0,SMB
2012-06-21,160,160,160,150,1000,SMB
2012-06-22,160,160,160,160,0,SMB
2012-06-25,160,160,160,160,0,SMB
2012-06-26,160,160,160,160,400,SMB
2012-06-27,160,160,160,160,200,SMB
2012-06-28,150,150,150,160,3500,SMB
2012-06-29,160,160,160,160,0,SMB
2012-07-02,160,160,160,160,400,SMB
2012-07-03,160,160,160,160,1000,SMB
2012-07-04,170,170,170,160,200,SMB
2012-07-05,170,170,170,170,0,SMB
2012-07-06,170,170,170,170,0,SMB
2012-07-09,160,170,160,170,500,SMB
2012-07-10,160,170,160,170,200,SMB
2012-07-11,180,180,180,170,100,SMB
2012-07-12,170,170,170,180,100,SMB
2012-07-13,190,190,190,190,100,SMB
2012-07-16,190,190,190,190,100,SMB
2012-07-17,190,190,190,190,0,SMB
2012-07-18,190,190,190,190,0,SMB
2012-07-19,190,190,190,190,0,SMB
2012-07-20,180,190,180,190,400,SMB
2012-07-23,180,180,180,190,2100,SMB
2012-07-24,170,200,170,190,1500,SMB
2012-07-25,190,190,190,190,3900,SMB
2012-07-26,200,200,200,190,200,SMB
2012-07-27,230,230,190,200,500,SMB
2012-07-30,200,200,200,200,1000,SMB
2012-07-31,200,200,200,200,3600,SMB
2012-08-01,220,220,200,200,2700,SMB
2012-08-02,190,190,190,200,4359,SMB
2012-08-03,220,220,210,200,900,SMB
2012-08-06,220,220,220,220,3000,SMB
2012-08-07,220,220,220,220,400,SMB
2012-08-08,210,220,210,220,1700,SMB
2012-08-09,230,230,230,220,1100,SMB
2012-08-10,230,230,230,230,500,SMB
2012-08-13,230,230,220,230,6100,SMB
2012-08-14,250,250,250,230,500,SMB
2012-08-15,250,250,250,250,500,SMB
2012-08-16,250,250,250,250,0,SMB
2012-08-17,250,250,250,250,0,SMB
2012-08-20,250,250,250,250,13231,SMB
2012-08-21,220,250,220,250,8566,SMB
2012-08-22,240,250,240,250,5000,SMB
2012-08-23,250,250,230,250,4000,SMB
2012-08-24,260,260,260,250,6900,SMB
2012-08-27,280,280,260,260,9200,SMB
2012-08-28,260,260,260,260,2500,SMB
2012-08-29,270,270,270,260,1000,SMB
2012-08-30,270,270,270,270,3100,SMB
2012-08-31,270,270,270,270,9100,SMB
2012-09-04,270,270,270,270,3000,SMB
2012-09-05,270,270,270,270,8000,SMB
2012-09-06,270,270,270,270,6028,SMB
2012-09-07,270,270,270,270,13500,SMB
2012-09-10,270,270,270,270,1098,SMB
2012-09-11,270,270,270,270,2000,SMB
2012-09-12,270,270,270,270,5000,SMB
2012-09-13,270,270,270,270,1000,SMB
2012-09-14,270,270,270,270,500,SMB
2012-09-17,300,300,300,270,100,SMB
2012-09-18,300,300,300,300,0,SMB
2012-09-19,300,300,300,300,0,SMB
2012-09-20,300,300,300,300,0,SMB
2012-09-21,300,300,300,300,0,SMB
2012-09-24,300,300,300,300,0,SMB
2012-09-25,300,300,300,300,0,SMB
2012-09-26,270,280,270,300,600,SMB
2012-09-27,300,300,300,300,0,SMB
2012-09-28,300,300,300,300,0,SMB
2012-10-01,300,300,300,300,0,SMB
2012-10-02,300,300,300,300,0,SMB
2012-10-03,300,300,300,300,0,SMB
2012-10-04,300,300,300,300,0,SMB
2012-10-05,300,300,300,300,0,SMB
2012-10-08,300,300,300,300,0,SMB
2012-10-09,300,300,300,300,0,SMB
2012-10-10,300,300,300,300,0,SMB
2012-10-11,270,290,270,300,2000,SMB
2012-10-12,300,300,300,300,2000,SMB
2012-10-15,300,300,300,300,0,SMB
2012-10-16,300,300,300,300,0,SMB
2012-10-17,300,300,300,300,0,SMB
2012-10-18,300,300,300,300,0,SMB
2012-10-19,300,300,300,300,0,SMB
2012-10-22,300,300,300,300,0,SMB
2012-10-23,300,300,300,300,0,SMB
2012-10-24,300,300,300,300,0,SMB
2012-10-25,290,300,290,300,1600,SMB
2012-10-26,300,300,300,300,0,SMB
2012-10-29,300,300,300,300,0,SMB
2012-10-30,300,300,300,300,1000,SMB
