time,open,high,low,close,volume,ticker
2014-11-11,4530,4530,4530,4530,0,SNC
2014-11-12,4530,4530,4530,4530,0,SNC
2014-11-13,4530,4530,4530,4530,0,SNC
2014-11-14,4530,4530,4530,4530,0,SNC
2014-11-17,4530,4530,4530,4530,0,SNC
2014-11-18,4530,4530,4530,4530,0,SNC
2014-11-19,4530,4530,4530,4530,0,SNC
2014-11-20,6340,6340,6340,6340,100,SNC
2014-11-21,6970,6970,6970,6970,100,SNC
2014-11-24,7650,7650,7650,7650,100,SNC
2014-11-25,7650,8370,8370,8370,100,SNC
2014-11-26,9200,9200,9200,9200,100,SNC
2014-11-27,10090,10090,10090,10090,300,SNC
2014-11-28,11090,11090,11090,11090,100,SNC
2014-12-01,11090,11090,11090,11090,0,SNC
2014-12-02,11090,11090,11090,11090,0,SNC
2014-12-04,10410,10410,10410,10410,600,SNC
2014-12-05,10410,10410,10410,10410,0,SNC
2014-12-08,10410,10410,10410,10410,0,SNC
2014-12-09,10410,10410,10410,10410,0,SNC
2014-12-10,10410,10410,10410,10410,0,SNC
2014-12-11,10640,10640,10640,10640,4000,SNC
2014-12-12,10640,10640,10640,10640,0,SNC
2014-12-15,10640,10640,10640,10640,0,SNC
2014-12-16,10870,10870,10640,10870,11300,SNC
2014-12-17,10870,11320,10870,10870,2300,SNC
2014-12-18,10870,11090,10870,11090,6000,SNC
2014-12-19,10640,10640,10410,10410,2000,SNC
2014-12-22,10550,10550,10550,10550,8500,SNC
2014-12-23,10550,10550,10510,10550,2600,SNC
2014-12-24,10510,10550,10510,10510,20800,SNC
2014-12-25,10510,10510,10510,10510,0,SNC
2014-12-26,10410,10410,10330,10330,5600,SNC
2014-12-29,10410,10410,10410,10410,0,SNC
2014-12-30,10410,10410,10410,10410,0,SNC
2014-12-31,10410,10410,10410,10410,0,SNC
2015-01-05,10410,10410,9410,10330,5100,SNC
2015-01-06,10410,10410,10410,10410,100,SNC
2015-01-07,11450,11450,10450,10450,1100,SNC
2015-01-08,9510,10640,9510,10640,2100,SNC
2015-01-09,11010,11010,9100,9280,27900,SNC
2015-01-12,10370,10370,9050,9960,28400,SNC
2015-01-13,9230,10150,9230,9960,130800,SNC
2015-01-14,9280,10870,9280,10870,24000,SNC
2015-01-15,10870,11680,10870,11680,21050,SNC
2015-01-16,12630,12680,12270,12680,27000,SNC
2015-01-19,13580,13580,11770,13220,11100,SNC
2015-01-20,12680,13130,11770,12450,19400,SNC
2015-01-21,11820,12860,11320,12360,74900,SNC
2015-01-22,12680,13360,12680,13310,38400,SNC
2015-01-23,13180,13670,13130,13400,14600,SNC
2015-01-26,13130,13270,13130,13270,300,SNC
2015-01-27,12000,13130,12000,12680,10000,SNC
2015-01-28,12410,12450,12000,12230,12900,SNC
2015-01-29,12230,12230,11770,11770,21500,SNC
2015-01-30,11860,12230,11860,11950,6900,SNC
2015-02-02,12000,12450,11770,12000,19000,SNC
2015-02-03,11770,12450,11770,12450,30000,SNC
2015-02-04,11770,12000,11770,12000,2200,SNC
2015-02-05,11820,12720,11820,12230,72000,SNC
2015-02-06,12450,13130,12450,13130,84750,SNC
2015-02-09,13130,13130,11730,11730,15500,SNC
2015-02-10,12450,12450,12000,12230,4200,SNC
2015-02-11,12230,12230,11500,11770,63200,SNC
2015-02-12,12000,12000,11550,11630,1900,SNC
2015-02-13,11550,11550,11550,11550,3400,SNC
2015-02-24,11770,11770,10870,11770,300,SNC
2015-02-25,11320,11410,10410,10410,37500,SNC
2015-02-26,10870,10870,10550,10550,13800,SNC
2015-02-27,9730,11630,9730,10410,7300,SNC
2015-03-02,10590,10590,9650,9960,9600,SNC
2015-03-03,10410,10410,9280,10190,16700,SNC
2015-03-04,11050,11230,10270,11230,12800,SNC
2015-03-05,10770,10770,10640,10640,2000,SNC
2015-03-06,9960,10640,9960,10640,400,SNC
2015-03-09,10410,10410,10410,10410,0,SNC
2015-03-10,10370,10410,10370,10410,3000,SNC
2015-03-11,9410,11320,9410,9510,6700,SNC
2015-03-12,9780,9780,9780,9780,200,SNC
2015-03-13,9780,9780,9780,9780,1000,SNC
2015-03-16,10640,10640,10640,10640,1000,SNC
2015-03-17,9960,10010,9960,9960,2900,SNC
2015-03-18,9960,9960,9960,9960,2000,SNC
2015-03-19,10330,10330,9910,10190,1800,SNC
2015-03-20,9510,10150,9510,10150,600,SNC
2015-03-23,9100,10090,9100,9280,700,SNC
2015-03-24,9280,9730,9280,9280,450,SNC
2015-03-25,10010,10010,8690,9370,8000,SNC
2015-03-26,9960,9960,9960,9960,2000,SNC
2015-03-27,9910,10550,9910,10550,735100,SNC
2015-03-30,11090,11130,10590,11050,16000,SNC
2015-03-31,11130,11770,11010,11370,31400,SNC
2015-04-01,11370,11770,11230,11320,581600,SNC
2015-04-02,11320,11680,11320,11630,105200,SNC
2015-04-03,11770,12630,11770,12630,108700,SNC
2015-04-06,12630,13810,12630,13360,60650,SNC
2015-04-07,13310,13490,13090,13220,71100,SNC
2015-04-08,13220,13220,12860,13040,111000,SNC
2015-04-09,13220,13540,13040,13450,138600,SNC
2015-04-10,13490,14530,13490,14530,126900,SNC
2015-04-13,14940,14940,14440,14620,199800,SNC
2015-04-14,14220,14620,14220,14530,65800,SNC
2015-04-15,14350,14440,14180,14310,29800,SNC
2015-04-16,14130,14260,14000,14130,82410,SNC
2015-04-17,14260,15390,14130,14490,39600,SNC
2015-04-20,14350,14350,14220,14260,131700,SNC
2015-04-21,14260,14260,14000,14000,78900,SNC
2015-04-22,14030,14030,13130,13720,32800,SNC
2015-04-23,13810,14490,13450,13900,18800,SNC
2015-04-24,13580,13630,13580,13580,9000,SNC
2015-04-27,13580,13580,13090,13360,27200,SNC
2015-05-04,12230,12680,12230,12680,1000,SNC
2015-05-05,12630,12630,12230,12230,1200,SNC
2015-05-06,13720,13720,12130,12130,2800,SNC
2015-05-07,12320,13040,12230,12770,27600,SNC
2015-05-08,14030,14030,13130,13130,500,SNC
2015-05-11,14490,14490,14180,14180,500,SNC
2015-05-12,13130,13130,12800,12800,800,SNC
2015-05-13,14030,14030,12230,13090,5500,SNC
2015-05-14,11820,12950,11820,12950,700,SNC
2015-05-15,13490,14000,13490,13580,14300,SNC
2015-05-18,13270,13270,12630,12630,2400,SNC
2015-05-19,12590,12590,12320,12320,3600,SNC
2015-05-20,12900,13040,12410,12410,13700,SNC
2015-05-21,12860,12860,12230,12230,15600,SNC
2015-05-22,12230,12230,12230,12230,3200,SNC
2015-05-25,12230,12230,11010,11770,3000,SNC
2015-05-26,12630,12630,12000,12000,5100,SNC
2015-05-27,12000,12000,11770,11770,3000,SNC
2015-05-28,12590,12590,11860,11860,6000,SNC
2015-05-29,11770,12410,11770,12410,1600,SNC
2015-06-01,12270,12270,11680,11680,1900,SNC
2015-06-02,11730,12130,10870,12130,16100,SNC
2015-06-03,11500,11500,11500,11500,0,SNC
2015-06-04,11730,11730,10870,11130,7900,SNC
2015-06-05,11730,11730,10870,11500,4100,SNC
2015-06-08,10230,11270,10190,10870,18000,SNC
2015-06-09,11320,11320,9960,11230,9900,SNC
2015-06-10,11050,11320,11050,11320,4000,SNC
2015-06-11,10950,11130,10950,11130,200,SNC
2015-06-12,11270,11270,10870,11230,2100,SNC
2015-06-15,11190,11190,11050,11090,1600,SNC
2015-06-16,10510,11230,10410,11230,4800,SNC
2015-06-17,10410,11230,10410,11230,1400,SNC
2015-06-18,11860,11860,11860,11860,100,SNC
2015-06-19,11820,12010,11820,12010,1200,SNC
2015-06-22,11050,11050,10760,10760,4500,SNC
2015-06-23,11670,11670,10760,10760,800,SNC
2015-06-24,11050,11050,11050,11050,100,SNC
2015-06-25,10080,11730,10080,11730,4700,SNC
2015-06-26,11530,12490,11050,11430,8000,SNC
2015-06-29,11530,11960,11530,11960,36500,SNC
2015-06-30,12200,12250,10760,12250,101700,SNC
2015-07-01,10620,10620,10570,10570,1000,SNC
2015-07-02,9600,12150,9600,10570,12200,SNC
2015-07-03,11960,11960,11960,11960,0,SNC
2015-07-06,11960,11960,11960,11960,0,SNC
2015-07-07,11050,11960,10190,10190,4900,SNC
2015-07-08,11530,11530,11530,11530,100,SNC
2015-07-09,11530,11530,11530,11530,0,SNC
2015-07-10,11340,11340,11340,11340,100,SNC
2015-07-13,11920,11920,11580,11580,20000,SNC
2015-07-14,11530,11670,10080,10080,21000,SNC
2015-07-15,11480,11480,11390,11390,12000,SNC
2015-07-16,9850,11340,9800,11340,15600,SNC
2015-07-17,9560,11530,9510,11530,5900,SNC
2015-07-20,11140,11140,11140,11140,100,SNC
2015-07-21,11140,11140,11140,11140,0,SNC
2015-07-22,11140,11140,11140,11140,0,SNC
2015-07-23,9510,9510,9510,9510,100,SNC
2015-07-24,9180,9220,9130,9220,4000,SNC
2015-07-27,9220,9220,9220,9220,300,SNC
2015-07-28,9600,9600,9130,9560,2500,SNC
2015-07-29,9710,9750,9710,9750,400,SNC
2015-07-30,9710,9710,9710,9710,0,SNC
2015-07-31,9850,10950,9850,10950,1900,SNC
2015-08-03,10810,10810,10810,10810,0,SNC
2015-08-04,10810,10810,10810,10810,0,SNC
2015-08-05,9370,10050,9220,9220,2100,SNC
2015-08-06,9800,9800,8890,9510,6200,SNC
2015-08-07,10080,10760,9600,9600,8200,SNC
2015-08-10,10330,10330,10330,10330,0,SNC
2015-08-11,9130,9130,9130,9130,1000,SNC
2015-08-12,8650,9370,8650,9130,1800,SNC
2015-08-13,8650,9180,8650,9130,5900,SNC
2015-08-14,9130,9560,9130,9130,5800,SNC
2015-08-17,8690,9080,8690,9080,4100,SNC
2015-08-18,8690,8690,8690,8690,0,SNC
2015-08-19,9080,9080,9080,9080,100,SNC
2015-08-20,9600,10430,9600,10080,32400,SNC
2015-08-21,9130,10080,9130,10080,300,SNC
2015-08-24,10570,10570,8650,8650,200,SNC
2015-08-25,9130,9130,9130,9130,5000,SNC
2015-08-26,9130,9130,9130,9130,0,SNC
2015-08-27,9130,9130,9130,9130,0,SNC
2015-08-28,9130,9130,9130,9130,0,SNC
2015-08-31,10080,10080,8650,8650,300,SNC
2015-09-01,9600,9600,9600,9600,0,SNC
2015-09-03,9600,11050,9600,11050,200,SNC
2015-09-04,11050,11050,8790,8790,4000,SNC
2015-09-07,9510,9560,9510,9560,200,SNC
2015-09-08,9560,9560,8170,8210,8100,SNC
2015-09-09,8890,8890,8890,8890,100,SNC
2015-09-10,8890,8890,8890,8890,0,SNC
2015-09-11,8890,8890,8890,8890,0,SNC
2015-09-14,7690,7690,7600,7690,12100,SNC
2015-09-15,8119,8740,7640,7640,18400,SNC
2015-09-16,8170,8930,7690,8740,26500,SNC
2015-09-17,8930,8930,8790,8790,3100,SNC
2015-09-18,8170,8790,8170,8170,2100,SNC
2015-09-21,8690,8690,8690,8690,0,SNC
2015-09-22,8690,8690,8690,8690,0,SNC
2015-09-23,7690,7930,7690,7930,700,SNC
2015-09-24,8550,8550,8550,8550,200,SNC
2015-09-25,7930,7930,7930,7930,4300,SNC
2015-09-28,8460,8460,8460,8460,100,SNC
2015-09-29,7690,7690,7350,7350,1200,SNC
2015-09-30,7930,8650,7600,7600,6200,SNC
2015-10-01,7930,7930,7930,7930,500,SNC
2015-10-02,7930,7930,7930,7930,0,SNC
2015-10-05,8360,8360,7980,7980,800,SNC
2015-10-06,7930,7930,7790,7930,9500,SNC
2015-10-07,8740,8740,8740,8740,100,SNC
2015-10-08,10050,10050,8170,8170,1200,SNC
2015-10-09,8170,8170,7690,7930,3600,SNC
2015-10-12,8320,8320,8320,8320,100,SNC
2015-10-13,7690,7690,7690,7690,2000,SNC
2015-10-14,7450,7450,7210,7210,1700,SNC
2015-10-15,8119,8119,7690,7690,600,SNC
2015-10-16,7690,7690,7210,7210,1400,SNC
2015-10-19,8320,8320,8320,8320,100,SNC
2015-10-20,8320,8320,8320,8320,0,SNC
2015-10-21,7540,7930,7540,7790,4500,SNC
2015-10-22,7790,7790,7690,7690,1600,SNC
2015-10-23,8890,8890,8890,8890,100,SNC
2015-10-26,9560,9560,7930,7930,1900,SNC
2015-10-27,9410,9410,7980,8270,1100,SNC
2015-10-28,7930,8600,7930,8600,200,SNC
2015-10-29,9470,9470,8170,8170,1300,SNC
2015-10-30,7930,7930,7930,7930,500,SNC
2015-11-02,7690,8600,7690,7730,1100,SNC
2015-11-03,8170,8930,7690,7690,5900,SNC
2015-11-04,7690,7690,7690,7690,1000,SNC
2015-11-05,8119,8119,7450,7450,1600,SNC
2015-11-06,7790,7790,7690,7690,2100,SNC
2015-11-09,7730,7730,7730,7730,0,SNC
2015-11-10,8080,8080,7210,7210,300,SNC
2015-11-11,7640,7640,7640,7640,700,SNC
2015-11-12,6540,7640,6540,7640,1100,SNC
2015-11-13,8119,8119,8119,8119,100,SNC
2015-11-16,8119,8119,8119,8119,0,SNC
2015-11-17,8080,9320,7690,7690,2100,SNC
2015-11-18,8170,9370,7690,8170,4100,SNC
2015-11-19,9470,9470,8170,8170,5600,SNC
2015-11-20,9320,9320,8170,8170,3100,SNC
2015-11-23,7930,7930,7930,7930,10000,SNC
2015-11-24,7930,7930,7930,7930,1300,SNC
2015-11-25,7690,7930,7690,7930,1600,SNC
2015-11-26,7690,7830,7690,7830,7200,SNC
2015-11-27,7690,7690,7690,7690,1200,SNC
2015-11-30,7690,7690,7690,7690,7300,SNC
2015-12-01,7690,7690,7690,7690,1500,SNC
2015-12-02,7690,7690,7690,7690,3000,SNC
2015-12-03,7730,7730,7730,7730,200,SNC
2015-12-04,8119,8119,8119,8119,100,SNC
2015-12-07,8119,8119,8119,8119,0,SNC
2015-12-08,7730,7730,7730,7730,1000,SNC
2015-12-09,7690,7690,7690,7690,1000,SNC
2015-12-10,7690,7690,7690,7690,2400,SNC
2015-12-11,8119,8119,8119,8119,100,SNC
2015-12-14,8119,8119,8119,8119,0,SNC
2015-12-15,7690,7690,7690,7690,200,SNC
2015-12-16,7690,7930,7690,7930,1800,SNC
2015-12-17,7880,7880,7880,7880,100,SNC
2015-12-18,7880,7880,7880,7880,0,SNC
2015-12-21,7930,7930,7930,7930,100,SNC
2015-12-22,7690,7690,7690,7690,400,SNC
2015-12-23,7690,7690,7690,7690,1300,SNC
2015-12-24,7690,7690,7690,7690,0,SNC
2015-12-25,7690,7690,7690,7690,1100,SNC
2015-12-28,8650,8690,7690,7690,2600,SNC
2015-12-29,9560,9560,9470,9470,2100,SNC
2015-12-30,8080,10530,8080,8080,19000,SNC
2015-12-31,9130,10530,8320,8320,40200,SNC
2016-01-04,10140,10140,10140,10140,0,SNC
2016-01-05,10140,10140,10140,10140,0,SNC
2016-01-06,10140,10140,10140,10140,0,SNC
2016-01-07,10140,10140,10140,10140,0,SNC
2016-01-08,10140,10140,10140,10140,0,SNC
2016-01-11,8650,8650,8650,8650,500,SNC
2016-01-12,7690,7690,7690,7690,300,SNC
2016-01-13,7880,7880,7880,7880,500,SNC
2016-01-14,7880,7880,7880,7880,0,SNC
