time,open,high,low,close,volume,ticker
2017-02-14,8380,8380,8380,8380,0,SPV
2017-02-15,8380,8380,8380,8380,0,SPV
2017-02-16,8380,8380,8380,8380,0,SPV
2017-02-17,8380,8380,8380,8380,0,SPV
2017-02-20,8380,8380,8380,8380,0,SPV
2017-02-21,8380,8380,8380,8380,0,SPV
2017-02-22,8380,8380,8380,8380,0,SPV
2017-02-23,8380,8380,8380,8380,0,SPV
2017-02-24,8380,8380,8380,8380,0,SPV
2017-02-27,8380,8380,8380,8380,0,SPV
2017-02-28,8380,8380,8380,8380,0,SPV
2017-03-01,8380,8380,8380,8380,0,SPV
2017-03-02,8380,8380,8380,8380,0,SPV
2017-03-03,5050,5050,5050,5050,2700,SPV
2017-03-06,5050,5050,5050,5050,0,SPV
2017-03-07,5050,5050,5050,5050,0,SPV
2017-03-08,5050,5050,5050,5050,0,SPV
2017-03-09,5050,5050,5050,5050,0,SPV
2017-03-10,5050,5050,5050,5050,0,SPV
2017-03-13,4310,4310,4310,4310,5000,SPV
2017-03-14,4890,4890,4890,4890,4400,SPV
2017-03-15,4890,4890,4890,4890,0,SPV
2017-03-16,4890,4890,4890,4890,0,SPV
2017-03-17,4890,4890,4890,4890,0,SPV
2017-03-20,4890,4890,4890,4890,0,SPV
2017-03-21,4890,4890,4890,4890,0,SPV
2017-03-22,4890,4890,4890,4890,0,SPV
2017-03-23,4890,4890,4890,4890,0,SPV
2017-03-24,4890,4890,4890,4890,0,SPV
2017-03-27,4890,4890,4890,4890,0,SPV
2017-03-28,4890,4890,4890,4890,0,SPV
2017-03-29,5620,5620,5620,5620,100,SPV
2017-03-30,6440,6440,6440,6440,100,SPV
2017-03-31,6440,6440,6440,6440,0,SPV
2017-04-03,6440,6440,6440,6440,0,SPV
2017-04-04,6440,6440,6440,6440,0,SPV
2017-04-05,6440,6440,6440,6440,0,SPV
2017-04-07,6440,6440,6440,6440,0,SPV
2017-04-10,6440,6440,6440,6440,0,SPV
2017-04-11,6440,6440,6440,6440,0,SPV
2017-04-12,6440,6440,6440,6440,0,SPV
2017-04-13,6440,6440,6440,6440,0,SPV
2017-04-14,6440,6440,6440,6440,0,SPV
2017-04-17,6440,6440,6440,6440,0,SPV
2017-04-18,6440,6440,6440,6440,0,SPV
2017-04-19,6440,6440,6440,6440,0,SPV
2017-04-20,6440,6440,6440,6440,0,SPV
2017-04-21,6440,6440,6440,6440,0,SPV
2017-04-24,6440,6440,6440,6440,0,SPV
2017-04-25,6440,6440,6440,6440,0,SPV
2017-04-26,6440,6440,6440,6440,0,SPV
2017-04-27,6440,6440,6440,6440,0,SPV
2017-04-28,6440,6440,6440,6440,0,SPV
2017-05-03,6440,6440,6440,6440,0,SPV
2017-05-04,6440,6440,6440,6440,0,SPV
2017-05-05,6440,6440,6440,6440,0,SPV
2017-05-08,6440,6440,6440,6440,0,SPV
2017-05-09,6440,6440,6440,6440,0,SPV
2017-05-10,6440,6440,6440,6440,0,SPV
2017-05-11,6440,6440,6440,6440,0,SPV
2017-05-12,6440,6440,6440,6440,0,SPV
2017-05-15,6440,6440,6440,6440,0,SPV
2017-05-16,6440,6440,6440,6440,0,SPV
2017-05-17,6440,6440,6440,6440,0,SPV
2017-05-18,6440,6440,6440,6440,0,SPV
2017-05-19,6440,6440,6440,6440,0,SPV
2017-05-22,6440,6440,6440,6440,0,SPV
2017-05-23,6440,6440,6440,6440,0,SPV
2017-05-24,6440,6440,6440,6440,0,SPV
2017-05-25,6440,6440,6440,6440,0,SPV
2017-05-26,6440,6440,6440,6440,0,SPV
2017-05-29,6440,6440,6440,6440,0,SPV
2017-05-30,6440,6440,6440,6440,0,SPV
2017-05-31,6440,6440,6440,6440,0,SPV
2017-06-01,6440,6440,6440,6440,0,SPV
2017-06-02,6440,6440,6440,6440,0,SPV
2017-06-05,6440,6440,6440,6440,0,SPV
2017-06-06,6440,6440,6440,6440,0,SPV
2017-06-07,6440,6440,6440,6440,0,SPV
2017-06-08,6440,6440,6440,6440,0,SPV
2017-06-09,6440,6440,6440,6440,0,SPV
2017-06-12,6440,6440,6440,6440,0,SPV
2017-06-13,6100,6100,6100,6100,2500,SPV
2017-06-14,6100,6100,6100,6100,6700,SPV
2017-06-15,6100,6100,6100,6100,0,SPV
2017-06-16,6100,6100,6100,6100,0,SPV
2017-06-19,6100,6100,6100,6100,0,SPV
2017-06-20,6100,6100,6100,6100,0,SPV
2017-06-21,6100,6100,6100,6100,0,SPV
2017-06-22,6100,6100,6100,6100,0,SPV
2017-06-23,6100,6100,6100,6100,0,SPV
2017-06-26,6100,6100,6100,6100,0,SPV
2017-06-27,6100,6100,6100,6100,0,SPV
2017-06-28,6100,6100,6100,6100,0,SPV
2017-06-29,6100,6100,6100,6100,0,SPV
2017-06-30,6100,6100,6100,6100,0,SPV
2017-07-03,7000,7000,7000,7000,100,SPV
2017-07-04,7000,7000,7000,7000,0,SPV
2017-07-05,7000,7000,7000,7000,0,SPV
2017-07-06,7000,7000,7000,7000,0,SPV
2017-07-07,7000,7000,7000,7000,0,SPV
2017-07-10,7000,7000,7000,7000,0,SPV
2017-07-11,7000,7000,7000,7000,0,SPV
2017-07-12,7000,7000,7000,7000,0,SPV
2017-07-13,7000,7000,7000,7000,0,SPV
2017-07-14,7000,7000,7000,7000,0,SPV
2017-07-17,7000,7000,7000,7000,0,SPV
2017-07-18,6760,6760,6760,6760,13000,SPV
2017-07-19,6760,6760,6760,6760,0,SPV
2017-07-20,6760,6760,6760,6760,0,SPV
2017-07-21,6760,6760,6760,6760,0,SPV
2017-07-24,6760,6760,6760,6760,16000,SPV
2017-07-25,6760,6760,6760,6760,13000,SPV
2017-07-26,6760,6760,6760,6760,0,SPV
2017-07-27,6680,6680,6680,6680,5900,SPV
2017-07-28,6510,6510,6510,6510,20000,SPV
2017-07-31,6510,6510,6510,6510,0,SPV
2017-08-01,6510,6510,6510,6510,0,SPV
2017-08-02,6510,6510,6510,6510,0,SPV
2017-08-03,6510,6510,6510,6510,0,SPV
2017-08-04,6510,6510,6510,6510,0,SPV
2017-08-07,6510,6680,6510,6510,25000,SPV
2017-08-08,6510,6510,6510,6510,10000,SPV
2017-08-09,6510,6510,6510,6510,0,SPV
2017-08-10,6510,6510,6510,6510,0,SPV
2017-08-11,6510,6510,6510,6510,0,SPV
2017-08-14,6510,6510,6510,6510,0,SPV
2017-08-15,6680,6680,6680,6680,20000,SPV
2017-08-16,6680,6680,6680,6680,0,SPV
2017-08-17,6680,6680,6680,6680,0,SPV
2017-08-18,6680,6680,6680,6680,0,SPV
2017-08-21,6680,6680,6680,6680,0,SPV
2017-08-22,6680,6680,6680,6680,9500,SPV
2017-08-23,6680,6680,6680,6680,0,SPV
2017-08-24,6680,6680,6680,6680,0,SPV
2017-08-25,6680,6680,6680,6680,0,SPV
2017-08-28,6680,6680,6680,6680,0,SPV
2017-08-29,6680,6680,6680,6680,0,SPV
2017-08-30,6680,6680,6680,6680,0,SPV
2017-08-31,6680,6680,6680,6680,0,SPV
2017-09-01,6680,6680,6680,6680,0,SPV
2017-09-05,6680,6680,6680,6680,0,SPV
2017-09-06,6680,6680,6680,6680,21400,SPV
2017-09-07,6680,6680,6680,6680,0,SPV
2017-09-08,6680,6680,6680,6680,0,SPV
2017-09-11,6680,6680,6680,6680,0,SPV
2017-09-12,6680,6680,6680,6680,0,SPV
2017-09-13,6680,6680,6680,6680,1000,SPV
2017-09-14,6680,6680,6680,6680,2500,SPV
2017-09-15,6680,6680,6680,6680,11000,SPV
2017-09-18,6680,6680,6680,6680,30400,SPV
2017-09-19,6680,6680,6680,6680,0,SPV
2017-09-20,6680,6680,6680,6680,15500,SPV
2017-09-21,6510,6510,6510,6510,100,SPV
2017-09-22,6680,6680,6680,6680,401,SPV
2017-09-25,6510,6760,5700,5700,300,SPV
2017-09-26,6350,6350,6350,6350,0,SPV
2017-09-27,7240,7240,6350,7240,1200,SPV
2017-09-28,6100,7740,6100,6100,320,SPV
2017-09-29,7240,7240,6350,7240,700,SPV
2017-10-02,6760,6760,6760,6760,0,SPV
2017-10-03,6760,6760,6760,6760,0,SPV
2017-10-04,6760,6760,6760,6760,0,SPV
2017-10-05,6350,6680,6350,6680,400,SPV
2017-10-06,6590,6590,6590,6590,0,SPV
2017-10-09,6590,6590,6590,6590,0,SPV
2017-10-10,6590,6590,6590,6590,0,SPV
2017-10-11,6680,6680,6680,6680,18500,SPV
2017-10-12,6510,6510,6510,6510,100,SPV
2017-10-13,6510,6510,6510,6510,0,SPV
2017-10-16,7490,7490,5700,6680,20200,SPV
2017-10-17,6680,6680,6680,6680,1000,SPV
2017-10-18,6680,6680,6680,6680,5180,SPV
2017-10-19,5780,6680,5780,6680,10100,SPV
2017-10-20,5700,6680,5700,6680,13200,SPV
2017-10-23,6680,6680,6680,6680,2000,SPV
2017-10-24,6680,6680,6680,6680,14200,SPV
2017-10-25,5700,5700,5700,5700,100,SPV
2017-10-26,6100,6100,6100,6100,110,SPV
2017-10-27,6100,6100,6100,6100,0,SPV
2017-10-30,6680,6680,6100,6100,10700,SPV
2017-10-31,6100,6680,6100,6680,600,SPV
2017-11-01,6590,6590,6590,6590,0,SPV
2017-11-02,6590,6590,6590,6590,0,SPV
2017-11-03,6590,6590,6590,6590,0,SPV
2017-11-06,6590,6590,6590,6590,0,SPV
2017-11-07,6680,6680,6680,6680,1000,SPV
2017-11-08,6680,6680,6680,6680,0,SPV
2017-11-09,6680,6680,6680,6680,0,SPV
2017-11-10,7650,7650,5700,6680,12670,SPV
2017-11-13,6680,6680,6680,6680,0,SPV
2017-11-14,6680,6680,6680,6680,0,SPV
2017-11-15,6680,6680,6680,6680,100,SPV
2017-11-16,6680,6680,6680,6680,0,SPV
2017-11-17,6680,6680,6680,6680,0,SPV
2017-11-20,6680,6680,6680,6680,660,SPV
2017-11-21,6680,6680,6680,6680,0,SPV
2017-11-22,6680,6680,6680,6680,0,SPV
2017-11-23,6680,6680,6680,6680,14900,SPV
2017-11-24,6680,6680,6680,6680,0,SPV
2017-11-27,6680,6680,6680,6680,0,SPV
2017-11-28,6680,6680,6680,6680,0,SPV
2017-11-29,6680,6680,6680,6680,0,SPV
2017-11-30,6680,6680,6680,6680,0,SPV
2017-12-01,6680,6680,6680,6680,0,SPV
2017-12-04,6680,6680,6680,6680,0,SPV
2017-12-05,6680,6680,6680,6680,0,SPV
2017-12-06,7650,7650,7650,7650,100,SPV
2017-12-07,6510,8790,6510,6680,300,SPV
2017-12-08,6270,6270,6270,6270,100,SPV
2017-12-11,6270,6270,6270,6270,0,SPV
2017-12-12,6270,6270,6270,6270,0,SPV
2017-12-13,7170,7170,7170,7170,100,SPV
2017-12-14,7170,7170,7170,7170,0,SPV
2017-12-15,7170,7170,7170,7170,0,SPV
2017-12-18,7170,7170,7170,7170,0,SPV
2017-12-19,7090,7090,6590,7090,3200,SPV
2017-12-20,7090,7090,6680,6680,26600,SPV
2017-12-21,6840,6840,6680,6680,48000,SPV
2017-12-22,6680,6680,6680,6680,10000,SPV
2017-12-25,6680,6680,6680,6680,0,SPV
2017-12-26,6680,6680,6680,6680,30000,SPV
2017-12-27,6510,6510,6510,6510,10000,SPV
2017-12-28,6680,6680,6510,6510,60000,SPV
2017-12-29,6100,6100,6100,6100,100,SPV
2018-01-02,6100,6100,6100,6100,0,SPV
2018-01-03,6100,6100,6100,6100,0,SPV
2018-01-04,6100,6100,6100,6100,0,SPV
2018-01-05,6100,6100,6100,6100,0,SPV
2018-01-08,6100,6100,6100,6100,0,SPV
2018-01-09,6100,6100,6100,6100,0,SPV
2018-01-10,6920,6920,6510,6510,12200,SPV
