time,open,high,low,close,volume,ticker
2012-03-20,14830,14830,14830,14830,100,SSC
2012-03-21,14290,14760,14070,14760,3200,SSC
2012-03-22,14190,14610,14120,14290,10760,SSC
2012-03-23,14290,14980,14290,14980,19260,SSC
2012-03-26,15510,15720,14870,15720,20730,SSC
2012-03-27,15350,16450,15350,16450,19240,SSC
2012-03-28,15770,16970,15770,16970,16310,SSC
2012-03-29,17200,17840,17130,17840,27820,SSC
2012-03-30,17510,17510,17480,17480,10500,SSC
2012-04-03,17200,17840,17200,17840,23940,SSC
2012-04-04,17100,18680,17100,18680,16210,SSC
2012-04-05,19050,19580,17880,19530,17770,SSC
2012-04-06,18680,20480,18680,20160,45440,SSC
2012-04-09,20900,21110,20110,21010,12530,SSC
2012-04-10,20000,21160,20000,20060,3310,SSC
2012-04-11,19100,19840,19100,19160,10510,SSC
2012-04-12,18190,18470,18190,18190,8970,SSC
2012-04-13,17300,17720,17300,17300,5020,SSC
2012-04-16,17480,17560,16660,17200,770,SSC
2012-04-17,17200,17200,17200,17200,0,SSC
2012-04-18,16930,17940,16930,17940,2980,SSC
2012-04-19,18510,18510,17990,17990,510,SSC
2012-04-20,17990,17990,17990,17990,0,SSC
2012-04-23,17990,17990,17990,17990,0,SSC
2012-04-24,17200,17200,17200,17200,580,SSC
2012-04-25,17720,17720,16930,16930,1680,SSC
2012-04-26,17480,17480,17480,17480,10,SSC
2012-04-27,16660,17480,16660,17480,310,SSC
2012-05-02,18260,18260,17510,18260,870,SSC
2012-05-03,17350,17990,17350,17720,3200,SSC
2012-05-04,16930,17880,16930,17880,1200,SSC
2012-05-07,17880,17880,17720,17880,3710,SSC
2012-05-08,17510,18100,17510,17510,1070,SSC
2012-05-09,17880,17880,17880,17880,100,SSC
2012-05-10,17720,17720,17040,17720,700,SSC
2012-05-11,18510,18570,18510,18570,15100,SSC
2012-05-14,18570,18570,18570,18570,0,SSC
2012-05-15,17720,18420,17720,18420,110,SSC
2012-05-16,17990,18360,17510,17990,12210,SSC
2012-05-17,17720,18190,17720,18190,50,SSC
2012-05-18,17300,17880,17300,17880,20840,SSC
2012-05-21,18510,18510,17480,17480,470,SSC
2012-05-22,18160,18160,18160,18160,20,SSC
2012-05-23,17990,17990,17880,17880,19910,SSC
2012-05-24,18470,18470,17940,17990,21010,SSC
2012-05-25,18510,18510,17990,17990,790,SSC
2012-05-28,17990,17990,17990,17990,10770,SSC
2012-05-29,17720,17990,17720,17990,5730,SSC
2012-05-30,17990,17990,17990,17990,13910,SSC
2012-05-31,17990,17990,17880,17990,12030,SSC
2012-06-01,17990,17990,17990,17990,12500,SSC
2012-06-04,17880,17990,17880,17990,21190,SSC
2012-06-05,17990,18260,17990,17990,14400,SSC
2012-06-06,17990,18260,17990,18260,13460,SSC
2012-06-07,17990,17990,17990,17990,5000,SSC
2012-06-08,17990,17990,17880,17990,10910,SSC
2012-06-11,18040,18040,18040,18040,1000,SSC
2012-06-12,17130,17200,17130,17200,2360,SSC
2012-06-13,17480,17990,17480,17990,70,SSC
2012-06-14,17990,17990,17990,17990,0,SSC
2012-06-15,17990,17990,17990,17990,0,SSC
2012-06-18,17990,17990,17990,17990,30,SSC
2012-06-19,17130,17940,17130,17940,20010,SSC
2012-06-20,17940,17940,17940,17940,0,SSC
2012-06-21,17100,17880,17100,17880,260,SSC
2012-06-22,17880,17880,17880,17880,0,SSC
2012-06-25,17880,17880,17880,17880,0,SSC
2012-06-26,17040,17630,17040,17630,25500,SSC
2012-06-27,16780,17480,16780,17480,1030,SSC
2012-06-28,17480,17480,17480,17480,0,SSC
2012-06-29,17480,17480,17200,17480,7270,SSC
2012-07-02,17480,17480,17300,17480,11600,SSC
2012-07-03,17480,17990,17480,17990,11830,SSC
2012-07-04,17990,17990,17990,17990,0,SSC
2012-07-05,17480,17480,17480,17480,520,SSC
2012-07-06,17480,17880,17480,17880,10070,SSC
2012-07-09,17880,17880,17880,17880,0,SSC
2012-07-10,17720,17720,17040,17040,1010,SSC
2012-07-11,16930,16930,16930,16930,560,SSC
