time,open,high,low,close,volume,ticker
2019-02-20,11210,11210,11210,11210,100,TAR
2019-02-21,12310,12310,12310,12310,1600,TAR
2019-02-22,13480,13480,13480,13480,100,TAR
2019-02-25,13480,13480,13480,13480,0,TAR
2019-02-26,14790,14790,14790,14790,100,TAR
2019-02-27,16230,16230,16230,16230,100,TAR
2019-02-28,17820,17820,17820,17820,168200,TAR
2019-03-01,19540,19540,18920,18920,234400,TAR
2019-03-04,19190,19260,19050,19050,196100,TAR
2019-03-05,18990,19120,18990,19120,148700,TAR
2019-03-06,19120,19190,19120,19190,164300,TAR
2019-03-07,19190,19260,19120,19190,154200,TAR
2019-03-08,19260,20840,19120,20840,161200,TAR
2019-03-11,20770,20910,20770,20910,171300,TAR
2019-03-12,20910,21050,20910,20910,154300,TAR
2019-03-13,20980,21120,20840,20840,164600,TAR
2019-03-14,20770,20910,20700,20910,147200,TAR
2019-03-15,20770,20910,20770,20910,148700,TAR
2019-03-18,20910,20980,20840,20840,142700,TAR
2019-03-19,20840,20980,20840,20910,143900,TAR
2019-03-20,20770,20980,20770,20980,145600,TAR
2019-03-21,20910,21050,20840,20840,121200,TAR
2019-03-22,20910,20910,20640,20640,156800,TAR
2019-03-25,20640,20640,20500,20640,129100,TAR
2019-03-26,20570,20640,20570,20640,130300,TAR
2019-03-27,20640,20770,20500,20770,140400,TAR
2019-03-28,20770,20840,20770,20840,120100,TAR
2019-03-29,20700,20840,20700,20840,113500,TAR
2019-04-01,20910,20910,20700,20770,121800,TAR
2019-04-02,20640,20910,20640,20910,135700,TAR
2019-04-03,20840,20980,20770,20840,127200,TAR
2019-04-04,20840,20910,20770,20770,111100,TAR
2019-04-05,20700,20980,20640,20980,127100,TAR
2019-04-08,20980,20980,20770,20910,132800,TAR
2019-04-09,20840,20910,20770,20910,111600,TAR
2019-04-10,20840,20910,20500,20640,135700,TAR
2019-04-11,20290,20770,20290,20570,110300,TAR
2019-04-12,20700,20910,20500,20770,114900,TAR
2019-04-16,20980,20980,20700,20770,115700,TAR
2019-04-17,20640,20840,20640,20840,110900,TAR
2019-04-18,20570,20910,20570,20770,112300,TAR
2019-04-19,20840,20980,20840,20910,107100,TAR
2019-04-22,21120,21120,20840,20980,117300,TAR
2019-04-23,20770,21050,20770,21050,103200,TAR
2019-04-24,20910,21050,20840,20980,125700,TAR
2019-04-25,20980,20980,20840,20980,100400,TAR
2019-04-26,20910,21050,20840,21050,118600,TAR
2019-05-02,21120,21120,21050,21120,104200,TAR
2019-05-03,21190,21190,20980,20980,100600,TAR
2019-05-06,20980,20980,20910,20980,101600,TAR
2019-05-07,20910,21050,20910,21050,102700,TAR
2019-05-08,20910,21120,20840,21050,101200,TAR
2019-05-09,20980,21050,20910,20980,80700,TAR
2019-05-10,20980,21050,20840,20910,114400,TAR
2019-05-13,20910,20980,20840,20980,106100,TAR
2019-05-14,20840,21050,20840,21050,103100,TAR
2019-05-15,21050,21120,20980,21120,80200,TAR
2019-05-16,20980,21120,20980,21050,81500,TAR
2019-05-17,21050,21120,20980,21120,100200,TAR
2019-05-20,20980,21050,20910,20980,60600,TAR
2019-05-21,20910,20980,20910,20980,70500,TAR
2019-05-22,20910,21050,20910,20910,72100,TAR
2019-05-23,20980,21050,20910,20980,73900,TAR
2019-05-24,21120,21120,20910,20910,70100,TAR
2019-05-27,20840,20910,20700,20910,67400,TAR
2019-05-28,20840,20840,20770,20840,60400,TAR
2019-05-29,20770,20840,20700,20700,63300,TAR
2019-05-30,20700,20910,20700,20910,157900,TAR
2019-05-31,20910,20980,20840,20980,105300,TAR
2019-06-03,21050,21050,20640,20910,135300,TAR
2019-06-04,20840,21050,20840,20980,93800,TAR
2019-06-05,21120,21120,20840,20840,101900,TAR
2019-06-06,20770,20910,20770,20840,100900,TAR
2019-06-07,20770,20910,20770,20910,97800,TAR
2019-06-10,20700,20910,20700,20770,102600,TAR
2019-06-11,20640,20840,20640,20770,95500,TAR
2019-06-12,20910,20910,20640,20640,96100,TAR
2019-06-13,20570,20770,20570,20570,91500,TAR
2019-06-14,20500,20640,20500,20570,90100,TAR
2019-06-17,20570,20640,20500,20500,101200,TAR
2019-06-18,20570,20570,20500,20500,103200,TAR
2019-06-19,20500,20640,20360,20570,106300,TAR
2019-06-20,20430,20640,20290,20500,98300,TAR
2019-06-21,20430,20500,20360,20360,89900,TAR
2019-06-24,20290,20360,20220,20290,89600,TAR
2019-06-25,20220,20570,20220,20570,82500,TAR
2019-06-26,20500,20500,20360,20500,85600,TAR
2019-06-27,20360,20430,20290,20430,67200,TAR
2019-06-28,20360,20500,20290,20290,78900,TAR
2019-07-01,20360,20500,20220,20360,99500,TAR
2019-07-02,20220,20360,20220,20360,84800,TAR
2019-07-03,20360,20500,20290,20430,74500,TAR
2019-07-04,20430,20500,20290,20500,71100,TAR
2019-07-05,20430,20500,20290,20430,75100,TAR
2019-07-08,20290,20430,20290,20360,77800,TAR
2019-07-09,20430,20640,20290,20640,71600,TAR
2019-07-10,20430,20570,20290,20570,70500,TAR
2019-07-11,20360,20570,20360,20500,68200,TAR
2019-07-12,20430,20500,19950,19950,75500,TAR
2019-07-15,20020,20020,19600,19600,70400,TAR
2019-07-16,19670,19740,19600,19740,80200,TAR
2019-07-17,19600,19740,19540,19540,63700,TAR
2019-07-18,19400,19670,19400,19600,60700,TAR
2019-07-19,19600,19740,19540,19740,68100,TAR
2019-07-22,19600,19810,19470,19470,63300,TAR
2019-07-23,19470,19600,19330,19470,69300,TAR
2019-07-24,19400,19600,19190,19190,66400,TAR
2019-07-25,19120,19330,19120,19330,59700,TAR
2019-07-26,19190,20840,19190,20840,246200,TAR
2019-07-29,20700,20910,20700,20840,89400,TAR
2019-07-30,20640,20980,20640,20910,70500,TAR
2019-07-31,20840,20910,20640,20770,63900,TAR
2019-08-01,20700,20840,20430,20640,67700,TAR
2019-08-02,20500,20700,20500,20700,70200,TAR
2019-08-05,20980,20980,20570,20700,66600,TAR
2019-08-06,20640,20770,20640,20770,71400,TAR
2019-08-07,20700,20980,20700,20840,68300,TAR
2019-08-08,20640,20980,20640,20910,68600,TAR
2019-08-09,20980,20980,20700,20910,62100,TAR
2019-08-12,20770,20980,20770,20840,70400,TAR
2019-08-13,20840,20910,20700,20770,80700,TAR
2019-08-14,20770,20910,20700,20910,61600,TAR
2019-08-15,20910,20980,20770,20910,62200,TAR
2019-08-16,20840,21050,20840,20910,64100,TAR
2019-08-19,20770,20980,20770,20980,60200,TAR
2019-08-20,20840,20980,20840,20910,63900,TAR
2019-08-21,20840,21120,20840,20980,63900,TAR
2019-08-22,20980,21050,20840,21050,71400,TAR
2019-08-23,20910,21050,20910,20980,54300,TAR
2019-08-26,20770,20980,20770,20980,61400,TAR
2019-08-27,21120,21120,20700,20700,65100,TAR
2019-08-28,20700,21320,20700,20910,58100,TAR
2019-08-29,20840,21050,20700,21050,60400,TAR
2019-08-30,21050,21120,20910,20980,56800,TAR
2019-09-03,20980,21050,20840,20910,54200,TAR
2019-09-04,20910,20910,20770,20840,56900,TAR
2019-09-05,20980,20980,20840,20840,11500,TAR
2019-09-06,20980,21050,20640,21050,61300,TAR
2019-09-09,20980,21260,20980,21050,56700,TAR
2019-09-10,20910,21050,20910,20910,65300,TAR
2019-09-11,20700,20980,20700,20980,51800,TAR
2019-09-12,20910,21120,20910,21120,52700,TAR
2019-09-13,21050,21190,20980,21190,51500,TAR
2019-09-16,20910,21260,20700,20700,63900,TAR
2019-09-17,20840,21120,19950,20640,19900,TAR
2019-09-18,20290,20500,19260,20020,64200,TAR
2019-09-19,19950,19950,19260,19400,106900,TAR
2019-09-20,19400,19600,19120,19470,86400,TAR
2019-09-23,19470,19470,17880,19260,96300,TAR
2019-09-24,19260,19670,18920,19120,70600,TAR
2019-09-25,19120,19260,18370,18640,96800,TAR
2019-09-26,18230,19260,16780,18570,98600,TAR
2019-09-27,18230,19260,17400,18780,102600,TAR
2019-09-30,18780,19600,18780,19600,54000,TAR
2019-10-01,19600,20020,19540,19950,106100,TAR
2019-10-02,19950,20840,19600,20840,116990,TAR
2019-10-03,20840,21050,20360,21050,112500,TAR
2019-10-04,21050,21530,20980,21390,61300,TAR
2019-10-07,21390,21600,20770,20840,109000,TAR
2019-10-08,20840,21120,20840,20910,151000,TAR
2019-10-09,20910,21190,20770,21190,169800,TAR
2019-10-10,21190,21670,21190,21600,97700,TAR
2019-10-11,21600,21740,21530,21530,75600,TAR
2019-10-14,21530,21600,20980,21190,129700,TAR
2019-10-15,21190,21740,21190,21670,102300,TAR
2019-10-16,21670,21740,21460,21670,115900,TAR
2019-10-17,21670,21810,21320,21460,133200,TAR
2019-10-18,21460,21940,21260,21740,341900,TAR
2019-10-21,21740,21740,20700,20910,226800,TAR
2019-10-22,20910,21320,20910,21320,84000,TAR
2019-10-23,21320,21390,20770,21320,198400,TAR
2019-10-24,21320,21670,20980,21320,102700,TAR
2019-10-25,21320,22080,20640,22080,150700,TAR
