time,open,high,low,close,volume,ticker
2015-12-03,15930,17750,15930,16430,231200,TFC
2015-12-04,16379,16379,15480,15610,60700,TFC
2015-12-07,15610,15610,15060,15480,117000,TFC
2015-12-08,15480,15520,15020,15480,123500,TFC
2015-12-09,15520,15520,15160,15300,102700,TFC
2015-12-10,15300,15520,15300,15480,107700,TFC
2015-12-11,15480,15650,15480,15570,94100,TFC
2015-12-14,15570,15610,15300,15610,105600,TFC
2015-12-15,15650,15650,15380,15570,111800,TFC
2015-12-16,15570,15650,15480,15570,104800,TFC
2015-12-17,15610,15700,15570,15570,8600,TFC
2015-12-18,15480,15570,15380,15570,25400,TFC
2015-12-21,15520,15520,15300,15430,14800,TFC
2015-12-22,15250,15300,15110,15110,16400,TFC
2015-12-23,15250,15300,15020,15020,33600,TFC
2015-12-24,15060,15160,13880,15020,40500,TFC
2015-12-25,15020,15020,13880,13880,26600,TFC
2015-12-28,14790,14980,14110,14110,22100,TFC
2015-12-29,14980,14980,14430,14430,22600,TFC
2015-12-30,14790,14830,14430,14610,20600,TFC
2015-12-31,14790,14790,14560,14610,114100,TFC
2016-01-04,14610,14660,14200,14290,132900,TFC
2016-01-05,14480,14480,13980,14160,129200,TFC
2016-01-06,14200,14290,14110,14160,108800,TFC
2016-01-07,13980,14110,13830,13830,93400,TFC
2016-01-08,13830,13930,13430,13660,48400,TFC
2016-01-11,13430,13610,12560,13200,29100,TFC
2016-01-12,12740,13200,12740,13200,7500,TFC
2016-01-13,13330,13330,13110,13200,13000,TFC
2016-01-14,13200,13200,13160,13160,300,TFC
2016-01-15,12740,13110,12740,13110,13300,TFC
2016-01-18,12790,12970,12740,12970,7300,TFC
2016-01-19,12740,12740,12740,12740,100,TFC
2016-01-20,13160,13160,12740,12930,2000,TFC
2016-01-21,11970,12740,11970,12740,2100,TFC
2016-01-22,12740,12740,12060,12060,19900,TFC
2016-01-25,12060,12290,11840,12240,19500,TFC
2016-01-26,11690,12240,11560,12060,12800,TFC
2016-01-27,12240,12740,12060,12740,7900,TFC
2016-01-28,12060,12110,12060,12110,600,TFC
2016-01-29,12060,12190,12060,12190,2100,TFC
2016-02-01,12060,12060,12060,12060,700,TFC
2016-02-02,12740,12740,12110,12110,2800,TFC
2016-02-03,12610,12610,12610,12610,100,TFC
2016-02-04,12610,12610,12610,12610,0,TFC
2016-02-05,12690,12690,12690,12690,100,TFC
2016-02-15,11510,12660,11510,12060,300,TFC
2016-02-16,12470,12470,12470,12470,100,TFC
2016-02-17,12290,12290,12240,12290,5500,TFC
2016-02-18,12060,12060,12060,12060,3500,TFC
2016-02-19,12060,12060,12060,12060,0,TFC
2016-02-22,12060,12060,12060,12060,300,TFC
2016-02-23,12240,12380,12110,12110,8200,TFC
2016-02-24,11740,12190,11740,12190,700,TFC
2016-02-25,12340,12340,12160,12340,2300,TFC
2016-02-26,11150,12340,11110,12340,32100,TFC
2016-02-29,11290,12240,11290,12110,5100,TFC
2016-03-01,12160,12190,12110,12190,13900,TFC
2016-03-02,11150,12160,11150,12160,17100,TFC
2016-03-03,11650,12060,11610,12060,10100,TFC
2016-03-04,11840,12010,11840,12010,10500,TFC
2016-03-07,12010,12010,12010,12010,100,TFC
2016-03-08,12010,12010,12010,12010,0,TFC
2016-03-09,12010,12010,12010,12010,0,TFC
2016-03-10,11920,12240,11920,12240,7300,TFC
2016-03-11,12240,13200,11380,12840,22851,TFC
2016-03-14,13830,14060,12740,12740,9549,TFC
2016-03-15,12740,13510,12740,13480,9800,TFC
2016-03-16,13200,13200,12560,12560,320,TFC
2016-03-17,11840,12930,11840,12740,1435,TFC
2016-03-18,12740,12740,12690,12690,2473,TFC
2016-03-21,12510,12610,12430,12610,14149,TFC
2016-03-22,12290,12610,12290,12610,400,TFC
2016-03-23,12510,12510,12380,12380,5200,TFC
2016-03-24,12560,12560,12560,12560,100,TFC
