time,open,high,low,close,volume,ticker
2012-03-20,3210,3380,3210,3350,4700,THB
2012-03-21,3350,3350,3350,3350,15200,THB
2012-03-22,3320,3320,3320,3320,3000,THB
2012-03-23,3320,3350,3320,3350,17900,THB
2012-03-26,3350,3380,3350,3350,50300,THB
2012-03-27,3350,3350,3320,3350,14100,THB
2012-03-28,3350,3380,3350,3380,8100,THB
2012-03-29,3380,3380,3380,3380,5300,THB
2012-03-30,3380,3380,3380,3380,5500,THB
2012-04-03,3610,3610,3430,3490,123900,THB
2012-04-04,3490,3490,3400,3400,32400,THB
2012-04-05,3460,3550,3400,3490,46800,THB
2012-04-06,3520,3520,3460,3490,61000,THB
2012-04-09,3520,3550,3520,3550,89800,THB
2012-04-10,3580,3580,3490,3490,24100,THB
2012-04-11,3550,3580,3460,3550,63300,THB
2012-04-12,3580,3580,3440,3550,29600,THB
2012-04-13,3420,3510,3390,3480,22400,THB
2012-04-16,3420,3480,3360,3480,21600,THB
2012-04-17,3420,3480,3420,3480,12700,THB
2012-04-18,3480,3620,3480,3620,50800,THB
2012-04-19,3680,3680,3580,3620,33100,THB
2012-04-20,3580,3580,3510,3580,17900,THB
2012-04-23,3640,3640,3580,3580,28600,THB
2012-04-24,3550,3550,3440,3550,10000,THB
2012-04-25,3550,3550,3480,3480,13300,THB
2012-04-26,3510,3510,3480,3480,8100,THB
2012-04-27,3510,3550,3480,3510,24500,THB
2012-05-02,3550,3640,3550,3620,64200,THB
2012-05-03,3620,3680,3580,3640,36000,THB
2012-05-04,3640,3870,3640,3870,134400,THB
2012-05-07,4030,4120,4030,4120,70100,THB
2012-05-08,4320,4320,4120,4290,84900,THB
2012-05-09,4190,4320,4120,4320,14900,THB
2012-05-10,4320,4320,4030,4150,55200,THB
2012-05-11,4090,4120,3900,4000,56900,THB
2012-05-14,4000,4030,3770,3960,77400,THB
2012-05-15,3800,3870,3680,3770,19700,THB
2012-05-16,3770,3960,3710,3870,21200,THB
2012-05-17,3960,4030,3710,3830,10300,THB
2012-05-18,3830,3830,3680,3710,33100,THB
2012-05-21,3620,3870,3620,3870,5900,THB
2012-05-22,3870,3870,3740,3870,2700,THB
