time,open,high,low,close,volume,ticker
2012-03-20,2170,2350,2170,2350,410,TLG
2012-03-21,2350,2370,2350,2370,2000,TLG
2012-03-22,2290,2290,2290,2290,10,TLG
2012-03-23,2290,2400,2270,2290,8850,TLG
2012-03-26,2320,2320,2320,2320,20,TLG
2012-03-27,2320,2320,2320,2320,0,TLG
2012-03-28,2260,2320,2260,2270,12060,TLG
2012-03-29,2320,2320,2320,2320,100,TLG
2012-03-30,2320,2330,2270,2270,3630,TLG
2012-04-03,2270,2320,2270,2320,2110,TLG
2012-04-04,2300,2330,2270,2330,2090,TLG
2012-04-05,2320,2320,2320,2320,2140,TLG
2012-04-06,2320,2350,2270,2350,40,TLG
2012-04-09,2430,2430,2340,2420,180,TLG
2012-04-10,2420,2420,2420,2420,10,TLG
2012-04-11,2300,2460,2300,2320,80,TLG
2012-04-12,2340,2370,2340,2370,1060,TLG
2012-04-13,2370,2370,2340,2340,3320,TLG
2012-04-16,2340,2340,2320,2340,230,TLG
2012-04-17,2420,2420,2350,2370,220,TLG
2012-04-18,2370,2370,2370,2370,130,TLG
2012-04-19,2380,2380,2380,2380,280,TLG
2012-04-20,2370,2400,2370,2400,30,TLG
2012-04-23,2420,2420,2340,2340,480,TLG
2012-04-24,2330,2330,2330,2330,10,TLG
2012-04-25,2430,2430,2340,2340,2410,TLG
2012-04-26,2350,2380,2350,2350,5740,TLG
2012-04-27,2370,2370,2370,2370,3400,TLG
2012-05-02,2420,2420,2380,2380,6250,TLG
2012-05-03,2400,2420,2340,2340,32020,TLG
2012-05-04,2340,2420,2340,2420,25010,TLG
2012-05-07,2420,2520,2420,2480,18130,TLG
2012-05-08,2540,2540,2350,2500,44390,TLG
2012-05-09,2510,2520,2480,2510,8160,TLG
2012-05-10,2620,2620,2480,2620,3570,TLG
2012-05-11,2500,2630,2500,2500,17510,TLG
2012-05-14,2510,2510,2470,2480,480,TLG
2012-05-15,2480,2480,2460,2480,1510,TLG
2012-05-16,2480,2480,2350,2350,1780,TLG
2012-05-17,2460,2460,2460,2460,20,TLG
2012-05-18,2420,2460,2340,2460,2560,TLG
2012-05-21,2570,2570,2570,2570,1500,TLG
2012-05-22,2690,2690,2600,2690,5260,TLG
2012-05-23,2770,2770,2750,2750,720,TLG
2012-05-24,2710,2740,2690,2690,1000,TLG
