time,open,high,low,close,volume,ticker
2012-03-20,2480,2480,2400,2480,791680,TLH
2012-03-21,2600,2600,2550,2600,501540,TLH
2012-03-22,2550,2600,2480,2480,595150,TLH
2012-03-23,2480,2600,2480,2600,762200,TLH
2012-03-26,2640,2670,2550,2640,589000,TLH
2012-03-27,2640,2670,2520,2520,556630,TLH
2012-03-28,2400,2440,2400,2400,474490,TLH
2012-03-29,2280,2320,2280,2280,408580,TLH
2012-03-30,2200,2250,2200,2200,295380,TLH
2012-04-03,2200,2280,2160,2280,240480,TLH
2012-04-04,2250,2280,2200,2200,110590,TLH
2012-04-05,2200,2280,2160,2280,170070,TLH
2012-04-06,2280,2360,2250,2360,367090,TLH
2012-04-09,2360,2440,2320,2440,259630,TLH
2012-04-10,2440,2480,2360,2440,320160,TLH
2012-04-11,2480,2520,2440,2520,354000,TLH
2012-04-12,2550,2640,2520,2640,787750,TLH
2012-04-13,2600,2640,2520,2600,413580,TLH
2012-04-16,2600,2720,2550,2670,400180,TLH
2012-04-17,2720,2750,2640,2750,432460,TLH
2012-04-18,2670,2750,2640,2670,499260,TLH
2012-04-19,2670,2720,2600,2670,489920,TLH
2012-04-20,2670,2720,2600,2670,338880,TLH
2012-04-23,2670,2720,2640,2670,139180,TLH
2012-04-24,2600,2720,2600,2670,177930,TLH
2012-04-25,2720,2790,2640,2790,668180,TLH
2012-04-26,2840,2910,2790,2910,648460,TLH
2012-04-27,3030,3030,3030,3030,543340,TLH
2012-05-02,3150,3150,3150,3150,379870,TLH
2012-05-03,3150,3190,2990,3030,977890,TLH
2012-05-04,3110,3150,3070,3150,1232800,TLH
2012-05-07,3310,3310,3310,3310,612570,TLH
2012-05-08,3460,3460,3350,3460,1496030,TLH
2012-05-09,3430,3460,3310,3430,1051200,TLH
2012-05-10,3380,3460,3260,3260,1188030,TLH
2012-05-11,3260,3310,3110,3190,578040,TLH
2012-05-14,3150,3150,3030,3030,412740,TLH
2012-05-15,2990,3030,2910,2910,355860,TLH
2012-05-16,2870,2910,2790,2840,925850,TLH
2012-05-17,2840,2910,2790,2840,323880,TLH
2012-05-18,2840,2840,2720,2790,484350,TLH
2012-05-21,2840,2910,2790,2910,301450,TLH
2012-05-22,2950,3030,2870,2990,412990,TLH
2012-05-23,2910,2950,2870,2870,322310,TLH
2012-05-24,2790,2910,2750,2750,453810,TLH
2012-05-25,2840,2870,2750,2870,587330,TLH
2012-05-28,2950,2950,2790,2790,325600,TLH
2012-05-29,2720,2840,2720,2840,265670,TLH
2012-05-30,2840,2870,2750,2750,273310,TLH
2012-05-31,2720,2840,2720,2720,217240,TLH
2012-06-01,2720,2790,2720,2750,312270,TLH
2012-06-04,2720,2720,2640,2640,449090,TLH
2012-06-05,2640,2670,2550,2670,231240,TLH
2012-06-06,2670,2750,2600,2720,255300,TLH
2012-06-07,2750,2840,2720,2840,603260,TLH
2012-06-08,2910,2950,2840,2950,1096000,TLH
2012-06-11,2910,2990,2910,2910,252510,TLH
2012-06-12,2870,2910,2790,2870,577490,TLH
2012-06-13,2870,2870,2750,2870,302290,TLH
2012-06-14,2870,2910,2750,2870,382610,TLH
2012-06-15,2840,2870,2790,2870,182800,TLH
2012-06-18,2870,2910,2790,2790,349530,TLH
2012-06-19,2840,2840,2720,2840,256240,TLH
2012-06-20,2750,2840,2720,2750,252720,TLH
2012-06-21,2720,2790,2720,2750,192550,TLH
2012-06-22,2750,2750,2670,2670,226380,TLH
2012-06-25,2670,2720,2550,2670,153460,TLH
2012-06-26,2670,2670,2550,2550,219010,TLH
2012-06-27,2480,2600,2440,2440,245300,TLH
2012-06-28,2440,2440,2320,2320,249590,TLH
2012-06-29,2320,2360,2280,2360,151020,TLH
2012-07-02,2360,2360,2250,2250,101540,TLH
2012-07-03,2200,2250,2160,2160,166340,TLH
2012-07-04,2080,2160,2080,2080,216370,TLH
2012-07-05,2009,2130,2009,2130,215150,TLH
2012-07-06,2130,2200,2130,2200,321380,TLH
2012-07-09,2160,2250,2160,2200,207220,TLH
2012-07-10,2160,2200,2160,2200,113590,TLH
2012-07-11,2160,2200,2130,2200,115030,TLH
2012-07-12,2160,2200,2160,2160,122080,TLH
2012-07-13,2200,2250,2160,2250,314270,TLH
2012-07-16,2280,2280,2160,2200,218500,TLH
2012-07-17,2200,2280,2200,2280,175080,TLH
2012-07-18,2280,2320,2250,2320,176700,TLH
2012-07-19,2320,2400,2280,2400,295090,TLH
2012-07-20,2440,2480,2360,2400,269000,TLH
2012-07-23,2320,2400,2280,2280,341140,TLH
2012-07-24,2250,2320,2250,2250,265210,TLH
2012-07-25,2200,2280,2200,2250,143470,TLH
2012-07-26,2250,2280,2250,2280,106440,TLH
2012-07-27,2280,2280,2200,2200,169080,TLH
2012-07-30,2200,2250,2160,2250,127980,TLH
2012-07-31,2250,2250,2200,2250,89730,TLH
2012-08-01,2200,2200,2160,2160,218340,TLH
2012-08-02,2160,2200,2130,2160,140330,TLH
2012-08-03,2160,2200,2130,2200,121020,TLH
2012-08-06,2200,2250,2200,2200,212230,TLH
2012-08-07,2200,2250,2160,2200,185950,TLH
2012-08-08,2200,2250,2200,2200,146510,TLH
2012-08-09,2200,2280,2200,2250,155830,TLH
2012-08-10,2250,2250,2200,2200,166300,TLH
