time,open,high,low,close,volume,ticker
2012-03-20,7524,7788,7524,7788,57040,TS4
2012-03-21,7656,8052,7656,7920,149550,TS4
2012-03-22,7722,7920,7722,7854,105640,TS4
2012-03-23,7920,8184,7854,8184,319010,TS4
2012-03-26,8448,8580,8118,8580,321820,TS4
2012-03-27,8580,8580,8184,8184,93760,TS4
2012-03-28,8118,8250,7788,8250,100010,TS4
2012-03-29,8118,8118,7854,7854,133190,TS4
2012-03-30,7656,7656,7524,7524,270640,TS4
2012-04-03,7524,7788,7458,7722,78020,TS4
2012-04-04,7788,7788,7392,7392,119040,TS4
2012-04-05,7392,7656,7194,7524,60050,TS4
2012-04-06,7590,7788,7458,7590,45560,TS4
2012-04-09,7656,7854,7524,7788,59850,TS4
2012-04-10,7788,7920,7590,7590,88060,TS4
2012-04-11,7854,7920,7656,7920,194120,TS4
2012-04-12,8250,8316,8052,8316,227790,TS4
2012-04-13,8580,8580,8118,8118,133040,TS4
2012-04-16,8250,8514,8052,8514,171830,TS4
2012-04-17,8580,8910,8580,8910,344400,TS4
2012-04-18,9108,9306,8778,8778,424560,TS4
2012-04-19,8580,8778,8382,8382,236710,TS4
2012-04-20,8382,8580,8184,8184,95160,TS4
2012-04-23,8184,8580,8184,8580,169740,TS4
2012-04-24,8580,8976,8448,8976,376880,TS4
2012-04-25,9372,9372,9240,9372,265800,TS4
2012-04-26,9768,9834,9504,9702,546140,TS4
2012-04-27,9834,10164,9570,10164,284360,TS4
2012-05-02,10164,10560,9702,9702,242860,TS4
2012-05-03,9438,9834,9306,9702,362600,TS4
2012-05-04,9900,9966,9372,9504,292380,TS4
2012-05-07,9504,9900,9504,9768,250010,TS4
2012-05-08,9900,9900,9504,9636,194920,TS4
2012-05-09,9438,10098,9438,10098,211700,TS4
2012-05-10,10560,10560,10230,10560,575180,TS4
2012-05-11,10560,10626,10032,10032,141130,TS4
2012-05-14,9768,10032,9570,9570,285460,TS4
2012-05-15,9240,9504,9108,9108,301500,TS4
2012-05-16,8976,9306,8712,9108,159760,TS4
2012-05-17,9240,9306,8712,8712,81850,TS4
2012-05-18,8316,8646,8316,8646,376280,TS4
2012-05-21,8844,9042,8580,8778,115400,TS4
2012-05-22,8778,9042,8448,8778,115170,TS4
2012-05-23,8448,8580,8382,8382,131050,TS4
2012-05-24,8250,8250,7986,7986,66990,TS4
2012-05-25,8184,8382,7986,8382,123670,TS4
2012-05-28,8580,8778,8118,8448,105720,TS4
2012-05-29,8382,8382,8052,8052,213020,TS4
2012-05-30,8052,8250,7920,7920,42280,TS4
2012-05-31,7920,7920,7524,7590,114800,TS4
2012-06-01,7788,7788,7524,7656,52410,TS4
2012-06-04,7590,7590,7326,7326,74410,TS4
2012-06-05,7458,7458,7194,7392,14910,TS4
2012-06-06,7392,7722,7260,7722,127140,TS4
2012-06-07,7788,8052,7788,8052,282830,TS4
2012-06-08,8316,8316,7986,7986,77150,TS4
2012-06-11,8118,8316,7722,8184,25570,TS4
2012-06-12,7920,7986,7854,7854,56170,TS4
2012-06-13,7722,7854,7590,7590,27470,TS4
2012-06-14,7722,7854,7590,7590,37360,TS4
2012-06-15,7788,7920,7656,7854,31940,TS4
2012-06-18,8052,8118,7788,7986,59570,TS4
2012-06-19,7722,7986,7656,7722,13960,TS4
2012-06-20,7920,7920,7524,7722,15660,TS4
2012-06-21,7590,7788,7590,7656,18010,TS4
2012-06-22,7590,7722,7524,7524,43250,TS4
2012-06-25,7722,7722,7194,7260,59690,TS4
2012-06-26,7128,7194,6930,6996,87090,TS4
2012-06-27,7062,7128,6996,7128,12280,TS4
2012-06-28,7062,7194,6864,7194,11250,TS4
2012-06-29,7392,7392,7194,7260,4610,TS4
2012-07-02,7326,7524,7062,7062,14000,TS4
2012-07-03,7194,7194,6732,6930,55990,TS4
2012-07-04,6798,6864,6600,6732,12500,TS4
2012-07-05,6732,6930,6732,6930,1550,TS4
2012-07-06,7062,7260,6798,7194,19640,TS4
2012-07-09,7194,7194,6864,6864,18870,TS4
2012-07-10,6864,6930,6732,6864,4570,TS4
2012-07-11,6930,7062,6600,6930,6820,TS4
2012-07-12,7128,7128,6864,7128,19430,TS4
2012-07-13,7194,7458,7194,7392,67910,TS4
2012-07-16,7260,7458,7062,7062,24510,TS4
2012-07-17,7128,7260,6930,7128,18210,TS4
2012-07-18,7260,7260,7062,7260,16590,TS4
2012-07-19,7458,7524,6996,7524,45010,TS4
2012-07-20,7590,7788,7524,7590,100400,TS4
2012-07-23,7524,7524,7260,7392,37100,TS4
2012-07-24,7128,7326,7062,7062,31350,TS4
2012-07-25,6996,7062,6930,6996,15350,TS4
2012-07-26,6996,7062,6864,6996,33650,TS4
2012-07-27,6732,6930,6732,6930,11620,TS4
2012-07-30,6930,7062,6798,7062,9980,TS4
2012-07-31,7128,7128,6798,6798,56780,TS4
2012-08-01,6798,6864,6666,6798,24750,TS4
2012-08-02,6996,6996,6864,6864,3340,TS4
2012-08-03,6732,6996,6732,6798,12230,TS4
2012-08-06,6930,7062,6864,7062,27240,TS4
2012-08-07,7062,7062,6798,6930,30830,TS4
