time,open,high,low,close,volume,ticker
2012-03-20,61020,61520,60020,61520,48810,VCF
2012-03-21,61520,61520,60020,61520,17720,VCF
2012-03-22,62020,62020,62020,62020,9500,VCF
2012-03-23,62020,62520,59520,62020,12500,VCF
2012-03-26,62520,62520,62520,62520,100,VCF
2012-03-27,62520,62520,61520,61520,16240,VCF
2012-03-28,60020,61520,60020,61520,30,VCF
2012-03-29,61520,61520,61520,61520,0,VCF
2012-03-30,61520,61520,61520,61520,0,VCF
2012-04-03,61520,61520,61520,61520,0,VCF
2012-04-04,60020,61020,60020,61020,60,VCF
2012-04-05,58020,61020,58020,61020,5380,VCF
2012-04-06,60520,60520,60520,60520,1010,VCF
2012-04-09,61020,61020,58520,58520,7250,VCF
2012-04-10,59020,59020,59020,59020,7000,VCF
2012-04-11,59020,59020,57520,57520,370,VCF
2012-04-12,59520,59520,57520,59020,15310,VCF
2012-04-13,58520,58520,56520,56520,8110,VCF
2012-04-16,58520,58520,58520,58520,1000,VCF
2012-04-17,58520,58520,58520,58520,130,VCF
2012-04-18,58520,58520,56020,58520,25920,VCF
2012-04-19,56020,58020,56020,58020,6020,VCF
2012-04-20,58020,58020,58020,58020,0,VCF
2012-04-23,56020,57520,55520,57520,12250,VCF
2012-04-24,56020,57020,56020,57020,5760,VCF
2012-04-25,57520,57520,56020,56020,5160,VCF
2012-04-26,56020,56020,55520,56020,5050,VCF
2012-04-27,54020,56520,54020,54520,12390,VCF
2012-05-02,55520,56520,55520,56520,49540,VCF
2012-05-03,57020,57020,56520,56520,37300,VCF
2012-05-04,56520,57020,54520,56520,11780,VCF
2012-05-07,57020,59020,57020,59020,45310,VCF
2012-05-08,60640,60640,59630,59630,9460,VCF
2012-05-09,59630,60140,59630,59630,18340,VCF
2012-05-10,59630,60140,59630,59630,5340,VCF
2012-05-11,60140,60640,59630,59630,18060,VCF
2012-05-14,59630,60140,59630,59630,6030,VCF
2012-05-15,59630,60640,59630,59630,9040,VCF
2012-05-16,59630,60140,59630,60140,2520,VCF
2012-05-17,59120,59630,58620,59630,4830,VCF
2012-05-18,60140,60140,59120,60140,1650,VCF
2012-05-21,60140,60140,60140,60140,0,VCF
2012-05-22,59120,60140,59120,60140,14390,VCF
2012-05-23,59120,60140,59120,60140,1500,VCF
2012-05-24,59630,60140,59630,60140,13100,VCF
2012-05-25,60140,60640,60140,60640,20,VCF
2012-05-28,60640,63670,60140,63670,14170,VCF
2012-05-29,64180,64180,62160,63670,4780,VCF
2012-05-30,64180,64680,63670,64680,15680,VCF
2012-05-31,65190,65190,63670,65190,7890,VCF
2012-06-01,63170,65690,63170,65690,11880,VCF
2012-06-04,65690,66200,65690,66200,19340,VCF
2012-06-05,66200,66200,64680,65690,24830,VCF
2012-06-06,65690,65690,65190,65190,710,VCF
2012-06-07,65690,65690,64680,65690,3430,VCF
2012-06-08,64680,65690,64680,65690,200,VCF
2012-06-11,66200,66200,66200,66200,10,VCF
2012-06-12,65690,66200,64680,64680,16270,VCF
2012-06-13,64180,65690,64180,65690,4010,VCF
2012-06-14,65690,65690,65690,65690,100,VCF
2012-06-15,66200,66200,65690,65690,1120,VCF
2012-06-18,68220,68220,67210,67210,20,VCF
2012-06-19,65690,65690,65690,65690,7670,VCF
2012-06-20,63170,65690,63170,65690,210,VCF
2012-06-21,65190,65690,65190,65690,3690,VCF
2012-06-22,65190,65690,65190,65690,3610,VCF
2012-06-25,65690,65690,65190,65690,3090,VCF
2012-06-26,63670,65690,63670,65190,3620,VCF
2012-06-27,65190,65190,65190,65190,6970,VCF
2012-06-28,64180,65690,64180,65690,3500,VCF
2012-06-29,63170,65190,63170,65190,1500,VCF
2012-07-02,65190,65190,65190,65190,2180,VCF
2012-07-03,62160,65690,62160,65690,4360,VCF
2012-07-04,65690,65690,65690,65690,6000,VCF
2012-07-05,65690,65690,65690,65690,1310,VCF
2012-07-06,65690,66200,65690,66200,1180,VCF
2012-07-09,65690,65690,65690,65690,5070,VCF
2012-07-10,63170,65690,63170,65690,7980,VCF
2012-07-11,65690,66200,65690,66200,5370,VCF
2012-07-12,65690,65690,65690,65690,1000,VCF
2012-07-13,65690,66700,65690,66700,1100,VCF
2012-07-16,65690,67210,65690,65690,440,VCF
