time,open,high,low,close,volume,ticker
2012-03-20,5943,5943,5584,5584,300,VDL
2012-03-21,6104,6104,6104,6104,500,VDL
2012-03-22,5763,5763,5763,5763,100,VDL
2012-03-23,5763,5763,5763,5763,0,VDL
2012-03-26,6158,6158,6158,6158,100,VDL
2012-03-27,6571,6589,5763,5763,1600,VDL
2012-03-28,6553,6607,5781,5781,6300,VDL
2012-03-29,6320,6320,5548,5548,1800,VDL
2012-03-30,5925,5925,5925,5925,100,VDL
2012-04-03,6338,6338,5943,5943,200,VDL
2012-04-04,6356,6356,5961,5961,800,VDL
2012-04-05,6374,6374,5943,5943,700,VDL
2012-04-06,6356,6356,5979,5979,600,VDL
2012-04-09,6392,6392,6392,6392,100,VDL
2012-04-10,6822,6822,6140,6140,15000,VDL
2012-04-11,6894,6894,6894,6894,3700,VDL
2012-04-12,7361,7361,7182,7361,7000,VDL
2012-04-13,7451,7451,6840,6840,1900,VDL
2012-04-16,6481,6499,6481,6499,300,VDL
2012-04-17,6930,6930,6930,6930,1000,VDL
2012-04-18,7271,7415,7271,7415,17000,VDL
2012-04-19,6930,6930,6930,6930,100,VDL
2012-04-20,7415,7415,7415,7415,15700,VDL
2012-04-23,7900,7900,7020,7020,2500,VDL
2012-04-24,7182,7559,6661,6661,8000,VDL
2012-04-25,7325,7325,6427,6427,1700,VDL
2012-04-26,6876,6876,5979,5979,1100,VDL
2012-04-27,6392,6392,6392,6392,200,VDL
2012-05-02,6822,6822,5979,5979,1400,VDL
2012-05-03,6194,6589,6194,6589,500,VDL
2012-05-04,7038,7038,7038,7038,500,VDL
2012-05-07,7523,7523,6589,7523,41500,VDL
2012-05-08,7164,7164,7164,7164,100,VDL
2012-05-09,7648,7648,6697,7648,21000,VDL
2012-05-10,7307,7307,7020,7020,3000,VDL
2012-05-11,7505,7505,7056,7056,2300,VDL
2012-05-14,7541,7541,6607,6607,14800,VDL
2012-05-15,7056,7056,6661,6661,600,VDL
2012-05-16,7110,7110,6769,6769,3000,VDL
2012-05-17,7235,7235,6840,6840,3000,VDL
2012-05-18,6392,6392,6392,6392,1800,VDL
2012-05-21,6822,6822,6535,6535,2200,VDL
