time,open,high,low,close,volume,ticker
2012-03-20,5390,5390,5390,5390,0,VHC
2012-03-21,5260,5390,5260,5390,1400,VHC
2012-03-22,5610,5610,5610,5610,100,VHC
2012-03-23,5390,5390,5360,5380,3850,VHC
2012-03-26,5280,5280,5280,5280,270,VHC
2012-03-27,5280,5280,5280,5280,0,VHC
2012-03-28,5280,5280,5280,5280,1000,VHC
2012-03-29,5030,5280,5030,5280,15580,VHC
2012-03-30,5260,5260,5260,5260,80,VHC
2012-04-03,5260,5260,5180,5180,550,VHC
2012-04-04,5110,5110,5110,5110,1190,VHC
2012-04-05,5110,5110,5110,5110,0,VHC
2012-04-06,5030,5110,5030,5110,2510,VHC
2012-04-09,4970,5200,4970,5200,2830,VHC
2012-04-10,5110,5260,5110,5110,2190,VHC
2012-04-11,5180,5360,5060,5360,5910,VHC
2012-04-12,5180,5540,5180,5540,12440,VHC
2012-04-13,5270,5500,5270,5500,1010,VHC
2012-04-16,5500,5500,5460,5460,1040,VHC
2012-04-17,5220,5440,5220,5440,2000,VHC
2012-04-18,5260,5260,5260,5260,200,VHC
2012-04-19,5260,5260,5260,5260,0,VHC
2012-04-20,5110,5110,5110,5110,170,VHC
2012-04-23,5110,5110,4970,4970,3580,VHC
2012-04-24,4970,4980,4780,4980,1710,VHC
2012-04-25,4980,4980,4980,4980,0,VHC
2012-04-26,4980,5180,4980,5180,960,VHC
2012-04-27,5180,5180,5110,5110,280,VHC
2012-05-02,5180,5180,5110,5110,3010,VHC
2012-05-03,5110,5110,5110,5110,0,VHC
2012-05-04,5150,5150,5110,5110,3850,VHC
2012-05-07,5260,5260,5240,5260,5010,VHC
2012-05-08,5260,5260,5260,5260,0,VHC
2012-05-09,5080,5330,5080,5330,1690,VHC
2012-05-10,5300,5330,5300,5300,34230,VHC
2012-05-11,5300,5460,5300,5460,15100,VHC
2012-05-14,5270,5270,5270,5270,30,VHC
2012-05-15,5270,5270,5270,5270,60,VHC
2012-05-16,5390,5390,5270,5270,10300,VHC
2012-05-17,5260,5390,5260,5390,1650,VHC
2012-05-18,5330,5330,5330,5330,2750,VHC
2012-05-21,5330,5330,5330,5330,0,VHC
2012-05-22,5330,5330,5260,5330,14830,VHC
2012-05-23,5330,5330,5330,5330,1000,VHC
2012-05-24,5060,5260,5060,5260,120,VHC
2012-05-25,5390,5390,5390,5390,2330,VHC
2012-05-28,5330,5330,5330,5330,660,VHC
2012-05-29,5260,5260,5260,5260,440,VHC
2012-05-30,5260,5260,5260,5260,0,VHC
2012-05-31,5330,5330,5330,5330,710,VHC
2012-06-01,5330,5330,5330,5330,0,VHC
2012-06-04,5330,5330,5260,5260,990,VHC
2012-06-05,5260,5260,5260,5260,160,VHC
2012-06-06,5330,5330,5330,5330,10,VHC
2012-06-07,5260,5520,5060,5520,1880,VHC
2012-06-08,5460,5460,5460,5460,100,VHC
2012-06-11,5460,5460,5460,5460,0,VHC
2012-06-12,5460,5460,5460,5460,700,VHC
2012-06-13,5460,5460,5460,5460,0,VHC
2012-06-14,5460,5460,5460,5460,0,VHC
2012-06-15,5330,5440,5330,5440,820,VHC
2012-06-18,5330,5330,5330,5330,100,VHC
2012-06-19,5330,5330,5330,5330,0,VHC
2012-06-20,5330,5330,5330,5330,500,VHC
2012-06-21,5260,5310,5260,5260,1420,VHC
2012-06-22,5460,5460,5460,5460,10,VHC
2012-06-25,5460,5460,5460,5460,0,VHC
2012-06-26,5260,5380,5260,5380,210,VHC
2012-06-27,5540,5540,5540,5540,110,VHC
2012-06-28,5760,5760,5760,5760,4950,VHC
2012-06-29,5950,5950,5950,5950,5000,VHC
2012-07-02,5970,5970,5970,5970,10,VHC
2012-07-03,5670,5670,5660,5660,1830,VHC
2012-07-04,5460,5460,5390,5390,90,VHC
2012-07-05,5540,5540,5540,5540,10,VHC
2012-07-06,5260,5680,5260,5680,2760,VHC
2012-07-09,5680,5680,5680,5680,0,VHC
2012-07-10,5680,5680,5680,5680,0,VHC
2012-07-11,5830,5830,5830,5830,2000,VHC
2012-07-12,5830,5830,5830,5830,0,VHC
2012-07-13,5830,5830,5830,5830,3000,VHC
2012-07-16,5830,5830,5830,5830,0,VHC
2012-07-17,5830,5830,5830,5830,2680,VHC
2012-07-18,5830,5830,5830,5830,2500,VHC
2012-07-19,5830,5830,5830,5830,0,VHC
2012-07-20,5830,5830,5830,5830,0,VHC
2012-07-23,5680,5680,5680,5680,1000,VHC
2012-07-24,5410,5410,5410,5410,9200,VHC
2012-07-25,5410,5410,5400,5400,200,VHC
2012-07-26,5390,5390,5390,5390,120,VHC
2012-07-27,5390,5390,5390,5390,0,VHC
2012-07-30,5390,5390,5390,5390,0,VHC
2012-07-31,5250,5260,5250,5250,5110,VHC
2012-08-01,5100,5100,5100,5100,700,VHC
2012-08-02,5100,5100,5100,5100,0,VHC
2012-08-03,4960,5020,4960,5020,540,VHC
2012-08-06,4960,5270,4960,5270,10010,VHC
2012-08-07,5270,5270,5270,5270,0,VHC
2012-08-08,5010,5250,5010,5250,1090,VHC
2012-08-09,5000,5250,5000,5250,1170,VHC
2012-08-10,5100,5100,5100,5100,7000,VHC
2012-08-13,5020,5020,5020,5020,1300,VHC
2012-08-14,4770,4960,4770,4960,11960,VHC
2012-08-15,4960,4960,4960,4960,0,VHC
2012-08-16,4810,4960,4810,4960,13790,VHC
2012-08-17,4960,4960,4960,4960,0,VHC
2012-08-20,4960,4960,4960,4960,0,VHC
2012-08-21,4700,4700,4700,4700,2000,VHC
2012-08-22,4700,4700,4700,4700,0,VHC
2012-08-23,4470,4470,4470,4470,1200,VHC
2012-08-24,4470,4470,4470,4470,0,VHC
2012-08-27,4470,4470,4470,4470,0,VHC
2012-08-28,4470,4470,4470,4470,2350,VHC
2012-08-29,4690,4690,4690,4690,7590,VHC
2012-08-30,4690,4690,4690,4690,0,VHC
2012-08-31,4690,4690,4690,4690,5000,VHC
2012-09-04,4690,4690,4690,4690,0,VHC
2012-09-05,4690,4690,4690,4690,0,VHC
2012-09-06,4690,4690,4690,4690,0,VHC
2012-09-07,4690,4690,4690,4690,0,VHC
2012-09-10,4690,4690,4690,4690,40,VHC
2012-09-11,4460,4460,4460,4460,80,VHC
2012-09-12,4460,4460,4460,4460,0,VHC
2012-09-13,4460,4460,4460,4460,0,VHC
2012-09-14,4460,4460,4460,4460,0,VHC
2012-09-17,4460,4460,4460,4460,0,VHC
2012-09-18,4460,4460,4460,4460,0,VHC
2012-09-19,4460,4460,4460,4460,0,VHC
2012-09-20,4460,4460,4460,4460,50,VHC
2012-09-21,4460,4460,4460,4460,10,VHC
