time,open,high,low,close,volume,ticker
2012-03-20,10670,10670,10670,10670,0,VHF
2012-03-21,10670,10670,10670,10670,0,VHF
2012-03-22,10670,10670,10670,10670,0,VHF
2012-03-23,10670,10670,10670,10670,0,VHF
2012-03-26,10670,10670,10670,10670,0,VHF
2012-03-27,10670,10670,10670,10670,0,VHF
2012-03-28,10670,10670,10670,10670,0,VHF
2012-03-29,10670,10670,10670,10670,0,VHF
2012-03-30,10670,10670,10670,10670,0,VHF
2012-04-03,10670,10670,10670,10670,0,VHF
2012-04-04,10670,10670,10670,10670,0,VHF
2012-04-05,10670,10670,10670,10670,0,VHF
2012-04-06,10670,10670,10670,10670,0,VHF
2012-04-09,10670,10670,10670,10670,0,VHF
2012-04-10,10670,10670,10670,10670,0,VHF
2012-04-11,10670,10670,10670,10670,0,VHF
2012-04-12,10670,10670,10670,10670,0,VHF
2012-04-13,10670,10670,10670,10670,0,VHF
2012-04-16,10670,10670,10670,10670,0,VHF
2012-04-17,10670,10670,10670,10670,0,VHF
2012-04-18,10670,10670,10670,10670,0,VHF
2012-04-19,10670,10670,10670,10670,0,VHF
2012-04-20,10670,10670,10670,10670,0,VHF
2012-04-23,10670,10670,10670,10670,0,VHF
2012-04-24,10670,10670,10670,10670,0,VHF
2012-04-25,10670,10670,10670,10670,0,VHF
2012-04-26,10670,10670,10670,10670,0,VHF
2012-04-27,10670,10670,10670,10670,0,VHF
2012-05-02,10670,10670,10670,10670,0,VHF
2012-05-03,10670,10670,10670,10670,0,VHF
2012-05-04,10670,10670,10670,10670,0,VHF
2012-05-07,10670,10670,10670,10670,0,VHF
2012-05-08,10670,10670,10670,10670,0,VHF
2012-05-09,10670,10670,10670,10670,0,VHF
2012-05-10,10670,10670,10670,10670,0,VHF
2012-05-11,10670,10670,10670,10670,0,VHF
2012-05-14,10670,10670,10670,10670,0,VHF
2012-05-15,10670,10670,10670,10670,0,VHF
2012-05-16,10670,10670,10670,10670,0,VHF
2012-05-17,10670,10670,10670,10670,0,VHF
2012-05-18,10670,10670,10670,10670,0,VHF
2012-05-21,6410,6410,6410,6410,4000,VHF
2012-05-22,6410,6410,6410,6410,0,VHF
2012-05-23,6410,6410,6410,6410,0,VHF
2012-05-24,6410,6410,6410,6410,0,VHF
2012-05-25,6410,6410,6410,6410,0,VHF
2012-05-28,6410,6410,6410,6410,0,VHF
