time,open,high,low,close,volume,ticker
2015-10-26,9800,9800,9800,9800,0,VLC
2015-10-27,9800,9800,9800,9800,0,VLC
2015-10-28,5890,5890,5890,5890,10000,VLC
2015-10-29,5890,5890,5890,5890,0,VLC
2015-10-30,5890,5890,5890,5890,0,VLC
2015-11-02,5890,5890,5890,5890,0,VLC
2015-11-03,5890,5890,5890,5890,0,VLC
2015-11-04,5890,5890,5890,5890,0,VLC
2015-11-05,5120,5120,5120,5120,100,VLC
2015-11-06,5120,5120,5120,5120,0,VLC
2015-11-09,5120,5120,5120,5120,0,VLC
2015-11-10,5120,5120,5120,5120,0,VLC
2015-11-11,5120,5120,5120,5120,0,VLC
2015-11-12,5120,5120,5120,5120,0,VLC
2015-11-13,5120,5120,5120,5120,0,VLC
2015-11-16,5120,5120,5120,5120,0,VLC
2015-11-17,5120,5120,5120,5120,0,VLC
2015-11-18,5120,5120,5120,5120,0,VLC
2015-11-19,5120,5120,5120,5120,0,VLC
2015-11-20,5120,5120,5120,5120,0,VLC
2015-11-23,5120,5120,5120,5120,0,VLC
2015-11-24,5120,5120,5120,5120,0,VLC
2015-11-25,5120,5120,5120,5120,0,VLC
2015-11-26,5120,5120,5120,5120,0,VLC
2015-11-27,5120,5120,5120,5120,0,VLC
2015-11-30,5120,5120,5120,5120,0,VLC
2015-12-01,5120,5120,5120,5120,0,VLC
2015-12-02,5120,5120,5120,5120,0,VLC
2015-12-03,5120,5120,5120,5120,0,VLC
2015-12-04,5120,5120,5120,5120,0,VLC
2015-12-07,5120,5120,5120,5120,0,VLC
2015-12-08,5120,5120,5120,5120,0,VLC
2015-12-09,4550,4550,4550,4550,100,VLC
2015-12-10,4550,4550,4550,4550,0,VLC
2015-12-11,4550,4550,4550,4550,0,VLC
2015-12-14,4550,4550,4550,4550,0,VLC
2015-12-15,4980,4980,4980,4980,100,VLC
2015-12-16,5540,5540,5540,5540,100,VLC
2015-12-17,6040,6040,6040,6040,200,VLC
2015-12-18,6750,6750,6750,6750,300,VLC
2015-12-21,7460,7460,7460,7460,200,VLC
2015-12-22,8180,8180,8180,8180,300,VLC
2015-12-23,8950,8950,8950,8950,300,VLC
2015-12-24,9660,9660,9660,9660,200,VLC
2015-12-25,10300,10300,10300,10300,300,VLC
2015-12-28,10800,10800,10300,10300,300,VLC
2015-12-29,10520,10520,10520,10520,100,VLC
2015-12-30,10670,10670,10670,10670,200,VLC
2015-12-31,10670,10670,10670,10670,0,VLC
2016-01-04,10670,10670,10670,10670,0,VLC
2016-01-05,9100,9100,9100,9100,100,VLC
2016-01-06,7740,7740,7740,7740,500,VLC
2016-01-07,6750,6750,6750,6750,100,VLC
2016-01-08,5890,5890,5890,5890,200,VLC
2016-01-11,5190,5190,5190,5190,100,VLC
2016-01-12,5190,5190,5190,5190,0,VLC
2016-01-13,5190,5190,5190,5190,0,VLC
2016-01-14,5190,5190,5190,5190,0,VLC
2016-01-15,5190,5190,5190,5190,0,VLC
2016-01-18,5190,5190,5190,5190,0,VLC
2016-01-19,5190,5190,5190,5190,0,VLC
2016-01-20,5190,5190,5190,5190,0,VLC
