time,open,high,low,close,volume,ticker
2012-03-20,2829,2829,2829,2829,670,VNH
2012-03-21,2912,2912,2745,2829,1520,VNH
2012-03-22,2745,2829,2745,2829,70,VNH
2012-03-23,2745,2829,2745,2745,25390,VNH
2012-03-26,2829,2829,2745,2829,9870,VNH
2012-03-27,2912,2912,2912,2912,21640,VNH
2012-03-28,2995,2995,2912,2995,20820,VNH
2012-03-29,3078,3078,2995,2995,36040,VNH
2012-03-30,2995,2995,2912,2995,5670,VNH
2012-04-03,2995,3078,2995,3078,70,VNH
2012-04-04,2995,3078,2995,2995,16800,VNH
2012-04-05,2912,2912,2912,2912,12220,VNH
2012-04-06,2829,2912,2829,2829,13350,VNH
2012-04-09,2745,2912,2745,2829,18210,VNH
2012-04-10,2829,2829,2745,2829,34700,VNH
2012-04-11,2745,2912,2745,2912,22720,VNH
2012-04-12,2829,2995,2829,2995,9320,VNH
2012-04-13,2995,2995,2912,2912,28740,VNH
2012-04-16,2912,2995,2829,2995,40840,VNH
2012-04-17,2995,3078,2995,3078,45930,VNH
2012-04-18,3078,3161,3078,3161,44220,VNH
2012-04-19,3245,3245,3078,3161,6190,VNH
2012-04-20,3161,3161,3078,3078,2110,VNH
2012-04-23,3078,3078,2995,2995,10410,VNH
2012-04-24,2912,2995,2912,2912,37670,VNH
2012-04-25,2912,2995,2912,2912,6020,VNH
2012-04-26,2995,2995,2912,2995,83590,VNH
2012-04-27,2995,3078,2912,3078,24800,VNH
2012-05-02,3161,3161,3078,3161,48510,VNH
2012-05-03,3245,3245,3245,3245,14810,VNH
2012-05-04,3328,3328,3328,3328,9320,VNH
2012-05-07,3494,3494,3494,3494,12470,VNH
2012-05-08,3661,3661,3661,3661,11030,VNH
2012-05-09,3827,3827,3827,3827,54530,VNH
2012-05-10,3994,3994,3994,3994,6420,VNH
2012-05-11,4160,4160,4077,4160,89950,VNH
2012-05-14,4326,4326,3994,3994,32030,VNH
2012-05-15,3827,3994,3827,3827,22870,VNH
2012-05-16,3827,3994,3827,3994,77550,VNH
2012-05-17,4160,4160,3994,4160,34320,VNH
2012-05-18,4326,4326,4077,4326,101350,VNH
2012-05-21,4493,4493,4410,4493,80960,VNH
2012-05-22,4659,4659,4493,4659,68160,VNH
2012-05-23,4826,4826,4576,4742,32180,VNH
2012-05-24,4659,4826,4576,4576,14740,VNH
2012-05-25,4410,4576,4410,4410,23820,VNH
2012-05-28,4410,4410,4243,4243,19170,VNH
2012-05-29,4077,4077,4077,4077,2030,VNH
2012-05-30,3910,3910,3910,3910,5010,VNH
2012-05-31,3744,3744,3744,3744,8500,VNH
2012-06-01,3577,3577,3577,3577,51690,VNH
2012-06-04,3411,3411,3411,3411,42490,VNH
2012-06-05,3245,3328,3245,3245,80150,VNH
2012-06-06,3245,3328,3245,3328,14220,VNH
2012-06-07,3494,3494,3494,3494,7020,VNH
2012-06-08,3661,3661,3661,3661,21330,VNH
2012-06-11,3827,3827,3661,3827,19030,VNH
2012-06-12,3827,3827,3661,3661,25890,VNH
2012-06-13,3494,3827,3494,3827,13660,VNH
2012-06-14,3827,3827,3661,3661,2300,VNH
2012-06-15,3744,3744,3577,3744,950,VNH
2012-06-18,3827,3827,3827,3827,180,VNH
2012-06-19,3661,3661,3661,3661,4880,VNH
2012-06-20,3494,3661,3494,3661,7890,VNH
2012-06-21,3494,3494,3494,3494,6180,VNH
2012-06-22,3494,3661,3494,3661,4490,VNH
2012-06-25,3494,3661,3494,3494,5410,VNH
2012-06-26,3328,3577,3328,3328,0,VNH
2012-06-27,3328,3494,3328,3328,6730,VNH
2012-06-28,3494,3494,3328,3494,9600,VNH
2012-06-29,3411,3577,3411,3577,20,VNH
2012-07-02,3661,3661,3411,3661,10040,VNH
2012-07-03,3494,3661,3494,3661,1420,VNH
2012-07-04,3494,3661,3494,3577,200,VNH
2012-07-05,3577,3577,3411,3411,7950,VNH
2012-07-06,3245,3577,3245,3577,3020,VNH
2012-07-09,3411,3577,3411,3577,140,VNH
2012-07-10,3577,3577,3577,3577,10,VNH
2012-07-11,3577,3577,3411,3577,2820,VNH
2012-07-12,3494,3661,3494,3661,320,VNH
2012-07-13,3577,3577,3494,3577,620,VNH
2012-07-16,3411,3661,3411,3577,70,VNH
2012-07-17,3411,3577,3411,3577,7740,VNH
2012-07-18,3494,3494,3411,3411,3030,VNH
2012-07-19,3245,3411,3245,3328,8830,VNH
2012-07-20,3411,3411,3328,3411,1220,VNH
2012-07-23,3245,3411,3245,3411,7590,VNH
2012-07-24,3245,3411,3245,3411,3050,VNH
2012-07-25,3245,3411,3245,3411,2440,VNH
2012-07-26,3245,3328,3245,3328,500,VNH
2012-07-27,3411,3411,3411,3411,370,VNH
2012-07-30,3328,3411,3328,3411,210,VNH
2012-07-31,3328,3328,3245,3328,5390,VNH
2012-08-01,3328,3328,3328,3328,110,VNH
2012-08-02,3245,3328,3245,3328,20,VNH
2012-08-03,3245,3328,3245,3328,1970,VNH
2012-08-06,3245,3328,3161,3328,2610,VNH
2012-08-07,3161,3328,3161,3328,40,VNH
2012-08-08,3245,3328,3245,3328,50,VNH
2012-08-09,3161,3328,3161,3328,360,VNH
2012-08-10,3245,3245,3161,3161,7800,VNH
2012-08-13,3245,3245,3245,3245,260,VNH
2012-08-14,3328,3328,3328,3328,90,VNH
2012-08-15,3328,3328,3328,3328,0,VNH
2012-08-16,3328,3411,3161,3245,2570,VNH
2012-08-17,3328,3328,3328,3328,10,VNH
2012-08-20,3161,3328,3161,3328,150,VNH
2012-08-21,3161,3328,3161,3328,1490,VNH
2012-08-22,3161,3245,3161,3245,1130,VNH
2012-08-23,3161,3161,3161,3161,6200,VNH
2012-08-24,3161,3161,3078,3161,2720,VNH
2012-08-27,3078,3078,3078,3078,1070,VNH
2012-08-28,2995,3078,2995,2995,3250,VNH
2012-08-29,2995,2995,2995,2995,480,VNH
2012-08-30,2912,2912,2912,2912,1230,VNH
2012-08-31,2829,2912,2829,2912,320,VNH
2012-09-04,2829,2995,2829,2995,2390,VNH
2012-09-05,2912,2912,2912,2912,650,VNH
2012-09-06,2829,2912,2829,2912,340,VNH
2012-09-07,2829,2912,2829,2912,750,VNH
2012-09-10,2912,2912,2829,2829,20,VNH
2012-09-11,2912,2912,2745,2829,520,VNH
2012-09-12,2829,2912,2829,2912,180,VNH
2012-09-13,2995,2995,2829,2912,310,VNH
2012-09-14,2912,2995,2912,2995,2310,VNH
2012-09-17,2995,3078,2995,3078,820,VNH
2012-09-18,3078,3161,3078,3161,270,VNH
2012-09-19,3078,3161,3078,3161,350,VNH
2012-09-20,3078,3161,3078,3161,510,VNH
2012-09-21,3161,3161,3161,3161,0,VNH
2012-09-24,3078,3078,3078,3078,100,VNH
2012-09-25,2995,3078,2995,2995,630,VNH
2012-09-26,2995,3078,2995,3078,300,VNH
2012-09-27,2995,3078,2995,3078,210,VNH
2012-09-28,2995,3161,2995,3161,530,VNH
2012-10-01,3078,3078,3078,3078,110,VNH
2012-10-02,3078,3078,3078,3078,10,VNH
2012-10-03,2995,3078,2995,2995,230,VNH
2012-10-04,2995,3078,2912,3078,1020,VNH
2012-10-05,3078,3078,2995,3078,290,VNH
2012-10-08,3078,3078,3078,3078,0,VNH
2012-10-09,2995,2995,2995,2995,110,VNH
2012-10-10,2912,3078,2912,2995,3220,VNH
2012-10-11,3078,3078,3078,3078,20,VNH
2012-10-12,3161,3161,3078,3078,350,VNH
2012-10-15,2995,3161,2995,3161,2670,VNH
2012-10-16,3078,3245,3078,3245,5850,VNH
2012-10-17,3161,3245,3161,3245,7360,VNH
2012-10-18,3161,3328,3161,3328,870,VNH
2012-10-19,3328,3411,3161,3161,1540,VNH
