time,open,high,low,close,volume,ticker
2012-03-20,14750,14820,14660,14750,48840,VNM
2012-03-21,14820,14820,14750,14750,74890,VNM
2012-03-22,14750,14820,14750,14750,65490,VNM
2012-03-23,14750,15470,14750,15470,268540,VNM
2012-03-26,15470,15640,15140,15230,112890,VNM
2012-03-27,15230,15230,14910,14910,124680,VNM
2012-03-28,14910,15140,14910,15070,75600,VNM
2012-03-29,15070,15070,14910,14910,120740,VNM
2012-03-30,14990,14990,14820,14820,65720,VNM
2012-04-03,14820,14990,14750,14990,53400,VNM
2012-04-04,14990,14990,14910,14990,25930,VNM
2012-04-05,14910,15070,14910,14990,69230,VNM
2012-04-06,15230,15320,15150,15230,68510,VNM
2012-04-09,15150,15230,15150,15150,37260,VNM
2012-04-10,15150,15230,15080,15080,56370,VNM
2012-04-11,15080,15150,14990,15080,106860,VNM
2012-04-12,15150,15150,14990,15080,112730,VNM
2012-04-13,15080,15150,14990,14990,57860,VNM
2012-04-16,15080,15150,14990,14990,76040,VNM
2012-04-17,14990,14990,14900,14990,55700,VNM
2012-04-18,14990,15080,14900,14990,63330,VNM
2012-04-19,14990,14990,14810,14810,46850,VNM
2012-04-20,14810,14900,14810,14810,35510,VNM
2012-04-23,14810,14900,14810,14810,38710,VNM
2012-04-24,14810,14810,14740,14810,37120,VNM
2012-04-25,14810,14900,14740,14810,63730,VNM
2012-04-26,14810,15320,14810,14990,101530,VNM
2012-04-27,14990,14990,14900,14900,54240,VNM
2012-05-02,14900,14900,14810,14900,41370,VNM
2012-05-03,14900,14900,14740,14810,64330,VNM
2012-05-04,14810,14900,14740,14810,59720,VNM
2012-05-07,14810,14990,14810,14810,69910,VNM
2012-05-08,14810,14900,14810,14810,69000,VNM
2012-05-09,14810,14900,14740,14900,43560,VNM
2012-05-10,14810,14900,14740,14810,45530,VNM
2012-05-11,14810,14900,14740,14810,50830,VNM
2012-05-14,14810,14810,14740,14740,84350,VNM
2012-05-15,14740,14810,14660,14660,67260,VNM
2012-05-16,14660,14740,14510,14510,57190,VNM
2012-05-17,14580,14660,14510,14510,27270,VNM
2012-05-18,14410,14510,14330,14410,58560,VNM
2012-05-21,14510,14660,14510,14660,14130,VNM
2012-05-22,14510,14660,14510,14510,15730,VNM
2012-05-23,14410,14510,14410,14410,40110,VNM
2012-05-24,14330,14410,14240,14240,61880,VNM
2012-05-25,14240,14510,14240,14410,82940,VNM
2012-05-28,14510,14510,14330,14330,14950,VNM
2012-05-29,14330,14410,14240,14410,15600,VNM
2012-05-30,14510,14510,14330,14410,12400,VNM
2012-05-31,14240,14410,14240,14240,42150,VNM
2012-06-01,14330,14330,14240,14330,26750,VNM
2012-06-04,14240,14330,14160,14160,12990,VNM
2012-06-05,14160,14240,14090,14240,19660,VNM
2012-06-06,14330,14330,14090,14160,32320,VNM
2012-06-07,14160,14240,14090,14160,39360,VNM
2012-06-08,14160,14330,14090,14090,33020,VNM
2012-06-11,14090,14160,14090,14160,16730,VNM
2012-06-12,14090,14160,14000,14160,45850,VNM
2012-06-13,14090,14160,14090,14160,21900,VNM
2012-06-14,14160,14330,14160,14240,42350,VNM
2012-06-15,14330,14740,14240,14580,114830,VNM
2012-06-18,14580,14580,14410,14510,40020,VNM
2012-06-19,14510,14510,14330,14510,36490,VNM
2012-06-20,14510,14510,14330,14410,25970,VNM
2012-06-21,14330,14510,14240,14240,27850,VNM
2012-06-22,14240,14330,14160,14240,15670,VNM
2012-06-25,14240,14410,14160,14240,30180,VNM
2012-06-26,14160,14240,14090,14160,42190,VNM
2012-06-27,14160,14160,14160,14160,16660,VNM
2012-06-28,14160,14160,14090,14160,27000,VNM
2012-06-29,14240,14510,14090,14510,39480,VNM
2012-07-02,14510,14510,14240,14410,29330,VNM
2012-07-03,14330,14330,14160,14330,20830,VNM
2012-07-04,14410,14410,14160,14330,23450,VNM
2012-07-05,14330,14410,14240,14330,36390,VNM
2012-07-06,14330,14330,14240,14240,29930,VNM
2012-07-09,14160,14240,14090,14090,49080,VNM
2012-07-10,14090,14160,14000,14090,46570,VNM
2012-07-11,14090,14160,14090,14160,18160,VNM
2012-07-12,14160,14240,14090,14240,23980,VNM
2012-07-13,14330,14410,14160,14410,62810,VNM
2012-07-16,14330,14410,14240,14240,45300,VNM
2012-07-17,14160,14330,14160,14240,18490,VNM
2012-07-18,14240,14410,14160,14410,29510,VNM
2012-07-19,14330,14410,14240,14410,30960,VNM
2012-07-20,14410,14510,14410,14410,41430,VNM
2012-07-23,14410,14510,14330,14330,35950,VNM
2012-07-24,14240,14330,14240,14330,41530,VNM
2012-07-25,14330,14330,14240,14330,33280,VNM
2012-07-26,14330,14410,14330,14330,80360,VNM
2012-07-27,14330,14410,14240,14330,29400,VNM
2012-07-30,14410,14810,14330,14660,198350,VNM
2012-07-31,14660,14740,14580,14740,55330,VNM
2012-08-01,14660,14740,14580,14660,13990,VNM
2012-08-02,15320,15320,15320,15320,122880,VNM
2012-08-03,16070,16070,16070,16070,108780,VNM
2012-08-06,16810,16810,16470,16810,476860,VNM
2012-08-07,17130,17460,16810,16960,178470,VNM
2012-08-08,16810,16960,16470,16810,126630,VNM
2012-08-09,16960,17460,16960,17300,118430,VNM
2012-08-10,17130,17300,16960,17130,110100,VNM
2012-08-13,16960,17460,16810,17460,95640,VNM
2012-08-14,17620,18280,17460,18280,305460,VNM
2012-08-15,18280,19110,18280,18940,134530,VNM
2012-08-16,19110,19430,18280,18620,124080,VNM
2012-08-17,18450,18620,18280,18280,101660,VNM
2012-08-20,18280,18620,18280,18450,145160,VNM
2012-08-21,18450,18450,17610,17610,256230,VNM
2012-08-22,17110,18280,16940,17950,169320,VNM
2012-08-23,17770,17770,17110,17110,216030,VNM
2012-08-24,16430,17610,16430,17440,304170,VNM
2012-08-27,17610,17610,17110,17110,151750,VNM
2012-08-28,17110,17440,16940,17270,83740,VNM
2012-08-29,17270,17950,17270,17440,114520,VNM
2012-08-30,17440,17610,17270,17270,87440,VNM
2012-08-31,17440,17610,17270,17610,82000,VNM
2012-09-04,17610,17950,17610,17950,92220,VNM
2012-09-05,17950,17950,17610,17950,64770,VNM
2012-09-06,17770,17950,17610,17610,84040,VNM
2012-09-07,17610,17950,17610,17770,46090,VNM
2012-09-10,17610,17770,17270,17440,72560,VNM
2012-09-11,17440,17770,17270,17610,29820,VNM
2012-09-12,17770,17950,17610,17770,32540,VNM
2012-09-13,17770,17950,17610,17770,39500,VNM
2012-09-14,17950,18620,17950,18450,226460,VNM
2012-09-17,18450,18780,18450,18620,118120,VNM
2012-09-18,18620,18780,18110,18110,134570,VNM
2012-09-19,18110,18620,18110,18450,116200,VNM
2012-09-20,18450,18620,18110,18450,142350,VNM
2012-09-21,18450,18620,18280,18620,134960,VNM
2012-09-24,18450,18780,18450,18450,52630,VNM
2012-09-25,18620,19120,18450,18950,134760,VNM
2012-09-26,18950,19630,18950,19450,276090,VNM
2012-09-27,19630,19790,19450,19790,183340,VNM
2012-09-28,19630,20120,19450,19630,195100,VNM
2012-10-01,19630,19790,19450,19450,196700,VNM
2012-10-02,19450,19450,19120,19120,152200,VNM
2012-10-03,19280,19450,18950,19280,87060,VNM
2012-10-04,19450,19450,19120,19280,67390,VNM
2012-10-05,19280,19450,19280,19280,70040,VNM
2012-10-08,19280,19960,19280,19790,182160,VNM
2012-10-09,19790,19960,19630,19790,152500,VNM
2012-10-10,19790,19790,19630,19790,38920,VNM
2012-10-11,19790,19960,19630,19790,91520,VNM
2012-10-12,19790,19960,19630,19790,66930,VNM
2012-10-15,20120,20630,19960,20630,275440,VNM
2012-10-16,20630,21630,20630,21460,135400,VNM
2012-10-17,21460,21790,21140,21290,122380,VNM
2012-10-18,21290,21790,21290,21790,162300,VNM
2012-10-19,22130,22630,21790,22300,256170,VNM
2012-10-22,22300,22810,22300,22810,217150,VNM
2012-10-23,22810,22810,22300,22810,152970,VNM
2012-10-24,22810,22960,22300,22300,159880,VNM
2012-10-25,21790,22130,21290,21290,504420,VNM
2012-10-26,21290,21790,21140,21630,116860,VNM
2012-10-29,21790,21790,21290,21460,85000,VNM
2012-10-30,21630,21630,21290,21290,92140,VNM
2012-10-31,21290,21460,20790,20960,205220,VNM
2012-11-01,20960,21290,20960,21290,100580,VNM
2012-11-02,20790,20960,20280,20280,278080,VNM
2012-11-05,20280,21140,20120,21140,118260,VNM
2012-11-06,21140,21630,20960,21290,107980,VNM
2012-11-07,21460,21460,21140,21290,56950,VNM
2012-11-08,21140,21290,20960,20960,74470,VNM
2012-11-09,20960,21290,20960,21140,44090,VNM
2012-11-12,21140,21290,21140,21290,49590,VNM
2012-11-13,21290,21460,21140,21140,85010,VNM
2012-11-14,21290,22130,21290,22130,271050,VNM
2012-11-15,22630,22810,21980,22130,163380,VNM
2012-11-16,21980,22130,21630,21790,67040,VNM
2012-11-19,21790,21980,21460,21630,75120,VNM
2012-11-20,21630,21790,21460,21790,122810,VNM
2012-11-21,21980,22300,21790,21790,104280,VNM
2012-11-22,21630,21980,21630,21790,67600,VNM
2012-11-23,21790,21980,21460,21790,133190,VNM
2012-11-26,21790,21790,21460,21460,87520,VNM
2012-11-27,21460,21630,21460,21630,53840,VNM
2012-11-28,21630,21630,21460,21460,46200,VNM
2012-11-29,21630,21790,21460,21630,63950,VNM
2012-11-30,21630,21790,21630,21630,48300,VNM
2012-12-03,21630,21790,21460,21630,30000,VNM
2012-12-04,21630,21790,21460,21790,40200,VNM
2012-12-05,21980,22130,21790,21980,81900,VNM
2012-12-06,21790,21980,21630,21790,65680,VNM
2012-12-07,21790,21980,21630,21790,48390,VNM
2012-12-10,21790,21790,21630,21790,82630,VNM
2012-12-11,21790,21790,21460,21460,97810,VNM
2012-12-12,21460,21630,21140,21290,168940,VNM
2012-12-13,21290,21460,21140,21290,110640,VNM
2012-12-14,21290,21460,21140,21460,111460,VNM
2012-12-17,21460,21460,20960,20960,163990,VNM
2012-12-18,20960,21140,20790,20790,254070,VNM
2012-12-19,21630,21630,21250,21250,432340,VNM
2012-12-20,21000,21250,21000,21140,124180,VNM
2012-12-21,21000,21140,20750,20870,109770,VNM
2012-12-24,20870,21250,20870,21000,91700,VNM
2012-12-25,21140,21370,21000,21370,124470,VNM
2012-12-26,21370,22260,21370,22120,212250,VNM
2012-12-27,22260,22510,22000,22120,188780,VNM
2012-12-28,22120,22120,21750,22120,99400,VNM
2013-01-02,22000,22120,21870,21870,199930,VNM
2013-01-03,21870,22000,21630,21750,146370,VNM
2013-01-04,21630,22120,21630,22120,147250,VNM
2013-01-07,22120,22370,22120,22120,135530,VNM
2013-01-08,22120,23140,22120,23140,629670,VNM
2013-01-09,24280,24280,23510,24010,455050,VNM
2013-01-10,24010,25140,23880,25140,593410,VNM
2013-01-11,25650,26150,25390,25890,362160,VNM
2013-01-14,25390,25650,24780,25030,371220,VNM
2013-01-15,24900,25390,24900,25140,192400,VNM
2013-01-16,25140,25390,24900,25030,215810,VNM
2013-01-17,25030,25030,24640,24640,291160,VNM
2013-01-18,24640,24780,24280,24520,206860,VNM
2013-01-21,24640,24780,24280,24280,75950,VNM
2013-01-22,24140,24520,24010,24280,246990,VNM
2013-01-23,24640,25390,24640,24640,250560,VNM
2013-01-24,24640,25030,24640,24900,160380,VNM
2013-01-25,24900,25140,24780,25030,430810,VNM
2013-01-28,25140,26640,25140,26400,657030,VNM
2013-01-29,26150,26400,25650,26150,273610,VNM
2013-01-30,25890,26150,25650,25890,245500,VNM
2013-01-31,25650,25890,25390,25390,169570,VNM
2013-02-01,25140,25650,25030,25650,277990,VNM
2013-02-04,25650,25650,25390,25390,117260,VNM
2013-02-05,25650,25650,25030,25030,432970,VNM
2013-02-06,25030,25890,25030,25890,187250,VNM
2013-02-07,25650,25890,25650,25650,105610,VNM
2013-02-08,25650,25890,25390,25650,78380,VNM
2013-02-18,25890,25890,25390,25650,125690,VNM
2013-02-19,25390,25890,25390,25390,185290,VNM
2013-02-20,25390,26900,25140,26150,466760,VNM
2013-02-21,26400,26400,25390,25390,236050,VNM
2013-02-22,25650,26150,25140,25650,348530,VNM
2013-02-25,25890,26150,25650,25890,167680,VNM
2013-02-26,25890,26150,25390,25390,193660,VNM
2013-02-27,25650,25890,25390,25650,129120,VNM
2013-02-28,25890,26150,25650,25890,161170,VNM
2013-03-01,25890,26150,25890,25890,91290,VNM
2013-03-04,25890,26150,25650,25650,138270,VNM
2013-03-05,25650,25890,25390,25890,207890,VNM
2013-03-06,26400,26640,26150,26400,266470,VNM
2013-03-07,26400,26400,25890,26400,135160,VNM
2013-03-08,26150,26400,26150,26150,96980,VNM
2013-03-11,26150,26400,25890,26400,120190,VNM
2013-03-12,26150,26400,25890,26150,113410,VNM
2013-03-13,26150,26400,25890,26150,136290,VNM
2013-03-14,26150,26150,25890,26150,53170,VNM
2013-03-15,25890,26150,25890,26150,75460,VNM
2013-03-18,26150,27170,25890,26400,383160,VNM
2013-03-19,26640,26640,26400,26400,79440,VNM
2013-03-20,26640,26900,26400,26900,163400,VNM
2013-03-21,26900,28160,26900,27920,697470,VNM
2013-03-22,28160,28910,27920,28410,509210,VNM
2013-03-25,28660,28910,28160,28910,275760,VNM
2013-03-26,28660,28910,28160,28410,265980,VNM
2013-03-27,28410,28660,28160,28410,216610,VNM
2013-03-28,28660,28910,28410,28910,142890,VNM
2013-03-29,28660,29170,28410,29170,395970,VNM
2013-04-01,29430,30670,29430,30670,499290,VNM
2013-04-02,30670,31450,30670,30670,403390,VNM
2013-04-03,30420,30930,30420,30930,350420,VNM
2013-04-04,30670,30930,30180,30180,443960,VNM
2013-04-05,30420,30930,30180,30930,175850,VNM
2013-04-08,30930,31450,30930,31450,173740,VNM
2013-04-09,31450,32680,31450,32439,299320,VNM
2013-04-10,32680,33450,31690,31690,454070,VNM
2013-04-11,32180,32439,31450,32180,526180,VNM
2013-04-12,32180,32439,31180,31450,362540,VNM
2013-04-15,31180,31180,30180,30180,575370,VNM
2013-04-16,29930,30670,28910,30420,579830,VNM
2013-04-17,30930,31180,30420,31180,183330,VNM
2013-04-18,30670,30930,30420,30930,198330,VNM
2013-04-22,30670,30930,30420,30670,169190,VNM
2013-04-23,31180,31690,30930,31450,248200,VNM
2013-04-24,31450,31450,31180,31450,64650,VNM
