time,open,high,low,close,volume,ticker
2016-09-20,12130,12130,12130,12130,100,VOC
2016-09-21,13920,13920,13920,13920,100,VOC
2016-09-22,15980,15980,11840,11840,398200,VOC
2016-09-23,11910,15590,11570,11910,398100,VOC
2016-09-26,13420,13420,10340,12290,169000,VOC
2016-09-27,11120,12290,10790,11170,101200,VOC
2016-09-28,11240,12180,11240,12010,102600,VOC
2016-09-29,11790,13420,11460,13420,336100,VOC
2016-09-30,13970,14470,13970,14470,35400,VOC
2016-10-03,15380,16490,15380,16490,216550,VOC
2016-10-04,16490,16770,13800,15420,129300,VOC
2016-10-05,15700,15820,15200,15250,38500,VOC
2016-10-06,15420,15420,14760,15080,92700,VOC
2016-10-07,14700,15310,14530,14810,20510,VOC
2016-10-10,14760,15870,14760,15080,36600,VOC
2016-10-11,15380,15380,14810,14920,22800,VOC
2016-10-12,15080,15080,14640,14700,35900,VOC
2016-10-13,14760,14760,14020,14700,44000,VOC
2016-10-14,14310,14530,14250,14470,22700,VOC
2016-10-17,14250,15080,14130,14810,62270,VOC
2016-10-18,14810,16090,14810,16090,128530,VOC
2016-10-19,16090,17320,16090,17100,194800,VOC
2016-10-20,16940,18500,16810,18500,72200,VOC
2016-10-21,17880,20340,17880,19000,224300,VOC
2016-10-24,20000,20000,17320,18160,122000,VOC
2016-10-25,18330,18550,17040,18440,47000,VOC
2016-10-26,18440,19560,17880,19000,67000,VOC
2016-10-27,19000,20450,19000,19560,147400,VOC
2016-10-28,19830,20400,19500,20120,76400,VOC
2016-10-31,20000,22350,20000,22350,127340,VOC
2016-11-01,22850,23470,22130,22510,150530,VOC
2016-11-02,22510,22810,21120,21230,136870,VOC
2016-11-03,21230,21290,20120,21290,53810,VOC
2016-11-04,21230,22350,20780,21230,53750,VOC
2016-11-07,21230,21690,20850,21690,49700,VOC
2016-11-08,21690,21790,21230,21400,54520,VOC
2016-11-09,21790,21790,19000,20680,118320,VOC
2016-11-10,20900,21690,20680,21180,50850,VOC
2016-11-11,21180,21910,20680,21910,113700,VOC
2016-11-14,21690,22130,21460,21790,65000,VOC
2016-11-15,22070,22410,21520,21520,27760,VOC
2016-11-16,21790,21790,20730,21120,35770,VOC
2016-11-17,21230,21740,20450,20680,57510,VOC
2016-11-18,20950,21520,20680,20730,30200,VOC
