time,open,high,low,close,volume,ticker
2012-03-20,7910,7910,7910,7910,0,WSB
2012-03-21,7910,7910,7910,7910,0,WSB
2012-03-22,7910,7910,7910,7910,0,WSB
2012-03-23,7910,7910,7910,7910,0,WSB
2012-03-26,7910,7910,7910,7910,0,WSB
2012-03-27,7450,7480,7380,7480,7200,WSB
2012-03-28,7480,7480,7300,7300,29000,WSB
2012-03-29,7380,7480,7380,7380,21600,WSB
2012-03-30,7380,7380,7300,7300,6100,WSB
2012-04-03,6770,6770,6770,6770,700,WSB
2012-04-04,6770,6770,6770,6770,0,WSB
2012-04-05,7420,7420,7420,7420,100,WSB
2012-04-06,7420,7420,7420,7420,0,WSB
2012-04-09,7420,7420,7420,7420,0,WSB
2012-04-10,7420,7420,7420,7420,0,WSB
2012-04-11,7420,7420,7300,7300,7000,WSB
2012-04-12,7340,7340,7340,7340,0,WSB
2012-04-13,6770,6770,6520,6520,156800,WSB
2012-04-16,6660,6660,6050,6050,37000,WSB
2012-04-17,6730,6730,6120,6120,8500,WSB
2012-04-18,6120,6810,6080,6810,13100,WSB
2012-04-19,6120,6230,6050,6050,65300,WSB
2012-04-20,6230,6310,6230,6310,25000,WSB
2012-04-23,6230,6340,6230,6340,40000,WSB
2012-04-24,6230,6420,6230,6420,28000,WSB
2012-04-25,6310,6310,6310,6310,0,WSB
2012-04-26,6310,6310,6310,6310,1000,WSB
2012-04-27,6310,6310,6050,6050,28000,WSB
2012-05-02,6120,6120,6120,6120,2000,WSB
2012-05-03,6120,6120,6120,6120,0,WSB
2012-05-04,6270,6270,6230,6230,2000,WSB
2012-05-07,6420,6460,6420,6460,11800,WSB
2012-05-08,6340,6340,6340,6340,1400,WSB
2012-05-09,6340,6340,6340,6340,0,WSB
2012-05-10,6340,6340,6340,6340,0,WSB
2012-05-11,6340,6340,6340,6340,0,WSB
2012-05-14,6230,6230,6230,6230,100,WSB
2012-05-15,6230,6230,6230,6230,0,WSB
2012-05-16,6230,6230,6230,6230,0,WSB
2012-05-17,6230,6230,6230,6230,0,WSB
2012-05-18,5700,5700,5660,5660,500,WSB
2012-05-21,5660,5660,5660,5660,0,WSB
2012-05-22,5340,5380,5340,5340,3000,WSB
2012-05-23,5340,5340,5340,5340,0,WSB
2012-05-24,5340,5340,5340,5340,0,WSB
