time,open,high,low,close,volume,ticker
2018-06-26,174220,174220,174220,174220,6100,YEG
2018-06-27,186410,186410,186410,186410,16860,YEG
2018-06-28,198610,199420,198610,199190,76700,YEG
2018-06-29,186410,186410,185250,185250,1800,YEG
2018-07-02,172300,172300,172300,172300,10610,YEG
2018-07-03,172300,172300,160280,160280,10050,YEG
2018-07-04,149070,149070,149070,149070,10000,YEG
2018-07-05,138680,139950,138680,139950,123420,YEG
2018-07-06,130199,133570,130199,130660,16270,YEG
2018-07-09,130660,139780,126890,139780,11290,YEG
2018-07-10,149540,149540,134150,148950,37640,YEG
2018-07-11,148950,148950,142860,145180,13200,YEG
2018-07-12,145180,145180,135020,141700,18810,YEG
2018-07-13,144890,145120,135020,142510,35730,YEG
2018-07-16,142510,142510,136470,142280,3810,YEG
2018-07-17,142280,143440,138790,138790,6870,YEG
2018-07-18,131820,142220,130660,142220,8530,YEG
2018-07-19,132400,142220,132400,142220,4450,YEG
2018-07-20,133570,133570,132290,132400,3220,YEG
2018-07-23,132400,132520,127000,128340,1060,YEG
2018-07-24,127240,136470,120210,136470,5680,YEG
2018-07-25,128050,145990,126950,145990,6190,YEG
2018-07-26,135830,144020,135830,135830,590,YEG
2018-07-27,126360,126710,126360,126360,5750,YEG
2018-07-30,117540,117600,117540,117540,29730,YEG
2018-07-31,116200,117540,116140,117540,860,YEG
2018-08-01,116140,117310,110800,116670,1150,YEG
2018-08-02,113240,116090,108590,110980,1560,YEG
2018-08-03,116140,116140,113240,116140,620,YEG
2018-08-06,116140,116140,110920,110920,2210,YEG
2018-08-07,111500,113240,111500,112660,230,YEG
2018-08-08,114000,114400,112660,114400,2220,YEG
2018-08-09,113820,115970,113240,114400,480,YEG
2018-08-10,113240,115450,113240,113240,3080,YEG
2018-08-13,115970,115970,113240,114230,360,YEG
2018-08-14,115210,115560,111500,113880,6220,YEG
2018-08-15,115100,115100,112370,114460,1750,YEG
2018-08-16,114460,114460,110390,113820,510,YEG
2018-08-17,113240,115510,112950,113240,10480,YEG
2018-08-20,114920,115270,107430,114870,60190,YEG
2018-08-21,114870,115040,113820,114980,19930,YEG
2018-08-22,113240,114690,113240,113530,890,YEG
2018-08-23,113530,113530,105630,105630,14060,YEG
2018-08-24,109700,113010,104530,113010,13260,YEG
2018-08-27,113240,113820,105110,105110,26360,YEG
2018-08-28,107430,112430,107430,112430,7340,YEG
2018-08-29,113820,116140,113530,114980,26110,YEG
2018-08-30,114920,115560,109180,114400,7220,YEG
2018-08-31,116140,116140,113180,113820,12700,YEG
2018-09-04,121780,121780,121780,121780,142940,YEG
2018-09-05,130259,130259,130259,130259,43200,YEG
2018-09-06,139370,139370,130259,136470,47180,YEG
2018-09-07,126950,136470,126950,126950,27120,YEG
2018-09-10,126600,126950,118060,126020,27320,YEG
2018-09-11,124220,126020,121950,125670,43640,YEG
2018-09-12,125670,128340,125150,127120,22050,YEG
2018-09-13,126020,127820,126020,127350,21050,YEG
2018-09-14,128050,128570,127350,128570,51660,YEG
2018-09-17,128860,135890,127410,135890,18800,YEG
2018-09-18,135890,136470,131009,136470,3850,YEG
2018-09-19,136470,137050,132980,132980,6180,YEG
2018-09-20,132980,135190,128919,132980,32370,YEG
2018-09-21,132980,135310,130660,133570,5240,YEG
2018-09-24,128979,128979,127180,128630,3790,YEG
2018-09-25,128630,130660,125440,127760,3200,YEG
2018-09-26,130660,130660,124270,129910,6080,YEG
2018-09-27,134150,134150,126600,128919,18120,YEG
2018-09-28,128919,128919,128340,128919,8540,YEG
2018-10-01,128919,130600,127760,130600,5210,YEG
2018-10-02,130600,130660,128919,130600,7030,YEG
2018-10-03,131240,133570,130660,132580,6270,YEG
2018-10-04,134730,134730,131820,131820,3780,YEG
2018-10-05,131820,133620,131820,133620,27970,YEG
2018-10-08,134840,139260,131530,138790,14710,YEG
2018-10-09,139490,142280,139370,141700,15330,YEG
2018-10-10,141700,141700,138850,138850,20860,YEG
2018-10-11,138850,138850,131940,132400,14860,YEG
2018-10-12,132400,138270,132400,138270,11790,YEG
2018-10-15,144020,147910,138910,145820,21970,YEG
2018-10-16,145820,146340,145180,145820,2610,YEG
2018-10-17,150990,155980,148080,155980,15440,YEG
2018-10-18,162020,166900,162020,162600,8850,YEG
2018-10-19,162540,162600,161440,162020,3040,YEG
2018-10-22,162020,163760,159700,163700,30040,YEG
2018-10-23,163760,168410,163760,165850,31330,YEG
2018-10-24,166200,166960,161440,162600,15770,YEG
2018-10-25,151570,162720,151220,160980,23740,YEG
2018-10-26,162020,162140,156270,162140,13160,YEG
2018-10-29,162140,162890,150990,162140,19930,YEG
2018-10-30,162600,162600,162080,162200,8870,YEG
2018-10-31,167540,167540,162080,162080,6910,YEG
2018-11-01,150990,163940,150990,162600,1710,YEG
2018-11-02,162600,166090,162600,166090,370,YEG
2018-11-05,168410,168410,163760,163760,14650,YEG
2018-11-06,163760,164290,162600,164290,5270,YEG
2018-11-07,168410,168410,163760,165510,4160,YEG
2018-11-08,168410,168410,166260,166670,19080,YEG
2018-11-09,167420,168410,167420,168290,22570,YEG
2018-11-12,168580,174220,168410,174220,20570,YEG
2018-11-13,174220,179440,169570,169570,9770,YEG
2018-11-14,170730,177120,170730,174800,23010,YEG
2018-11-15,174800,175380,174330,175090,31930,YEG
2018-11-16,174220,175150,165510,165510,17950,YEG
2018-11-19,166090,168410,166090,168410,200,YEG
2018-11-20,168410,174220,168410,168410,12890,YEG
2018-11-21,168990,168990,167830,167830,220,YEG
2018-11-22,168410,168410,167830,167830,200,YEG
2018-11-23,156910,163180,156790,162600,610,YEG
2018-11-26,162310,162600,162310,162310,750,YEG
2018-11-27,160860,162540,156790,156790,2650,YEG
2018-11-28,156790,164920,153890,164920,18870,YEG
2018-11-29,166030,166030,154880,155050,36500,YEG
2018-11-30,155050,155050,153830,153830,6630,YEG
2018-12-03,163180,163180,162600,162600,2650,YEG
2018-12-04,161380,162600,161380,162540,540,YEG
2018-12-05,162310,162310,155630,162020,240,YEG
2018-12-06,156790,157380,151570,155050,1420,YEG
2018-12-07,155050,160280,155050,156790,8630,YEG
2018-12-10,156790,156790,156740,156790,2960,YEG
2018-12-11,156740,156790,155050,156790,1650,YEG
2018-12-12,156740,156790,153370,156790,3480,YEG
2018-12-13,156790,156790,153310,153600,9090,YEG
2018-12-14,153310,153310,148780,148950,5550,YEG
2018-12-17,148660,148660,138560,145180,20760,YEG
2018-12-18,145180,145180,135190,140530,11740,YEG
2018-12-19,140530,140530,134150,136180,5180,YEG
2018-12-20,136180,138790,133570,133570,17280,YEG
2018-12-21,132400,133570,132400,133570,3520,YEG
2018-12-24,133570,133570,129560,133570,1300,YEG
2018-12-25,130660,131820,124220,124680,2000,YEG
2018-12-26,122010,133390,122010,132400,2950,YEG
2018-12-27,141110,141110,133570,136470,1210,YEG
2018-12-28,145060,145060,132400,136470,16620,YEG
2019-01-02,144020,144020,134440,138210,1170,YEG
2019-01-03,133570,138210,128919,138210,4720,YEG
2019-01-04,138210,139370,136470,138210,13670,YEG
2019-01-07,131880,137050,131820,136470,8430,YEG
2019-01-08,131820,145120,127000,145120,13770,YEG
2019-01-09,135130,138790,135020,135080,22400,YEG
2019-01-10,133570,143440,133570,140530,7160,YEG
2019-01-11,145180,145180,134150,141110,16160,YEG
2019-01-14,144600,144600,137460,139370,12990,YEG
2019-01-15,141110,141110,137050,139950,2670,YEG
2019-01-16,138210,139950,137050,137170,1280,YEG
2019-01-17,136470,139370,136470,137050,1520,YEG
2019-01-18,133860,137980,133860,134150,1160,YEG
2019-01-21,136470,138150,136470,138150,4940,YEG
2019-01-22,134730,138150,134440,138150,4570,YEG
2019-01-23,131880,138150,131880,136990,12360,YEG
2019-01-24,128340,139370,128340,136760,11730,YEG
2019-01-25,136470,138790,134730,137050,8260,YEG
2019-01-28,137630,137630,133860,133860,7690,YEG
2019-01-29,133860,136530,133860,136530,1990,YEG
2019-01-30,145120,145120,136700,139370,10490,YEG
2019-01-31,136530,138790,136530,137050,1100,YEG
2019-02-01,137630,138790,137630,138790,1780,YEG
2019-02-11,135660,138100,134840,135020,5450,YEG
2019-02-12,135130,138040,134960,136180,7560,YEG
2019-02-13,135770,139200,135770,137570,3460,YEG
2019-02-14,137630,137630,135420,137510,2980,YEG
2019-02-15,137460,137460,135310,136990,1080,YEG
2019-02-18,134440,137050,134200,136180,3900,YEG
2019-02-19,136930,137050,135890,136410,25740,YEG
2019-02-20,137510,139370,137510,139370,11690,YEG
2019-02-21,136470,139080,136470,139080,230,YEG
2019-02-22,139370,139370,134150,139260,2280,YEG
2019-02-25,139370,139370,137050,137050,2250,YEG
2019-02-26,137050,137170,137050,137110,4700,YEG
2019-02-27,139080,139080,137690,139020,9240,YEG
2019-02-28,139020,139950,139020,139490,21120,YEG
2019-03-01,145060,145060,139950,142280,1080,YEG
2019-03-04,134150,134200,132350,132350,17190,YEG
2019-03-05,123110,123110,123110,123110,14990,YEG
2019-03-06,114520,114520,114520,114520,15250,YEG
2019-03-07,106500,120850,106500,106500,470780,YEG
2019-03-08,99070,99070,99070,99070,66340,YEG
2019-03-11,92160,92160,92160,92160,25930,YEG
2019-03-12,85710,85710,85710,85710,135330,YEG
2019-03-13,79730,79730,79730,79730,21710,YEG
2019-03-14,74160,74160,74160,74160,21520,YEG
2019-03-15,68990,68990,68990,68990,17180,YEG
2019-03-18,64170,64170,64170,64170,7010,YEG
2019-03-19,59700,59700,59700,59700,62560,YEG
2019-03-20,55570,55570,55570,55570,26300,YEG
2019-03-21,51740,59410,51740,59410,833940,YEG
2019-03-22,63530,63530,63530,63530,80120,YEG
2019-03-25,67940,67940,66780,67940,281260,YEG
2019-03-26,66200,72010,63300,70270,428730,YEG
2019-03-27,72590,72590,65510,65510,164610,YEG
2019-03-28,65510,65510,60980,60980,105370,YEG
2019-03-29,56740,64920,56740,58070,215230,YEG
2019-04-01,60390,60390,58070,59580,59820,YEG
2019-04-02,59580,60390,58650,59700,134530,YEG
2019-04-03,63820,63820,62140,63820,123470,YEG
2019-04-04,68230,68230,66200,68230,148570,YEG
2019-04-05,68230,72940,68230,70850,165240,YEG
2019-04-08,72180,72300,65970,66780,178680,YEG
2019-04-09,65040,66780,63650,63880,119270,YEG
2019-04-10,62540,64519,62540,62540,84100,YEG
2019-04-11,62540,65910,62540,65040,81180,YEG
2019-04-12,65040,66490,63880,66200,30850,YEG
2019-04-16,66200,66200,64459,65040,43140,YEG
2019-04-17,64459,65099,64110,65040,46230,YEG
2019-04-18,64459,65040,63880,64459,44720,YEG
2019-04-19,64580,65450,64050,65040,28480,YEG
2019-04-22,65040,65040,63650,63940,26360,YEG
2019-04-23,64000,64690,63880,64459,27730,YEG
2019-04-24,63590,65040,62720,65040,55510,YEG
2019-04-25,63300,65099,63300,65099,36890,YEG
2019-04-26,64580,65160,63940,65099,35190,YEG
2019-05-02,65040,65040,63700,64400,42960,YEG
2019-05-03,64400,64400,63300,63880,31000,YEG
2019-05-06,63010,63760,62720,63300,47380,YEG
2019-05-07,63590,63590,62430,63300,43460,YEG
2019-05-08,63300,63300,61850,61850,48930,YEG
2019-05-09,61850,62490,59870,60390,42620,YEG
2019-05-10,59580,60800,58650,59810,37430,YEG
2019-05-13,59230,59810,58940,59520,30630,YEG
2019-05-14,59520,59520,56100,56100,169290,YEG
2019-05-15,56100,56330,52610,54180,155440,YEG
2019-05-16,55750,57380,54590,56560,20250,YEG
2019-05-17,56910,60390,56910,59230,31790,YEG
2019-05-20,58830,60630,58710,60630,44620,YEG
2019-05-21,60860,62720,60860,60980,73570,YEG
2019-05-22,62720,63300,62250,62720,153600,YEG
2019-05-23,60390,62430,58360,58360,161570,YEG
2019-05-24,54300,55170,54300,54300,333690,YEG
2019-05-27,51390,55170,51390,54010,130850,YEG
2019-05-28,54010,55170,53770,54360,60650,YEG
2019-05-29,54410,54590,54070,54070,60970,YEG
2019-05-30,54010,54070,53480,53830,37800,YEG
2019-05-31,53830,53830,52260,52900,95540,YEG
2019-06-03,52850,52900,51390,52150,58160,YEG
2019-06-04,51970,51970,49070,49070,70460,YEG
2019-06-05,50520,52500,50460,52440,186520,YEG
2019-06-06,56040,56040,53430,54530,48400,YEG
2019-06-07,54530,54590,52260,54590,58410,YEG
2019-06-10,54590,54590,52850,52960,26420,YEG
2019-06-11,52960,53080,49650,52960,35440,YEG
2019-06-12,52850,52960,51740,52960,48510,YEG
2019-06-13,51800,53430,51800,53250,22800,YEG
2019-06-14,52850,54700,52850,54300,70380,YEG
2019-06-17,53720,53950,53020,53310,44050,YEG
2019-06-18,53310,53890,50230,50520,361010,YEG
2019-06-19,50990,51970,50990,50990,95580,YEG
2019-06-20,52030,52030,50810,51390,37200,YEG
2019-06-21,50810,51510,50810,50810,122890,YEG
2019-06-24,50810,50990,48780,48780,259100,YEG
2019-06-25,48780,49360,46460,47620,246880,YEG
2019-06-26,47330,47330,44310,45300,339140,YEG
2019-06-27,44480,44480,44130,44190,210830,YEG
2019-06-28,44130,44130,42680,42680,230380,YEG
2019-07-01,42680,45300,42680,43550,149820,YEG
2019-07-02,44370,44370,42680,43550,225640,YEG
2019-07-03,42740,44130,42680,44130,219870,YEG
2019-07-04,43150,44310,43150,44130,45050,YEG
2019-07-05,44130,45590,44130,44720,93630,YEG
2019-07-08,44720,46400,44720,45880,68380,YEG
2019-07-09,46570,48780,46570,48780,93930,YEG
2019-07-10,49650,51100,49650,50460,65240,YEG
